OBJECTID,TARGET_FID,LandUse_1,Ocupacao,ID_UG,NOME,YY_correct,XX_Correct,Altitude,Declive,Litologia,Relevo,Uso,Espessura,Apt_flor,Solo,Classifica,Perimetro,Area,Hectares,UsoSolo20,Shape_Leng,Shape_Area,HBC,CH,CBD,CC,geometry,road_access
127,757,1,EcPb_3_9_3_Pv,836,Castelo de Paiva,154379.276963,-9216.01374302,177.0,16.8833,g,m,i,3,Marginal,Ru6.1,Regossolos,2215.33536062,150156.872407,15.0156872407,Eucalipto,2215.33504367,150156.870494,2.9,0.0,0.0,0.0,"POLYGON ((-8904.28368 154402.87661, -8864.96848 154357.50141, -8858.00538 154341.83431, -8854.38518 154333.68881, -8834.72368 154307.22231, -8863.43068 154306.92391, -8906.78868 154260.71751, -8963.58878 154258.57711, -9015.72998 154269.88901, -9008.00028 154330.30161, -9081.69398 154338.27351, -9115.77378 154266.14501, -9096.89538 154225.39611, -9087.54268 154173.27871, -9133.67708 154160.32251, -9192.59958 154119.61901, -9245.03788 154122.21291, -9239.18788 154202.56361, -9314.71878 154269.66701, -9366.34948 154326.12751, -9369.95088 154327.99551, -9370.60458 154328.71041, -9432.07168 154360.59231, -9477.96068 154368.47641, -9558.96798 154367.40901, -9588.39198 154415.53711, -9591.72678 154416.82501, -9591.89618 154417.10211, -9592.06558 154417.16751, -9592.64778 154418.11981, -9595.00628 154419.03071, -9607.20818 154423.58151, -9624.70598 154430.14511, -9629.15298 154431.81321, -9641.96788 154436.62011, -9649.10048 154439.29561, -9655.60508 154441.73551, -9625.89578 154455.00011, -9600.69138 154458.32671, -9557.96008 154463.96671, -9532.94148 154457.86501, -9487.00508 154469.81721, -9428.77278 154459.76581, -9414.57208 154464.88471, -9387.94388 154474.48331, -9369.77248 154484.60311, -9354.07008 154493.34791, -9354.02468 154493.37321, -9333.96288 154495.92661, -9309.48418 154507.31201, -9301.53188 154509.50481, -9269.78188 154504.21311, -9266.02268 154507.25621, -9242.00048 154526.70271, -9217.87918 154532.95641, -9206.28168 154535.96321, -9145.42748 154543.90061, -9123.76428 154540.07781, -9102.47748 154536.08401, -9061.20238 154506.71521, -9006.43348 154478.93391, -8948.48968 154433.69001, -8911.97708 154406.70251, -8904.28368 154402.87661))",full
128,758,1,EcEc_3_10_2_Pv,837,Castelo de Paiva,153027.146729,-21569.1258601,151.0,11.6688,x,m,i,4,Marginal,Lu3.1,Leptossolos,2076.93510139,170975.625997,17.0975625997,Eucalipto,2076.9351754,170975.628174,2.9,0.0,0.0,0.0,"POLYGON ((-21287.68328 153143.27701, -21333.71008 153141.18181, -21335.74908 153087.38311, -21261.56328 153070.17551, -21224.05408 153018.81081, -21229.58478 152966.52271, -21217.48168 152921.88231, -21262.31818 152920.27151, -21306.32058 152898.65811, -21347.79268 152886.05261, -21374.51178 152940.66131, -21432.56928 152900.34981, -21478.41618 152891.25491, -21524.82578 152892.53481, -21561.11748 152835.45561, -21618.57198 152832.91031, -21663.15978 152839.04661, -21704.40958 152815.47471, -21728.17908 152890.11081, -21769.72658 152854.34451, -21815.63848 152827.63641, -21843.63478 152856.73851, -21908.45788 152893.78031, -21866.12438 152918.91581, -21818.49938 152954.63461, -21805.27018 152977.12421, -21802.62438 153015.48891, -21846.28068 153032.68681, -21825.11388 153043.27011, -21774.84298 153088.24951, -21735.15548 153125.29121, -21675.75788 153180.45871, -21629.32188 153208.63511, -21579.05098 153220.54141, -21538.04048 153221.86431, -21475.86328 153211.28091, -21409.71728 153191.43721, -21355.47758 153163.65581, -21287.68328 153143.27701))",full
129,759,1,PbPb_3_21_1_Pv,838,Castelo de Paiva,152924.882783,-21301.9266487,197.0,13.6303,x,m,i,4,Marginal,Lu3.1,Leptossolos,1885.37339662,101354.110423,10.1354110423,Eucalipto,1885.37344054,101354.109932,2.9,0.0,0.0,0.0,"POLYGON ((-21074.91918 153065.14981, -21101.16158 152823.62921, -21099.73308 152814.88431, -21143.91978 152808.75511, -21165.94888 152805.69951, -21224.38448 152817.66981, -21271.22288 152806.70121, -21316.32078 152772.73941, -21359.53028 152755.36721, -21399.94288 152718.90181, -21459.77198 152738.24141, -21521.29318 152753.86251, -21573.50918 152743.84341, -21583.48958 152781.37631, -21561.11748 152835.45561, -21524.82578 152892.53481, -21478.41618 152891.25491, -21432.56928 152900.34981, -21374.51178 152940.66131, -21347.79268 152886.05261, -21306.32058 152898.65811, -21262.31818 152920.27151, -21217.48168 152921.88231, -21229.58478 152966.52271, -21224.05408 153018.81081, -21261.56328 153070.17551, -21335.74908 153087.38311, -21333.71008 153141.18181, -21287.68328 153143.27701, -21255.56868 153144.73901, -21209.94038 153134.42521, -21139.83878 153136.33321, -21090.70708 153117.92501, -21074.91918 153065.14981))",none
130,760,1,EcEc_3_4_1_Pv,839,Castelo de Paiva,152188.865009,-22184.9398674,151.0,9.45693,x,o,a,1,Moderada,Tc1.1,Antrossolos,1570.86675934,88041.5806325,8.80415806325,Pinheiro bravo,1570.86663341,88041.5563283,3.0,0.0,0.0,0.0,"POLYGON ((-22280.66908 152338.23401, -22188.78878 152287.43571, -22158.16438 152270.21571, -22103.28968 152221.07471, -22028.60838 152180.01791, -21900.12438 152148.49871, -21836.14178 152122.67691, -21862.10518 152070.10531, -21917.37898 152072.26401, -21987.81028 152066.79221, -22066.96268 152059.26121, -22095.67248 152026.04321, -22131.19338 151998.07341, -22178.57798 151978.28921, -22167.32808 152030.79911, -22164.62588 152043.41201, -22156.70788 152054.47681, -22179.26418 152063.78501, -22199.10798 152082.30581, -22245.37828 152119.67791, -22267.89988 152137.86851, -22339.33738 152194.75401, -22359.46108 152204.81581, -22412.89178 152231.53121, -22449.13978 152241.05621, -22434.58758 152278.09791, -22404.16048 152320.43141, -22385.20578 152340.08801, -22368.44168 152357.47301, -22336.51518 152358.61961, -22280.66908 152338.23401))",full
131,761,1,EcEc_2_3_3_Pv,840,Castelo de Paiva,152302.982524,-20400.8887544,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1191.7200426,73670.9273864,7.36709273864,Eucalipto,1191.72001279,73670.9351659,2.9,0.0,0.0,0.0,"POLYGON ((-20161.53318 152306.82261, -20213.55138 152224.92391, -20250.31328 152181.44191, -20301.57768 152137.70531, -20379.17318 152148.13031, -20431.52948 152184.38321, -20476.80298 152240.02851, -20498.30618 152292.54891, -20565.92718 152278.91241, -20621.73578 152310.44621, -20578.99768 152362.75351, -20546.79908 152400.91571, -20497.87888 152432.63621, -20446.48538 152414.39221, -20391.77438 152403.40431, -20303.35548 152408.17431, -20264.96188 152343.29731, -20211.35068 152303.38921, -20161.53318 152306.82261))",none
132,762,1,EcEc_3_3_3_Pv,841,Castelo de Paiva,152264.076348,-20126.9906612,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1222.09256659,67714.075331,6.7714075331,Eucalipto,1222.09261237,67714.0769213,2.9,0.0,0.0,0.0,"POLYGON ((-19928.68508 152317.16261, -19980.60228 152260.21021, -20022.01068 152217.52101, -20079.33738 152196.18631, -20117.44698 152157.40241, -20140.87128 152082.43881, -20156.48968 152023.19761, -20232.23998 152062.91851, -20301.57768 152137.70531, -20250.31328 152181.44191, -20213.55138 152224.92391, -20161.53318 152306.82261, -20163.64858 152315.49851, -20163.26418 152315.52501, -20175.58358 152366.05161, -20132.54888 152382.84571, -20093.39038 152430.47071, -20058.46538 152465.39591, -20010.84028 152431.52911, -19986.49858 152394.48741, -19953.32196 152367.88664, -19945.84268 152361.88981, -19928.68508 152317.16261))",none
133,763,1,EcEc_2_3_3_Pv,842,Castelo de Paiva,152170.803686,-20697.406221,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1860.75765298,142885.845992,14.2885845992,Eucalipto,1860.75771214,142885.836278,2.9,0.0,0.0,0.0,"POLYGON ((-20621.73578 152310.44621, -20565.92718 152278.91241, -20498.30618 152292.54891, -20476.80298 152240.02851, -20431.52948 152184.38321, -20379.17318 152148.13031, -20422.68878 152087.36421, -20393.61528 152043.90261, -20373.38968 151969.16841, -20430.97938 151989.17201, -20489.56928 152038.67041, -20561.34198 152005.92651, -20609.37168 152014.85011, -20660.37368 152027.32341, -20715.43968 152021.51321, -20786.81438 152022.26151, -20828.82858 152051.97211, -20855.92928 152094.72141, -20903.18848 152105.29731, -20945.79298 152083.71261, -20973.22278 152122.23871, -20993.86928 152230.26451, -20971.51108 152287.29341, -20894.65738 152294.33101, -20838.09358 152283.68841, -20774.59378 152284.66251, -20706.37798 152286.83791, -20681.50918 152330.75791, -20676.72048 152388.07031, -20621.73578 152310.44621))",none
134,764,1,EcEc_2_3_3_Pv,843,Castelo de Paiva,152095.46325,-19936.3600475,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1598.05287065,134722.598149,13.4722598149,Eucalipto,1598.05277458,134722.587366,2.9,0.0,0.0,0.0,"POLYGON ((-19810.81138 152250.66961, -19825.50578 152230.01281, -19795.74008 152218.76801, -19769.94308 152210.16901, -19743.48478 152218.10651, -19726.94828 152234.64301, -19720.99508 152244.56491, -19699.16048 152239.75871, -19684.99638 152164.43631, -19707.40668 152104.79281, -19739.24948 152020.47041, -19773.49678 151972.73511, -19803.23928 151936.01571, -19852.84018 151896.11781, -19909.20618 151860.50491, -19954.08538 151864.43651, -19993.05508 151889.85541, -20031.92558 151926.28461, -20075.34898 151948.82761, -20114.07028 151978.92701, -20156.48968 152023.19761, -20140.87128 152082.43881, -20117.44698 152157.40241, -20079.33738 152196.18631, -20022.01068 152217.52101, -19980.60228 152260.21021, -19928.68508 152317.16261, -19945.84268 152361.88981, -19953.32196 152367.88664, -19941.70168 152371.64951, -19916.26788 152351.78621, -19914.55388 152335.48001, -19911.49248 152306.35581, -19874.87028 152278.93311, -19870.02208 152274.84941, -19849.31528 152257.40781, -19810.81138 152250.66961))",none
135,765,1,EcEc_2_Rg_Ad,844,Castelo de Paiva,151843.048437,-20380.1279103,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1310.02041997,73383.252188,7.3383252188,Eucalipto,1310.02031348,73383.2493137,2.9,0.0,0.0,0.0,"POLYGON ((-20373.38968 151969.16841, -20328.36658 151914.47771, -20275.51308 151868.49021, -20216.63668 151797.49881, -20171.13928 151716.05461, -20120.91688 151657.29481, -20168.09718 151657.47831, -20231.75128 151657.72601, -20275.08688 151660.60441, -20354.11228 151680.38211, -20393.97788 151703.26851, -20411.15708 151746.70751, -20401.86368 151826.97091, -20448.47168 151832.54191, -20491.48238 151847.12531, -20544.37448 151896.16461, -20570.97198 151960.41401, -20561.34198 152005.92651, -20489.56928 152038.67041, -20430.97938 151989.17201, -20373.38968 151969.16841))",none
136,766,1,EcEc_4_3_1_Pv,845,Castelo de Paiva,151892.540215,-19621.455802,158.0,35.0222,x,m,i,4,Marginal,Lu3.1,Leptossolos,2732.7468084,252513.860322,25.2513860322,Eucalipto,2732.74662298,252513.867204,2.9,0.0,0.0,0.0,"POLYGON ((-19446.15258 152265.97791, -19448.32668 152263.07921, -19449.08088 152261.93551, -19453.00308 152260.31211, -19456.26988 152258.54801, -19458.55918 152257.14281, -19462.85328 152253.89911, -19466.74688 152250.41171, -19473.38388 152243.70941, -19476.54248 152240.20041, -19483.74778 152232.21191, -19487.20798 152227.82361, -19489.82148 152223.80011, -19491.68118 152219.63541, -19493.52188 152214.29691, -19494.18858 152213.12361, -19496.39758 152210.63201, -19499.00068 152207.34421, -19501.47938 152203.90371, -19503.36588 152200.86561, -19505.20668 152196.75631, -19507.24488 152192.57751, -19509.30818 152187.69421, -19509.99878 152186.53041, -19511.65638 152183.99081, -19512.91858 152181.87141, -19515.00528 152177.69301, -19516.48108 152174.15031, -19517.33108 152171.30171, -19517.87678 152169.77811, -19518.79398 152167.68331, -19522.60248 152158.54781, -19523.60768 152155.54291, -19524.94868 152152.19391, -19525.71368 152149.58651, -19526.57208 152146.08011, -19527.89008 152140.87691, -19528.50958 152137.69791, -19528.92878 152134.79811, -19528.99208 152134.13321, -19529.70878 152130.65201, -19530.11078 152127.73581, -19530.81658 152124.50011, -19531.19068 152121.48111, -19532.09058 152117.66031, -19532.93638 152113.65691, -19533.72638 152110.23701, -19534.65118 152106.81591, -19536.41478 152100.33451, -19536.89158 152097.44301, -19537.69148 152094.13121, -19538.62758 152089.58201, -19539.39678 152084.34781, -19548.63168 152059.81581, -19552.81988 152048.69021, -19553.04678 152048.08751, -19553.04678 152035.97061, -19553.04688 152016.33741, -19548.76488 151999.51251, -19547.84198 151986.04861, -19545.17548 151947.14871, -19542.96408 151937.86101, -19538.02978 151917.36561, -19535.13828 151906.46691, -19530.76158 151889.97011, -19529.96188 151886.95601, -19524.77638 151881.17971, -19520.89978 151876.86151, -19518.90948 151872.32401, -19517.96938 151870.88511, -19516.19938 151868.17601, -19512.84368 151864.53081, -19511.01518 151863.10761, -19510.75138 151862.41421, -19508.98218 151858.59811, -19505.98168 151853.25541, -19503.33158 151847.76611, -19501.57188 151843.23161, -19501.37458 151842.19181, -19498.56638 151836.08941, -19495.87838 151831.07801, -19491.84888 151825.16051, -19490.49738 151822.37511, -19488.02438 151818.53551, -19485.98768 151815.84981, -19482.18218 151810.66461, -19480.67738 151808.17951, -19479.21098 151805.81521, -19476.96428 151802.09891, -19463.15448 151797.65881, -19454.04318 151791.59991, -19449.16718 151792.21301, -19447.94088 151792.36721, -19443.04618 151789.59351, -19428.09708 151781.12241, -19424.28558 151782.07531, -19415.91648 151784.16751, -19414.86798 151784.42971, -19406.72348 151785.61511, -19403.11228 151786.02761, -19400.43038 151785.05541, -19394.36058 151782.75751, -19390.56008 151781.22631, -19385.11748 151779.03351, -19380.82388 151777.79181, -19378.32288 151777.25721, -19370.42908 151775.91611, -19367.87958 151774.85791, -19363.87098 151773.19411, -19359.83268 151771.86051, -19356.47858 151771.23721, -19347.87528 151767.49631, -19336.76268 151761.54321, -19323.66578 151754.00251, -19316.12528 151748.04941, -19308.58458 151736.54001, -19311.29658 151707.83271, -19316.58828 151682.03571, -19322.80718 151673.74381, -19328.49448 151666.16071, -19332.02308 151655.25421, -19335.77058 151643.67111, -19338.98628 151638.20451, -19342.38518 151632.42631, -19353.11048 151622.98801, -19355.53048 151620.85841, -19358.92168 151617.87411, -19365.27878 151604.92311, -19369.22898 151596.87541, -19370.05028 151595.20231, -19374.54598 151592.02851, -19377.63068 151588.94741, -19378.70608 151587.73861, -19379.82908 151586.60451, -19382.01228 151584.64461, -19382.44418 151584.51381, -19386.53398 151583.27491, -19388.46778 151582.60361, -19391.84568 151580.93081, -19394.69888 151579.03871, -19397.85378 151576.64921, -19399.94638 151574.85581, -19400.99068 151573.77951, -19401.51308 151573.24131, -19402.88278 151571.72971, -19408.73638 151570.18191, -19410.59318 151569.64141, -19414.25928 151568.31021, -19416.07218 151567.44381, -19419.55728 151565.68001, -19422.41878 151564.02781, -19425.32918 151561.86461, -19427.22698 151560.26721, -19435.72558 151556.11561, -19452.24268 151548.17701, -19453.90678 151547.42551, -19473.32108 151538.65781, -19483.26028 151532.84421, -19486.32348 151531.05261, -19491.50638 151528.02111, -19494.35548 151526.35461, -19494.67568 151525.97031, -19502.15618 151516.99371, -19508.47588 151509.41021, -19514.19938 151502.54201, -19519.89478 151498.62651, -19532.45558 151490.23891, -19544.58818 151478.34891, -19547.63608 151466.12871, -19548.72758 151449.55911, -19548.45418 151443.27231, -19559.71338 151453.44881, -19596.64828 151486.83241, -19634.63148 151528.95901, -19654.85678 151551.39081, -19723.64858 151634.99931, -19777.32608 151679.29991, -19789.02938 151683.18571, -19815.61268 151725.73841, -19850.53768 151751.13841, -19864.94788 151764.76161, -19882.84078 151781.67721, -19915.68018 151812.72341, -19954.08538 151864.43651, -19909.20618 151860.50491, -19852.84018 151896.11781, -19803.23928 151936.01571, -19773.49678 151972.73511, -19739.24948 152020.47041, -19707.40668 152104.79281, -19684.99638 152164.43631, -19699.16048 152239.75871, -19703.76898 152276.97771, -19685.27328 152289.15781, -19665.77688 152273.90841, -19651.48938 152273.90841, -19624.50178 152299.30841, -19597.83178 152342.17101, -19554.96918 152389.79611, -19500.99408 152413.60861, -19445.43148 152416.78361, -19429.55638 152358.04601, -19446.15258 152265.97791))",none
