UG,species,Presc,period,Vremovido(ton),Rait
1,Ec,1601,1,2999.2719825,115.0248
1,Qr,1601,1,0.0,63.9027
1,Qr,1601,2,0.0,213.0089
1,Qr,1601,3,2.8856880000000005,213.0089
1,Qr,1601,4,11.048232,213.0089
1,Qr,1601,5,39.077064,213.0089
10,Ec,21700,1,0.0,62.3627
10,Ec,21700,2,3141.32499,15.5907
10,Sb,21700,2,0.0,62.3627
10,Sb,21700,3,0.0,77.9533
10,Sb,21700,4,0.0,77.9533
10,Sb,21700,5,122.21523600000002,77.9533
100,Ec,3,1,1006.65693,22.2506
100,Ec,3,2,0.0,21.6943
100,Ec,3,3,948.8333250000002,22.8068
100,Ec,3,4,823.7990925,23.9193
100,Ec,3,5,886.5038925,22.8068
1000,Ct,20316,1,0.0,26.9488
1000,Ec,20316,1,2233.78452,40.4232
1000,Ct,20316,2,0.0,67.372
1000,Ct,20316,3,34.68309,67.372
1000,Ct,20316,4,1006.8604260000001,67.372
1000,Ct,20316,5,4234.229142,67.372
1001,Ec,19700,1,1140.8150025,19.3391
1001,Sb,19700,1,0.0,5.5254
1001,Sb,19700,2,0.0,24.8645
1001,Sb,19700,3,0.0,27.6272
1001,Sb,19700,4,126.817314,27.6272
1001,Sb,19700,5,197.06785800000003,27.6272
1002,Ec,36700,1,696.9456,12.0259
1002,Sb,36700,2,0.0,8.59
1002,Sb,36700,3,0.0,12.3695
1002,Sb,36700,4,63.08874,13.7439
1002,Sb,36700,5,98.036796,13.7439
1003,Ec,21700,1,228.87893250000002,15.8027
1003,Sb,21700,2,0.0,13.0936
1003,Sb,21700,3,0.0,16.2542
1003,Sb,21700,4,82.901676,18.0602
1003,Sb,21700,5,128.82503400000002,18.0602
1004,Ec,36700,1,513.4659525000001,18.083
1004,Sb,36700,2,0.0,18.083
1004,Sb,36700,3,0.0,18.083
1004,Sb,36700,4,110.67505799999999,18.083
1004,Sb,36700,5,171.983526,18.083
1005,Ec,34700,1,264.0691125,13.7487
1005,Sb,34700,1,0.0,2.4998
1005,Sb,34700,2,0.0,12.0822
1005,Sb,34700,3,0.0,19.1649
1005,Sb,34700,4,76.497876,20.8314
1005,Sb,34700,5,118.873872,20.8314
1006,Ec,34700,1,1361.15802,23.0367
1006,Sb,34700,1,0.0,6.5819
1006,Sb,34700,2,0.0,30.4413
1006,Sb,34700,3,0.0,32.9095
1006,Sb,34700,4,151.06455000000003,32.9095
1006,Sb,34700,5,234.74685,32.9095
1007,Ec,36700,1,924.3306225,46.9295
1007,Sb,36700,2,0.0,48.1328
1007,Sb,36700,3,0.0,48.1328
1007,Sb,36700,4,220.944048,48.1328
1007,Sb,36700,5,343.336188,48.1328
1008,Ct,1319,1,0.0,10.1928
1008,Ec,1319,1,1487.4883875,29.5592
1008,Ct,1319,2,0.0,49.9448
1008,Ct,1319,3,26.236314,50.9641
1008,Ct,1319,4,761.647848,50.9641
1008,Ct,1319,5,1183.018824,50.9641
1009,Ec,21,1,186.07745250000002,37.9861
1009,Ec,21,2,358.2357975,40.1567
1009,Ec,21,3,599.98995,36.9008
1009,Ec,21,4,538.4525625,39.0714
1009,Ec,21,5,459.3329775,39.0714
101,Pb,503,1,0.0,12.2672
101,Pb,503,2,0.0,17.9919
101,Pb,503,3,161.43612,23.7166
101,Pb,503,4,269.87796,24.5344
101,Pb,503,5,1809.6545999999998,29.4412
1010,Ec,3,1,0.0,21.0146
