ID_UG,timber_1,timber_2,timber_3,timber_4,timber_5,wide_1,wide_2,wide_3,wide_4,wide_5
838,1,1,1,0,0,0,0,0,0,0
840,1,0,1,1,1,0,0,0,0,0
841,1,1,0,1,1,0,0,0,0,0
842,1,0,1,1,1,0,0,0,0,0
843,1,0,1,1,1,0,0,0,0,0
844,1,1,0,1,1,0,0,0,0,0
845,1,1,0,1,1,0,0,0,0,0
846,1,0,0,1,1,0,0,0,0,0
847,1,0,0,1,1,0,0,0,0,0
848,1,0,0,1,1,0,0,0,0,0
1199,1,1,1,0,1,0,0,0,0,0
1201,1,1,1,1,1,0,0,0,0,0
1204,1,0,0,1,1,0,0,0,0,0
1206,1,1,1,1,1,0,0,0,0,0
1508,0,0,1,1,1,0,0,0,0,0
1511,1,0,0,1,1,0,0,0,0,0
1515,1,0,1,1,1,0,0,0,0,0
1518,1,1,0,1,1,0,0,0,0,0
1519,1,1,1,1,1,0,0,0,0,0
1402,1,1,1,1,0,0,0,0,0,0
1412,1,1,1,1,1,0,0,0,0,0
1413,1,1,1,1,1,0,0,0,0,0
1415,1,0,1,1,1,0,0,0,1,0
1423,1,1,1,1,1,0,0,0,0,0
1520,1,1,0,1,1,0,0,0,0,0
1521,1,1,0,1,1,0,0,0,0,0
1522,1,1,1,1,1,0,0,0,0,0
907,1,0,1,1,1,0,0,0,1,0
908,1,0,1,1,1,0,0,0,0,0
909,1,0,0,1,1,0,0,0,0,0
910,1,1,1,1,1,0,0,0,0,0
912,1,1,1,1,1,0,0,0,0,0
913,1,0,0,1,1,0,0,0,0,0
914,1,0,0,1,1,0,0,0,0,0
1145,1,1,1,1,1,0,0,0,0,0
1146,1,0,0,1,1,0,0,0,0,0
1148,1,1,1,1,1,0,0,0,0,0
1153,1,1,1,1,1,0,0,0,0,0
1270,0,0,1,1,0,0,0,0,0,0
1274,1,0,0,1,1,0,0,0,0,0
1275,1,1,1,1,1,0,0,0,0,0
1276,1,0,0,1,1,0,0,0,0,0
1468,1,0,0,1,1,0,0,0,0,0
1469,1,0,1,1,1,0,0,0,0,0
1470,1,0,1,1,1,0,0,0,0,0
549,0,0,0,0,0,0,0,1,1,1
827,1,0,0,1,1,0,0,0,0,0
833,1,0,1,1,1,0,0,1,0,0
851,1,0,0,1,1,0,0,0,0,0
807,1,1,1,0,1,0,0,0,0,0
809,1,0,0,1,1,0,0,0,0,0
810,1,1,1,1,1,0,0,0,0,0
819,1,1,0,1,1,0,1,0,0,0
821,0,1,1,0,0,0,0,0,0,0
822,0,1,0,1,0,0,0,0,0,0
824,1,1,1,1,1,0,0,0,0,0
826,1,0,0,0,0,0,0,0,0,0
852,1,1,1,1,1,0,0,0,0,0
853,1,0,0,0,0,0,0,0,0,0
857,1,1,1,1,1,0,0,0,0,0
859,0,0,1,1,1,0,0,0,0,0
862,1,0,1,1,1,0,0,0,0,0
863,1,0,1,1,1,0,0,0,0,0
867,1,0,0,1,1,0,0,0,0,0
868,1,0,0,1,1,0,0,0,0,0
869,1,1,1,0,1,0,0,0,0,0
870,1,0,0,1,1,0,0,0,0,0
872,1,1,1,1,1,0,0,0,0,0
873,1,0,0,1,1,0,0,0,0,0
874,1,0,0,1,1,0,0,0,0,0
877,0,1,1,1,1,0,0,0,0,0
878,0,1,1,1,1,0,0,0,0,0
881,1,1,0,1,1,0,0,0,0,0
882,1,1,1,1,0,0,0,0,0,0
1109,1,0,0,1,1,0,0,0,0,0
1118,1,0,0,1,1,0,0,0,0,0
1119,1,1,0,1,1,0,0,0,0,0
1120,1,0,0,1,1,0,0,0,0,0
1121,1,0,0,1,1,0,0,0,0,0
1122,1,0,0,1,1,0,0,0,0,0
887,1,1,1,1,0,0,0,0,0,0
890,1,1,1,1,0,0,0,0,0,0
891,1,1,1,1,0,0,0,0,0,0
892,1,1,1,1,0,0,0,0,0,0
897,0,1,1,1,1,0,0,0,0,0
900,1,1,0,1,1,0,0,0,0,0
903,1,1,1,1,0,0,0,1,0,0
920,1,1,1,1,1,0,0,0,0,0
928,0,1,1,1,1,0,0,0,0,0
929,0,0,0,0,1,0,0,0,0,0
942,1,0,1,1,1,0,0,0,0,0
945,1,0,0,1,1,0,0,0,0,0
947,1,1,0,1,1,0,0,0,0,0
948,1,0,0,1,1,0,0,0,0,0
959,0,0,1,1,1,0,0,0,0,0
960,0,0,1,1,0,0,0,0,0,0
964,0,0,1,1,1,0,0,0,0,0
966,0,0,1,1,1,0,0,0,0,0
967,0,1,1,1,1,0,0,0,0,0
968,1,1,1,1,0,0,0,0,0,0
970,1,0,0,1,1,0,0,0,0,0
974,1,0,0,1,1,0,0,0,0,0
975,1,1,0,1,1,0,1,0,0,0
980,1,0,0,1,1,0,0,0,0,0
981,1,1,1,1,1,0,0,0,0,0
982,1,0,0,1,1,0,0,0,0,0
983,1,1,1,1,1,0,0,0,0,0
984,1,0,0,1,1,0,0,0,0,0
987,1,0,0,1,1,0,0,0,0,0
990,1,0,0,1,1,0,0,0,0,0
991,1,0,0,1,1,0,0,0,0,0
992,1,0,0,1,1,0,0,0,0,0
993,1,0,0,1,1,0,0,0,0,0
995,1,0,0,1,1,0,0,0,0,0
996,1,0,0,1,1,0,0,0,0,0
997,1,0,0,1,1,0,0,0,0,0
998,1,0,0,1,1,0,0,0,0,0
999,1,0,0,1,1,0,0,0,0,0
1014,1,0,1,1,1,0,0,0,0,0
1016,0,0,0,1,0,0,0,0,0,0
1018,1,0,0,0,1,0,0,0,0,0
1019,1,0,0,1,1,0,0,0,0,0
1020,1,1,1,1,1,0,0,0,0,0
1021,1,0,1,0,1,0,0,0,0,0
1025,1,1,1,1,1,0,0,0,0,0
1027,1,1,1,1,0,0,0,0,0,0
1028,1,1,1,1,1,0,0,0,0,0
1030,1,1,1,1,1,0,0,0,0,0
1032,1,0,0,1,1,0,0,0,0,0
1033,1,0,0,1,1,0,0,0,0,0
1036,1,1,1,1,0,0,0,0,0,0
1039,1,0,0,1,1,0,0,0,0,0
1042,1,0,0,1,1,0,0,0,0,0
1043,1,0,0,1,1,0,0,0,0,0
1044,1,1,1,1,1,0,0,0,0,0
1045,1,1,1,1,0,0,0,0,0,0
1046,1,0,0,1,1,0,0,0,0,0
1047,1,0,0,1,1,0,0,0,0,0
1048,1,0,0,1,1,0,0,0,0,0
1050,1,1,1,1,1,0,0,0,0,0
1051,1,0,0,1,1,0,0,0,0,0
1052,1,1,1,1,1,0,0,0,0,0
1053,1,1,0,1,1,0,0,0,0,0
1054,1,0,0,1,1,0,0,0,0,0
1055,1,0,0,1,1,0,0,0,0,0
1056,1,0,0,1,1,0,0,0,0,0
1058,1,0,0,1,1,0,0,0,0,0
1061,1,1,1,1,1,0,0,0,0,0
1065,1,0,0,1,1,0,0,0,0,0
1067,1,1,1,1,1,0,0,0,0,0
1070,1,1,1,1,1,0,0,0,0,0
1072,0,1,1,1,1,0,0,0,0,0
1074,0,1,1,1,1,0,0,0,0,0
1075,0,1,1,1,1,0,0,0,0,0
1077,1,0,0,1,1,0,0,0,0,0
1078,0,1,1,1,1,0,0,0,0,0
1079,1,0,0,1,1,0,0,0,0,0
1080,1,1,1,1,1,0,0,0,0,0
1081,1,1,1,0,1,0,0,0,0,0
1083,1,0,0,1,1,0,0,0,0,0
1084,1,0,0,1,1,0,0,0,0,0
1085,1,0,0,1,1,0,0,0,0,0
1086,1,0,0,1,1,0,0,0,0,0
1087,0,1,0,0,1,0,0,0,0,0
1088,1,1,1,1,1,0,0,0,0,0
1091,1,1,1,1,1,0,0,0,0,0
1094,1,1,1,1,1,0,0,0,0,0
1105,1,0,0,1,1,0,0,0,0,0
1123,1,0,0,1,1,0,0,0,0,0
1124,1,0,0,1,1,0,0,0,0,0
1125,1,0,0,1,1,0,0,0,0,0
1129,1,0,0,1,1,0,0,0,0,0
1130,1,0,0,1,1,0,0,0,0,0
1131,1,0,0,1,1,0,0,0,0,0
1132,1,0,0,1,1,0,0,0,0,0
1133,1,1,1,1,1,0,0,0,0,0
1134,1,0,0,1,1,1,0,0,0,0
1135,1,1,1,0,1,0,0,0,0,0
1137,1,0,0,1,1,0,0,0,0,0
1138,1,0,0,1,1,0,0,0,0,0
1140,1,1,1,1,1,0,0,0,0,0
1141,1,0,0,1,1,0,0,0,0,0
1142,1,0,0,1,1,0,0,0,0,0
1143,1,1,1,1,1,0,0,0,0,0
1144,1,1,1,1,1,0,0,0,0,0
1163,1,0,0,1,1,0,0,0,0,0
1167,1,0,0,1,1,0,0,0,0,0
1173,1,0,1,1,1,0,0,0,0,0
1176,1,0,0,1,1,0,0,0,0,0
1182,1,0,1,1,1,0,0,0,0,0
1184,1,1,1,1,1,0,0,0,0,0
1185,1,1,1,1,1,0,0,0,0,0
1186,1,0,0,1,1,0,0,0,0,0
1188,1,1,1,1,0,0,0,0,0,0
1190,0,1,1,1,1,0,0,0,0,0
1197,1,0,0,1,1,0,0,0,0,0
1213,1,0,0,1,1,0,0,0,0,0
1219,1,0,1,1,1,0,0,0,0,0
1231,1,0,0,1,1,0,0,0,0,0
1240,1,0,0,1,1,0,0,0,0,0
1247,1,1,1,1,1,0,0,0,0,0
1248,1,1,1,1,1,0,0,0,1,0
1251,1,1,1,0,1,0,0,0,0,0
1253,1,1,1,1,1,0,0,0,0,0
1256,1,0,1,0,1,0,0,0,0,0
1258,1,1,1,1,1,0,0,0,0,0
1259,1,0,0,1,1,0,0,0,0,0
1263,1,0,0,1,1,0,0,0,0,0
1282,1,1,1,1,1,0,0,0,0,0
1284,1,1,1,1,1,0,0,0,0,0
1288,1,0,0,0,0,0,0,0,0,0
1292,1,0,0,1,1,0,0,0,0,0
1299,1,0,1,1,1,0,0,0,0,0
1303,1,0,0,0,1,0,0,0,0,0
1304,1,1,1,1,1,0,0,0,0,0
1318,0,0,0,0,1,0,0,0,0,0
1319,1,0,0,0,1,0,0,0,0,0
1320,1,1,1,1,1,0,1,0,0,0
1323,1,0,0,1,1,0,0,0,0,0
