x,y,is_exit,is_source,stands
-20945.79298,152083.71261,False,False,"[842, 1221]"
-21866.12438,152918.91581,True,False,[837]
-21065.13288,152618.63231,True,False,[1155]
-20894.65738,152294.33101,False,False,"[842, 1155]"
-20971.51108,152287.29341,False,False,"[842, 1155, 1221]"
-21158.80358,152609.69661,True,False,"[1155, 1420]"
-21332.22898,152539.08571,False,False,"[1155, 1420]"
-20497.87888,152432.63621,False,False,"[840, 1155]"
-21268.32068,152479.41461,False,False,"[1155, 1420]"
-21287.68328,153143.27701,False,False,"[837, 838]"
-20621.73578,152310.44621,False,False,"[840, 842, 1155]"
-20379.17318,152148.13031,False,False,"[840, 842]"
-21449.33148,152536.14291,True,False,[1155]
-21087.89608,152226.05061,False,False,"[1155, 1221]"
-21815.63848,152827.63641,False,False,"[1155, 837]"
-21143.91978,152808.75511,False,False,"[1155, 838]"
-21561.11748,152835.45561,False,False,"[1155, 837, 838]"
-20716.34408,152443.08461,True,False,[1155]
-21224.05408,153018.81081,True,False,"[837, 838]"
-21037.40848,151976.20771,True,False,[1221]
-21072.42326,151927.00712,True,False,[1221]
-21047.493,151966.78138,True,False,[1221]
-21084.84774,152167.13498,True,False,[1221]
-20391.64553,151975.50952,True,False,[842]
-20855.40696,152286.94596,True,False,[842]
-21314.04073,152529.97344,True,False,[1420]
-21387.10682,152539.95851,True,False,[1155]
-21114.55831,152715.39585,True,False,[1155]
-21073.73431,152660.9802,True,False,[1155]
-20885.70972,152304.62818,True,False,[1155]
-20960.91749,152313.11867,True,False,[1155]
-21091.46797,152912.8438,True,False,[838]
-21610.61998,153213.06452,True,False,[837]
-21724.43688,153135.24647,True,False,[837]
-21889.45545,152882.92177,True,False,[837]
-21898.31742,152899.8012,True,False,[837]
-20904.38092,151765.99494,False,True,1221
-20680.81871,152160.5311,False,True,842
-20384.30125,152292.70992,False,True,840
-21165.25118,152506.4834,False,True,1420
-21174.74529,152554.57589,False,True,1155
-21285.33911,152914.6102,False,True,838
-21552.53835,153016.87413,False,True,837
