"Node1(x,y)","Node2(x,y)"
"(-10961.85188, 150430.42151)","(-10992.54348, 150420.89651)"
"(-10961.85188, 150430.42151)","(-10932.21858, 150443.12151)"
"(-9825.82548, 146654.12811)","(-9762.87928, 146669.14421)"
"(-9825.82548, 146654.12811)","(-9773.98538, 146714.65251)"
"(-9825.82548, 146654.12811)","(-9874.66158, 146683.22741)"
"(-10480.84648, 150676.07601)","(-10484.47038, 150676.23651)"
"(-10480.84648, 150676.07601)","(-10480.21438, 150673.65411)"
"(-8621.36058, 149352.24881)","(-8621.34858, 149352.31981)"
"(-8621.36058, 149352.24881)","(-8621.71398, 149351.36461)"
"(-8304.42188, 152146.10471)","(-8327.48808, 152072.10471)"
"(-8304.42188, 152146.10471)","(-8368.71658, 152123.74211)"
"(-8304.42188, 152146.10471)","(-8248.36388, 152149.07701)"
"(-8830.21138, 149262.40401)","(-8889.05148, 149254.96791)"
"(-8830.21138, 149262.40401)","(-8798.65578, 149301.61021)"
"(-9706.80918, 148641.37611)","(-9779.97128, 148657.82711)"
"(-9706.80918, 148641.37611)","(-9667.03528, 148680.33611)"
"(-8796.06058, 150461.22581)","(-8831.81018, 150491.92841)"
"(-8796.06058, 150461.22581)","(-8814.30988, 150409.57201)"
"(-8796.06058, 150461.22581)","(-8792.40328, 150457.17361)"
"(-8223.82108, 151824.87981)","(-8225.67698, 151820.07771)"
"(-8223.82108, 151824.87981)","(-8221.84868, 151829.98371)"
"(-9620.52358, 148037.26381)","(-9545.35008, 148064.26281)"
"(-9620.52358, 148037.26381)","(-9696.81908, 148084.87921)"
"(-9620.52358, 148037.26381)","(-9562.66178, 147997.99761)"
"(-8925.74058, 149449.83261)","(-8910.71998, 149430.49291)"
"(-8925.74058, 149449.83261)","(-8942.52898, 149461.50291)"
"(-8603.76998, 151035.39341)","(-8584.53768, 151030.03361)"
"(-8603.76998, 151035.39341)","(-8611.00768, 151037.41041)"
"(-8837.98098, 153685.85521)","(-8837.18718, 153653.31141)"
"(-8837.98098, 153685.85521)","(-8851.47478, 153718.39901)"
"(-9833.40198, 146132.72991)","(-9805.46208, 146134.68111)"
"(-9833.40198, 146132.72991)","(-9868.80898, 146130.25731)"
"(-10495.87318, 147715.85771)","(-10538.85278, 147698.32011)"
"(-10495.87318, 147715.85771)","(-10406.65638, 147753.00911)"
"(-8947.47258, 148172.98421)","(-8989.58958, 148179.68151)"
"(-8947.47258, 148172.98421)","(-8911.97978, 148129.79331)"
"(-8947.47258, 148172.98421)","(-8912.82168, 148231.13371)"
"(-8443.33318, 150739.70861)","(-8443.33328, 150753.93811)"
"(-8443.33318, 150739.70861)","(-8433.56478, 150729.94041)"
"(-8827.28188, 148656.46881)","(-8828.14558, 148655.23551)"
"(-8827.28188, 148656.46881)","(-8827.18598, 148685.83761)"
"(-8835.49058, 148062.50641)","(-8911.97978, 148129.79331)"
"(-8835.49058, 148062.50641)","(-8785.23838, 148022.34251)"
"(-11022.28918, 148344.65331)","(-10984.31908, 148319.69011)"
"(-11022.28918, 148344.65331)","(-11022.66908, 148344.68701)"
"(-9814.03458, 148574.01041)","(-9757.40768, 148585.33601)"
"(-9814.03458, 148574.01041)","(-9837.32306, 148579.28166)"
"(-10005.39248, 150730.18941)","(-10055.79168, 150750.85151)"
"(-10005.39248, 150730.18941)","(-9955.50628, 150744.56451)"
"(-10628.45128, 147229.18581)","(-10668.78398, 147166.45351)"
"(-10628.45128, 147229.18581)","(-10665.40868, 147322.65781)"
"(-10628.45128, 147229.18581)","(-10593.2623, 147235.79528)"
"(-8780.66578, 151421.40811)","(-8770.08238, 151385.68931)"
"(-8780.66578, 151421.40811)","(-8757.16228, 151497.83101)"
"(-8958.06678, 149291.91461)","(-8961.63542, 149290.1978)"
"(-8958.06678, 149291.91461)","(-8923.63948, 149311.17431)"
"(-11210.49168, 150134.66771)","(-11176.15808, 150171.15231)"
"(-11210.49168, 150134.66771)","(-11254.57188, 150099.44971)"
"(-8921.86708, 153407.42501)","(-8922.57398, 153404.34661)"
"(-8921.86708, 153407.42501)","(-8920.75698, 153412.25971)"
"(-8572.05778, 149116.40251)","(-8601.16238, 149145.50641)"
"(-8572.05778, 149116.40251)","(-8563.12458, 149098.00281)"
"(-9431.03318, 149459.76441)","(-9430.59708, 149471.41691)"
"(-9431.03318, 149459.76441)","(-9432.40618, 149423.08291)"
"(-9584.58478, 150211.06351)","(-9634.65108, 150170.45271)"
"(-9584.58478, 150211.06351)","(-9623.74458, 150265.13181)"
"(-9584.58478, 150211.06351)","(-9583.02208, 150212.19521)"
"(-9355.00298, 151119.88511)","(-9358.05608, 151122.59631)"
"(-9355.00298, 151119.88511)","(-9355.05798, 151119.72211)"
"(-8256.79598, 151579.39731)","(-8271.08358, 151532.56591)"
"(-8256.79598, 151579.39731)","(-8236.95228, 151582.57231)"
"(-8256.79598, 151579.39731)","(-8257.25178, 151633.83521)"
"(-10479.26608, 148736.35071)","(-10539.29848, 148693.46491)"
"(-10479.26608, 148736.35071)","(-10436.20218, 148778.86421)"
"(-10479.26608, 148736.35071)","(-10554.96288, 148809.15251)"
"(-8830.17258, 150975.57221)","(-8827.12978, 150977.17831)"
"(-8830.17258, 150975.57221)","(-8834.55018, 150974.39931)"
"(-9192.18578, 153279.75991)","(-9200.95308, 153220.64971)"
"(-9192.18578, 153279.75991)","(-9237.27138, 153254.59561)"
"(-8828.26088, 151483.28741)","(-8825.86158, 151483.49271)"
"(-8828.26088, 151483.28741)","(-8838.46208, 151498.64451)"
"(-9693.05128, 147388.84441)","(-9705.21758, 147451.92511)"
"(-9693.05128, 147388.84441)","(-9688.82758, 147359.73901)"
"(-8449.41608, 150770.65051)","(-8450.94868, 150772.32301)"
"(-8449.41608, 150770.65051)","(-8446.81658, 150766.93801)"
"(-8848.45848, 153236.65041)","(-8851.85398, 153246.23421)"
"(-8848.45848, 153236.65041)","(-8848.02118, 153236.03601)"
"(-8827.51668, 149885.30651)","(-8849.21258, 149897.47731)"
"(-8827.51668, 149885.30651)","(-8811.11248, 149872.60651)"
"(-9462.92498, 148695.29851)","(-9512.04548, 148739.37001)"
"(-9462.92498, 148695.29851)","(-9403.35418, 148648.02921)"
"(-8809.36468, 151481.95761)","(-8824.00918, 151480.70401)"
"(-8809.36468, 151481.95761)","(-8757.16228, 151497.83101)"
"(-8927.37538, 153383.43601)","(-8930.10948, 153371.52881)"
"(-8927.37538, 153383.43601)","(-8925.87288, 153389.97931)"
"(-9880.22808, 147484.39361)","(-10074.46358, 147482.53131)"
"(-9880.22808, 147484.39361)","(-9858.50258, 147549.69351)"
"(-8612.35198, 148786.74791)","(-8600.15078, 148787.06111)"
"(-8612.35198, 148786.74791)","(-8621.32138, 148781.19531)"
"(-8493.33398, 151325.39681)","(-8502.83278, 151311.33851)"
"(-8493.33398, 151325.39681)","(-8459.47408, 151347.75711)"
"(-8872.27718, 150328.77161)","(-8814.30988, 150409.57201)"
"(-8872.27718, 150328.77161)","(-8917.87668, 150236.04051)"
"(-8845.38338, 150967.01101)","(-8843.93108, 150968.45401)"
"(-8845.38338, 150967.01101)","(-8851.97148, 150960.42281)"
"(-10289.87348, 150228.08091)","(-10262.31898, 150158.54881)"
"(-10289.87348, 150228.08091)","(-10284.58178, 150235.48921)"
"(-10289.87348, 150228.08091)","(-10299.96506, 150230.19274)"
"(-8215.52098, 151800.37771)","(-8232.98348, 151801.17151)"
"(-8215.52098, 151800.37771)","(-8220.28348, 151778.15271)"
"(-8215.52098, 151800.37771)","(-8217.96638, 151807.53891)"
"(-8514.76528, 153208.96931)","(-8498.09648, 153197.85681)"
"(-8514.76528, 153208.96931)","(-8531.43408, 153212.54121)"
"(-9505.45178, 149620.20071)","(-9514.89518, 149628.27571)"
"(-9505.45178, 149620.20071)","(-9476.48438, 149595.43021)"
"(-8646.94848, 148765.51401)","(-8623.83408, 148779.63971)"
"(-8646.94848, 148765.51401)","(-8651.26568, 148764.49821)"
"(-8374.38528, 151008.53531)","(-8382.11028, 150994.83781)"
"(-8374.38528, 151008.53531)","(-8398.43718, 151065.95561)"
"(-8770.08238, 151385.68931)","(-8795.21788, 151346.00171)"
"(-9930.49008, 150259.04581)","(-9981.54038, 150198.42031)"
"(-9930.49008, 150259.04581)","(-9874.10408, 150229.04401)"
"(-9930.49008, 150259.04581)","(-9993.04548, 150269.79891)"
"(-9930.49008, 150259.04581)","(-9859.28658, 150296.03861)"
"(-8655.00718, 151671.37111)","(-8656.83658, 151643.59501)"
"(-8655.00718, 151671.37111)","(-8632.51758, 151734.87121)"
"(-8523.24518, 149716.07861)","(-8541.76608, 149753.64961)"
"(-8523.24518, 149716.07861)","(-8507.89938, 149679.03691)"
"(-8619.88028, 147984.11321)","(-8538.61208, 148054.65071)"
"(-8619.88028, 147984.11321)","(-8702.89838, 147929.52861)"
"(-10181.37648, 149083.43811)","(-10229.00158, 149117.56951)"
"(-10181.37648, 149083.43811)","(-10175.82018, 149051.68811)"
"(-8981.16848, 150846.88571)","(-8927.96458, 150890.20271)"
"(-8981.16848, 150846.88571)","(-9073.92198, 150794.15141)"
"(-9335.32348, 147564.66431)","(-9335.35718, 147563.82841)"
"(-9335.32348, 147564.66431)","(-9355.63308, 147508.87741)"
"(-8301.24618, 152585.63621)","(-8299.65858, 152626.91131)"
"(-8301.24618, 152585.63621)","(-8302.03988, 152522.13601)"
"(-8273.46488, 152407.99461)","(-8274.25858, 152450.06341)"
"(-8273.46488, 152407.99461)","(-8271.87728, 152365.92571)"
"(-8895.93568, 150942.41601)","(-8884.54798, 150949.39931)"
"(-8895.93568, 150942.41601)","(-8919.39158, 150928.03191)"
"(-10708.26868, 148142.16581)","(-10743.25498, 148070.39561)"
"(-10708.26868, 148142.16581)","(-10711.75118, 148144.70891)"
"(-8408.84128, 150947.24171)","(-8408.07588, 150884.46851)"
"(-8408.84128, 150947.24171)","(-8408.84128, 150947.45331)"
"(-8914.52708, 152975.35591)","(-8944.28388, 153014.06101)"
"(-8914.52708, 152975.35591)","(-8926.70428, 152911.00621)"
"(-10684.43908, 148020.36461)","(-10693.28848, 147963.73771)"
"(-10684.43908, 148020.36461)","(-10743.25498, 148070.39561)"
"(-9137.12338, 148540.26861)","(-9139.31128, 148472.88621)"
"(-9137.12338, 148540.26861)","(-9052.19808, 148516.23411)"
"(-9137.12338, 148540.26861)","(-9223.28058, 148508.37481)"
"(-9137.12338, 148540.26861)","(-9189.24138, 148591.30961)"
"(-8235.36468, 152833.68351)","(-8236.95228, 152813.83971)"
"(-8235.36468, 152833.68351)","(-8237.02318, 152857.68661)"
"(-11045.48808, 150253.32371)","(-11000.87218, 150284.55191)"
"(-11045.48808, 150253.32371)","(-11097.10698, 150235.71061)"
"(-10784.67768, 149056.03241)","(-10807.41728, 148982.75221)"
"(-10784.67768, 149056.03241)","(-10785.33388, 149058.03671)"
"(-9769.00308, 149882.78441)","(-9788.17138, 149835.90851)"
"(-9769.00308, 149882.78441)","(-9771.65944, 149896.3741)"
"(-9769.00308, 149882.78441)","(-9753.58756, 149871.53507)"
"(-9634.65108, 150170.45271)","(-9662.31098, 150110.95251)"
"(-9325.80358, 147966.33381)","(-9348.19528, 148034.49121)"
"(-9325.80358, 147966.33381)","(-9263.08578, 147940.48821)"
"(-8248.36388, 152149.07701)","(-8247.27098, 152146.13591)"
"(-8248.36388, 152149.07701)","(-8256.32908, 152170.51261)"
"(-9446.96938, 152816.22071)","(-9487.09748, 152779.39211)"
"(-9446.96938, 152816.22071)","(-9498.24418, 152833.68401)"
"(-8903.29348, 149971.71961)","(-8882.65588, 149998.70711)"
"(-8903.29348, 149971.71961)","(-8903.29348, 149949.49451)"
"(-9205.03438, 148367.03321)","(-9178.03338, 148316.74301)"
"(-9205.03438, 148367.03321)","(-9214.34918, 148414.11071)"
"(-10103.69388, 149495.95001)","(-10151.16338, 149469.05131)"
"(-10103.69388, 149495.95001)","(-10075.05398, 149548.58351)"
"(-10682.58678, 147682.68901)","(-10673.55978, 147746.81541)"
"(-10682.58678, 147682.68901)","(-10737.26558, 147661.30971)"
