x,y,is_exit,is_source,stands
-9825.82548,146654.12811,False,False,[1117]
-10480.84648,150676.07601,False,False,[1209]
-8621.36058,149352.24881,False,False,[1575]
-8304.42188,152146.10471,False,False,"[1585, 819, 903]"
-8796.06058,150461.22581,False,False,"[980, 1606]"
-8830.21138,149262.40401,False,False,"[1042, 1263]"
-9706.80918,148641.37611,False,False,"[1049, 1046]"
-8223.82108,151824.87981,False,False,"[1577, 903]"
-9620.52358,148037.26381,False,False,"[1056, 812, 1053]"
-8925.74058,149449.83261,False,False,"[1263, 807]"
-8603.76998,151035.39341,False,False,"[978, 1573]"
-10495.87318,147715.85771,False,False,[812]
-8947.47258,148172.98421,False,False,"[1052, 1054, 1055]"
-8443.33318,150739.70861,False,False,[1576]
-8827.28188,148656.46881,False,False,"[1045, 1574]"
-8835.49058,148062.50641,False,False,"[1054, 1055]"
-9814.03458,148574.01041,False,False,"[1049, 1210]"
-10005.39248,150730.18941,False,False,[979]
-10628.45128,147229.18581,False,False,[1257]
-8958.06678,149291.91461,False,False,"[1042, 807]"
-8572.05778,149116.40251,False,False,"[1042, 1575]"
-9431.03318,149459.76441,False,False,"[1296, 807]"
-9584.58478,150211.06351,False,False,"[1274, 980]"
-8256.79598,151579.39731,False,False,"[816, 1568, 1576]"
-10479.26608,148736.35071,False,False,[1210]
-8830.17258,150975.57221,False,False,"[978, 1573]"
-9693.05128,147388.84441,False,False,"[1432, 1117]"
-8449.41608,150770.65051,False,False,[1576]
-8827.51668,149885.30651,False,False,"[1567, 807]"
-9462.92498,148695.29851,False,False,"[1048, 1046]"
-8927.37538,153383.43601,False,False,[1214]
-8493.33398,151325.39681,False,False,"[816, 1576]"
-9880.22808,147484.39361,False,False,"[1432, 1257]"
-8612.35198,148786.74791,False,False,[1574]
-8872.27718,150328.77161,False,False,[980]
-10289.87348,150228.08091,False,False,"[1276, 1207]"
-8845.38338,150967.01101,False,False,"[978, 1573]"
-8514.76528,153208.96931,False,False,"[1570, 1214]"
-8215.52098,151800.37771,False,False,"[1568, 1577]"
-9505.45178,149620.20071,False,False,"[1296, 807]"
-8374.38528,151008.53531,False,False,[983]
-8646.94848,148765.51401,False,False,[1574]
-9930.49008,150259.04581,False,False,"[1208, 1546, 1276, 1277]"
-8655.00718,151671.37111,False,False,[819]
-8523.24518,149716.07861,False,False,[1567]
-8619.88028,147984.11321,False,False,[1055]
-8981.16848,150846.88571,False,False,[1573]
-9335.32348,147564.66431,False,False,[1431]
-8301.24618,152585.63621,False,False,"[1585, 1570]"
-8273.46488,152407.99461,False,False,[1570]
-8895.93568,150942.41601,False,False,"[978, 1573]"
-8408.84128,150947.24171,False,False,[983]
-8914.52708,152975.35591,False,False,[1214]
-9137.12338,148540.26861,False,False,"[1048, 1050, 1275, 1052]"
-8235.36468,152833.68351,False,False,"[1570, 1543]"
-11045.48808,150253.32371,False,False,[1207]
-9769.00308,149882.78441,False,False,"[1208, 1273, 1274]"
-9634.65108,150170.45271,False,False,"[1274, 980]"
-9325.80358,147966.33381,False,False,"[1056, 1054]"
-8248.36388,152149.07701,False,False,"[1585, 1570, 903]"
-8903.29348,149971.71961,False,False,"[1567, 807]"
-9205.03438,148367.03321,False,False,"[1050, 1052]"
-10682.58678,147682.68901,True,False,[812]
-9454.94378,150761.92801,False,False,"[978, 979]"
-9625.22098,149460.87441,False,False,[1296]
-8972.80488,148734.98931,False,False,"[1275, 1045]"
-10072.94778,150882.96341,False,False,[1209]
-8274.25858,152450.06341,False,False,[1570]
-8566.08538,148156.73271,False,False,[1574]
-10071.82848,148261.22821,False,False,[812]
-9203.84008,148208.17941,False,False,"[1050, 1051]"
-10259.69108,150737.31001,False,False,[1209]
-9673.27558,150751.67571,False,False,"[978, 979]"
-10186.43228,150937.66331,False,False,[1209]
-9537.62988,150239.40691,False,False,[980]
-8287.41228,152362.21841,False,False,"[1585, 1570]"
-9931.81178,146687.46081,False,False,[1117]
-8491.21118,152859.63891,False,False,[1543]
-9687.78868,147659.46801,False,False,"[1056, 1257]"
-8868.26258,149907.00241,False,False,"[1567, 807]"
-9962.85548,148424.73181,False,False,"[1210, 812]"
-8272.67108,152633.26131,False,False,[1570]
-10225.27318,150815.69021,True,False,[1209]
-9029.13578,152679.08661,False,False,[1542]
-8442.97038,148791.14311,False,False,[1574]
-8684.68075,153202.36468,False,False,"[1570, 1214]"
-9402.26328,149835.02131,False,False,"[982, 807]"
-9853.08178,148880.30811,False,False,"[1210, 1211]"
-9873.17198,148587.39591,False,False,"[1049, 1210]"
-8509.82828,152971.15301,False,False,"[1214, 1543]"
-8621.32138,148781.19531,False,False,[1574]
