"Node1(x,y)","Node2(x,y)"
"(-9825.82548, 146654.12811)","(-9773.98538, 146714.65251)"
"(-9825.82548, 146654.12811)","(-9976.58998, 146666.29741)"
"(-9825.82548, 146654.12811)","(-9353.85428, 146563.86791)"
"(-8304.42188, 152146.10471)","(-8248.36388, 152149.07701)"
"(-8304.42188, 152146.10471)","(-8483.41108, 152191.69191)"
"(-8304.42188, 152146.10471)","(-8485.98448, 151832.05861)"
"(-8796.06058, 150461.22581)","(-8660.09166, 150546.68364)"
"(-8796.06058, 150461.22581)","(-8928.27318, 150192.01831)"
"(-8796.06058, 150461.22581)","(-9415.2196, 150279.71656)"
"(-9620.52358, 148037.26381)","(-9404.45688, 148053.66941)"
"(-9620.52358, 148037.26381)","(-9801.10198, 148388.50241)"
"(-9620.52358, 148037.26381)","(-9737.58338, 147773.25181)"
"(-8947.47258, 148172.98421)","(-9095.93818, 148163.72171)"
"(-8947.47258, 148172.98421)","(-8702.89838, 147929.52861)"
"(-8947.47258, 148172.98421)","(-8695.40188, 148292.43521)"
"(-11022.28918, 148344.65331)","(-10984.31908, 148319.69011)"
"(-11022.28918, 148344.65331)","(-10979.90808, 148514.67611)"
"(-10628.45128, 147229.18581)","(-10593.2623, 147235.79528)"
"(-10628.45128, 147229.18581)","(-10678.3357, 147336.55274)"
"(-10628.45128, 147229.18581)","(-10584.22661, 147096.76554)"
"(-9584.58478, 150211.06351)","(-9616.84428, 150346.57021)"
"(-9584.58478, 150211.06351)","(-9555.91718, 150021.23041)"
"(-9584.58478, 150211.06351)","(-9415.2196, 150279.71656)"
"(-8256.79598, 151579.39731)","(-8236.95228, 151582.57231)"
"(-8256.79598, 151579.39731)","(-8257.25178, 151633.83521)"
"(-8256.79598, 151579.39731)","(-8541.53788, 151163.40521)"
"(-10479.26608, 148736.35071)","(-10539.29848, 148693.46491)"
"(-10479.26608, 148736.35071)","(-10554.96288, 148809.15251)"
"(-10479.26608, 148736.35071)","(-10067.64118, 148962.60741)"
"(-10289.87348, 150228.08091)","(-10262.31898, 150158.54881)"
"(-10289.87348, 150228.08091)","(-10299.96506, 150230.19274)"
"(-10289.87348, 150228.08091)","(-10212.42188, 150389.66871)"
"(-8215.52098, 151800.37771)","(-8232.98348, 151801.17151)"
"(-8215.52098, 151800.37771)","(-8236.95228, 151582.57231)"
"(-8215.52098, 151800.37771)","(-8225.83968, 152085.49331)"
"(-9930.49008, 150259.04581)","(-9783.36978, 150083.96631)"
"(-9930.49008, 150259.04581)","(-10262.31898, 150158.54881)"
"(-9930.49008, 150259.04581)","(-10308.00978, 150027.72871)"
"(-9930.49008, 150259.04581)","(-9897.69168, 150484.64831)"
"(-9137.12338, 148540.26861)","(-9267.94948, 148614.27461)"
"(-9137.12338, 148540.26861)","(-8815.64888, 148572.11251)"
"(-9137.12338, 148540.26861)","(-9426.05538, 148523.91821)"
"(-9137.12338, 148540.26861)","(-9095.93818, 148163.72171)"
"(-9769.00308, 149882.78441)","(-9771.65944, 149896.3741)"
"(-9769.00308, 149882.78441)","(-9753.58756, 149871.53507)"
"(-9769.00308, 149882.78441)","(-9976.24618, 149694.22161)"
"(-8248.36388, 152149.07701)","(-8238.53978, 152081.52451)"
"(-8248.36388, 152149.07701)","(-8273.27881, 152718.32373)"
"(-10682.58678, 147682.68901)","(-10737.26558, 147661.30971)"
"(-10682.58678, 147682.68901)","(-10663.97295, 147675.91237)"
"(-10682.58678, 147682.68901)","(-10493.83028, 147958.00721)"
"(-9559.28811, 151039.28307)","(-9566.42637, 150982.75877)"
"(-9559.28811, 151039.28307)","(-10017.11358, 151027.77671)"
"(-9559.28811, 151039.28307)","(-9370.84798, 151072.67401)"
"(-10225.27318, 150815.69021)","(-10228.14938, 150821.44261)"
"(-10225.27318, 150815.69021)","(-10218.71664, 150830.76025)"
"(-8684.68075, 153202.36468)","(-8703.67818, 153204.60371)"
"(-8684.68075, 153202.36468)","(-8323.28988, 153083.83651)"
"(-8684.68075, 153202.36468)","(-8922.91238, 153401.61281)"
"(-10074.46358, 147482.53131)","(-10108.32618, 147159.38581)"
"(-10074.46358, 147482.53131)","(-9811.39208, 147594.29381)"
"(-10074.46358, 147482.53131)","(-10370.37518, 147245.84701)"
"(-10979.90808, 148514.67611)","(-10810.04518, 148739.02791)"
"(-10979.90808, 148514.67611)","(-10502.55748, 148422.87531)"
"(-9696.70618, 149333.69741)","(-9648.04658, 149350.06601)"
"(-9696.70618, 149333.69741)","(-9799.49707, 149327.06965)"
"(-9696.70618, 149333.69741)","(-9840.89568, 149535.23461)"
"(-8498.51988, 151132.63021)","(-8383.39678, 150754.94041)"
"(-8498.51988, 151132.63021)","(-8541.53788, 151163.40521)"
"(-8498.51988, 151132.63021)","(-8380.10708, 150754.94041)"
"(-10125.80428, 147679.20021)","(-10303.39178, 147781.97041)"
"(-10125.80428, 147679.20021)","(-10101.66153, 147618.79577)"
