"Node1(x,y)","Node2(x,y)"
"(-9825.82548, 146654.12811)","(-9773.98538, 146714.65251)"
"(-9825.82548, 146654.12811)","(-9976.58998, 146666.29741)"
"(-9825.82548, 146654.12811)","(-9353.85428, 146563.86791)"
"(-9825.82548, 146654.12811)","(-9516.66801, 146705.70277)"
"(-9825.82548, 146654.12811)","(-9661.65701, 146389.74345)"
"(-9825.82548, 146654.12811)","(-9867.65706, 147057.93473)"
"(-8304.42188, 152146.10471)","(-8248.36388, 152149.07701)"
"(-8304.42188, 152146.10471)","(-8483.41108, 152191.69191)"
"(-8304.42188, 152146.10471)","(-8485.98448, 151832.05861)"
"(-8304.42188, 152146.10471)","(-8525.44954, 151951.95126)"
"(-8304.42188, 152146.10471)","(-8322.38385, 151946.31322)"
"(-8304.42188, 152146.10471)","(-8368.12405, 152387.73976)"
"(-8796.06058, 150461.22581)","(-8660.09166, 150546.68364)"
"(-8796.06058, 150461.22581)","(-8928.27318, 150192.01831)"
"(-8796.06058, 150461.22581)","(-9415.2196, 150279.71656)"
"(-8796.06058, 150461.22581)","(-9205.61003, 150261.34757)"
"(-8796.06058, 150461.22581)","(-9120.4257, 150476.53661)"
"(-9620.52358, 148037.26381)","(-9404.45688, 148053.66941)"
"(-9620.52358, 148037.26381)","(-9801.10198, 148388.50241)"
"(-9620.52358, 148037.26381)","(-9737.58338, 147773.25181)"
"(-9620.52358, 148037.26381)","(-10067.24305, 148028.80374)"
"(-9620.52358, 148037.26381)","(-9566.58245, 147840.83851)"
"(-9620.52358, 148037.26381)","(-9623.52531, 148188.20977)"
"(-8947.47258, 148172.98421)","(-9095.93818, 148163.72171)"
"(-8947.47258, 148172.98421)","(-8702.89838, 147929.52861)"
"(-8947.47258, 148172.98421)","(-8695.40188, 148292.43521)"
"(-8947.47258, 148172.98421)","(-9061.65446, 148023.46263)"
"(-8947.47258, 148172.98421)","(-8729.88683, 148121.06548)"
"(-8947.47258, 148172.98421)","(-8959.02451, 148361.81525)"
"(-11022.28918, 148344.65331)","(-10984.31908, 148319.69011)"
"(-11022.28918, 148344.65331)","(-10979.90808, 148514.67611)"
"(-11022.28918, 148344.65331)","(-10629.23877, 148284.67724)"
"(-10628.45128, 147229.18581)","(-10593.2623, 147235.79528)"
"(-10628.45128, 147229.18581)","(-10678.3357, 147336.55274)"
"(-10628.45128, 147229.18581)","(-10584.22661, 147096.76554)"
"(-10628.45128, 147229.18581)","(-10315.43037, 147079.77801)"
"(-10628.45128, 147229.18581)","(-10271.11205, 147549.61274)"
"(-9584.58478, 150211.06351)","(-9616.84428, 150346.57021)"
"(-9584.58478, 150211.06351)","(-9555.91718, 150021.23041)"
"(-9584.58478, 150211.06351)","(-9415.2196, 150279.71656)"
"(-9584.58478, 150211.06351)","(-9659.64489, 149999.23651)"
"(-9584.58478, 150211.06351)","(-9205.61003, 150261.34757)"
"(-8256.79598, 151579.39731)","(-8236.95228, 151582.57231)"
"(-8256.79598, 151579.39731)","(-8257.25178, 151633.83521)"
"(-8256.79598, 151579.39731)","(-8541.53788, 151163.40521)"
"(-8256.79598, 151579.39731)","(-8398.94245, 151094.20055)"
"(-8256.79598, 151579.39731)","(-8493.83889, 151417.96431)"
"(-8256.79598, 151579.39731)","(-8245.87627, 151692.79859)"
"(-10479.26608, 148736.35071)","(-10539.29848, 148693.46491)"
"(-10479.26608, 148736.35071)","(-10554.96288, 148809.15251)"
"(-10479.26608, 148736.35071)","(-10067.64118, 148962.60741)"
"(-10479.26608, 148736.35071)","(-10082.58048, 148642.27232)"
"(-10479.26608, 148736.35071)","(-10787.56976, 148770.65187)"
"(-10479.26608, 148736.35071)","(-10343.70484, 148954.31332)"
"(-10289.87348, 150228.08091)","(-10262.31898, 150158.54881)"
"(-10289.87348, 150228.08091)","(-10299.96506, 150230.19274)"
"(-10289.87348, 150228.08091)","(-10212.42188, 150389.66871)"
"(-10289.87348, 150228.08091)","(-10624.90433, 150233.62028)"
"(-10289.87348, 150228.08091)","(-10027.86364, 150363.3928)"
"(-8215.52098, 151800.37771)","(-8232.98348, 151801.17151)"
"(-8215.52098, 151800.37771)","(-8236.95228, 151582.57231)"
"(-8215.52098, 151800.37771)","(-8225.83968, 152085.49331)"
"(-8215.52098, 151800.37771)","(-8245.87627, 151692.79859)"
"(-8215.52098, 151800.37771)","(-8214.04646, 151962.82384)"
"(-9930.49008, 150259.04581)","(-9783.36978, 150083.96631)"
"(-9930.49008, 150259.04581)","(-10262.31898, 150158.54881)"
"(-9930.49008, 150259.04581)","(-10308.00978, 150027.72871)"
"(-9930.49008, 150259.04581)","(-9897.69168, 150484.64831)"
"(-9930.49008, 150259.04581)","(-10030.8537, 149930.39017)"
"(-9930.49008, 150259.04581)","(-10123.71377, 150155.0526)"
"(-9930.49008, 150259.04581)","(-9757.85286, 150315.83682)"
"(-9930.49008, 150259.04581)","(-10027.86364, 150363.3928)"
