x,y,is_exit,is_source,stands
-8304.42188,152146.10471,False,False,"[1585, 819, 903]"
-8796.06058,150461.22581,False,False,"[980, 1606]"
-9620.52358,148037.26381,False,False,"[1056, 812, 1053]"
-8947.47258,148172.98421,False,False,"[1052, 1054, 1055]"
-9584.58478,150211.06351,False,False,"[1274, 980]"
-8256.79598,151579.39731,False,False,"[816, 1568, 1576]"
-10289.87348,150228.08091,False,False,"[1276, 1207]"
-8215.52098,151800.37771,False,False,"[1568, 1577]"
-9930.49008,150259.04581,False,False,"[1208, 1546, 1276, 1277]"
-9137.12338,148540.26861,False,False,"[1048, 1050, 1275, 1052]"
-9769.00308,149882.78441,False,False,"[1208, 1273, 1274]"
-8248.36388,152149.07701,False,False,"[1585, 1570, 903]"
-8684.68075,153202.36468,False,False,"[1570, 1214]"
-10074.46358,147482.53131,True,False,"[1432, 1257]"
-9696.70618,149333.69741,False,False,"[1296, 1295]"
-8498.51988,151132.63021,False,False,"[1576, 983]"
-10125.80428,147679.20021,True,False,[1257]
-9061.56738,152918.58721,False,False,"[1214, 1542]"
-9444.16318,149547.89841,False,False,"[1296, 807]"
-8815.64888,148572.11251,False,False,"[1275, 1052, 1574]"
-9655.49558,148893.24831,False,False,"[1376, 1044, 1046]"
-8870.39095,150026.99275,False,False,"[1567, 807]"
-8232.98348,151801.17151,False,False,"[1568, 1577, 903]"
-9956.90198,149155.55691,False,False,"[1211, 1295]"
-9267.94948,148614.27461,False,False,"[1048, 1275, 1046]"
-9840.89568,149535.23461,True,False,"[1296, 1273]"
-8603.45698,151442.41251,False,False,"[816, 1386]"
-8642.06068,151484.51241,True,False,[1386]
-9055.75438,148780.37381,False,False,"[1275, 1046, 1047]"
-9783.36978,150083.96631,False,False,"[1208, 1274, 1546]"
-8519.65118,152562.65291,False,False,"[1585, 1543]"
-10703.25028,147363.33281,True,False,[1257]
-8829.41218,148652.51591,False,False,"[1275, 1045, 1574]"
-9442.14598,148100.01401,False,False,"[1051, 1053, 1054]"
-8649.81268,149314.52691,False,False,"[1042, 1575, 1263]"
-8273.27881,152718.32373,False,False,"[1585, 1570, 1543]"
-8492.29368,151657.84631,False,False,"[904, 1386, 819]"
-9616.60468,149684.09891,False,False,"[1296, 1273, 1274, 807]"
-10614.80738,147658.01291,True,False,"[1257, 812]"
-9477.72508,149399.16551,False,False,"[1296, 807]"
-9497.48688,150056.93541,False,False,"[980, 982, 807]"
-10262.31898,150158.54881,False,False,"[1276, 1277, 1207]"
-10109.42898,147891.14591,True,False,"[1257, 812]"
-8630.82078,149817.67201,False,False,"[1263, 1567, 807]"
-9076.81488,150631.01111,False,False,"[978, 1573, 1606]"
-9648.04658,149350.06601,False,False,"[1296, 1295]"
-10068.12958,150545.78041,False,False,"[1209, 979, 1276]"
-8506.29148,149634.21001,False,False,"[1575, 1567]"
-8928.27318,150192.01831,False,False,"[980, 981]"
-8516.36608,149632.99931,False,False,"[1567, 1575, 1263]"
-9095.93818,148163.72171,False,False,"[1050, 1052, 1054]"
-8227.42728,152874.87931,True,False,"[1570, 1543]"
-9851.55108,148828.14211,False,False,"[1376, 1210, 1211]"
-8420.26968,148839.38131,False,False,"[1574, 1575]"
-8485.98448,151832.05861,False,False,"[1385, 819, 903]"
-8541.53788,151163.40521,False,False,"[816, 1576]"
-9404.45688,148053.66941,False,False,"[1056, 1053, 1054]"
-9332.35058,149156.13771,False,False,"[1043, 1044, 1047]"
-10052.42778,148364.57841,False,False,"[1210, 812]"
-8266.07438,152972.15161,False,False,"[1570, 1214, 1543]"
-9624.70188,148688.48941,False,False,"[1048, 1049, 1046]"
-8505.83568,150917.68631,False,False,"[1576, 1573]"
-9069.39828,150629.90041,False,False,"[1573, 1606, 1567]"
-8476.73138,150932.23841,False,False,"[1576, 1573]"
-9893.66848,150764.86241,False,False,"[978, 979]"
-8428.40288,148832.63961,False,False,"[1042, 1574, 1575]"
-9737.58338,147773.25181,False,False,"[1056, 1257, 812]"
-9628.96578,150591.86421,False,False,"[978, 979]"
-10303.39178,147781.97041,False,False,"[1257, 812]"
-8537.58818,151017.94901,False,False,"[978, 1573]"
-8663.09928,148954.39341,False,False,"[1042, 1045, 1047]"
-8562.05388,152884.52621,False,False,"[1541, 1214, 1543]"
-9250.26218,150098.02081,False,False,"[980, 981, 982]"
-9801.10198,148388.50241,False,False,"[1051, 812, 1053]"
-9811.39208,147594.29381,False,False,"[1056, 1257, 1432]"
-8876.46568,150032.73221,False,False,"[981, 807]"
-10212.42188,150389.66871,False,False,"[1209, 1276]"
-9724.23318,148977.57961,False,False,"[1376, 1043, 1044]"
-8483.41108,152191.69191,False,False,"[1585, 819]"
-8323.28988,153083.83651,True,False,"[1570, 1214]"
-9934.28428,148797.83501,False,False,"[1376, 1049, 1210]"
-8660.09166,150546.68364,False,False,"[1606, 1567]"
-9616.84428,150346.57021,False,False,"[1274, 1546]"
-8236.95228,151582.57231,False,False,"[1568, 1576]"
-9401.60948,149475.98931,False,False,[807]
-9897.69168,150484.64831,False,False,"[1546, 979, 1276]"
-8967.89568,152834.08861,True,False,[1542]
-8913.6107,149316.84025,False,False,"[1042, 1263, 807]"
-9555.91718,150021.23041,False,False,"[1274, 980, 807]"
-9355.83098,148869.48711,False,False,"[1044, 1046, 1047]"
-9829.14738,148672.75791,False,False,"[1376, 1049, 1046]"
-8695.40188,148292.43521,False,False,"[1052, 1574, 1055]"
-9161.00848,148181.51851,False,False,"[1050, 1051, 1054]"
-9641.59908,147317.14741,False,False,"[1117, 1431]"
-8961.63542,149290.1978,False,False,"[1042, 1047, 807]"
-8257.25178,151633.83521,False,False,"[816, 1568, 904]"
-8380.10708,150754.94041,False,False,"[1576, 983]"
-9544.14028,149227.88431,False,False,"[1043, 1295, 807]"
-9593.88298,148433.50071,False,False,"[1049, 1050, 1051]"
-9087.16518,149863.16341,False,False,"[981, 982, 807]"
-8383.39678,150754.94041,False,False,"[1576, 983]"
-9844.34562,150536.15574,False,False,"[1546, 979]"
-8368.20178,151792.32101,False,False,"[904, 1385, 903]"
-8870.40298,152853.96231,False,False,"[1541, 1214, 1542]"
-10308.00978,150027.72871,True,False,"[1208, 1277, 1207]"
-8225.83968,152085.49331,False,False,"[1577, 1570]"
-8968.46528,152869.15571,True,False,"[1214, 1542]"
-8475.80968,151789.95321,False,False,"[904, 1385, 819]"
-9176.27018,149207.79901,False,False,"[1043, 1047, 807]"
-9415.2196,150279.71656,False,False,"[980, 1606]"
-9215.07328,147944.18051,False,False,"[1056, 1054]"
-8545.28478,148132.46591,False,False,"[1574, 1055]"
-10538.85278,147698.32011,False,False,"[1257, 812]"
-8238.53978,152081.52451,False,False,"[1577, 1570, 903]"
-9688.82758,147359.73901,False,False,"[1432, 1117, 1431]"
-9976.24618,149694.22161,False,False,"[1208, 1273]"
-9472.98618,150472.18171,False,False,"[978, 1606]"
-9265.53118,147888.80471,False,False,"[1056, 1431]"
-10055.79168,150750.85151,True,False,"[1209, 979]"
-9738.80558,148537.42421,False,False,"[1049, 1210, 1051]"
-9426.05538,148523.91821,False,False,"[1048, 1049, 1050]"
-9789.53378,148484.73641,False,False,"[1210, 1051, 812]"
-10067.64118,148962.60741,False,False,"[1210, 1211]"
-8527.00488,148818.23501,False,False,"[1042, 1045, 1574]"
-10652.40158,150433.19211,False,False,"[1209, 1207]"
-10427.97478,150424.28671,True,False,"[1209, 1207]"
-8648.87098,152906.36191,False,False,"[1541, 1214]"
-8256.85768,151748.90831,False,False,"[904, 1568, 903]"
-10016.58438,146871.00761,False,False,"[1432, 1117]"
-8425.37128,151634.02671,False,False,"[816, 1386, 904]"
-9514.41648,147613.78181,False,False,"[1056, 1432, 1431]"
-9744.03568,148959.42181,False,False,"[1043, 1211, 1376]"
-8953.48438,148779.78151,False,False,"[1275, 1045, 1047]"
-9540.77418,150634.58821,True,False,"[978, 979]"
-9560.85348,149342.68431,False,False,"[1295, 807]"
-9430.59708,149471.41691,False,False,"[1296, 807]"
-8616.08548,151635.50621,False,False,"[1386, 819]"
-9063.63128,150672.60231,False,False,"[1573, 1567]"
-9768.74118,149033.78711,False,False,"[1043, 1211, 1295]"
-9701.53288,147269.92461,True,False,[1117]
-10473.89818,150536.91411,True,False,[1209]
-8702.89838,147929.52861,False,False,"[1054, 1055]"
-11001.19172,150193.41213,True,False,[1207]
-10836.19272,150318.3575,True,False,[1207]
-10299.96506,150230.19274,True,False,[1207]
-10000.61717,149694.17443,True,False,[1208]
-10269.17415,149957.4208,True,False,[1208]
-10007.94106,151006.20067,True,False,[1209]
-9837.32306,148579.28166,True,False,[1210]
-9824.62006,148522.68223,True,False,[1210]
-9834.20877,148845.28085,True,False,[1211]
-9938.65227,149154.81321,True,False,[1211]
-9850.83509,149543.57647,True,False,[1273]
-10057.25076,148338.88572,True,False,[812]
-10548.32915,147694.4533,True,False,[812]
-10663.97295,147675.91237,True,False,[812]
-8482.80244,151586.28098,True,False,[816]
-8387.72104,151633.98382,True,False,[816]
-9766.59483,147443.89262,True,False,[1117]
-9074.43949,150925.34608,True,False,[978]
-9473.53342,150764.74667,True,False,[978]
-9561.625,150968.1339,True,False,[978]
-9875.59603,150505.94866,True,False,[979]
-9886.92727,148759.42132,True,False,[1049]
-8956.91756,153296.52738,True,False,[1214]
