"Source(x,y)","Target(x,y)"
"(-8248.36388, 152149.07701)","(-8304.42188, 152146.10471)"
"(-8483.41108, 152191.69191)","(-8304.42188, 152146.10471)"
"(-8485.98448, 151832.05861)","(-8304.42188, 152146.10471)"
"(-8525.44954, 151951.95126)","(-8304.42188, 152146.10471)"
"(-8322.38385, 151946.31322)","(-8304.42188, 152146.10471)"
"(-8368.12405, 152387.73976)","(-8304.42188, 152146.10471)"
"(-8660.09166, 150546.68364)","(-8796.06058, 150461.22581)"
"(-8928.27318, 150192.01831)","(-8796.06058, 150461.22581)"
"(-9415.2196, 150279.71656)","(-8796.06058, 150461.22581)"
"(-9205.61003, 150261.34757)","(-8796.06058, 150461.22581)"
"(-9120.4257, 150476.53661)","(-8796.06058, 150461.22581)"
"(-9404.45688, 148053.66941)","(-9620.52358, 148037.26381)"
"(-9801.10198, 148388.50241)","(-9620.52358, 148037.26381)"
"(-9737.58338, 147773.25181)","(-9620.52358, 148037.26381)"
"(-9623.52531, 148188.20977)","(-9620.52358, 148037.26381)"
"(-9566.58245, 147840.83851)","(-9620.52358, 148037.26381)"
"(-9095.93818, 148163.72171)","(-8947.47258, 148172.98421)"
"(-8702.89838, 147929.52861)","(-8947.47258, 148172.98421)"
"(-8695.40188, 148292.43521)","(-8947.47258, 148172.98421)"
"(-8959.02451, 148361.81525)","(-8947.47258, 148172.98421)"
"(-9061.65446, 148023.46264)","(-8947.47258, 148172.98421)"
"(-8729.88683, 148121.06548)","(-8947.47258, 148172.98421)"
"(-9616.84428, 150346.57021)","(-9584.58478, 150211.06351)"
"(-9555.91718, 150021.23041)","(-9584.58478, 150211.06351)"
"(-9415.2196, 150279.71656)","(-9584.58478, 150211.06351)"
"(-9659.64489, 149999.23651)","(-9584.58478, 150211.06351)"
"(-9205.61003, 150261.34757)","(-9584.58478, 150211.06351)"
"(-8257.25178, 151633.83521)","(-8256.79598, 151579.39731)"
"(-8236.95228, 151582.57231)","(-8256.79598, 151579.39731)"
"(-8541.53788, 151163.40521)","(-8256.79598, 151579.39731)"
"(-8245.87627, 151692.79859)","(-8256.79598, 151579.39731)"
"(-8398.94245, 151094.20055)","(-8256.79598, 151579.39731)"
"(-10262.31898, 150158.54881)","(-10289.87348, 150228.08091)"
"(-10299.96506, 150230.19274)","(-10289.87348, 150228.08091)"
"(-10212.42188, 150389.66871)","(-10289.87348, 150228.08091)"
