ID_UG;nodes
1120;(-9825.82548, 146654.12811),(-9773.98538, 146714.65251),(-9353.85428, 146563.86791),(-9516.66801, 146705.70277)
1121;(-9825.82548, 146654.12811),(-9976.58998, 146666.29741),(-9353.85428, 146563.86791),(-9932.81588, 146541.95831),(-9661.65701, 146389.74345)
1117;(-9825.82548, 146654.12811),(-10005.56618, 146772.18441),(-9773.98538, 146714.65251),(-9641.59908, 147317.14741),(-9976.58998, 146666.29741),(-9688.82758, 147359.73901),(-10016.58438, 146871.00761),(-9701.53288, 147269.92461),(-9766.59483, 147443.89262),(-9867.65706, 147057.93473)
1585;(-8304.42188, 152146.10471),(-8248.36388, 152149.07701),(-8519.65118, 152562.65291),(-8273.27881, 152718.32373),(-8483.41108, 152191.69191),(-8368.12405, 152387.73976)
819;(-8304.42188, 152146.10471),(-8492.29368, 151657.84631),(-8485.98448, 151832.05861),(-8483.41108, 152191.69191),(-8475.80968, 151789.95321),(-8616.08548, 151635.50621),(-8525.44954, 151951.95126)
903;(-8304.42188, 152146.10471),(-8248.36388, 152149.07701),(-8232.98348, 151801.17151),(-8485.98448, 151832.05861),(-8368.20178, 151792.32101),(-8238.53978, 152081.52451),(-8256.85768, 151748.90831),(-8322.38385, 151946.31322)
980;(-8796.06058, 150461.22581),(-9584.58478, 150211.06351),(-9497.48688, 150056.93541),(-8928.27318, 150192.01831),(-9250.26218, 150098.02081),(-9555.91718, 150021.23041),(-9415.2196, 150279.71656),(-9205.61003, 150261.34757)
1606;(-8796.06058, 150461.22581),(-9076.81488, 150631.01111),(-9069.39828, 150629.90041),(-8660.09166, 150546.68364),(-9415.2196, 150279.71656),(-9472.98618, 150472.18171),(-9120.4257, 150476.53661)
1056;(-9620.52358, 148037.26381),(-9404.45688, 148053.66941),(-9737.58338, 147773.25181),(-9811.39208, 147594.29381),(-9215.07328, 147944.18051),(-9265.53118, 147888.80471),(-9514.41648, 147613.78181),(-9566.58245, 147840.83851)
812;(-9620.52358, 148037.26381),(-10682.58678, 147682.68901),(-10614.80738, 147658.01291),(-10109.42898, 147891.14591),(-10052.42778, 148364.57841),(-10394.26358, 148043.47361),(-9737.58338, 147773.25181),(-10303.39178, 147781.97041),(-9801.10198, 148388.50241),(-10493.83028, 147958.00721),(-10538.85278, 147698.32011),(-9789.53378, 148484.73641),(-10057.25076, 148338.88572),(-10224.00658, 148124.76855),(-9824.62005, 148522.68223),(-10663.97295, 147675.91237),(-10067.24305, 148028.80374)
