x,y
-11022.28918,148344.65331
-10682.58678,147682.68901
-10225.27318,150815.69021
-10074.46358,147482.53131
-10125.80428,147679.20021
-9088.08928,149237.55581
-9840.89568,149535.23461
-8642.06068,151484.51241
-10703.25028,147363.33281
-10614.80738,147658.01291
-10109.42898,147891.14591
-10490.83158,150562.31421
-8906.01368,153249.79021
-9648.04658,149350.06601
-9145.30088,153164.47331
-10228.14938,150821.44261
-8227.42728,152874.87931
-10229.52848,150818.27261
-9666.16068,149620.78621
-8323.28988,153083.83651
-9277.75008,149252.42351
-8873.89098,151490.92671
-10984.31908,148319.69011
-8967.89568,152834.08861
-8915.90488,151689.56501
-9635.37638,149400.32761
-10786.55928,149879.45501
-9323.19848,149279.06761
-9497.16298,149226.43401
-10308.00978,150027.72871
-8854.60878,153160.15991
-10793.02358,149833.15541
-8968.46528,152869.15571
-10055.79168,150750.85151
-8241.71478,152937.58561
-10427.97478,150424.28671
-9463.20488,149391.74591
-9540.77418,150634.58821
-8838.46208,151498.64451
-10737.26558,147661.30971
-9701.53288,147269.92461
-10473.89818,150536.91411
-10058.28294,146752.22657
-9984.20277,146563.07825
-10345.99736,146611.79932
-10175.40622,146646.3433
-10425.74452,146665.6367
-10584.22661,147096.76554
-10593.2623,147235.79528
-9766.59483,147443.89262
-10074.81299,146855.72189
-10101.66153,147618.79577
-10691.46673,147350.66697
-10678.3357,147336.55274
-10548.32915,147694.4533
-10786.20101,147824.03655
-10851.11889,147954.5689
-10786.98531,147833.17134
-10846.22164,147971.81262
-10057.25076,148338.88572
-10224.00658,148124.76855
-9824.62005,148522.68223
-10663.97295,147675.91237
-9837.32306,148579.28166
-9886.92727,148759.42132
-9834.20877,148845.28085
-9938.65227,149154.81321
-9297.20097,149159.6261
-9550.60081,149219.79584
-9486.2341,149237.7909
-9632.41642,149417.97497
-9799.49707,149327.06965
-9929.14039,149632.91781
-9850.83509,149543.57647
-10000.61717,149694.17443
-9753.58756,149871.53507
-10269.17415,149957.4208
-10788.47436,149851.70646
-9771.65944,149896.3741
-9473.53342,150764.74667
-9561.625,150968.1339
-9074.43949,150925.34608
-11021.07831,150157.48684
-11001.19171,150193.41214
-10881.84282,149894.82891
-10836.19272,150318.3575
-11038.4333,150153.40613
-10299.96506,150230.19274
-9596.25262,150398.68877
-9783.32481,150505.42656
-9689.51238,150497.98568
-9675.10843,150491.81272
-9605.84187,150449.7965
-9875.59603,150505.94866
-10484.79926,150553.26573
-10218.71664,150830.76025
-10007.94106,151006.20067
-10238.9722,150837.16012
-9566.42637,150982.75877
-8387.72104,151633.98382
-8482.80244,151586.28098
-8970.28067,151628.77282
-8242.82872,152715.03566
-8211.85342,152845.18125
-8267.10734,153042.99266
-8217.12305,152791.64917
-8896.59689,153205.36205
-9009.84602,152922.36078
-8956.91756,153296.52738
-8976.0667,153318.15325
-9193.05021,153400.23427
