Node,Stand
"(-9353.85428, 146563.86791)","[1120, 1121]"
"(-9397.18908, 146571.47301)","[1120, 1121]"
"(-9453.10198, 146592.00121)","[1120, 1121]"
"(-9496.01288, 146608.30301)","[1120, 1121]"
"(-9519.06088, 146583.74391)","[1120, 1121]"
"(-9580.44438, 146604.91061)","[1120, 1121]"
"(-9649.24508, 146658.36981)","[1120, 1121]"
"(-9695.71648, 146659.22551)","[1120, 1121]"
"(-9723.56418, 146663.33801)","[1120, 1121]"
"(-9762.87928, 146669.14421)","[1120, 1121]"
"(-9825.82548, 146654.12811)","[1120, 1121, 1117]"
"(-9773.98538, 146714.65251)","[1120, 1117]"
"(-9705.60148, 146760.87811)",[1120]
"(-9655.31908, 146790.11071)",[1120]
"(-9655.01298, 146789.85891)",[1120]
"(-9592.05268, 146789.17621)",[1120]
"(-9511.95498, 146811.04301)",[1120]
"(-9435.53878, 146794.13971)",[1120]
"(-9393.66478, 146814.46901)",[1120]
"(-9353.65188, 146911.23621)",[1120]
"(-9337.10878, 146793.83401)",[1120]
"(-9338.58478, 146699.44281)",[1120]
"(-9932.81588, 146541.95831)","[1121, 1111]"
"(-9976.58998, 146666.29741)","[1121, 1117, 1111]"
"(-9931.81178, 146687.46081)","[1121, 1117]"
"(-9874.66158, 146683.22741)","[1121, 1117]"
"(-9354.96598, 146506.32671)",[1121]
"(-9347.95448, 146436.67491)",[1121]
"(-9337.37118, 146345.65811)",[1121]
"(-9344.90718, 146279.05861)",[1121]
"(-9359.18068, 146204.62561)",[1121]
"(-9425.86588, 146152.17191)",[1121]
"(-9474.36458, 146148.00311)",[1121]
"(-9524.71108, 146168.79911)",[1121]
"(-9582.33208, 146131.56141)",[1121]
"(-9648.87528, 146125.89911)",[1121]
"(-9741.08058, 146132.42451)",[1121]
"(-9805.46208, 146134.68111)",[1121]
"(-9833.40198, 146132.72991)",[1121]
"(-9868.80898, 146130.25731)",[1121]
"(-9934.37098, 146130.25681)",[1121]
"(-9946.38268, 146189.89831)",[1121]
"(-9940.85308, 146270.24361)",[1121]
"(-9936.64878, 146330.41641)",[1121]
"(-9927.71538, 146363.58361)",[1121]
"(-9919.70588, 146393.32071)",[1121]
"(-9919.09938, 146502.99771)",[1121]
"(-10083.90638, 146841.22061)","[1432, 1111]"
"(-10128.67288, 146800.19351)",[1111]
"(-10218.63148, 146738.01641)",[1111]
"(-10317.85048, 146638.79741)",[1111]
"(-10382.67338, 146576.62021)",[1111]
"(-10308.58998, 146544.87021)",[1111]
"(-10271.54828, 146558.09941)",[1111]
"(-10198.78768, 146618.95361)",[1111]
"(-10152.48548, 146673.19331)",[1111]
"(-10084.35758, 146727.44081)",[1111]
"(-10044.00608, 146765.79771)",[1111]
"(-10005.56618, 146772.18441)","[1117, 1111]"
"(-9994.12238, 146716.09771)","[1117, 1111]"
"(-9951.82088, 146554.01131)",[1111]
"(-10017.96688, 146572.53221)",[1111]
"(-10084.92858, 146583.43181)",[1111]
"(-10138.83588, 146581.18381)",[1111]
"(-10187.15858, 146568.31391)",[1111]
"(-10252.20218, 146547.23881)",[1111]
"(-10313.10878, 146515.48021)",[1111]
"(-10355.63848, 146517.93451)",[1111]
"(-10404.11548, 146529.33251)",[1111]
"(-10448.17328, 146542.12021)",[1111]
"(-10493.51198, 146549.16931)",[1111]
"(-10536.24828, 146580.95901)",[1111]
"(-10560.81078, 146643.17291)",[1111]
"(-10609.05608, 146717.88241)",[1111]
"(-10597.50188, 146779.20181)",[1111]
"(-10554.56698, 146733.98281)",[1111]
"(-10499.76398, 146688.62291)",[1111]
"(-10443.05428, 146664.65541)",[1111]
"(-10372.83738, 146668.63601)",[1111]
"(-10311.84478, 146699.43711)",[1111]
"(-10297.10848, 146742.16021)",[1111]
"(-10253.92868, 146738.82321)",[1111]
"(-10233.15208, 146776.34101)",[1111]
"(-10213.81388, 146851.49201)","[1107, 1111]"
"(-10147.72988, 146861.44811)","[1107, 1111]"
"(-10083.73558, 146884.29501)","[1432, 1107, 1111]"
"(-10058.28294, 146752.22657)",[1111]
"(-9984.20277, 146563.07825)",[1111]
"(-10345.99736, 146611.79932)",[1111]
"(-10175.40622, 146646.3433)",[1111]
"(-10425.74452, 146665.6367)",[1111]
"(-10108.32618, 147159.38581)","[1432, 1106, 1107]"
"(-10265.82398, 146873.00741)",[1107]
"(-10223.49138, 146927.32691)",[1107]
"(-10260.53408, 146974.22461)",[1107]
"(-10325.69518, 147037.35421)",[1107]
"(-10390.12098, 147020.54661)",[1107]
"(-10447.42558, 147029.47951)",[1107]
"(-10479.83648, 147070.84031)",[1107]
"(-10526.68588, 147075.07691)",[1107]
"(-10535.07118, 147125.49521)",[1107]
"(-10602.61798, 147086.01641)",[1107]
"(-10657.91708, 147110.51611)",[1107]
"(-10668.78398, 147166.45351)",[1107]
"(-10628.45128, 147229.18581)","[1257, 1107]"
"(-10580.99238, 147238.09991)","[1257, 1107]"
"(-10513.66058, 147210.56321)","[1257, 1107]"
"(-10538.13058, 147174.69651)","[1257, 1107]"
"(-10493.41328, 147153.68451)","[1257, 1107]"
"(-10448.44028, 147190.78251)","[1257, 1107]"
"(-10397.17578, 147205.81301)","[1257, 1107]"
"(-10370.37518, 147245.84701)","[1257, 1106, 1107]"
"(-10344.85658, 147180.34241)","[1106, 1107]"
"(-10276.62868, 147198.40161)","[1106, 1107]"
"(-10222.88308, 147205.39841)","[1106, 1107]"
"(-10159.35238, 147201.65181)","[1106, 1107]"
"(-10584.22661, 147096.76554)",[1107]
"(-10593.2623, 147235.79528)",[1107]
"(-9688.82758, 147359.73901)","[1432, 1117, 1431]"
"(-9683.84668, 147325.41601)","[1117, 1431]"
"(-9641.59908, 147317.14741)","[1117, 1431]"
