x,y,ID_UG
-9659.64489,149999.23651,1274
-9028.69179,148622.97994,1275
-10027.86364,150363.3928,1276
-9195.31222,149600.1961,807
-8525.44954,151951.95126,819
-8322.38385,151946.31322,903
-9205.61003,150261.34757,980
-9090.17281,150041.98109,981
-9288.66848,149878.09677,982
-8367.09544,150920.68234,983
-8687.59806,149113.73979,1042
-9474.63396,149158.3651,1043
-9492.41177,148989.25343,1044
-8746.60526,148807.62949,1045
-9465.16664,148761.07614,1046
-9056.37368,148999.23316,1047
-9424.02391,148616.83292,1048
-9296.07777,148364.1537,1050
-9516.84491,148293.55623,1051
-8959.02451,148361.81525,1052
-9623.52531,148188.20977,1053
-9061.65446,148023.46264,1054
-8729.88683,148121.06548,1055
-9566.58245,147840.83851,1056
-8759.96303,149558.37753,1263
-8379.33824,151854.72353,1385
-9454.02002,147560.1691,1431
-8703.39839,152860.25856,1541
-8715.35286,150252.92494,1567
-8245.87627,151692.79859,1568
-8849.463,150892.34077,1573
-8673.18784,148556.63592,1574
-8548.98944,149209.30648,1575
-8398.94245,151094.20055,1576
-8214.04646,151962.82384,1577
-8368.12405,152387.73976,1585
-9120.4257,150476.53661,1606
