"Node1(x,y)","Node2(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-14653.41278, 154639.10661)","(-14193.30918, 154818.42221)",0.6671096245559203,False,False,5013,1791,7520,1791,3758,False,"[(-14683.63908, 154690.58331), (-14677.48808, 154758.47111)]"
"(-14653.41278, 154639.10661)","(-14249.02068, 154762.82601)",0.49854356716416354,False,False,3745,1338,5620,1338,2809,False,"[(-14569.65148, 154664.81311), (-14496.92268, 154661.26371), (-14422.00478, 154619.84141), (-14371.43338, 154627.15541), (-14301.13638, 154670.41921), (-14246.54618, 154713.67551)]"
"(-14653.41278, 154639.10661)","(-14044.21468, 154489.40361)",1.2408324502277648,False,False,5996,2332,8991,2332,4497,False,"[(-14233.51068, 154398.37751), (-14240.21708, 154390.23831), (-14241.48928, 154339.99601), (-14216.80668, 154284.50971), (-14274.31658, 154271.35841), (-14354.88288, 154261.20211), (-14410.32498, 154275.12711), (-14443.64088, 154311.47061), (-14208.52128, 154391.85161), (-14142.63978, 154330.73271), (-14102.15848, 154341.05141), (-14076.75848, 154369.62651), (-14075.96478, 154409.31411), (-14073.58348, 154445.82671), (-14064.05838, 154478.37051)]"
"(-14653.41278, 154639.10661)","(-14341.24251, 154510.74141)",0.0,False,True,0,0,0,0,0,False,
"(-14653.41278, 154639.10661)","(-14442.52166, 154757.11622)",0.0,False,True,0,0,0,0,0,False,
"(-14249.02068, 154762.82601)","(-14193.30918, 154818.42221)",0.07870647169508954,False,False,591,211,887,211,444,43.7358,
"(-14249.02068, 154762.82601)","(-14341.24251, 154510.74141)",0.0,False,True,0,0,0,0,0,False,
"(-14249.02068, 154762.82601)","(-14442.52166, 154757.11622)",0.0,False,True,0,0,0,0,0,False,
"(-14193.30918, 154818.42221)","(-14102.58518, 154663.34791)",0.19773940788825486,False,False,956,371,1433,371,717,False,"[(-14136.02528, 154734.67291), (-14129.41068, 154725.41241)]"
"(-14193.30918, 154818.42221)","(-14341.24251, 154510.74141)",0.0,False,True,0,0,0,0,0,False,
"(-14193.30918, 154818.42221)","(-14442.52166, 154757.11622)",0.0,False,True,0,0,0,0,0,False,
"(-13974.30448, 154609.28101)","(-14064.14058, 154634.70421)",0.11552621529006027,True,False,869,310,1302,310,652,False,"[(-13990.47568, 154597.23631), (-14037.17198, 154594.30451)]"
"(-13974.30448, 154609.28101)","(-13827.24741, 154663.77048)",0.17745137914263787,True,False,857,333,1287,333,642,False,"[(-13938.37508, 154636.04241), (-13876.12778, 154685.16301)]"
"(-13974.30448, 154609.28101)","(-13910.03018, 154461.03561)",0.19909178538453032,False,False,961,374,1443,374,721,False,"[(-13960.87068, 154552.18941), (-13929.12068, 154563.30191), (-13911.65818, 154531.55191), (-13911.65818, 154487.10181)]"
"(-13974.30448, 154609.28101)","(-14009.68686, 154547.03849)",0.0,False,True,0,0,0,0,0,False,
"(-13974.30448, 154609.28101)","(-13871.99409, 154581.18321)",0.0,False,True,0,0,0,0,0,False,
"(-14064.14058, 154634.70421)","(-14102.58518, 154663.34791)",0.08678601916934378,True,False,652,233,978,233,489,False,"[(-14064.16868, 154634.87021), (-14064.28678, 154635.04711)]"
"(-14064.14058, 154634.70421)","(-14009.68686, 154547.03849)",0.0,False,True,0,0,0,0,0,False,
"(-13910.03018, 154461.03561)","(-14000.78807, 154474.9652)",0.09349510383209358,True,False,703,251,1054,251,527,False,"[(-13951.34578, 154458.52671)]"
"(-13910.03018, 154461.03561)","(-13811.70418, 154581.91751)",0.245627873383532,True,False,1187,461,1779,461,890,False,"[(-13833.87708, 154465.66001), (-13823.88778, 154538.43211), (-13857.05188, 154576.05781)]"
"(-13910.03018, 154461.03561)","(-14009.68686, 154547.03849)",0.0,False,True,0,0,0,0,0,False,
"(-13910.03018, 154461.03561)","(-13871.99409, 154581.18321)",0.0,False,True,0,0,0,0,0,False,
"(-14044.21468, 154489.40361)","(-14000.78807, 154474.9652)",0.045763939290888754,True,False,344,123,516,123,258,34.0912,
"(-14044.21468, 154489.40361)","(-14102.58518, 154663.34791)",0.1901876423695342,False,False,1428,510,2144,510,1072,False,"[(-14098.98348, 154644.05291)]"
"(-14044.21468, 154489.40361)","(-14341.24251, 154510.74141)",0.0,False,True,0,0,0,0,0,False,
"(-14044.21468, 154489.40361)","(-14009.68686, 154547.03849)",0.0,False,True,0,0,0,0,0,False,
"(-14102.58518, 154663.34791)","(-14341.24251, 154510.74141)",0.0,False,True,0,0,0,0,0,False,
"(-14102.58518, 154663.34791)","(-14009.68686, 154547.03849)",0.0,False,True,0,0,0,0,0,False,
"(-13811.70418, 154581.91751)","(-13827.24741, 154663.77048)",0.1658196668432959,True,False,801,311,1202,311,601,False,"[(-13787.53818, 154646.39171)]"
"(-13811.70418, 154581.91751)","(-13871.99409, 154581.18321)",0.0,False,True,0,0,0,0,0,False,
"(-14000.78807, 154474.9652)","(-14009.68686, 154547.03849)",0.0,True,True,0,0,0,0,0,False,
"(-13827.24741, 154663.77048)","(-13871.99409, 154581.18321)",0.0,True,True,0,0,0,0,0,False,
