x,y,is_exit,is_source,stands
-12575.11518,153096.27801,False,False,[895]
-12400.48988,153223.27821,False,False,"[1395, 895]"
-12362.12518,153292.07011,False,False,"[1395, 895]"
-12835.83658,153357.38951,False,False,[895]
-12117.43878,154079.65491,False,False,[834]
-12894.71978,153242.09241,False,False,[895]
-12166.06988,153407.69891,False,False,[1249]
-12728.84008,153237.52791,False,False,[895]
-11951.15958,153651.61201,False,False,"[1249, 1247]"
-12179.26288,153897.39511,False,False,"[1249, 834]"
-11656.51598,154016.67151,False,False,[1247]
-11950.77618,154164.82671,False,False,[833]
-12843.79568,153246.36331,False,False,[895]
-11828.19438,153395.80601,False,False,[1246]
-12278.18358,153900.04741,False,False,[1249]
-12184.63758,154082.42321,False,False,[834]
-11978.30988,153881.09061,False,False,"[1248, 1247]"
-12339.38558,152922.57041,False,False,"[1395, 895]"
-12625.95208,153141.16511,False,False,[895]
-12388.58358,153184.91361,False,False,"[1395, 895]"
-11952.53098,153302.15281,False,False,[1246]
-12018.75658,153327.06481,False,False,[1246]
-12360.51118,153407.09491,False,False,"[1249, 895]"
-12349.56388,153462.41591,False,False,[1249]
-11953.60528,154386.13751,False,False,[833]
-11636.78588,154405.31201,False,False,[833]
-12735.14378,153399.90971,True,False,[895]
-11897.31148,153536.75521,False,False,"[1249, 1246]"
-12122.34948,153847.47381,False,False,"[1249, 834]"
-12088.37368,153392.93531,False,False,[1246]
-11866.83748,153272.09631,False,False,[1246]
-11920.32698,154029.64551,False,False,"[1248, 834]"
-12046.31288,153352.41561,False,False,[1246]
-12196.44028,153641.75931,False,False,[1249]
-12806.82018,153396.95031,True,False,[895]
-11923.59838,153617.74741,False,False,"[1249, 1247]"
-12192.77158,153799.84761,False,False,[1249]
-12306.56258,153122.73641,False,False,"[1395, 895]"
-11852.40078,153770.86711,False,False,"[1249, 1247]"
-11636.41688,153780.76101,False,False,[1247]
-12384.61478,153151.84051,False,False,"[1395, 895]"
-11877.97948,153938.07801,False,False,"[1248, 1247]"
-12662.42788,153264.28881,False,False,[895]
-12621.12248,153139.99931,False,False,[895]
-11767.11758,153504.90481,False,False,[1246]
-12866.82748,153194.61891,False,False,[895]
-12535.13298,153052.68661,False,False,[895]
-12658.16398,153261.70791,False,False,[895]
-12632.03668,153243.01481,False,False,[895]
-11712.13718,154488.69021,False,False,[833]
-12771.16368,153231.88521,False,False,[895]
-12019.11398,153327.41091,False,False,[1246]
-11943.19228,154163.71601,False,False,"[833, 834]"
-11948.26908,153299.57151,False,False,[1246]
-12276.08848,153483.50301,False,False,[1249]
-12011.14038,154110.95691,False,False,[834]
-11839.92018,154450.58921,False,False,[833]
-12362.12518,153034.10071,False,False,"[1395, 895]"
-12232.26378,153893.46751,False,False,"[1249, 834]"
-12090.70898,153395.19681,False,False,"[1249, 1246]"
-12524.54968,153016.96771,False,False,[895]
-11731.44088,154463.81831,False,False,[833]
