"Node1(x,y)","Node2(x,y)"
"(-13570.30938, 148218.68711)","(-13513.86458, 148208.34371)"
"(-13570.30938, 148218.68711)","(-13626.40118, 148258.90381)"
"(-12287.92638, 147645.71791)","(-12225.78348, 147661.16791)"
"(-12287.92638, 147645.71791)","(-12375.50178, 147663.54341)"
"(-12137.10618, 148084.98631)","(-12077.01318, 148042.24901)"
"(-12137.10618, 148084.98631)","(-12167.63848, 148078.60181)"
"(-14010.99918, 148210.28281)","(-13967.30428, 148206.00791)"
"(-14010.99918, 148210.28281)","(-14082.90658, 148243.02061)"
"(-12256.08508, 148491.74001)","(-12325.77468, 148454.40741)"
"(-12256.08508, 148491.74001)","(-12251.76378, 148492.13511)"
"(-12505.90618, 150952.01041)","(-12574.02218, 150958.16571)"
"(-12505.90618, 150952.01041)","(-12466.50368, 150966.41501)"
"(-15041.30558, 148857.81811)","(-15042.77458, 148858.10781)"
"(-15041.30558, 148857.81811)","(-15040.98928, 148857.95961)"
"(-12438.34998, 149911.92941)","(-12396.51688, 149879.55011)"
"(-12438.34998, 149911.92941)","(-12393.46398, 149949.97711)"
"(-12438.34998, 149911.92941)","(-12509.39408, 149920.94601)"
"(-12625.04358, 149499.60501)","(-12637.99638, 149546.71141)"
"(-12625.04358, 149499.60501)","(-12669.96928, 149454.59311)"
"(-12222.72588, 150640.48231)","(-12218.67138, 150649.85861)"
"(-12222.72588, 150640.48231)","(-12224.99708, 150635.23021)"
"(-12071.36288, 148239.71551)","(-12058.13378, 148262.20511)"
"(-12071.36288, 148239.71551)","(-12077.97758, 148210.61121)"
"(-11872.18348, 149333.34561)","(-11887.34598, 149380.44471)"
"(-11872.18348, 149333.34561)","(-11876.79588, 149320.13501)"
"(-13500.79458, 147648.48191)","(-13447.79828, 147715.54781)"
"(-13500.79458, 147648.48191)","(-13530.61778, 147653.57281)"
"(-13500.79458, 147648.48191)","(-13552.57348, 147570.29131)"
"(-12253.37218, 148162.11581)","(-12162.72588, 148169.59121)"
"(-12253.37218, 148162.11581)","(-12311.22028, 148113.85901)"
"(-12730.12138, 147441.49361)","(-12780.18878, 147452.67301)"
