"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source
"(-12124.41308, 151247.76311)","(-12132.35068, 151211.25041)",0.037365528967879036,24.2383,False,False
"(-12124.41308, 151247.76311)","(-12108.53808, 151379.52581)",0.13271557834816494,24.2383,False,False
"(-11516.61108, 151035.67261)","(-11545.30418, 151075.66901)",0.049224038848617556,24.2383,False,False
"(-11516.61108, 151035.67261)","(-11567.41118, 151001.80581)",0.06105415876294646,24.2383,False,False
"(-13570.30938, 148218.68711)","(-13513.86458, 148208.34371)",0.05738467888383087,22.443,False,False
"(-13570.30938, 148218.68711)","(-13626.40118, 148258.90381)",0.06901936674679947,22.443,False,False
"(-14608.13408, 149319.34441)","(-14608.36798, 149320.28141)",0.0009657526650289624,21.8462,False,False
"(-14608.13408, 149319.34441)","(-14600.39128, 149287.45991)",0.032811161090230856,21.8462,False,False
"(-12287.92638, 147645.71791)","(-12225.78348, 147661.16791)",0.06403469778494743,25.7852,False,False
"(-12287.92638, 147645.71791)","(-12375.50178, 147663.54341)",0.08937113144304583,25.7852,False,False
"(-11643.08788, 151158.78641)","(-11640.68698, 151217.66061)",0.05892313422119488,24.2383,False,False
"(-11643.08788, 151158.78641)","(-11643.64088, 151145.22451)",0.01357316988068809,24.2383,False,False
"(-13730.96318, 148867.73881)","(-13767.01668, 148829.14901)",0.05281124431682369,22.4207,False,False
"(-13730.96318, 148867.73881)","(-13647.10758, 148913.15991)",0.09536685994918837,22.4207,False,False
"(-14394.34948, 149595.88141)","(-14323.89035, 149625.56992)",0.07645846340580997,21.8462,False,False
"(-14394.34948, 149595.88141)","(-14396.36908, 149595.91681)",0.002019910225727378,21.8462,False,False
"(-14346.50438, 149162.39281)","(-14349.38178, 149160.98391)",0.0032038149088143594,21.8462,False,False
"(-14346.50438, 149162.39281)","(-14319.35118, 149175.68841)",0.030233578180565397,21.8462,False,False
"(-14405.43368, 149591.99161)","(-14397.97728, 149595.22591)",0.00812764402825844,21.8462,False,False
"(-14405.43368, 149591.99161)","(-14408.38698, 149590.71061)",0.0032191523558174366,21.8462,False,False
"(-12137.10618, 148084.98631)","(-12167.63848, 148078.60181)",0.031192678364323295,13.123,False,False
