x,y,is_exit,is_source,stands
-13570.30938,148218.68711,False,False,[922]
-12287.92638,147645.71791,False,False,[1028]
-12137.10618,148084.98631,False,False,"[1026, 1029]"
-14010.99918,148210.28281,False,False,"[922, 1018]"
-12256.08508,148491.74001,False,False,[1023]
-12505.90618,150952.01041,False,False,[962]
-15041.30558,148857.81811,False,False,[1183]
-12438.34998,149911.92941,False,False,"[968, 1251, 965]"
-12625.04358,149499.60501,False,False,"[1251, 1252]"
-12222.72588,150640.48231,False,False,[964]
-12071.36288,148239.71551,False,False,[1024]
-11872.18348,149333.34561,False,False,[1355]
-13500.79458,147648.48191,False,False,"[1019, 1253, 1479]"
-12253.37218,148162.11581,False,False,"[1024, 1026]"
-12730.12138,147441.49361,False,False,"[1092, 1253]"
-12142.89718,148930.62941,False,False,[1022]
-11876.23348,149299.48211,False,False,[1355]
-12603.80218,150717.85361,False,False,"[962, 1354]"
-12627.10218,150225.20031,False,False,"[964, 965]"
-13706.05858,150122.24891,False,False,"[1288, 1351]"
-13415.32608,147069.09241,False,False,[1096]
-12676.76408,147148.37501,False,False,"[810, 1092, 1094]"
-12066.30008,149793.35791,False,False,"[1251, 815]"
-12424.04438,147308.73751,False,False,[1091]
-12205.87018,150991.84471,False,False,[961]
-11941.62978,150678.55491,False,False,[961]
-12954.97748,150009.95031,False,False,"[1191, 967]"
-12895.64518,149277.74411,False,False,"[1242, 1020]"
-12492.47688,150600.32911,False,False,"[1354, 964]"
-12711.79938,150201.74631,False,False,"[964, 1191]"
-11776.79398,150275.32911,False,False,[966]
-13228.77198,150585.32661,False,False,"[1353, 1191]"
-12114.88188,148128.65921,False,False,"[1024, 1026]"
-12248.74448,147900.46851,False,False,"[1028, 1029]"
-12625.24098,147196.09961,False,False,"[810, 1094]"
-14485.60518,148842.29221,False,False,"[1459, 1015]"
-13459.37977,147097.59772,False,False,[1096]
-14460.88858,148024.11841,False,False,[1291]
-12501.15338,147048.66351,False,False,"[810, 1094]"
-14509.41088,147722.71121,False,False,[1291]
-11716.94648,149642.28801,False,False,[815]
-12533.63708,150572.89981,False,False,"[1354, 964]"
-11700.81438,149707.94671,False,False,[815]
-13171.65668,147212.23281,False,False,"[1092, 1253]"
-13794.69418,150160.61361,False,False,"[957, 1351]"
-12263.80848,147091.67241,False,False,"[810, 1094]"
-13007.97968,147564.01141,False,False,"[1253, 1030]"
-12204.27398,147128.64421,False,False,"[1093, 1094]"
-12837.75498,148567.14051,False,False,"[1357, 1021]"
-14098.21748,147720.20011,False,False,[875]
-14115.84058,148231.16461,False,False,"[1018, 1459, 1183]"
-13779.96568,149852.44391,False,False,[1288]
-11888.78078,147252.51691,False,False,"[1200, 1093]"
-12172.94708,150402.38211,False,False,[965]
-12451.03148,148715.84891,False,False,"[1357, 1022]"
-11932.40778,147220.85121,False,False,"[1200, 1093]"
-14314.61748,148075.75451,False,False,[1183]
-13927.20188,148694.85321,False,False,[922]
-13530.61778,147653.57281,False,False,"[1019, 1253]"
-14257.99018,148701.93861,False,False,"[920, 1015]"
-14906.41708,148518.50261,False,False,[1291]
-12041.43778,149785.47481,False,False,"[1355, 1251, 815]"
-12343.22728,148867.54521,False,False,"[1021, 1022]"
-13217.53098,149234.95371,False,False,"[1242, 1358]"
-12079.93658,149454.85741,False,False,[1355]
-14090.78468,150315.48721,False,False,[957]
-12939.98248,148760.29911,False,False,[1021]
-12802.52988,148040.00061,False,False,"[1025, 1027]"
-12335.24418,150418.77751,False,False,"[964, 965]"
-13676.95438,150097.11341,False,False,"[1288, 1351]"
-12961.22138,149405.15901,False,False,"[1242, 1020]"
-12369.47588,149986.50381,False,False,"[968, 965]"
-12399.81758,148890.50631,False,False,[1021]
-13590.96468,150126.21771,False,False,"[1288, 1351]"
-12258.14398,147591.09791,False,False,[810]
-13796.31128,147902.21741,False,False,"[1016, 1253]"
-12975.40738,147828.59971,False,False,"[1253, 1030]"
-13489.18408,149095.06091,False,False,[1358]
-11931.04648,150675.38001,False,False,[961]
-13342.41448,149273.05371,False,False,"[1242, 1358]"
-12814.29168,146779.49421,False,False,[1096]
-13150.39048,147167.67311,False,False,"[1096, 1092, 1253]"
-12077.01318,148042.24901,False,False,"[1026, 1029]"
-14451.34568,148138.03471,False,False,"[1014, 1183]"
-12952.07418,147583.93271,False,False,"[1253, 1030]"
-12115.78298,149489.29801,False,False,[1355]
-12083.89488,149179.40441,False,False,[1022]
-12597.82108,148084.21641,False,False,"[1026, 1027]"
-13626.40118,148258.90381,False,False,[922]
-13489.09978,150148.70731,False,False,"[1288, 1351]"
-12194.35928,150408.99861,False,False,"[964, 965]"
-12333.76748,148958.21071,False,False,[1022]
-12704.87318,148475.80971,False,False,[1357]
-12611.44288,150271.83831,False,False,"[964, 965]"
-13839.49698,149963.56911,False,False,[1288]
-12262.70028,150423.45431,False,False,"[964, 965]"
-11771.29168,147565.52741,False,False,[1093]
-13093.39048,148264.36981,False,False,[1025]
-12936.77568,150847.07991,True,False,[1191]
-11696.00488,149459.23631,False,False,[815]
-13121.22238,149067.73671,False,False,"[1473, 1474, 1358]"
-13275.49088,147239.33471,False,False,"[1096, 1253]"
-13756.86928,150217.11981,False,False,"[1289, 1351]"
-13033.90978,148966.66571,False,False,"[1473, 1474]"
-11816.67148,149589.58201,False,False,[815]
-12493.99418,147196.06891,False,False,[810]
-13018.36858,149161.17581,False,False,"[1473, 1242]"
-13250.39468,147614.31101,False,False,"[1019, 1253]"
-12168.39498,147729.99981,False,False,[1028]
-11726.11498,149873.89731,False,False,[815]
-14246.78158,150347.65021,False,False,[957]
-13264.51328,146989.71721,False,False,[1096]
