x,y,is_exit,is_source,stands
-12438.34998,149911.92941,False,False,"[968, 1251, 965]"
-13500.79458,147648.48191,False,False,"[1019, 1253, 1479]"
-12676.76408,147148.37501,False,False,"[810, 1092, 1094]"
-12204.27398,147128.64421,False,False,"[1093, 1094]"
-14115.84058,148231.16461,False,False,"[1018, 1459, 1183]"
-12041.43778,149785.47481,False,False,"[1355, 1251, 815]"
-13342.41448,149273.05371,False,False,"[1242, 1358]"
-13150.39048,147167.67311,False,False,"[1096, 1092, 1253]"
-12077.01318,148042.24901,False,False,"[1026, 1029]"
-14451.34568,148138.03471,False,False,"[1014, 1183]"
-12936.77568,150847.07991,True,False,[1191]
-13121.22238,149067.73671,False,False,"[1473, 1474, 1358]"
-12376.80708,146880.38561,False,False,"[1200, 1094, 1095]"
-12169.65998,150016.73191,False,False,"[1251, 965, 966]"
-12415.94768,150663.74621,False,False,"[961, 1354, 964]"
-12580.68998,146607.75611,False,False,"[1096, 1095]"
-12730.49258,147044.27301,False,False,"[1096, 1092, 1094]"
-12962.70158,148897.86801,False,False,"[1473, 1474]"
-13242.88528,149724.48541,False,False,"[1242, 1190, 967]"
-12178.68768,147494.02351,False,False,"[810, 1091]"
-13322.81538,150391.65261,False,False,"[1288, 1353]"
-12193.48708,149840.19281,False,False,"[1251, 966, 815]"
-13959.76258,147857.25941,False,False,"[1016, 1018, 1253]"
-13111.00188,147817.87781,False,False,"[1025, 1253]"
-13944.79308,150216.77961,True,False,[957]
-13198.59018,149677.26611,False,False,"[1242, 1251, 967]"
-13821.76818,148188.55821,False,False,"[1016, 922]"
-13153.70138,149198.15421,False,False,"[1473, 1242, 1358]"
-13732.31928,150109.64081,False,False,"[1288, 957, 1351]"
-12393.24638,148629.71811,False,False,"[1357, 1022]"
-13808.57768,147230.26881,True,False,"[1096, 875]"
-14792.76558,147894.42081,True,False,[1291]
-12989.03628,150813.47421,True,False,"[1353, 1191]"
-13268.95768,150156.41771,False,False,"[1288, 1190]"
-13517.05858,147392.12021,False,False,"[1096, 875, 1253]"
-12084.52488,149162.66771,True,False,[1022]
-12457.51948,147320.30191,False,False,"[810, 1091]"
-14261.58618,148060.00501,False,False,"[1018, 1183]"
-12150.41828,147034.86361,False,False,"[1200, 1093, 1094]"
-13016.03408,147973.70541,False,False,"[1025, 1027, 1253]"
-13982.38488,147789.31921,False,False,"[1018, 875, 1253]"
-12361.91348,148875.38871,False,False,"[1021, 1022]"
-13656.34528,147921.06891,False,False,"[1016, 1019, 1253]"
-13255.63098,149270.93711,True,False,"[1242, 1358]"
-12193.00388,150408.57981,False,False,"[964, 965]"
-13513.26518,149711.07671,False,False,"[1288, 1242]"
-14508.68698,148862.21821,False,False,"[1459, 1015]"
-12648.09898,147728.21881,False,False,"[1028, 1029, 1030]"
-13634.20328,148057.00371,False,False,"[1016, 1019]"
-12417.27058,150801.19761,False,False,"[961, 962, 1354]"
-11646.16018,147401.95171,True,False,"[1200, 1093]"
