"Node1(x,y)","Node2(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-12438.34998, 149911.92941)","(-12169.65998, 150016.73191)",0.35276848850193443,False,False,1705,663,2556,663,1278,False,"[(-12396.51688, 149879.55011), (-12351.07248, 149875.49201), (-12286.69168, 149882.03101), (-12232.58578, 149932.88131), (-12212.60768, 149998.55341)]"
"(-12438.34998, 149911.92941)","(-12815.40568, 149829.76891)",0.4296100452893785,False,False,2075,807,3113,807,1556,False,"[(-12509.39408, 149920.94601), (-12534.69348, 149875.09221), (-12575.61748, 149834.71161), (-12630.15378, 149814.53071), (-12676.85858, 149807.14131), (-12731.95788, 149828.91431)]"
"(-12438.34998, 149911.92941)","(-12630.04948, 150215.18591)",1.3255507827338422,False,False,9961,3556,14941,3556,7470,False,"[(-12393.46398, 149949.97711), (-12369.47588, 149986.50381), (-12334.07288, 150036.38051), (-12385.21928, 150073.95061), (-12342.40368, 150148.47501), (-12301.02898, 150197.03491), (-12278.98048, 150248.99951), (-12252.58538, 150316.06411), (-12293.39058, 150303.00261), (-12362.43728, 150304.23601), (-12390.98498, 150342.68631), (-12435.81408, 150355.07141), (-12480.45088, 150304.76221), (-12524.51088, 150274.06401), (-12565.42878, 150238.24301), (-12552.18018, 150196.78751), (-12563.56228, 150136.32261), (-12548.65458, 150051.03531), (-12602.34938, 150041.94871), (-12645.80408, 150100.63681), (-12622.97328, 150157.89681)]"
"(-12438.34998, 149911.92941)","(-12571.66956, 150052.70114)",0.0,False,True,0,0,0,0,0,False,
"(-12438.34998, 149911.92941)","(-12666.14925, 149667.58121)",0.0,False,True,0,0,0,0,0,False,
"(-13500.79458, 147648.48191)","(-13269.46868, 147377.14501)",0.5412441233536457,False,False,2615,1017,3922,1017,1960,False,"[(-13552.57348, 147570.29131), (-13499.65668, 147506.79111), (-13332.96888, 147382.43681), (-13293.28128, 147308.35321)]"
"(-13500.79458, 147648.48191)","(-13345.51158, 147527.30121)",0.3343225655232395,False,False,1615,629,2421,629,1212,False,"[(-13447.79828, 147715.54781), (-13409.69818, 147720.31031), (-13390.64818, 147629.82261), (-13380.39788, 147595.67071), (-13361.70868, 147533.40341)]"
"(-13500.79458, 147648.48191)","(-13656.34528, 147921.06891)",0.40332389229846816,False,False,1948,757,2922,757,1462,False,"[(-13530.61778, 147653.57281), (-13597.10408, 147665.89741), (-13626.29398, 147715.71501), (-13580.13868, 147757.10841), (-13594.43388, 147825.20261), (-13612.54348, 147872.94401)]"
"(-13500.79458, 147648.48191)","(-13432.83625, 147809.62672)",0.0,False,True,0,0,0,0,0,False,
"(-13500.79458, 147648.48191)","(-13290.59419, 147587.12927)",0.0,False,True,0,0,0,0,0,False,
"(-13500.79458, 147648.48191)","(-13413.54337, 147534.53855)",0.0,False,True,0,0,0,0,0,False,
"(-12676.76408, 147148.37501)","(-12730.49258, 147044.27301)",0.12315169051362426,False,False,595,231,892,231,446,False,"[(-12720.62968, 147104.78651)]"
"(-12676.76408, 147148.37501)","(-12605.97578, 147390.85921)",0.3264276979884438,False,False,1577,613,2365,613,1184,False,"[(-12709.28888, 147178.88031), (-12713.10058, 147249.29181), (-12707.93758, 147309.98591), (-12662.28598, 147315.35431), (-12618.77668, 147336.09241)]"
"(-12676.76408, 147148.37501)","(-12253.57308, 147164.96431)",0.7774951634863065,False,False,3756,1460,5633,1460,2817,False,"[(-12625.24098, 147196.09961), (-12550.10338, 147200.27651), (-12531.86218, 147151.38551), (-12547.40668, 147110.66221), (-12503.43718, 147108.45021), (-12501.15338, 147048.66351), (-12451.57868, 147075.91161), (-12422.17958, 147017.10301), (-12365.68228, 146968.40431), (-12310.83088, 147017.28461), (-12263.80848, 147091.67241)]"
"(-12676.76408, 147148.37501)","(-12445.81777, 147294.8568)",0.0,False,True,0,0,0,0,0,False,
"(-12676.76408, 147148.37501)","(-12465.81377, 147031.14202)",0.0,False,True,0,0,0,0,0,False,
"(-12204.27398, 147128.64421)","(-12253.57308, 147164.96431)",0.06123357677631505,False,False,296,115,444,115,222,21.6492,
"(-12204.27398, 147128.64421)","(-12150.41828, 147034.86361)",0.11297547929798385,False,False,545,212,818,212,409,False,"[(-12162.38518, 147088.50391)]"
"(-12204.27398, 147128.64421)","(-11915.1548, 147459.44344)",0.5198104627998701,True,False,2511,975,3766,975,1884,False,"[(-12150.88468, 147155.23851), (-12109.83968, 147196.45381), (-12084.26298, 147266.00361), (-12082.65148, 147348.72231), (-12059.82198, 147397.63961), (-12010.40208, 147418.10851), (-11943.34748, 147397.93451)]"
"(-12204.27398, 147128.64421)","(-12465.81377, 147031.14202)",0.0,False,True,0,0,0,0,0,False,
"(-14115.84058, 148231.16461)","(-14082.90658, 148243.02061)",0.03500304403905391,False,False,263,94,395,94,197,33.5538,
"(-14115.84058, 148231.16461)","(-14261.58618, 148060.00501)",0.22488462895394837,False,False,1691,603,2535,603,1267,False,"[(-14148.02998, 148195.04921), (-14202.62408, 148133.79761)]"
"(-14115.84058, 148231.16461)","(-14725.76647, 148708.12995)",0.8160697992762945,True,False,6132,2190,9198,2190,4600,False,"[(-14130.12808, 148277.20211), (-14166.11148, 148374.56901), (-14219.02828, 148408.43571), (-14326.97848, 148514.26931), (-14451.86208, 148603.16941), (-14568.27898, 148670.90301), (-14699.51258, 148698.41961)]"
"(-14115.84058, 148231.16461)","(-14083.29341, 148038.77795)",0.0,False,True,0,0,0,0,0,False,
"(-12041.43778, 149785.47481)","(-12193.48708, 149840.19281)",0.29515272599779774,False,False,1425,554,2140,554,1068,False,"[(-12066.30008, 149793.35791), (-12105.67888, 149791.89951), (-12123.45018, 149791.24131), (-12213.99228, 149778.17681), (-12232.21278, 149782.46221), (-12246.43298, 149827.51161)]"
"(-12041.43778, 149785.47481)","(-12379.68718, 149572.13951)",0.4448896689139468,False,False,3342,1193,5015,1193,2507,False,"[(-12053.60008, 149741.49951), (-12088.54108, 149719.96791), (-12185.86678, 149699.24911), (-12188.31088, 149698.38171), (-12261.71078, 149672.33541), (-12314.26318, 149619.96251), (-12356.75368, 149628.37141)]"
"(-12041.43778, 149785.47481)","(-11981.49018, 149557.28201)",0.5679829773960453,False,False,4268,1523,6401,1523,3202,False,"[(-12022.90838, 149779.59961), (-12017.12818, 149729.33781), (-11990.91308, 149757.09321), (-11944.34678, 149797.68561), (-11886.40358, 149803.60331), (-11932.74668, 149756.44421), (-11964.80628, 149722.32761), (-11999.49358, 149677.47631), (-12026.78708, 149634.24401), (-12038.38908, 149576.83511), (-11998.74648, 149560.53931)]"
"(-12041.43778, 149785.47481)","(-12666.14925, 149667.58121)",0.0,False,True,0,0,0,0,0,False,
"(-12041.43778, 149785.47481)","(-12107.60039, 149563.08518)",0.0,False,True,0,0,0,0,0,False,
"(-13342.41448, 149273.05371)","(-13255.63098, 149270.93711)",0.08680930749527932,True,False,419,163,629,163,315,22.2999,
"(-13342.41448, 149273.05371)","(-13344.55208, 149283.23872)",0.010406909361564807,True,False,78,28,117,28,59,26.3511,
"(-13342.41448, 149273.05371)","(-13362.52288, 148952.37821)",0.43935252280904213,True,False,2123,826,3183,826,1592,False,"[(-13371.09178, 149240.39221), (-13435.39128, 149217.98711), (-13450.96358, 149184.74191)]"
"(-13150.39048, 147167.67311)","(-13023.58006, 147093.60981)",0.14789875558800214,True,False,1111,397,1667,397,834,False,"[(-13099.47688, 147146.92521), (-13054.38078, 147111.92121)]"
"(-13150.39048, 147167.67311)","(-13517.05858, 147392.12021)",0.4347162370029237,False,False,2100,816,3149,816,1576,False,"[(-13223.90328, 147193.25151), (-13275.49088, 147239.33471), (-13328.05228, 147261.99701), (-13395.22818, 147304.61081), (-13456.11148, 147340.84591), (-13508.24398, 147380.59991)]"
"(-13150.39048, 147167.67311)","(-12676.38838, 147401.01541)",0.7111477735583815,False,False,3436,1336,5152,1336,2576,False,"[(-13171.65668, 147212.23281), (-13130.41308, 147261.45661), (-13062.59878, 147298.55261), (-13017.96268, 147325.21091), (-12952.94158, 147359.35791), (-12929.35158, 147310.37261), (-12883.93138, 147363.21411), (-12862.94158, 147423.13451), (-12823.21628, 147443.79811)]"
"(-13150.39048, 147167.67311)","(-13290.59419, 147587.12927)",0.0,False,True,0,0,0,0,0,False,
"(-12077.01318, 148042.24901)","(-12081.56955, 148030.69877)",0.012416462927692634,True,False,60,23,90,23,45,13.123,
"(-12077.01318, 148042.24901)","(-12090.12278, 148160.55131)",0.1222943954341742,False,False,591,230,887,230,443,False,"[(-12069.69608, 148083.63751), (-12075.25228, 148124.91251)]"
"(-12077.01318, 148042.24901)","(-12708.81718, 147887.38281)",0.7521592700475371,False,False,3635,1413,5450,1413,2727,False,"[(-12137.10618, 148084.98631), (-12167.63848, 148078.60181), (-12205.69488, 148070.64401), (-12292.55448, 148046.32871), (-12355.92308, 147986.57611), (-12437.44078, 147983.07991), (-12480.70248, 147991.54901), (-12515.77118, 147963.94661), (-12561.85588, 147952.67561), (-12580.49798, 147908.63611), (-12606.90668, 147871.64211), (-12658.56278, 147848.61341)]"
"(-14451.34568, 148138.03471)","(-14588.57088, 148086.74141)",0.14788549361901637,False,False,1111,397,1667,397,833,False,"[(-14524.06268, 148100.13261)]"
"(-14451.34568, 148138.03471)","(-14261.58618, 148060.00501)",0.2077408763954504,False,False,1561,558,2341,558,1171,False,"[(-14440.99458, 148135.18271)]"
"(-14451.34568, 148138.03471)","(-14784.72258, 148459.94331)",0.4702893459775182,False,False,3535,1261,5301,1261,2650,False,"[(-14488.98938, 148205.82491), (-14528.21848, 148237.97601), (-14554.52328, 148251.31111), (-14630.26168, 148341.63771), (-14715.14148, 148410.46881)]"
