x,y,is_exit,is_source,stands
-12438.34998,149911.92941,False,False,"[968, 1251, 965]"
-13500.79458,147648.48191,False,False,"[1019, 1253, 1479]"
-12581.62248,146404.94151,True,False,[1103]
-12676.76408,147148.37501,False,False,"[810, 1092, 1094]"
-12205.87018,150991.84471,False,False,"[961, 958, 959]"
-13867.32058,147174.92451,False,False,"[1453, 1599]"
-13459.37977,147097.59772,False,False,"[1096, 1593, 1595]"
-12263.80848,147091.67241,True,False,"[810, 1094]"
-12204.27398,147128.64421,False,False,"[1093, 1094]"
-14115.84058,148231.16461,False,False,"[1018, 1459, 1183]"
-11888.78078,147252.51691,True,False,"[1200, 1093]"
-11932.40778,147220.85121,True,False,"[1200, 1093]"
-12041.43778,149785.47481,False,False,"[1355, 1251, 815]"
-13489.18408,149095.06091,True,False,"[1192, 1358, 919]"
-13342.41448,149273.05371,False,False,"[1242, 1358, 919]"
-13450.72168,146777.41561,False,False,"[1593, 1595]"
-13150.39048,147167.67311,False,False,"[1096, 1092, 1253]"
-12077.01318,148042.24901,False,False,"[1026, 1029]"
-14451.34568,148138.03471,False,False,"[1014, 1183]"
-12936.77568,150847.07991,True,False,[1191]
-13121.22238,149067.73671,False,False,"[1473, 1474, 1358]"
-12181.79218,146626.33611,False,False,"[1097, 1201]"
-14246.78158,150347.65021,False,False,"[956, 957]"
-14747.5615,149078.66405,False,False,"[1243, 877]"
-12376.80708,146880.38561,False,False,"[1200, 1094, 1095]"
-11614.43768,146306.63241,True,False,[1201]
-13535.03698,150818.95011,False,False,"[953, 1189]"
-14852.42928,148832.95261,False,False,"[1459, 877, 878]"
-13503.97838,148238.07981,False,False,"[921, 922]"
-12169.65998,150016.73191,False,False,"[1251, 965, 966]"
-12770.76558,146507.5353,False,False,"[1594, 1596]"
-13672.51748,148400.85541,True,False,"[922, 1476]"
-12415.94768,150663.74621,False,False,"[961, 1354, 964]"
-13338.97268,148543.80121,True,False,[921]
-12580.68998,146607.75611,False,False,"[1096, 1095, 1103]"
-13700.70448,146912.22621,False,False,"[1076, 1599]"
-12730.49258,147044.27301,False,False,"[1096, 1092, 1094]"
-13920.16998,150090.00461,True,False,[957]
-11701.81518,146963.95881,True,False,[1200]
-12962.70158,148897.86801,False,False,"[1473, 1474]"
-13226.05408,146692.81491,False,False,"[1193, 1595]"
-12966.85048,146609.79601,False,False,"[1597, 1598]"
-13242.88528,149724.48541,False,False,"[1242, 1190, 967]"
-14788.58488,147879.74541,False,False,"[1291, 1244]"
-12916.49978,146804.13601,False,False,"[1096, 1597, 1598]"
-12178.68768,147494.02351,False,False,"[810, 1091]"
-13322.81538,150391.65261,False,False,"[1288, 1353]"
-12193.48708,149840.19281,False,False,"[1251, 966, 815]"
-13959.76258,147857.25941,True,False,"[1016, 1018, 1253]"
-13111.00188,147817.87781,False,False,"[1025, 1253]"
-13944.79308,150216.77961,True,False,[957]
-13198.59018,149677.26611,False,False,"[1242, 1251, 967]"
-14536.41298,149171.48071,True,False,[1243]
