"Source(x,y)","Target(x,y)"
"(-12438.34998, 149911.92941)","(-12169.65998, 150016.73191)"
"(-12438.34998, 149911.92941)","(-12815.40568, 149829.76891)"
"(-12438.34998, 149911.92941)","(-12630.04948, 150215.18591)"
"(-12438.34998, 149911.92941)","(-12571.66956, 150052.70114)"
"(-12438.34998, 149911.92941)","(-12666.14925, 149667.58121)"
"(-12169.65998, 150016.73191)","(-12438.34998, 149911.92941)"
"(-12169.65998, 150016.73191)","(-12193.48708, 149840.19281)"
"(-12169.65998, 150016.73191)","(-11828.98588, 150328.93911)"
"(-12169.65998, 150016.73191)","(-11960.48012, 150082.8279)"
"(-12169.65998, 150016.73191)","(-12666.14925, 149667.58121)"
"(-12815.40568, 149829.76891)","(-12438.34998, 149911.92941)"
"(-12815.40568, 149829.76891)","(-13198.59018, 149677.26611)"
"(-12815.40568, 149829.76891)","(-12880.92928, 150025.69071)"
"(-12815.40568, 149829.76891)","(-13032.42201, 149899.99789)"
"(-12815.40568, 149829.76891)","(-12571.66956, 150052.70114)"
"(-12815.40568, 149829.76891)","(-12666.14925, 149667.58121)"
"(-12630.04948, 150215.18591)","(-12438.34998, 149911.92941)"
"(-12630.04948, 150215.18591)","(-12193.00388, 150408.57981)"
"(-12630.04948, 150215.18591)","(-12713.51408, 150173.77301)"
"(-12630.04948, 150215.18591)","(-12482.69789, 150476.59119)"
"(-12630.04948, 150215.18591)","(-12571.66956, 150052.70114)"
"(-12571.66956, 150052.70114)","(-12438.34998, 149911.92941)"
"(-12571.66956, 150052.70114)","(-12815.40568, 149829.76891)"
"(-12571.66956, 150052.70114)","(-12880.92928, 150025.69071)"
"(-12571.66956, 150052.70114)","(-12630.04948, 150215.18591)"
"(-12571.66956, 150052.70114)","(-12713.51408, 150173.77301)"
"(-12666.14925, 149667.58121)","(-12438.34998, 149911.92941)"
"(-12666.14925, 149667.58121)","(-12041.43778, 149785.47481)"
"(-12666.14925, 149667.58121)","(-12169.65998, 150016.73191)"
"(-12666.14925, 149667.58121)","(-12193.48708, 149840.19281)"
"(-12666.14925, 149667.58121)","(-13198.59018, 149677.26611)"
"(-12666.14925, 149667.58121)","(-12815.40568, 149829.76891)"
"(-12666.14925, 149667.58121)","(-12379.68718, 149572.13951)"
"(-12666.14925, 149667.58121)","(-12695.44878, 149352.03591)"
"(-12666.14925, 149667.58121)","(-12743.46288, 149316.06771)"
"(-12666.14925, 149667.58121)","(-12931.20988, 149482.68611)"
"(-13500.79458, 147648.48191)","(-13269.46868, 147377.14501)"
"(-13500.79458, 147648.48191)","(-13345.51158, 147527.30121)"
"(-13500.79458, 147648.48191)","(-13656.34528, 147921.06891)"
"(-13500.79458, 147648.48191)","(-13432.83625, 147809.62672)"
"(-13500.79458, 147648.48191)","(-13290.59419, 147587.12927)"
"(-13500.79458, 147648.48191)","(-13413.54337, 147534.53855)"
"(-13269.46868, 147377.14501)","(-13500.79458, 147648.48191)"
"(-13269.46868, 147377.14501)","(-13345.51158, 147527.30121)"
"(-13269.46868, 147377.14501)","(-13290.59419, 147587.12927)"
"(-13269.46868, 147377.14501)","(-13413.54337, 147534.53855)"
"(-13345.51158, 147527.30121)","(-13500.79458, 147648.48191)"
"(-13345.51158, 147527.30121)","(-13269.46868, 147377.14501)"
"(-13345.51158, 147527.30121)","(-13212.37538, 147764.49301)"
"(-13345.51158, 147527.30121)","(-13432.83625, 147809.62672)"
"(-13345.51158, 147527.30121)","(-13290.59419, 147587.12927)"
"(-13345.51158, 147527.30121)","(-13413.54337, 147534.53855)"
"(-13656.34528, 147921.06891)","(-13500.79458, 147648.48191)"
"(-13656.34528, 147921.06891)","(-13959.76258, 147857.25941)"
"(-13656.34528, 147921.06891)","(-13634.20328, 148057.00371)"
"(-13656.34528, 147921.06891)","(-13827.41254, 148018.7185)"
"(-13656.34528, 147921.06891)","(-13432.83625, 147809.62672)"
"(-13656.34528, 147921.06891)","(-13290.59419, 147587.12927)"
"(-13432.83625, 147809.62672)","(-13500.79458, 147648.48191)"
"(-13432.83625, 147809.62672)","(-13656.34528, 147921.06891)"
"(-13432.83625, 147809.62672)","(-13634.20328, 148057.00371)"
"(-13432.83625, 147809.62672)","(-13345.51158, 147527.30121)"
"(-13432.83625, 147809.62672)","(-13212.37538, 147764.49301)"
"(-13290.59419, 147587.12927)","(-13500.79458, 147648.48191)"
"(-13290.59419, 147587.12927)","(-13150.39048, 147167.67311)"
"(-13290.59419, 147587.12927)","(-13959.76258, 147857.25941)"
"(-13290.59419, 147587.12927)","(-13111.00188, 147817.87781)"
"(-13290.59419, 147587.12927)","(-13517.05858, 147392.12021)"
"(-13290.59419, 147587.12927)","(-13016.03408, 147973.70541)"
"(-13290.59419, 147587.12927)","(-13982.38488, 147789.31921)"
"(-13290.59419, 147587.12927)","(-13656.34528, 147921.06891)"
"(-13290.59419, 147587.12927)","(-12902.22938, 147791.44611)"
"(-13290.59419, 147587.12927)","(-13269.46868, 147377.14501)"
"(-13290.59419, 147587.12927)","(-12676.38838, 147401.01541)"
"(-13290.59419, 147587.12927)","(-13345.51158, 147527.30121)"
"(-13290.59419, 147587.12927)","(-13212.37538, 147764.49301)"
"(-13290.59419, 147587.12927)","(-12784.22368, 147864.57911)"
"(-13290.59419, 147587.12927)","(-12689.95068, 147506.21071)"
"(-13413.54337, 147534.53855)","(-13500.79458, 147648.48191)"
"(-13413.54337, 147534.53855)","(-13269.46868, 147377.14501)"
"(-13413.54337, 147534.53855)","(-13345.51158, 147527.30121)"
"(-12676.76408, 147148.37501)","(-12730.49258, 147044.27301)"
