ID_UG;nodes
968;(-12438.34998, 149911.92941),(-12815.40568, 149829.76891),(-12880.92928, 150025.69071),(-12630.04948, 150215.18591),(-12713.51408, 150173.77301),(-12571.66956, 150052.70114)
1251;(-12438.34998, 149911.92941),(-12041.43778, 149785.47481),(-12169.65998, 150016.73191),(-12193.48708, 149840.19281),(-13198.59018, 149677.26611),(-12815.40568, 149829.76891),(-12379.68718, 149572.13951),(-12695.44878, 149352.03591),(-12743.46288, 149316.06771),(-12931.20988, 149482.68611),(-12666.14925, 149667.58121)
965;(-12438.34998, 149911.92941),(-12169.65998, 150016.73191),(-12193.00388, 150408.57981),(-11828.98588, 150328.93911),(-12146.24188, 150392.86561),(-12630.04948, 150215.18591),(-11953.75679, 150358.93574)
1019;(-13500.79458, 147648.48191),(-13656.34528, 147921.06891),(-13634.20328, 148057.00371),(-13345.51158, 147527.30121),(-13212.37538, 147764.49301),(-13432.83625, 147809.62672)
1253;(-13500.79458, 147648.48191),(-13150.39048, 147167.67311),(-13959.76258, 147857.25941),(-13111.00188, 147817.87781),(-13517.05858, 147392.12021),(-13016.03408, 147973.70541),(-13982.38488, 147789.31921),(-13656.34528, 147921.06891),(-12902.22938, 147791.44611),(-13269.46868, 147377.14501),(-12676.38838, 147401.01541),(-13345.51158, 147527.30121),(-13212.37538, 147764.49301),(-12784.22368, 147864.57911),(-12689.95068, 147506.21071),(-13290.59419, 147587.12927)
1479;(-13500.79458, 147648.48191),(-13269.46868, 147377.14501),(-13345.51158, 147527.30121),(-13413.54337, 147534.53855)
810;(-12676.76408, 147148.37501),(-12178.68768, 147494.02351),(-12457.51948, 147320.30191),(-12280.57218, 147253.92281),(-12605.97578, 147390.85921),(-12340.79808, 147255.51221),(-12253.57308, 147164.96431),(-12314.97658, 147203.97811),(-12445.81777, 147294.8568)
1092;(-12676.76408, 147148.37501),(-13150.39048, 147167.67311),(-12730.49258, 147044.27301),(-12605.97578, 147390.85921),(-12856.57828, 147058.04901),(-12676.38838, 147401.01541),(-13023.58006, 147093.60981)
1094;(-12676.76408, 147148.37501),(-12204.27398, 147128.64421),(-12376.80708, 146880.38561),(-12730.49258, 147044.27301),(-12150.41828, 147034.86361),(-12253.57308, 147164.96431),(-12573.93998, 146944.30511),(-12465.81377, 147031.14202)
1093;(-12204.27398, 147128.64421),(-12150.41828, 147034.86361),(-11646.16018, 147401.95171),(-11647.46748, 147490.42951),(-11915.1548, 147459.44344)
1018;(-14115.84058, 148231.16461),(-13959.76258, 147857.25941),(-14261.58618, 148060.00501),(-13982.38488, 147789.31921),(-13912.17588, 148174.97421),(-14041.91648, 147856.58241),(-14082.90658, 148243.02061),(-14083.29341, 148038.77795)
1459;(-14115.84058, 148231.16461),(-14508.68698, 148862.21821),(-14908.31698, 148833.23941),(-14459.27998, 148782.04391),(-14082.90658, 148243.02061),(-14269.57668, 148533.53211),(-14069.78638, 148330.28551),(-14559.30131, 148727.3699),(-14725.76647, 148708.12995)
1183;(-14115.84058, 148231.16461),(-14451.34568, 148138.03471),(-14261.58618, 148060.00501),(-14923.24858, 148582.19891),(-14908.31698, 148833.23941),(-14784.72258, 148459.94331),(-15028.03215, 148863.75522)
1355;(-12041.43778, 149785.47481),(-12255.08068, 149486.44061),(-11981.49018, 149557.28201),(-12379.68718, 149572.13951),(-12107.60039, 149563.08518)
815;(-12041.43778, 149785.47481),(-12193.48708, 149840.19281),(-11771.13658, 150069.97271),(-11981.49018, 149557.28201),(-11721.16148, 150038.74081),(-11669.25283, 149932.36009)
1242;(-13342.41448, 149273.05371),(-13242.88528, 149724.48541),(-13198.59018, 149677.26611),(-13153.70138, 149198.15421),(-13255.63098, 149270.93711),(-13513.26518, 149711.07671),(-13592.64028, 149533.99081),(-12967.41188, 149141.69051),(-12931.20988, 149482.68611),(-13398.16458, 149824.60111),(-13191.91595, 149213.96773),(-13344.55208, 149283.23872)
1358;(-13342.41448, 149273.05371),(-13121.22238, 149067.73671),(-13153.70138, 149198.15421),(-13255.63098, 149270.93711),(-13362.52288, 148952.37821)
1096;(-13150.39048, 147167.67311),(-12580.68998, 146607.75611),(-12730.49258, 147044.27301),(-13808.57768, 147230.26881),(-13517.05858, 147392.12021),(-13788.95158, 147217.47001),(-12856.57828, 147058.04901),(-12573.93998, 146944.30511),(-12645.86123, 146575.13652)
1026;(-12077.01318, 148042.24901),(-12090.12278, 148160.55131),(-12708.81718, 147887.38281),(-12523.52258, 148105.74521)
1029;(-12077.01318, 148042.24901),(-12648.09898, 147728.21881),(-12196.46238, 147903.70951),(-12902.22938, 147791.44611),(-12708.81718, 147887.38281),(-12784.22368, 147864.57911),(-12081.56955, 148030.69877),(-12165.39827, 147921.14491)
1014;(-14451.34568, 148138.03471),(-14588.57088, 148086.74141),(-14784.72258, 148459.94331),(-14646.58932, 148243.81285)
1191;(-12936.77568, 150847.07991),(-12989.03628, 150813.47421),(-13157.07228, 150118.38961),(-12880.92928, 150025.69071),(-12903.30308, 150870.32291),(-13227.07898, 150146.22091),(-12730.80248, 150707.27031),(-13265.02588, 150442.04271),(-12664.03048, 150521.83051),(-12713.51408, 150173.77301),(-12976.39239, 150817.80705)
