x,y
-12936.77568,150847.07991
-13944.79308,150216.77961
-13808.57768,147230.26881
-14792.76558,147894.42081
-12989.03628,150813.47421
-12084.52488,149162.66771
-13255.63098,149270.93711
-11646.16018,147401.95171
-13788.95158,147217.47001
-13362.52288,148952.37821
-13864.08228,148731.81221
-14102.65778,150653.72541
-13592.64028,149533.99081
-12431.95498,150877.72851
-14540.70728,149022.29541
-12451.77348,146591.56311
-12856.57828,147058.04901
-12903.30308,150870.32291
-12131.75518,149344.27771
-11721.16148,150038.74081
-12146.24188,150392.86561
-13960.11328,150381.75201
-11529.38348,147400.07031
-12574.02218,150958.16571
-12005.01458,148333.32061
-11666.33808,147348.19052
-12225.39426,146864.2554
-12192.16702,146876.89672
-14559.30131,148727.3699
-14725.76647,148708.12995
-11669.25283,149932.36009
-14007.67333,147513.84128
-14027.63358,147523.27423
-13552.61908,147372.45363
-13573.75614,148328.60157
-13898.65996,150339.52273
-12403.7768,150994.82511
-12171.05377,150701.3403
-12882.46849,150884.95349
-11953.75679,150358.93574
-14200.06897,148883.78631
-12087.62932,148492.70236
-12033.33143,148289.34676
-12081.56955,148030.69877
-12165.39827,147921.14491
-13023.58006,147093.60981
-11915.1548,147459.44344
-12645.86123,146575.13652
-15028.03215,148863.75522
-12976.39239,150817.80705
-13191.91595,149213.96773
-13344.55208,149283.23872
-12355.92176,149299.8976
-13053.49218,150786.17611
