Node,Stand
"(-12770.76558, 146507.5353)","[1594, 1596]"
"(-12733.85388, 146561.12711)","[1594, 1596]"
"(-12686.93718, 146655.17411)","[1096, 1594, 1596]"
"(-12649.74288, 146614.16411)","[1096, 1594]"
"(-12641.10768, 146527.34251)","[1096, 1594, 1103]"
"(-12639.35458, 146509.71671)","[1594, 1103]"
"(-12690.56448, 146456.52551)",[1594]
"(-12705.32778, 146463.12191)",[1594]
"(-12758.28508, 146500.05931)",[1594]
"(-12690.75325, 146647.52459)",[1594]
"(-12648.55233, 146500.1631)",[1594]
"(-12705.99725, 146463.58886)",[1594]
"(-12645.86123, 146575.13653)",[1594]
"(-12864.00236, 146562.20164)","[1596, 1597]"
"(-12830.57718, 146643.65061)","[1596, 1597]"
"(-12788.90518, 146721.04141)","[1596, 1597]"
"(-12771.02698, 146756.67071)","[1096, 1596, 1597]"
"(-12723.99258, 146709.97971)","[1096, 1596]"
"(-12813.09918, 146532.89371)",[1596]
"(-12813.10208, 146532.89551)",[1596]
"(-12779.02492, 146740.73168)",[1596]
"(-12966.85048, 146609.79601)","[1597, 1598]"
"(-12970.14518, 146621.16101)","[1597, 1598]"
"(-12962.20768, 146652.24961)","[1597, 1598]"
"(-12947.65558, 146705.82791)","[1597, 1598]"
"(-12927.81178, 146759.40611)","[1597, 1598]"
"(-12916.49978, 146804.13601)","[1096, 1597, 1598]"
"(-12874.23558, 146791.73581)","[1096, 1597]"
"(-12814.29168, 146779.49421)","[1096, 1597]"
"(-12882.90408, 146573.08441)",[1597]
"(-12932.60178, 146593.11691)",[1597]
"(-12949.69148, 146609.51941)",[1597]
"(-12884.33638, 146794.69936)",[1597]
"(-13073.86918, 146632.53181)","[1193, 1598]"
"(-13058.18548, 146682.41221)","[1193, 1598]"
"(-13043.63338, 146728.71441)","[1193, 1598]"
"(-13015.85208, 146804.12081)","[1193, 1598]"
"(-13000.03448, 146857.07531)","[1096, 1193, 1598]"
"(-12951.50618, 146838.00671)","[1096, 1598]"
"(-13004.56168, 146610.40391)",[1598]
