"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-16320.80838, 151919.77041)","(-16348.11208, 151872.35941)",0.054711013102384944,23.2042,True,False,264,103,396,103,198,
"(-16320.80838, 151919.77041)","(-16196.63518, 152389.50511)",0.5123228942286419,False,True,False,2475,962,3713,962,1854,"[(-16305.99168, 151962.10381), (-16298.58328, 152016.07891), (-16267.89158, 152325.11291), (-16232.96648, 152373.79641)]"
"(-16569.32618, 150979.28741)","(-16237.45418, 150924.96511)",0.3795354099717132,False,False,False,1834,713,2751,713,1375,"[(-16532.94598, 150979.94891), (-16494.74188, 150999.17801)]"
"(-16569.32618, 150979.28741)","(-16808.55408, 151009.05311)",0.3198196967378318,False,True,False,2404,859,3605,859,1803,"[(-16569.78498, 150950.27431), (-16595.47968, 150911.61601), (-16688.70028, 150986.63231), (-16723.81858, 150991.77961), (-16758.94468, 151007.73021)]"
"(-16569.32618, 150979.28741)","(-16575.43868, 151156.44821)",0.18026794632876342,False,False,False,869,339,1306,339,654,"[(-16566.01898, 151007.06881), (-16569.32618, 151042.78761), (-16576.54698, 151068.78521), (-16583.21688, 151089.75121), (-16577.92518, 151110.25651)]"
"(-16569.32618, 150979.28741)","(-16339.84618, 151083.84339)",0.0,False,False,True,0,0,0,0,0,
"(-15761.71028, 151228.89011)","(-15911.35608, 151149.26531)",0.22285568309719023,False,True,False,1077,419,1615,419,808,"[(-15837.67368, 151263.83111), (-15894.12818, 151202.17511)]"
"(-15761.71028, 151228.89011)","(-16129.48928, 151638.06691)",1.5695725395897084,False,True,False,7582,2948,11373,2948,5685,"[(-15742.87218, 151373.36521), (-15674.30698, 151361.66571), (-15646.65768, 151295.89101), (-15599.78398, 151252.55021), (-15587.95728, 151189.65731), (-15647.75948, 151186.66331), (-15714.18048, 151203.98721), (-15809.94198, 151377.67811), (-15798.28916, 151460.01916), (-15790.89598, 151468.19751), (-15797.78117, 151482.06744), (-15885.59988, 151440.64081), (-15931.68588, 151410.13521), (-15989.89448, 151363.04251), (-16050.49098, 151347.49951), (-16097.19288, 151365.41331), (-16039.88338, 151401.59431), (-15998.38988, 151431.66511), (-15981.95008, 151483.01581)]"
"(-16348.11208, 151872.35941)","(-16129.48928, 151638.06691)",0.34065640676490405,False,False,False,1647,639,2469,639,1234,"[(-16309.21828, 151840.60931), (-16284.61198, 151816.00311), (-16230.63678, 151765.99671), (-16202.06178, 151763.61541), (-16162.37428, 151719.16531), (-16148.88038, 151662.80901)]"
"(-16348.11208, 151872.35941)","(-16583.99398, 151715.89081)",0.2853110882202074,False,False,False,1377,535,2068,535,1032,"[(-16358.92528, 151863.62931), (-16379.01678, 151838.59611), (-16443.31068, 151799.70231), (-16499.66698, 151763.18961), (-16549.67338, 151730.64581)]"
"(-16053.63158, 151800.99241)","(-15697.22236, 151795.71972)",0.398019855326393,False,True,False,1923,748,2884,748,1443,"[(-15795.04978, 151756.65521), (-15722.72478, 151785.17541), (-15874.65038, 151718.69861)]"
"(-16053.63158, 151800.99241)","(-16129.48928, 151638.06691)",0.23254391621234974,False,False,False,1123,437,1685,437,843,"[(-16038.46608, 151722.45531), (-16047.18218, 151654.35891)]"
"(-16053.63158, 151800.99241)","(-16032.69918, 152047.32941)",0.3006038973024992,False,False,False,1453,565,2178,565,1089,"[(-16113.88178, 151852.48281), (-16120.43768, 151912.55091), (-16083.26468, 151974.91641)]"
"(-16177.78868, 152360.28931)","(-16193.87978, 152273.95141)",0.08782457785618579,23.2042,False,False,424,165,636,165,318,
"(-16177.78868, 152360.28931)","(-16196.63518, 152389.50511)",0.03476713292594462,27.2388,False,False,261,93,392,93,196,
"(-16177.78868, 152360.28931)","(-15756.03528, 152567.21331)",0.5494825273342783,False,False,False,4128,1476,6194,1476,3098,"[(-16003.20928, 152369.48531), (-16066.76328, 152359.55071), (-16141.57128, 152388.88291), (-15958.39048, 152373.82791), (-15784.33048, 152497.76871)]"
"(-16177.78868, 152360.28931)","(-15889.01691, 152400.40816)",0.0,False,False,True,0,0,0,0,0,
"(-16196.63518, 152389.50511)","(-15756.03528, 152567.21331)",0.5169616131124167,False,False,False,3885,1388,5826,1388,2914,"[(-15791.65778, 152603.28591), (-15824.32988, 152595.30601)]"
"(-15756.03528, 152567.21331)","(-15657.68558, 152496.07061)",0.12596600359858692,False,False,False,946,338,1420,338,710,"[(-15697.54288, 152545.67691)]"
"(-15756.03528, 152567.21331)","(-15889.01691, 152400.40816)",0.0,False,False,True,0,0,0,0,0,
"(-17121.48414, 151579.06896)","(-17091.20236, 151369.30018)",0.22121072942316727,False,True,False,1069,415,1603,415,801,"[(-17088.80528, 151394.20421), (-17090.06768, 151439.45241)]"
"(-17121.48414, 151579.06896)","(-16583.99398, 151715.89081)",1.0605643482117821,False,False,False,5119,1992,7687,1992,3841,"[(-17171.12668, 151799.90841), (-17192.85038, 151787.30861), (-17210.81418, 151776.88961), (-17228.38798, 151765.92141), (-17251.07268, 151751.76331), (-17261.69808, 151694.11361), (-17260.22338, 151636.59961), (-17142.45848, 151808.89391), (-16994.12008, 151811.81471), (-16953.63868, 151799.11461)]"
"(-17121.48414, 151579.06896)","(-16772.01658, 151520.23581)",0.48785218922185586,False,False,False,2356,916,3535,916,1767,"[(-16990.31968, 151646.99871), (-16924.80818, 151627.67371), (-16837.31288, 151549.81201), (-16818.74118, 151510.24101)]"
"(-16596.47518, 151702.05511)","(-16583.99398, 151715.89081)",0.018633489955742166,23.2042,False,False,90,35,135,35,68,
"(-16596.47518, 151702.05511)","(-16772.01658, 151520.23581)",0.25416709109729296,False,False,False,1228,477,1842,477,921,"[(-16734.41908, 151548.22011)]"
"(-16596.47518, 151702.05511)","(-16171.16938, 151270.27541)",0.6319219864932014,False,False,False,3053,1186,4578,1186,2291,"[(-16574.97978, 151657.88001), (-16492.65868, 151572.95191), (-16482.07528, 151522.15171), (-16403.75838, 151424.78501)]"
"(-16596.47518, 151702.05511)","(-16545.99384, 151404.14121)",0.0,False,False,True,0,0,0,0,0,
"(-16171.16938, 151270.27541)","(-16273.14248, 151243.12321)",0.10923985316381522,False,False,False,528,205,792,205,396,"[(-16212.37298, 151244.79171)]"
"(-16171.16938, 151270.27541)","(-15911.35608, 151149.26531)",0.43078146102894527,False,False,False,2082,808,3120,808,1561,"[(-16118.44488, 151250.01651)]"
"(-16171.16938, 151270.27541)","(-16545.99384, 151404.14121)",0.0,False,False,True,0,0,0,0,0,
"(-15418.47388, 152048.63201)","(-15697.22236, 151795.71972)",0.5670116415021726,False,True,False,2738,1065,4110,1065,2054,"[(-15395.11318, 151993.67831), (-15376.27178, 151959.44151)]"
"(-15418.47388, 152048.63201)","(-15644.72008, 152119.21781)",0.24430221154287984,False,False,False,1181,459,1770,459,885,"[(-15459.51628, 152079.64981), (-15517.51038, 152109.38631), (-15595.85888, 152117.83961)]"
"(-15418.47388, 152048.63201)","(-15657.68558, 152496.07061)",0.5129003199221419,False,False,False,2476,963,3715,963,1858,"[(-15428.96268, 152089.95791), (-15445.88298, 152156.62391), (-15501.92948, 152266.17411), (-15549.94528, 152345.28501), (-15553.00218, 152350.65611), (-15568.06888, 152377.12871), (-15580.38508, 152391.31831)]"
"(-15418.47388, 152048.63201)","(-15631.13294, 152270.4154)",0.0,False,False,True,0,0,0,0,0,
"(-16193.87978, 152273.95141)","(-15902.13488, 152289.47771)",0.30541382746770523,False,False,False,1474,574,2213,574,1106,"[(-16127.08138, 152267.22551)]"
"(-16193.87978, 152273.95141)","(-16032.69918, 152047.32941)",0.27863300656453904,False,False,False,1346,523,2019,523,1009,"[(-16133.30348, 152199.60181), (-16096.40968, 152151.50351)]"
"(-16193.87978, 152273.95141)","(-15889.01691, 152400.40816)",0.0,False,False,True,0,0,0,0,0,
"(-16193.87978, 152273.95141)","(-15892.13231, 152158.89453)",0.0,False,False,True,0,0,0,0,0,
"(-17072.64448, 151323.34751)","(-17052.54658, 151306.84981)",0.026001917038928166,22.1507,True,False,126,49,188,49,94,
"(-17072.64448, 151323.34751)","(-16979.12465, 151230.46695)",0.16041206544483652,False,True,False,775,301,1162,301,581,"[(-16991.51388, 151211.88311)]"
"(-17072.64448, 151323.34751)","(-17091.20236, 151369.30018)",0.05816384829320632,False,True,False,280,110,421,110,211,"[(-17077.44638, 151327.28921)]"
"(-17072.64448, 151323.34751)","(-16852.21858, 151033.36171)",1.0132114273140034,False,True,False,4895,1905,7341,1905,3672,"[(-17194.39538, 151072.59601), (-17232.25668, 151137.22671), (-17220.80568, 151197.20391), (-17207.90168, 151246.95081), (-17172.75388, 151264.79991), (-17102.63908, 151276.70611), (-17140.25668, 151092.78421), (-16865.07758, 150973.68171)]"
"(-16808.55408, 151009.05311)","(-16841.99248, 151027.66871)",0.03827097017217581,False,True,False,287,103,431,103,215,"[(-16822.07959, 151016.58294)]"
"(-16032.69918, 152047.32941)","(-15644.72008, 152119.21781)",0.5111275180136091,False,False,False,2470,961,3704,961,1852,"[(-15865.68078, 151972.67271), (-15917.24788, 151987.58021), (-15973.51948, 152019.66251), (-15817.17988, 151994.92931)]"
"(-16032.69918, 152047.32941)","(-15892.13231, 152158.89453)",0.0,False,False,True,0,0,0,0,0,
"(-16575.43868, 151156.44821)","(-16852.21858, 151033.36171)",0.4259602446003912,False,True,False,3200,1143,4802,1143,2401,"[(-16724.37838, 151166.55631), (-16672.04858, 151170.53101), (-16625.23098, 151166.37651), (-16773.21968, 151148.86961)]"
"(-16575.43868, 151156.44821)","(-16737.56238, 151361.11481)",0.348427215778999,False,False,False,1683,653,2524,653,1264,"[(-16552.26948, 151165.80701), (-16557.12888, 151178.94241)]"
"(-16575.43868, 151156.44821)","(-16273.14248, 151243.12321)",0.4099358306223427,False,False,False,1980,769,2971,769,1486,"[(-16459.29698, 151172.45321)]"
"(-16575.43868, 151156.44821)","(-16339.84618, 151083.84339)",0.0,False,False,True,0,0,0,0,0,
"(-16575.43868, 151156.44821)","(-16545.99384, 151404.14121)",0.0,False,False,True,0,0,0,0,0,
"(-16237.45418, 150924.96511)","(-16203.4408, 150878.98087)",0.05719668126212538,23.2042,True,False,276,107,414,107,207,
"(-16237.45418, 150924.96511)","(-16273.14248, 151243.12321)",0.5487325640257437,False,False,False,2650,1032,3976,1032,1987,"[(-16191.73268, 151200.62121), (-16157.77588, 151170.92531), (-16082.69748, 151038.11431)]"
"(-16237.45418, 150924.96511)","(-16339.84618, 151083.84339)",0.0,False,False,True,0,0,0,0,0,
"(-15911.35608, 151149.26531)","(-15842.48604, 151170.45481)",0.07678177956833107,False,True,False,370,144,556,144,279,"[(-15854.91918, 151176.83081)]"
