"Source(x,y)","Target(x,y)",has_exit,has_source,slope,edgelength,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-15671.33568, 151806.42291)","(-15697.22236, 151795.71972)",True,False,22.0352,0.028012113051294148,135,53,203,53,101,
"(-15671.33568, 151806.42291)","(-15529.13538, 151842.72781)",True,False,False,0.16054841277285656,775,302,1164,302,581,"[(-15640.11968, 151844.63971), (-15577.66468, 151846.89071)]"
"(-15671.33568, 151806.42291)","(-15812.62395, 151624.26739)",False,True,False,0.0,0,0,0,0,0,
"(-15671.33568, 151806.42291)","(-15752.12872, 151924.19552)",False,True,False,0.0,0,0,0,0,0,
"(-15697.22236, 151795.71972)","(-15671.33568, 151806.42291)",True,False,22.0352,0.028012113051294148,135,53,203,53,101,
"(-15697.22236, 151795.71972)","(-15734.34537, 151780.59302)",True,False,False,0.040087755755310726,193,75,291,75,145,"[(-15722.72478, 151785.17541)]"
"(-15697.22236, 151795.71972)","(-15812.62395, 151624.26739)",True,True,False,0.0,0,0,0,0,0,
"(-15697.22236, 151795.71972)","(-15752.12872, 151924.19552)",True,True,False,0.0,0,0,0,0,0,
"(-15529.13538, 151842.72781)","(-15671.33568, 151806.42291)",True,False,False,0.16054841277285656,775,302,1164,302,581,"[(-15640.11968, 151844.63971), (-15577.66468, 151846.89071)]"
"(-15529.13538, 151842.72781)","(-15447.71438, 151858.12181)",True,False,False,0.09864899476680544,476,186,715,186,358,"[(-15490.32618, 151823.09841)]"
"(-15529.13538, 151842.72781)","(-15812.62395, 151624.26739)",False,True,False,0.0,0,0,0,0,0,
"(-15529.13538, 151842.72781)","(-15752.12872, 151924.19552)",False,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15671.33568, 151806.42291)",False,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15809.94198, 151377.67811)",False,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-16053.63158, 151800.99241)",False,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15529.13538, 151842.72781)",False,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-16047.18218, 151654.35891)",False,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15447.71438, 151858.12181)",False,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15674.30698, 151361.66571)",False,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15465.71408, 151773.68361)",False,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-16129.48928, 151638.06691)",False,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-16040.41012, 151497.36196)",True,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15797.78118, 151482.06744)",True,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15798.28916, 151460.01916)",True,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-16051.34563, 151789.15426)",True,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-16040.83209, 151703.97035)",True,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15942.246, 151741.54959)",True,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15885.00695, 151719.33973)",True,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15778.34735, 151763.24154)",True,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15734.34537, 151780.59302)",True,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15455.21777, 151785.37988)",True,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15455.78739, 151784.74514)",True,True,False,0.0,0,0,0,0,0,
"(-15812.62395, 151624.26739)","(-15697.22236, 151795.71972)",True,True,False,0.0,0,0,0,0,0,
"(-15752.12872, 151924.19552)","(-15671.33568, 151806.42291)",False,True,False,0.0,0,0,0,0,0,
"(-15752.12872, 151924.19552)","(-16053.63158, 151800.99241)",False,True,False,0.0,0,0,0,0,0,
"(-15752.12872, 151924.19552)","(-15418.47388, 152048.63201)",False,True,False,0.0,0,0,0,0,0,
"(-15752.12872, 151924.19552)","(-16032.69918, 152047.32941)",False,True,False,0.0,0,0,0,0,0,
"(-15752.12872, 151924.19552)","(-15529.13538, 151842.72781)",False,True,False,0.0,0,0,0,0,0,
"(-15752.12872, 151924.19552)","(-15447.71438, 151858.12181)",False,True,False,0.0,0,0,0,0,0,
"(-15752.12872, 151924.19552)","(-15644.72008, 152119.21781)",False,True,False,0.0,0,0,0,0,0,
"(-15752.12872, 151924.19552)","(-15942.246, 151741.54959)",True,True,False,0.0,0,0,0,0,0,
"(-15752.12872, 151924.19552)","(-15885.00695, 151719.33973)",True,True,False,0.0,0,0,0,0,0,
"(-15752.12872, 151924.19552)","(-15778.34735, 151763.24154)",True,True,False,0.0,0,0,0,0,0,
"(-15752.12872, 151924.19552)","(-15734.34537, 151780.59302)",True,True,False,0.0,0,0,0,0,0,
"(-15752.12872, 151924.19552)","(-15697.22236, 151795.71972)",True,True,False,0.0,0,0,0,0,0,
"(-15752.12872, 151924.19552)","(-15470.6626, 151880.51005)",True,True,False,0.0,0,0,0,0,0,
"(-15809.94198, 151377.67811)","(-15798.28916, 151460.01916)",True,False,False,0.12664231321382158,612,238,917,238,459,"[(-15851.25848, 151401.42441)]"
"(-15809.94198, 151377.67811)","(-15674.30698, 151361.66571)",True,False,False,0.13676452665333416,661,257,991,257,495,"[(-15742.87218, 151373.36521)]"
"(-15809.94198, 151377.67811)","(-16143.39693, 151461.55789)",False,True,False,0.0,0,0,0,0,0,
"(-15809.94198, 151377.67811)","(-15812.62395, 151624.26739)",False,True,False,0.0,0,0,0,0,0,
"(-15798.28916, 151460.01916)","(-15809.94198, 151377.67811)",True,False,False,0.12664231321382158,612,238,917,238,459,"[(-15851.25848, 151401.42441)]"
"(-15798.28916, 151460.01916)","(-15797.78118, 151482.06744)",True,False,False,0.026509584641809716,128,50,192,50,96,"[(-15790.89598, 151468.19751)]"
"(-15798.28916, 151460.01916)","(-16143.39693, 151461.55789)",True,True,False,0.0,0,0,0,0,0,
"(-15798.28916, 151460.01916)","(-15812.62395, 151624.26739)",True,True,False,0.0,0,0,0,0,0,
"(-15674.30698, 151361.66571)","(-15809.94198, 151377.67811)",True,False,False,0.13676452665333416,661,257,991,257,495,"[(-15742.87218, 151373.36521)]"
"(-15674.30698, 151361.66571)","(-15587.95728, 151189.65731)",False,False,False,0.19918520408672463,962,374,1444,374,722,"[(-15599.78398, 151252.55021), (-15646.65768, 151295.89101)]"
"(-15674.30698, 151361.66571)","(-15465.71408, 151773.68361)",False,False,False,0.5559957449636751,2685,1045,4030,1045,2012,"[(-15709.73468, 151596.15661), (-15728.57398, 151554.84931), (-15653.74688, 151626.68791), (-15521.69868, 151723.56841), (-15483.53838, 151753.82181)]"
"(-15674.30698, 151361.66571)","(-15370.22923, 151382.12787)",False,True,False,0.0,0,0,0,0,0,
"(-15674.30698, 151361.66571)","(-16143.39693, 151461.55789)",False,True,False,0.0,0,0,0,0,0,
"(-15674.30698, 151361.66571)","(-15812.62395, 151624.26739)",False,True,False,0.0,0,0,0,0,0,
"(-16143.39693, 151461.55789)","(-15809.94198, 151377.67811)",False,True,False,0.0,0,0,0,0,0,
"(-16143.39693, 151461.55789)","(-16596.47518, 151702.05511)",False,True,False,0.0,0,0,0,0,0,
"(-16143.39693, 151461.55789)","(-16348.11208, 151872.35941)",False,True,False,0.0,0,0,0,0,0,
"(-16143.39693, 151461.55789)","(-15587.95728, 151189.65731)",False,True,False,0.0,0,0,0,0,0,
"(-16143.39693, 151461.55789)","(-16583.99398, 151715.89081)",False,True,False,0.0,0,0,0,0,0,
"(-16143.39693, 151461.55789)","(-15761.71028, 151228.89011)",False,True,False,0.0,0,0,0,0,0,
"(-16143.39693, 151461.55789)","(-15674.30698, 151361.66571)",False,True,False,0.0,0,0,0,0,0,
"(-16143.39693, 151461.55789)","(-16171.16938, 151270.27541)",False,True,False,0.0,0,0,0,0,0,
"(-16143.39693, 151461.55789)","(-15911.35608, 151149.26531)",False,True,False,0.0,0,0,0,0,0,
"(-16143.39693, 151461.55789)","(-16129.48928, 151638.06691)",False,True,False,0.0,0,0,0,0,0,
"(-16143.39693, 151461.55789)","(-16040.41012, 151497.36196)",True,True,False,0.0,0,0,0,0,0,
"(-16143.39693, 151461.55789)","(-15797.78118, 151482.06744)",True,True,False,0.0,0,0,0,0,0,
"(-16143.39693, 151461.55789)","(-15798.28916, 151460.01916)",True,True,False,0.0,0,0,0,0,0,
"(-16187.02818, 150856.79191)","(-16216.49208, 150851.53241)",True,False,25.4249,0.029929646564232703,225,80,337,80,169,
"(-16187.02818, 150856.79191)","(-16203.4408, 150878.98087)",True,False,23.2042,0.027599348563797834,133,52,200,52,100,
"(-16187.02818, 150856.79191)","(-15945.09588, 150839.36401)",False,False,False,0.3747662442882879,1809,704,2715,704,1359,"[(-16139.15538, 150881.55251), (-16115.59218, 150835.14701), (-16067.65228, 150774.27411), (-16047.93058, 150819.15691), (-16014.28048, 150857.21621), (-15974.90848, 150876.54151)]"
"(-16187.02818, 150856.79191)","(-16015.52817, 150676.42039)",False,True,False,0.0,0,0,0,0,0,
"(-16187.02818, 150856.79191)","(-16009.00877, 151017.28191)",False,True,False,0.0,0,0,0,0,0,
"(-16216.49208, 150851.53241)","(-16187.02818, 150856.79191)",True,False,25.4249,0.029929646564232703,225,80,337,80,169,
"(-16216.49208, 150851.53241)","(-16192.43465, 150699.23742)",True,False,False,0.41495951415511007,3120,1113,4677,1113,2339,"[(-16206.96698, 150711.83211), (-16232.36708, 150667.38211)]"
"(-16216.49208, 150851.53241)","(-16015.52817, 150676.42039)",False,True,False,0.0,0,0,0,0,0,
"(-16203.4408, 150878.98087)","(-16187.02818, 150856.79191)",True,False,23.2042,0.027599348563797834,133,52,200,52,100,
"(-16203.4408, 150878.98087)","(-16237.45418, 150924.96511)",True,False,23.2042,0.05719668126212538,276,107,414,107,207,
"(-16203.4408, 150878.98087)","(-16009.00877, 151017.28191)",True,True,False,0.0,0,0,0,0,0,
"(-15945.09588, 150839.36401)","(-16187.02818, 150856.79191)",False,False,False,0.3747662442882879,1809,704,2715,704,1359,"[(-16139.15538, 150881.55251), (-16115.59218, 150835.14701), (-16067.65228, 150774.27411), (-16047.93058, 150819.15691), (-16014.28048, 150857.21621), (-15974.90848, 150876.54151)]"
"(-15945.09588, 150839.36401)","(-15774.06238, 150740.86021)",False,False,False,0.3087462165242907,1492,579,2237,579,1120,"[(-15810.57718, 150701.87591), (-15875.90788, 150707.32671), (-15934.43398, 150711.31851), (-15926.28128, 150769.85951)]"
"(-15945.09588, 150839.36401)","(-15842.48604, 151170.45481)",True,False,False,0.5523228345826318,2669,1038,4002,1038,2002,"[(-15796.43548, 151146.83901)]"
"(-15945.09588, 150839.36401)","(-16015.52817, 150676.42039)",False,True,False,0.0,0,0,0,0,0,
"(-15945.09588, 150839.36401)","(-15736.21395, 150994.90272)",False,True,False,0.0,0,0,0,0,0,
"(-15945.09588, 150839.36401)","(-16009.00877, 151017.28191)",False,True,False,0.0,0,0,0,0,0,
"(-16015.52817, 150676.42039)","(-16187.02818, 150856.79191)",False,True,False,0.0,0,0,0,0,0,
"(-16015.52817, 150676.42039)","(-16216.49208, 150851.53241)",False,True,False,0.0,0,0,0,0,0,
"(-16015.52817, 150676.42039)","(-15774.06238, 150740.86021)",False,True,False,0.0,0,0,0,0,0,
"(-16015.52817, 150676.42039)","(-15945.09588, 150839.36401)",False,True,False,0.0,0,0,0,0,0,
"(-16015.52817, 150676.42039)","(-16192.43465, 150699.23742)",True,True,False,0.0,0,0,0,0,0,
"(-16009.00877, 151017.28191)","(-16187.02818, 150856.79191)",False,True,False,0.0,0,0,0,0,0,
"(-16009.00877, 151017.28191)","(-16237.45418, 150924.96511)",False,True,False,0.0,0,0,0,0,0,
"(-16009.00877, 151017.28191)","(-15945.09588, 150839.36401)",False,True,False,0.0,0,0,0,0,0,
"(-16009.00877, 151017.28191)","(-16273.14248, 151243.12321)",False,True,False,0.0,0,0,0,0,0,
"(-16009.00877, 151017.28191)","(-16157.77588, 151170.92531)",False,True,False,0.0,0,0,0,0,0,
"(-16009.00877, 151017.28191)","(-16171.16938, 151270.27541)",False,True,False,0.0,0,0,0,0,0,
"(-16009.00877, 151017.28191)","(-15911.35608, 151149.26531)",False,True,False,0.0,0,0,0,0,0,
"(-16009.00877, 151017.28191)","(-15842.48604, 151170.45481)",True,True,False,0.0,0,0,0,0,0,
"(-16009.00877, 151017.28191)","(-16203.4408, 150878.98087)",True,True,False,0.0,0,0,0,0,0,
"(-16053.63158, 151800.99241)","(-16051.34563, 151789.15426)",True,False,23.2042,0.01205683884046319,58,23,87,23,44,
"(-16053.63158, 151800.99241)","(-15942.246, 151741.54959)",True,False,False,0.12852469527988378,621,241,932,241,465,"[(-15968.16798, 151767.65501)]"
"(-16053.63158, 151800.99241)","(-16032.69918, 152047.32941)",True,False,False,0.3006038973024992,1453,565,2178,565,1089,"[(-16113.88178, 151852.48281), (-16120.43768, 151912.55091), (-16083.26468, 151974.91641)]"
"(-16053.63158, 151800.99241)","(-15812.62395, 151624.26739)",False,True,False,0.0,0,0,0,0,0,
"(-16053.63158, 151800.99241)","(-15752.12872, 151924.19552)",False,True,False,0.0,0,0,0,0,0,
