x,y,ID_UG
-15370.22923,151382.12787,1304
-16015.52817,150676.42039,946
-15736.21395,150994.90272,944
-16009.00877,151017.28191,943
-16704.05166,151068.87056,861
-16339.84617,151083.84338,1173
-16898.53782,151202.59257,860
-17275.94469,150825.75028,933
-16545.99384,151404.14121,1303
-16143.39693,151461.55789,1234
-16955.34363,151475.01781,817
-15812.62395,151624.26739,1233
-16968.94243,151678.57986,1268
-15752.12872,151924.19552,1232
-16186.70338,151992.24545,1267
-15892.13231,152158.89453,881
-15631.13294,152270.4154,882
-15889.01691,152400.40816,857
-15962.84352,152476.47374,1306
