"Source(x,y)","Target(x,y)"
"(-15013.85998, 148870.09431)","(-15028.03215, 148863.75522)"
"(-15013.85998, 148870.09431)","(-15109.69738, 149003.07561)"
"(-15013.85998, 148870.09431)","(-14908.31698, 148833.23941)"
"(-15013.85998, 148870.09431)","(-14955.64841, 148962.54141)"
"(-15028.03215, 148863.75522)","(-15013.85998, 148870.09431)"
"(-15028.03215, 148863.75522)","(-14115.84058, 148231.16461)"
"(-15109.69738, 149003.07561)","(-15013.85998, 148870.09431)"
"(-15109.69738, 149003.07561)","(-15267.75328, 149258.96071)"
"(-15109.69738, 149003.07561)","(-14849.10808, 149082.06171)"
"(-15109.69738, 149003.07561)","(-14955.64841, 148962.54141)"
"(-15109.69738, 149003.07561)","(-14962.88955, 149225.70193)"
"(-14908.31698, 148833.23941)","(-15013.85998, 148870.09431)"
"(-14908.31698, 148833.23941)","(-14852.42928, 148832.95261)"
"(-14908.31698, 148833.23941)","(-14725.76647, 148708.12995)"
"(-14908.31698, 148833.23941)","(-14955.64841, 148962.54141)"
"(-14955.64841, 148962.54141)","(-15013.85998, 148870.09431)"
"(-14955.64841, 148962.54141)","(-15109.69738, 149003.07561)"
"(-14955.64841, 148962.54141)","(-14908.31698, 148833.23941)"
"(-14955.64841, 148962.54141)","(-14852.42928, 148832.95261)"
"(-14955.64841, 148962.54141)","(-14849.10808, 149082.06171)"
"(-15267.75328, 149258.96071)","(-15279.23408, 149386.44861)"
"(-15267.75328, 149258.96071)","(-15109.69738, 149003.07561)"
"(-15267.75328, 149258.96071)","(-14833.27348, 149483.41441)"
"(-15267.75328, 149258.96071)","(-14962.88955, 149225.70193)"
"(-15279.23408, 149386.44861)","(-15267.75328, 149258.96071)"
"(-15279.23408, 149386.44861)","(-15239.21549, 149383.64563)"
"(-14833.27348, 149483.41441)","(-15267.75328, 149258.96071)"
"(-14833.27348, 149483.41441)","(-14750.54618, 149658.12111)"
"(-14833.27348, 149483.41441)","(-14747.5615, 149078.66405)"
"(-14833.27348, 149483.41441)","(-14962.88955, 149225.70193)"
"(-14962.88955, 149225.70193)","(-15267.75328, 149258.96071)"
"(-14962.88955, 149225.70193)","(-15109.69738, 149003.07561)"
"(-14962.88955, 149225.70193)","(-14747.5615, 149078.66405)"
"(-14962.88955, 149225.70193)","(-14833.27348, 149483.41441)"
"(-14962.88955, 149225.70193)","(-14849.10808, 149082.06171)"
"(-14750.54618, 149658.12111)","(-14833.27348, 149483.41441)"
"(-14750.54618, 149658.12111)","(-15239.21549, 149383.64563)"
"(-14750.54618, 149658.12111)","(-14536.41298, 149171.48071)"
"(-15239.21549, 149383.64563)","(-14750.54618, 149658.12111)"
"(-15239.21549, 149383.64563)","(-15279.23408, 149386.44861)"
"(-14536.41298, 149171.48071)","(-14750.54618, 149658.12111)"
"(-14536.41298, 149171.48071)","(-14602.20849, 149018.09088)"
"(-14115.84058, 148231.16461)","(-14559.30131, 148727.3699)"
"(-14115.84058, 148231.16461)","(-15028.03215, 148863.75522)"
"(-14115.84058, 148231.16461)","(-14725.76647, 148708.12995)"
"(-14559.30131, 148727.3699)","(-14115.84058, 148231.16461)"
"(-14559.30131, 148727.3699)","(-14639.88718, 148780.30091)"
"(-14725.76647, 148708.12995)","(-14115.84058, 148231.16461)"
"(-14725.76647, 148708.12995)","(-14908.31698, 148833.23941)"
"(-14849.10808, 149082.06171)","(-15109.69738, 149003.07561)"
"(-14849.10808, 149082.06171)","(-14747.5615, 149078.66405)"
"(-14849.10808, 149082.06171)","(-14852.42928, 148832.95261)"
"(-14849.10808, 149082.06171)","(-14754.39218, 148935.42417)"
"(-14849.10808, 149082.06171)","(-14955.64841, 148962.54141)"
"(-14849.10808, 149082.06171)","(-14962.88955, 149225.70193)"
"(-14852.42928, 148832.95261)","(-14908.31698, 148833.23941)"
"(-14852.42928, 148832.95261)","(-14639.88718, 148780.30091)"
"(-14852.42928, 148832.95261)","(-14849.10808, 149082.06171)"
"(-14852.42928, 148832.95261)","(-14754.39218, 148935.42417)"
"(-14852.42928, 148832.95261)","(-14955.64841, 148962.54141)"
"(-14659.81378, 149014.15301)","(-14639.88718, 148780.30091)"
"(-14659.81378, 149014.15301)","(-14602.20849, 149018.09088)"
"(-14659.81378, 149014.15301)","(-14747.5615, 149078.66405)"
"(-14659.81378, 149014.15301)","(-14754.39218, 148935.42417)"
"(-14639.88718, 148780.30091)","(-14659.81378, 149014.15301)"
"(-14639.88718, 148780.30091)","(-14852.42928, 148832.95261)"
"(-14639.88718, 148780.30091)","(-14559.30131, 148727.3699)"
"(-14639.88718, 148780.30091)","(-14754.39218, 148935.42417)"
"(-14602.20849, 149018.09088)","(-14659.81378, 149014.15301)"
"(-14602.20849, 149018.09088)","(-14536.41298, 149171.48071)"
"(-14747.5615, 149078.66405)","(-14659.81378, 149014.15301)"
"(-14747.5615, 149078.66405)","(-14849.10808, 149082.06171)"
"(-14747.5615, 149078.66405)","(-14833.27348, 149483.41441)"
"(-14747.5615, 149078.66405)","(-14754.39218, 148935.42417)"
"(-14747.5615, 149078.66405)","(-14962.88955, 149225.70193)"
"(-14754.39218, 148935.42417)","(-14659.81378, 149014.15301)"
"(-14754.39218, 148935.42417)","(-14747.5615, 149078.66405)"
"(-14754.39218, 148935.42417)","(-14852.42928, 148832.95261)"
"(-14754.39218, 148935.42417)","(-14849.10808, 149082.06171)"
"(-14754.39218, 148935.42417)","(-14639.88718, 148780.30091)"
