Node,Stand
"(-13912.17588, 148174.97421)","[1018, 922]"
"(-13974.83548, 148155.59051)",[1018]
"(-14015.68568, 148122.84571)",[1018]
"(-14026.23358, 148097.72501)",[1018]
"(-13990.19518, 148060.82981)",[1018]
"(-13981.14378, 148050.97351)",[1018]
"(-13979.61188, 148010.02961)",[1018]
"(-13953.15348, 147962.40461)",[1018]
"(-13943.62848, 147935.94621)",[1018]
"(-13951.18648, 147916.46711)",[1018]
"(-13959.76258, 147857.25941)",[1018]
"(-13982.38488, 147789.31921)",[1018]
"(-14041.91648, 147856.58241)",[1018]
"(-14109.24148, 147899.02361)",[1018]
"(-14191.98608, 147952.21901)",[1018]
"(-14250.07178, 148008.90811)",[1018]
"(-14261.58618, 148060.00501)","[1018, 1183]"
"(-14202.62408, 148133.79761)","[1018, 1183]"
"(-14148.02998, 148195.04921)","[1018, 1183]"
"(-14115.84058, 148231.16461)","[1018, 1459, 1183]"
"(-14082.90658, 148243.02061)","[1018, 1459, 922]"
"(-14010.99918, 148210.28281)","[1018, 922]"
"(-13967.30428, 148206.00791)","[1018, 922]"
"(-14008.98295, 147819.37167)",[1018]
"(-14149.03656, 148193.91988)",[1018]
"(-13960.5154, 147854.9985)",[1018]
"(-14451.34568, 148138.03471)","[1014, 1183]"
"(-14524.06268, 148100.13261)",[1014]
"(-14588.57088, 148086.74141)","[1291, 1014]"
"(-14636.60918, 148108.32401)","[1291, 1014]"
"(-14659.41228, 148155.32931)","[1291, 1014]"
"(-14712.10368, 148178.92611)","[1291, 1014]"
"(-14765.26908, 148206.73821)","[1291, 1014]"
"(-14790.42498, 148260.04881)","[1291, 1014]"
"(-14775.31078, 148411.48811)","[1291, 1014]"
"(-14784.72258, 148459.94331)","[1291, 1014, 1183]"
"(-14715.14148, 148410.46881)","[1014, 1183]"
"(-14630.26168, 148341.63771)","[1014, 1183]"
"(-14554.52328, 148251.31111)","[1014, 1183]"
"(-14528.21848, 148237.97601)","[1014, 1183]"
"(-14488.98938, 148205.82491)","[1014, 1183]"
"(-13834.60838, 148638.63581)",[922]
"(-13854.77698, 148595.54461)",[922]
"(-13837.14448, 148563.05601)",[922]
"(-13831.82048, 148553.24621)",[922]
"(-13759.94078, 148518.22411)",[922]
"(-13725.34838, 148456.91111)",[922]
"(-13718.44658, 148444.67811)",[922]
"(-13672.51748, 148400.85541)",[922]
"(-13610.15188, 148378.99901)",[922]
"(-13561.52658, 148311.66721)",[922]
"(-13563.04078, 148253.33141)",[922]
"(-13503.97838, 148238.07981)",[922]
"(-13513.86458, 148208.34371)",[922]
"(-13570.30938, 148218.68711)",[922]
"(-13626.40118, 148258.90381)",[922]
"(-13679.31798, 148268.42891)",[922]
"(-13710.00978, 148227.15371)",[922]
"(-13735.40978, 148190.11201)",[922]
"(-13739.74078, 148177.62531)",[922]
"(-13821.76818, 148188.55821)",[922]
"(-14069.78638, 148330.28551)","[922, 1459, 1015]"
"(-14045.11068, 148407.61001)","[922, 1015]"
"(-14061.49498, 148506.27101)","[922, 1015]"
"(-14069.35638, 148584.14781)","[919, 922, 1015]"
"(-14044.77378, 148626.22961)","[922, 919]"
"(-13980.12148, 148671.85081)","[922, 919]"
"(-13927.20188, 148694.85321)","[922, 919]"
"(-13864.08228, 148731.81221)","[922, 919]"
"(-13841.00438, 148688.65751)",[922]
"(-13828.12862, 148551.44741)",[922]
"(-13776.18971, 148526.14111)",[922]
"(-13864.14958, 148731.7728)",[922]
"(-13677.52831, 148405.63643)",[922]
"(-13668.44141, 148399.42693)",[922]
"(-13573.75614, 148328.60157)",[922]
"(-14639.88718, 148780.30091)","[1459, 877]"
"(-14546.83488, 148719.18161)",[1459]
"(-14536.42088, 148824.08701)",[1459]
"(-14508.68698, 148862.21821)","[1459, 1015]"
"(-14485.60518, 148842.29221)","[1459, 1015]"
"(-14459.27998, 148782.04391)","[920, 1459, 1015]"
"(-14415.54708, 148694.65691)","[920, 1459]"
"(-14390.63148, 148626.97661)","[920, 1459]"
"(-14323.60158, 148598.51661)","[920, 1459]"
"(-14269.57668, 148533.53211)","[920, 1459, 1015]"
"(-14216.04948, 148466.87681)","[1459, 1015]"
"(-14172.64498, 148424.48411)","[1459, 1015]"
"(-14101.08178, 148388.58591)","[1459, 1015]"
"(-14130.12808, 148277.20211)","[1459, 1183]"
"(-14166.11148, 148374.56901)","[1459, 1183]"
"(-14219.02828, 148408.43571)","[1459, 1183]"
"(-14326.97848, 148514.26931)","[1459, 1183]"
"(-14451.86208, 148603.16941)","[1459, 1183]"
"(-14568.27898, 148670.90301)","[1459, 1183]"
"(-14699.51258, 148698.41961)","[1459, 1183]"
"(-14854.02958, 148755.56971)","[1459, 1183]"
"(-14908.31698, 148833.23941)","[1459, 878, 1183]"
"(-14875.21208, 148812.15971)","[1459, 878]"
"(-14852.42928, 148832.95261)","[1459, 877, 878]"
"(-14777.02288, 148809.14011)","[1459, 877]"
"(-14668.54348, 148773.42121)","[1459, 877]"
"(-14559.30131, 148727.3699)",[1459]
"(-14725.76646, 148708.12995)",[1459]
"(-14433.07574, 148589.79609)",[1459]
"(-14482.92326, 148621.2414)",[1459]
"(-14511.22747, 148637.70934)",[1459]
"(-14388.44788, 149057.07371)","[1243, 1015]"
"(-14364.68728, 149048.66971)","[1243, 1015]"
"(-14345.29548, 149041.81091)","[1243, 1015]"
"(-14344.72378, 149042.35731)","[1243, 1015]"
"(-14340.81358, 149046.09471)","[1243, 1015]"
"(-14259.45408, 148954.48251)","[1243, 1015]"
"(-14256.42698, 148951.89581)","[1243, 1015]"
"(-14194.49678, 148898.97241)","[919, 1243, 1015]"
"(-14197.36568, 148894.03261)","[919, 1015]"
"(-14216.52748, 148821.40351)","[919, 1015]"
"(-14186.39758, 148767.76981)","[919, 1015]"
"(-14115.81518, 148679.69801)","[919, 1015]"
"(-14076.12758, 148617.52081)","[919, 1015]"
"(-14223.08528, 148569.87061)","[920, 1015]"
"(-14169.24048, 148607.23301)","[920, 1015]"
"(-14152.32498, 148630.35721)","[920, 1015]"
"(-14178.38598, 148632.10491)","[920, 1015]"
"(-14222.83608, 148662.79661)","[920, 1015]"
"(-14257.99018, 148701.93861)","[920, 1015]"
"(-14277.26218, 148741.74481)","[920, 1015]"
"(-14281.78668, 148751.09781)","[920, 1015]"
"(-14355.97468, 148807.78861)","[920, 1015]"
"(-14413.56478, 148903.58811)","[920, 1015]"
"(-14413.57408, 148903.60341)","[920, 1015]"
"(-14429.57018, 148929.74851)","[920, 1015]"
"(-14486.36158, 148966.53891)","[920, 1015]"
"(-14484.97668, 148922.78671)","[920, 1015]"
"(-14531.79348, 148882.16561)",[1015]
"(-14506.26058, 148929.23441)",[1015]
"(-14512.60828, 148983.78971)",[1015]
"(-14540.70728, 149022.29541)","[1243, 1015]"
"(-14541.00578, 149023.08711)","[1243, 1015]"
"(-14518.99098, 149032.67321)","[1243, 1015]"
"(-14472.52728, 149052.90561)","[1243, 1015]"
"(-14457.24108, 149054.25421)","[1243, 1015]"
"(-14437.11028, 149056.03011)","[1243, 1015]"
"(-14430.18658, 149056.64101)","[1243, 1015]"
"(-14395.80148, 149059.67471)","[1243, 1015]"
"(-14395.42388, 149059.52131)","[1243, 1015]"
"(-14370.35482, 149050.67429)",[1015]
"(-14539.43786, 149020.55585)",[1015]
"(-14200.06897, 148883.78631)",[1015]
"(-14534.70676, 149025.82994)",[1015]
"(-14540.65458, 148034.60261)",[1291]
"(-14460.88858, 148024.11841)",[1291]
"(-14422.76218, 147949.29371)",[1291]
"(-14427.15348, 147879.70361)",[1291]
"(-14384.69478, 147835.98351)",[1291]
"(-14391.21158, 147788.57861)",[1291]
"(-14461.42348, 147774.53201)",[1291]
"(-14483.53018, 147750.65941)",[1291]
"(-14509.41088, 147722.71121)",[1291]
"(-14537.74978, 147738.65121)",[1291]
"(-14788.58488, 147879.74541)",[1291]
"(-14792.76558, 147894.42081)",[1291]
"(-14794.88228, 147919.82091)",[1291]
"(-14798.05728, 147970.62091)",[1291]
"(-14814.86158, 148010.96841)",[1291]
"(-14825.98398, 148068.07981)",[1291]
"(-14851.83808, 148120.49801)",[1291]
"(-14843.56568, 148156.35881)","[1458, 1291]"
"(-14852.17738, 148245.98131)","[1458, 1291]"
"(-14862.76078, 148306.83551)","[1458, 1291]"
"(-14879.95868, 148371.65861)","[1458, 1291]"
"(-14885.25038, 148410.02321)","[1458, 1291]"
"(-14894.51088, 148488.07541)","[1458, 1291]"
"(-14906.41708, 148518.50261)","[1458, 1291]"
"(-14923.24858, 148582.19891)","[1458, 1291, 1011, 1183]"
"(-14892.83918, 148575.14951)","[1291, 1183]"
"(-14860.69988, 148567.69911)","[1291, 1183]"
"(-14818.18328, 148521.08241)","[1291, 1183]"
"(-14638.77407, 147795.47715)",[1291]
"(-14790.97226, 147888.12577)",[1291]
"(-14866.84908, 148174.35051)",[1458]
"(-14915.53248, 148216.68391)",[1458]
"(-14933.93918, 148205.80031)",[1458]
"(-14946.74628, 148224.82341)",[1458]
"(-14986.95318, 148248.91961)",[1458]
"(-15030.93858, 148251.88591)",[1458]
"(-15052.05778, 148248.43391)",[1458]
"(-15074.28288, 148269.60071)",[1458]
"(-15101.79958, 148305.58411)",[1458]
"(-15116.61628, 148329.92581)",[1458]
"(-15125.08288, 148355.32591)",[1458]
"(-15108.77668, 148367.60491)",[1458]
"(-15066.87448, 148360.61751)",[1458]
"(-15049.94108, 148400.83431)",[1458]
"(-15071.10788, 148431.52601)",[1458]
"(-15106.71308, 148484.47121)",[1458]
"(-15105.85768, 148504.91381)",[1458]
"(-15091.43758, 148511.71781)","[1458, 1011]"
"(-15051.61568, 148530.50761)","[1458, 1011]"
"(-14971.73778, 148547.12321)","[1458, 1011]"
"(-15013.92462, 148250.73852)",[1458]
"(-15062.52717, 148370.94237)",[1458]
"(-14866.86322, 148174.36281)",[1458]
"(-15011.11447, 148538.93237)",[1458]
"(-14263.29688, 148060.51301)",[1183]
"(-14314.61748, 148075.75451)",[1183]
"(-14373.17468, 148116.49711)",[1183]
"(-14440.99458, 148135.18271)",[1183]
