x,y,ID_UG
-14083.29341,148038.77795,1018
-14646.58932,148243.81284,1014
-13864.91187,148400.54176,922
-14468.39677,148629.44725,1459
-14259.36327,148751.24827,1015
-14672.51433,148050.23587,1291
-14974.48877,148376.05056,1458
-14564.73205,148466.21055,1183
-15219.81608,148776.07505,1011
-14754.39218,148935.42417,877
-14955.64841,148962.5414,878
-14962.88955,149225.70193,1282
-14995.69725,149518.72821,1008
-15005.34727,149634.31293,1340
-15337.33357,149837.40556,1236
-14345.5093,148722.575,920
-13836.02542,149041.5392,919
-14164.98853,149457.32158,813
-14512.32767,149509.9299,1243
