"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-9825.82548, 146654.12811)","(-9773.98538, 146714.65251)",0.0796906453943801,27.2203,False,False,599,214,898,214,449,
"(-9825.82548, 146654.12811)","(-9976.58998, 146666.29741)",0.16368265616091404,False,False,False,791,308,1186,308,593,"[(-9874.66158, 146683.22741), (-9931.81178, 146687.46081)]"
"(-9825.82548, 146654.12811)","(-9353.85428, 146563.86791)",0.5142849020044137,False,False,False,2487,967,3727,967,1862,"[(-9762.87928, 146669.14421), (-9723.56418, 146663.33801), (-9695.71648, 146659.22551), (-9649.24508, 146658.36981), (-9580.44438, 146604.91061), (-9519.06088, 146583.74391), (-9496.01288, 146608.30301), (-9453.10198, 146592.00121), (-9397.18908, 146571.47301)]"
"(-10171.53348, 146040.09591)","(-10000.51986, 146251.47094)",0.2718916356436941,22.0285,True,False,1313,511,1970,511,985,
"(-10171.53348, 146040.09591)","(-9998.86478, 145898.18631)",0.22439256302367605,False,False,False,1085,422,1625,422,814,"[(-10125.06328, 146007.32211), (-10071.66138, 145951.60221), (-10019.47178, 145915.13611)]"
"(-10171.53348, 146040.09591)","(-10681.31538, 146176.81681)",0.6084469925254765,False,False,False,2939,1143,4409,1143,2206,"[(-10239.58628, 146059.12441), (-10283.24258, 146051.18691), (-10273.18688, 146008.23321), (-10309.34908, 146023.00721), (-10338.56268, 146034.94231), (-10366.09948, 146045.01991), (-10409.86108, 146061.03541), (-10463.28508, 146061.25081), (-10523.69888, 146080.03491), (-10600.05419, 146118.42648), (-10627.12218, 146132.03631)]"
"(-9301.95118, 145835.04541)","(-9477.01318, 145825.22111)",0.17896296170302403,False,False,False,1344,481,2017,481,1008,"[(-9381.67148, 145834.05761), (-9447.58128, 145840.23081)]"
"(-9301.95118, 145835.04541)","(-9359.18068, 146204.62561)",0.6717071006012028,False,False,False,5047,1802,7572,1802,3784,"[(-9198.79268, 145863.86151), (-9182.91768, 145973.39921), (-9167.04268, 146019.43691), (-9124.18008, 146040.07441), (-9114.65508, 146078.17441), (-9147.99268, 146151.19961), (-9282.93038, 146219.46221)]"
"(-9301.95118, 145835.04541)","(-9921.70364, 145669.30352)",1.0245276753255812,False,True,False,7700,2749,11547,2749,5774,"[(-9272.67648, 145681.67241), (-9319.98898, 145641.74141), (-9370.85748, 145602.07451), (-9411.42808, 145577.88411), (-9492.99728, 145567.79751), (-9557.72208, 145561.58201), (-9619.07628, 145552.98161), (-9668.40778, 145567.57751), (-9713.42508, 145584.25921), (-9769.52198, 145594.73281), (-9820.89148, 145590.63231), (-9863.18348, 145538.37361), (-9893.76838, 145519.78021)]"
"(-9353.85428, 146563.86791)","(-9353.65188, 146911.23621)",0.3493968267657974,False,False,False,2625,937,3938,937,1969,"[(-9338.58478, 146699.44281), (-9337.10878, 146793.83401)]"
"(-9353.85428, 146563.86791)","(-9359.18068, 146204.62561)",0.3619995120988587,False,False,False,1749,680,2623,680,1313,"[(-9354.96598, 146506.32671), (-9347.95448, 146436.67491), (-9337.37118, 146345.65811), (-9344.90718, 146279.05861)]"
"(-9773.98538, 146714.65251)","(-9655.31908, 146790.11071)",0.14070429059205092,False,False,False,1057,378,1586,378,793,"[(-9705.60148, 146760.87811)]"
"(-9773.98538, 146714.65251)","(-9701.53288, 147269.92461)",0.8496039080791455,False,True,False,4105,1597,6155,1597,3078,"[(-9825.44908, 146765.24851), (-9858.52208, 146834.70171), (-9868.44398, 146864.46741), (-9825.44898, 146947.14991), (-9835.37098, 147039.75421), (-9956.04498, 147048.11501), (-9913.26958, 147083.40671), (-9871.61068, 147120.35091), (-9867.98728, 147169.95111), (-9804.11328, 147197.27981), (-9740.53948, 147218.64041)]"
"(-9833.40198, 146132.72991)","(-9805.46208, 146134.68111)",0.02800794875477511,31.5762,False,False,210,75,316,75,158,
"(-9833.40198, 146132.72991)","(-9913.6735, 145997.5426)",0.15730005881365267,False,True,False,1183,422,1773,422,886,"[(-9883.05958, 146053.83271)]"
"(-9833.40198, 146132.72991)","(-9936.64878, 146330.41641)",0.3027491320574996,False,False,False,1462,568,2194,568,1098,"[(-9868.80898, 146130.25731), (-9934.37098, 146130.25681), (-9946.38268, 146189.89831), (-9940.85308, 146270.24361)]"
"(-9353.65188, 146911.23621)","(-9335.95218, 147002.52321)",0.09298707302142602,11.1055,False,False,449,175,674,175,337,
"(-9353.65188, 146911.23621)","(-9655.31908, 146790.11071)",0.3759141313039126,False,False,False,2825,1009,4237,1009,2118,"[(-9435.53878, 146794.13971), (-9393.66478, 146814.46901), (-9511.95498, 146811.04301)]"
"(-9976.58998, 146666.29741)","(-9932.81588, 146541.95831)",0.1318195115285405,17.2107,False,False,637,248,955,248,478,
"(-9976.58998, 146666.29741)","(-10005.56618, 146772.18441)",0.1100386321162726,False,False,False,532,207,798,207,398,"[(-9994.12238, 146716.09771)]"
"(-9805.46208, 146134.68111)","(-9860.92361, 145931.46244)",0.21984518335779193,False,True,False,1653,589,2478,589,1239,"[(-9839.40318, 145965.19721), (-9846.01778, 146003.56181)]"
"(-9805.46208, 146134.68111)","(-9474.36458, 146148.00311)",0.34671934653983594,False,False,False,1675,651,2513,651,1256,"[(-9741.08058, 146132.42451), (-9648.87528, 146125.89911), (-9524.71108, 146168.79911)]"
