x,y,is_exit,is_source,stands
-9825.82548,146654.12811,False,False,"[1120, 1121, 1117]"
-10171.53348,146040.09591,False,False,"[1264, 1525]"
-9301.95118,145835.04541,False,False,"[1122, 1266]"
-9353.85428,146563.86791,False,False,"[1120, 1121]"
-9773.98538,146714.65251,False,False,"[1120, 1117]"
-9833.40198,146132.72991,False,False,"[1121, 1525, 1526]"
-9353.65188,146911.23621,False,False,"[1120, 1119]"
-9976.58998,146666.29741,False,False,"[1121, 1117, 1111]"
-9805.46208,146134.68111,False,False,"[1121, 1269, 1526]"
-9927.71538,146363.58361,False,False,"[1264, 1113, 1121]"
-9474.36458,146148.00311,False,False,"[1121, 1269, 1527]"
-9352.22508,147141.39461,False,False,[1118]
-9359.18068,146204.62561,False,False,"[1121, 1122]"
-9932.81588,146541.95831,False,False,"[1113, 1121, 1111]"
-9651.76368,146883.45851,False,False,"[1118, 1119]"
-9604.50258,145756.89851,False,False,"[1266, 1269, 1527]"
-9998.86478,145898.18631,False,False,"[1525, 1526]"
-9477.01318,145825.22111,False,False,"[1122, 1266, 1527]"
-9875.10128,145804.78591,False,False,"[1266, 1269]"
-10005.56618,146772.18441,False,False,"[1117, 1111]"
-10681.31538,146176.81681,False,False,"[1264, 1113]"
-9701.53288,147269.92461,True,False,[1117]
-9335.95218,147002.52321,False,False,"[1118, 1119]"
-9911.63458,145832.37601,False,False,"[1269, 1526]"
-10493.51198,146549.16931,False,False,"[1113, 1111]"
-9890.19048,145757.38021,True,False,[1266]
-9655.31908,146790.11071,False,False,"[1120, 1119]"
-9425.86588,146152.17191,False,False,"[1121, 1122, 1527]"
-9936.64878,146330.41641,False,False,"[1264, 1121, 1525]"
-9668.51199,145677.10047,True,False,[1269]
-9860.92361,145931.46244,True,False,[1269]
-10058.28294,146752.22656,True,False,[1111]
-9984.20278,146563.07825,True,False,[1111]
-10425.74452,146665.6367,True,False,[1111]
-9988.06854,146375.41721,True,False,[1113]
-9766.59483,147443.89262,True,False,[1117]
-10000.51986,146251.47094,True,False,[1264]
-9921.70364,145669.30352,True,False,[1266]
-9913.6735,145997.5426,True,False,[1525]
