"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-9825.82548, 146654.12811)","(-9773.98538, 146714.65251)",0.0796906453943801,23.9191,False,False,385,150,577,150,289,
"(-9825.82548, 146654.12811)","(-9976.58998, 146666.29741)",0.16368265616091404,False,False,False,791,308,1186,308,593,"[(-9874.66158, 146683.22741), (-9931.81178, 146687.46081)]"
"(-9825.82548, 146654.12811)","(-9353.85428, 146563.86791)",0.5142849020044137,False,False,False,2487,967,3727,967,1862,"[(-9762.87928, 146669.14421), (-9723.56418, 146663.33801), (-9695.71648, 146659.22551), (-9649.24508, 146658.36981), (-9580.44438, 146604.91061), (-9519.06088, 146583.74391), (-9496.01288, 146608.30301), (-9453.10198, 146592.00121), (-9397.18908, 146571.47301)]"
"(-9825.82548, 146654.12811)","(-9516.66801, 146705.70277)",0.0,False,False,True,0,0,0,0,0,
"(-9825.82548, 146654.12811)","(-9661.65701, 146389.74345)",0.0,False,False,True,0,0,0,0,0,
"(-9825.82548, 146654.12811)","(-9867.65706, 147057.93473)",0.0,False,False,True,0,0,0,0,0,
"(-9301.95118, 145835.04541)","(-9272.67648, 145681.67241)",0.15614187519396466,29.014,False,False,1173,419,1760,419,880,
"(-9301.95118, 145835.04541)","(-9477.01318, 145825.22111)",0.17896296170302403,False,False,False,1344,481,2017,481,1008,"[(-9381.67148, 145834.05761), (-9447.58128, 145840.23081)]"
"(-9301.95118, 145835.04541)","(-9359.18068, 146204.62561)",0.6717071006012028,False,False,False,5047,1802,7572,1802,3784,"[(-9198.79268, 145863.86151), (-9167.04268, 145924.18671), (-9182.91768, 145973.39921), (-9167.04268, 146019.43691), (-9124.18008, 146040.07441), (-9114.65508, 146078.17441), (-9147.99268, 146151.19961), (-9282.93038, 146219.46221)]"
"(-9301.95118, 145835.04541)","(-9589.40351, 145679.25373)",0.0,False,False,True,0,0,0,0,0,
"(-9301.95118, 145835.04541)","(-9307.62754, 146016.30541)",0.0,False,False,True,0,0,0,0,0,
"(-9833.40198, 146132.72991)","(-9805.46208, 146134.68111)",0.02800794875477511,17.2107,False,False,135,53,203,53,101,
"(-9833.40198, 146132.72991)","(-9913.6735, 145997.5426)",0.15730005881365267,False,True,False,760,295,1140,295,570,"[(-9883.05958, 146053.83271)]"
"(-9833.40198, 146132.72991)","(-9936.64878, 146330.41641)",0.3027491320574996,False,False,False,1462,568,2194,568,1098,"[(-9868.80898, 146130.25731), (-9934.37098, 146130.25681), (-9946.38268, 146189.89831), (-9940.85308, 146270.24361)]"
"(-9833.40198, 146132.72991)","(-9897.71958, 145962.73844)",0.0,False,False,True,0,0,0,0,0,
"(-9833.40198, 146132.72991)","(-10003.61619, 146080.35893)",0.0,False,False,True,0,0,0,0,0,
"(-9833.40198, 146132.72991)","(-9661.65701, 146389.74345)",0.0,False,False,True,0,0,0,0,0,
"(-9805.46208, 146134.68111)","(-9860.92361, 145931.46244)",0.21984518335779193,False,True,False,1653,589,2478,589,1239,"[(-9848.66358, 146043.24931), (-9846.01778, 146003.56181), (-9839.40318, 145965.19721)]"
"(-9805.46208, 146134.68111)","(-9474.36458, 146148.00311)",0.34671934653983594,False,False,False,1675,651,2513,651,1256,"[(-9741.08058, 146132.42451), (-9648.87528, 146125.89911), (-9582.33208, 146131.56141), (-9524.71108, 146168.79911)]"
"(-9805.46208, 146134.68111)","(-9729.05134, 145942.0445)",0.0,False,False,True,0,0,0,0,0,
"(-9805.46208, 146134.68111)","(-9897.71958, 145962.73844)",0.0,False,False,True,0,0,0,0,0,
"(-9805.46208, 146134.68111)","(-9661.65701, 146389.74345)",0.0,False,False,True,0,0,0,0,0,
"(-10627.12218, 146132.03631)","(-10600.05419, 146118.42648)",0.030296923198057744,22.0285,True,False,146,57,220,57,110,
"(-10627.12218, 146132.03631)","(-10681.31538, 146176.81681)",0.07030075466514839,22.0285,False,False,340,132,509,132,255,
"(-10627.12218, 146132.03631)","(-10638.39162, 146125.22657)",0.013167111937746993,31.5762,True,False,99,35,148,35,74,
