"Source(x,y)","Target(x,y)",has_exit,has_source,slope,edgelength,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-18405.01598, 151300.85861)","(-18369.1389, 151260.6524)",True,False,38.96,0.05388602965417567,405,145,607,145,304,
"(-18405.01598, 151300.85861)","(-18336.57492, 151353.08499)",True,False,False,0.15924094736104047,1196,427,1794,427,898,"[(-18425.18568, 151344.31541), (-18423.90558, 151359.45541), (-18389.54818, 151368.49151), (-18345.09818, 151346.26641)]"
"(-18405.01598, 151300.85861)","(-18025.95797, 151093.10813)",False,True,False,0.0,0,0,0,0,0,
"(-18369.1389, 151260.6524)","(-18405.01598, 151300.85861)",True,False,38.96,0.05388602965417567,405,145,607,145,304,
"(-18369.1389, 151260.6524)","(-18336.84578, 151224.46261)",True,False,38.96,0.04850305660037235,364,130,547,130,273,
"(-18369.1389, 151260.6524)","(-18025.95797, 151093.10813)",True,True,False,0.0,0,0,0,0,0,
"(-18336.57492, 151353.08499)","(-18405.01598, 151300.85861)",True,False,False,0.15924094736104047,1196,427,1794,427,898,"[(-18425.18568, 151344.31541), (-18423.90558, 151359.45541), (-18389.54818, 151368.49151), (-18345.09818, 151346.26641)]"
"(-18336.57492, 151353.08499)","(-18324.31579, 151452.89078)",True,False,False,0.14844463978562503,1116,399,1674,399,836,"[(-18335.81738, 151450.80031), (-18292.18138, 151381.19151)]"
"(-18336.57492, 151353.08499)","(-18025.95797, 151093.10813)",True,True,False,0.0,0,0,0,0,0,
"(-18025.95797, 151093.10813)","(-18405.01598, 151300.85861)",False,True,False,0.0,0,0,0,0,0,
"(-18025.95797, 151093.10813)","(-18336.84578, 151224.46261)",False,True,False,0.0,0,0,0,0,0,
"(-18025.95797, 151093.10813)","(-18170.40388, 151299.96901)",False,True,False,0.0,0,0,0,0,0,
"(-18025.95797, 151093.10813)","(-18243.94528, 150954.05761)",False,True,False,0.0,0,0,0,0,0,
"(-18025.95797, 151093.10813)","(-18303.60408, 151178.36641)",False,True,False,0.0,0,0,0,0,0,
"(-18025.95797, 151093.10813)","(-18170.89658, 151068.32181)",False,True,False,0.0,0,0,0,0,0,
