"Node1(x,y)","Node2(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-12205.87018, 150991.84471)","(-12373.66408, 151017.43164)",0.1726852958949024,True,False,1298,464,1946,464,974,False,"[(-12266.42078, 151011.39801), (-12316.39918, 151023.63861)]"
"(-12205.87018, 150991.84471)","(-12132.37048, 151130.06391)",0.20809149727351836,False,False,1004,390,1508,390,754,False,"[(-12146.54668, 151049.15611), (-12103.66048, 151060.37701), (-12114.78218, 151120.72091)]"
"(-12205.87018, 150991.84471)","(-12002.26018, 150943.30671)",0.2536751394077749,False,False,1907,681,2860,681,1430,False,"[(-12188.63428, 150951.66721), (-12148.21738, 150911.05001), (-12096.27218, 150925.45631), (-12045.99738, 150947.33371)]"
"(-12235.41058, 151393.94421)","(-12228.50428, 151451.98441)",0.05844965180163229,False,False,282,110,424,110,212,24.2383,
"(-12235.41058, 151393.94421)","(-12389.41758, 151015.72411)",0.7015594507748493,False,False,5272,1884,7909,1884,3954,False,"[(-12321.22818, 151402.96791), (-12305.35318, 151432.33671), (-12276.77818, 151475.19931), (-12260.10938, 151456.94301), (-12250.29278, 151435.65601), (-12357.74088, 151368.04291), (-12437.90968, 151178.33621)]"
"(-12235.41058, 151393.94421)","(-12265.6432, 151204.889)",0.20819775551137218,True,False,1565,559,2347,559,1174,False,"[(-12242.15878, 151324.30471), (-12268.08068, 151266.79251), (-12283.13698, 151212.98991)]"
"(-12002.26018, 150943.30671)","(-11649.83348, 150970.92061)",0.6435185235562103,False,False,3109,1210,4664,1210,2333,False,"[(-11889.80308, 151088.44281), (-11859.60678, 151056.48201), (-11822.13298, 151099.97371), (-11934.91318, 151081.23551)]"
"(-12002.26018, 150943.30671)","(-11759.78868, 150761.46821)",0.3122365268413602,False,False,2346,838,3520,838,1758,False,"[(-11963.81628, 150896.39211), (-11924.54988, 150858.00831), (-11862.41588, 150841.42211), (-11821.78748, 150794.34071)]"
"(-11649.83348, 150970.92061)","(-11759.78868, 150761.46821)",0.2991633173400371,False,False,1447,562,2168,562,1084,False,"[(-11642.59508, 150817.33661)]"
"(-11649.83348, 150970.92061)","(-11842.35598, 151491.59381)",0.8419611558648286,False,False,4067,1582,6100,1582,3051,False,"[(-11694.94738, 151320.90511), (-11697.87738, 151334.82261), (-11775.92938, 151457.85411)]"
"(-11759.78868, 150761.46821)","(-12171.05377, 150701.3403)",0.5610462621243311,True,False,4216,1507,6324,1507,3161,False,"[(-12097.28738, 150705.44901), (-12100.86788, 150708.18721), (-12140.61738, 150699.02061), (-12096.60728, 150705.60591)]"
"(-12132.37048, 151130.06391)","(-12151.24888, 151427.87381)",0.3157791710248846,False,False,1526,593,2288,593,1144,False,"[(-12108.53808, 151379.52581), (-12124.41308, 151247.76311)]"
"(-12132.37048, 151130.06391)","(-12265.6432, 151204.889)",0.1530846158219975,True,False,1150,411,1726,411,863,False,"[(-12172.67708, 151151.47541), (-12231.22238, 151188.94961)]"
"(-12389.41758, 151015.72411)","(-12373.66408, 151017.43164)",0.015845769812502464,True,False,119,43,179,43,89,28.0081,
"(-12389.41758, 151015.72411)","(-12403.7768, 150994.82511)",0.02535656522497896,True,False,191,68,286,68,143,28.0081,
"(-11842.35598, 151491.59381)","(-12238.04178, 151739.23512)",0.597720942744883,True,False,2888,1123,4332,1123,2164,False,"[(-11893.71198, 151499.78381)]"
"(-11842.35598, 151491.59381)","(-12151.24888, 151427.87381)",0.5466693019694084,False,False,2640,1029,3960,1029,1982,False,"[(-12130.36728, 151424.80521), (-12081.79338, 151407.64061)]"
"(-12151.24888, 151427.87381)","(-12211.4194, 151445.35874)",0.06303522652559476,True,False,305,118,457,118,228,False,"[(-12175.53648, 151431.44301)]"
"(-12228.50428, 151451.98441)","(-12211.4194, 151445.35874)",0.018324645359825184,True,False,89,34,133,34,66,24.2383,
"(-12228.50428, 151451.98441)","(-12413.74595, 151544.40969)",0.21529819764193875,True,False,1040,404,1560,404,780,False,"[(-12336.77768, 151536.35271)]"
"(-12403.7768, 150994.82511)","(-12171.05377, 150701.3403)",0.6569736511778259,True,False,4937,1763,7404,1763,3703,False,"[(-12410.78828, 150984.62031), (-12431.95498, 150877.72851)]"
"(-12238.04178, 151739.23512)","(-12413.74595, 151544.40969)",1.0678645552121309,True,False,5159,2008,7739,2008,3868,False,"[(-12361.24218, 151724.09341), (-12340.60458, 151708.21831), (-12511.10233, 151748.3868)]"
