"Source(x,y)","Target(x,y)"
"(-11082.58278, 150992.28141)","(-11247.24938, 151219.51521)"
"(-11196.90438, 151343.12311)","(-11247.24938, 151219.51521)"
"(-11161.23968, 151328.72571)","(-11247.24938, 151219.51521)"
"(-11303.09447, 151095.76709)","(-11247.24938, 151219.51521)"
"(-11245.29329, 151275.09367)","(-11247.24938, 151219.51521)"
"(-10989.73509, 151136.86965)","(-11247.24938, 151219.51521)"
"(-11150.10298, 150959.59861)","(-11082.58278, 150992.28141)"
"(-11034.62098, 150951.55961)","(-11082.58278, 150992.28141)"
"(-11303.09447, 151095.76709)","(-11082.58278, 150992.28141)"
"(-10845.28646, 150777.80556)","(-11082.58278, 150992.28141)"
"(-10989.73509, 151136.86965)","(-11082.58278, 150992.28141)"
"(-11019.59238, 150828.16681)","(-11095.09578, 150761.23501)"
"(-10884.24937, 150899.52507)","(-11095.09578, 150761.23501)"
"(-10845.28646, 150777.80556)","(-11095.09578, 150761.23501)"
"(-11196.90438, 151343.12311)","(-11205.87008, 151346.74251)"
"(-10851.20074, 151171.78899)","(-11205.87008, 151346.74251)"
"(-11150.10298, 150959.59861)","(-11205.87008, 151346.74251)"
"(-11303.09447, 151095.76709)","(-11205.87008, 151346.74251)"
"(-10989.73509, 151136.86965)","(-11205.87008, 151346.74251)"
"(-11019.59238, 150828.16681)","(-11150.10298, 150959.59861)"
"(-11303.09447, 151095.76709)","(-11150.10298, 150959.59861)"
"(-10845.28646, 150777.80556)","(-11150.10298, 150959.59861)"
"(-10796.34588, 150998.10891)","(-11034.62098, 150951.55961)"
"(-10884.24937, 150899.52507)","(-11034.62098, 150951.55961)"
"(-10845.28646, 150777.80556)","(-11034.62098, 150951.55961)"
"(-10989.73509, 151136.86965)","(-11034.62098, 150951.55961)"
"(-10851.20074, 151171.78899)","(-10796.34588, 150998.10891)"
"(-10989.73509, 151136.86965)","(-10796.34588, 150998.10891)"
"(-11196.90438, 151343.12311)","(-11161.23968, 151328.72571)"
"(-11245.29329, 151275.09367)","(-11161.23968, 151328.72571)"
"(-10989.73509, 151136.86965)","(-11161.23968, 151328.72571)"
"(-11303.09447, 151095.76709)","(-11196.90438, 151343.12311)"
"(-11245.29329, 151275.09367)","(-11196.90438, 151343.12311)"
"(-10989.73509, 151136.86965)","(-11196.90438, 151343.12311)"
"(-10845.28646, 150777.80556)","(-11019.59238, 150828.16681)"
"(-10845.28646, 150777.80556)","(-10884.24937, 150899.52507)"
"(-10989.73509, 151136.86965)","(-10851.20074, 151171.78899)"
