"Node1(x,y)","Node2(x,y)"
"(-18106.36828, 148470.90731)","(-18050.37398, 148515.64541)"
"(-18106.36828, 148470.90731)","(-18464.56308, 148078.10291)"
"(-18106.36828, 148470.90731)","(-18549.35658, 148457.21371)"
"(-18106.36828, 148470.90731)","(-18257.0914, 148547.03044)"
"(-18106.36828, 148470.90731)","(-18593.38864, 148204.39552)"
"(-18106.36828, 148470.90731)","(-18203.06698, 148235.76639)"
"(-20936.82368, 151152.61771)","(-20785.24858, 151033.76111)"
"(-20936.82368, 151152.61771)","(-20722.26238, 151154.72961)"
"(-20220.45988, 149722.84161)","(-20193.35238, 149582.65091)"
"(-20220.45988, 149722.84161)","(-20237.69718, 149935.84221)"
"(-20220.45988, 149722.84161)","(-20060.03348, 149768.02671)"
"(-20220.45988, 149722.84161)","(-20461.78808, 149509.55421)"
"(-20220.45988, 149722.84161)","(-20145.15517, 149868.9616)"
"(-17413.09558, 148290.85521)","(-17339.83638, 148345.07651)"
"(-17413.09558, 148290.85521)","(-17199.22307, 148257.80144)"
"(-17413.09558, 148290.85521)","(-17718.22078, 148352.25251)"
"(-19096.65168, 149824.47941)","(-19032.78051, 149747.5224)"
"(-19096.65168, 149824.47941)","(-18969.07608, 149881.08771)"
"(-19096.65168, 149824.47941)","(-19253.88069, 149746.98272)"
"(-20156.48968, 152023.19761)","(-20301.57768, 152137.70531)"
"(-20156.48968, 152023.19761)","(-19954.08538, 151864.43651)"
"(-20156.48968, 152023.19761)","(-19953.32196, 152367.88664)"
"(-20156.48968, 152023.19761)","(-20110.40315, 152253.80375)"
"(-20156.48968, 152023.19761)","(-19919.77255, 152085.19067)"
"(-20156.48968, 152023.19761)","(-19998.78504, 151739.76057)"
"(-19446.15258, 152265.97791)","(-19406.05108, 152300.01541)"
"(-19446.15258, 152265.97791)","(-19685.27328, 152289.15781)"
"(-19446.15258, 152265.97791)","(-19530.76158, 151889.97011)"
"(-19446.15258, 152265.97791)","(-19604.86816, 151882.26748)"
"(-19446.15258, 152265.97791)","(-19501.83001, 152113.83699)"
"(-19367.93178, 151581.39161)","(-19370.85748, 151578.24841)"
"(-19367.93178, 151581.39161)","(-19066.58788, 151339.59491)"
"(-19367.93178, 151581.39161)","(-19406.61876, 151791.40352)"
"(-19367.93178, 151581.39161)","(-19328.37375, 151691.90101)"
"(-19539.99628, 151410.26841)","(-19528.08998, 151415.42781)"
"(-19539.99628, 151410.26841)","(-19548.45418, 151443.27231)"
"(-19539.99628, 151410.26841)","(-19802.28038, 151400.11821)"
"(-19539.99628, 151410.26841)","(-19998.78504, 151739.76057)"
"(-19539.99628, 151410.26841)","(-19480.90404, 151507.39846)"
"(-19539.99628, 151410.26841)","(-19661.30926, 151391.02818)"
"(-18805.75758, 149406.29991)","(-18859.30088, 149289.38231)"
"(-18805.75758, 149406.29991)","(-18496.00608, 149275.44471)"
"(-18805.75758, 149406.29991)","(-19456.26598, 149523.03911)"
"(-18805.75758, 149406.29991)","(-18911.84518, 149487.71269)"
"(-18805.75758, 149406.29991)","(-19146.85309, 149339.87061)"
"(-18613.52908, 149015.88501)","(-18544.04848, 149124.18131)"
"(-18613.52908, 149015.88501)","(-18706.22858, 148776.81791)"
"(-18613.52908, 149015.88501)","(-18934.21248, 148675.01851)"
"(-18613.52908, 149015.88501)","(-18508.47489, 149031.36554)"
"(-18613.52908, 149015.88501)","(-18945.70317, 148950.5831)"
"(-19370.85748, 151578.24841)","(-19370.05028, 151595.20231)"
"(-19370.85748, 151578.24841)","(-19528.08998, 151415.42781)"
"(-19370.85748, 151578.24841)","(-19328.37375, 151691.90101)"
"(-19370.85748, 151578.24841)","(-19480.90404, 151507.39846)"
"(-20341.34548, 150881.12521)","(-20237.09958, 150823.13241)"
"(-20341.34548, 150881.12521)","(-20599.64088, 150750.69281)"
"(-20341.34548, 150881.12521)","(-20710.26738, 151175.44041)"
"(-20341.34548, 150881.12521)","(-20427.12043, 150759.05765)"
"(-20341.34548, 150881.12521)","(-20444.32954, 151222.99863)"
"(-20341.34548, 150881.12521)","(-20611.80988, 150929.69322)"
"(-18996.32668, 150487.65351)","(-19327.41838, 150270.24241)"
"(-18996.32668, 150487.65351)","(-19171.50488, 150282.66491)"
"(-18996.32668, 150487.65351)","(-19088.28132, 150702.15719)"
"(-18996.32668, 150487.65351)","(-19187.11285, 150378.93697)"
"(-20259.92888, 151297.15551)","(-20092.06248, 151216.75921)"
"(-20259.92888, 151297.15551)","(-20741.02698, 151638.04541)"
"(-20259.92888, 151297.15551)","(-20373.47708, 151208.52501)"
"(-20259.92888, 151297.15551)","(-20321.9493, 151240.18964)"
"(-20259.92888, 151297.15551)","(-20444.32954, 151222.99863)"
"(-20259.92888, 151297.15551)","(-20374.93602, 151630.77118)"
"(-20373.47708, 151208.52501)","(-20092.06248, 151216.75921)"
"(-20373.47708, 151208.52501)","(-20033.07478, 150852.75251)"
"(-20373.47708, 151208.52501)","(-20321.9493, 151240.18964)"
"(-20373.47708, 151208.52501)","(-20159.7491, 151058.63753)"
"(-20373.47708, 151208.52501)","(-20444.32954, 151222.99863)"
"(-20103.17388, 149999.66451)","(-20060.03348, 149768.02671)"
"(-20103.17388, 149999.66451)","(-20237.69718, 149935.84221)"
"(-20103.17388, 149999.66451)","(-19636.16808, 150436.07961)"
"(-20103.17388, 149999.66451)","(-19910.82027, 150258.01538)"
"(-20103.17388, 149999.66451)","(-20145.15517, 149868.9616)"
"(-18180.79438, 148065.30721)","(-18122.11408, 148113.06371)"
"(-18180.79438, 148065.30721)","(-18464.56308, 148078.10291)"
"(-18180.79438, 148065.30721)","(-18134.15908, 147991.56901)"
"(-18180.79438, 148065.30721)","(-18395.12388, 147997.37027)"
"(-18180.79438, 148065.30721)","(-18203.06698, 148235.76639)"
"(-20092.06248, 151216.75921)","(-20044.01838, 151181.16291)"
"(-20092.06248, 151216.75921)","(-20321.9493, 151240.18964)"
"(-20092.06248, 151216.75921)","(-20159.7491, 151058.63753)"
"(-20092.06248, 151216.75921)","(-20374.93602, 151630.77118)"
"(-20133.49248, 148960.09531)","(-20176.43468, 149095.40991)"
"(-20133.49248, 148960.09531)","(-20420.76727, 148462.10478)"
"(-20133.49248, 148960.09531)","(-19888.80978, 148982.37721)"
"(-19977.49208, 150945.54141)","(-19998.12958, 150938.66231)"
"(-19977.49208, 150945.54141)","(-19724.47581, 151109.50839)"
"(-19977.49208, 150945.54141)","(-19923.83008, 150612.01551)"
"(-19977.49208, 150945.54141)","(-19819.83418, 151386.14621)"
"(-19977.49208, 150945.54141)","(-20003.22532, 150752.09398)"
"(-19977.49208, 150945.54141)","(-19985.91822, 151209.96399)"
"(-19513.78678, 150128.33171)","(-19615.11488, 150256.98631)"
"(-19513.78678, 150128.33171)","(-19496.24038, 150221.53691)"
"(-19513.78678, 150128.33171)","(-18969.07608, 149881.08771)"
"(-19513.78678, 150128.33171)","(-19350.41742, 150250.88267)"
"(-19393.35878, 149642.14961)","(-19468.26748, 149588.56111)"
"(-19393.35878, 149642.14961)","(-19253.88069, 149746.98272)"
"(-19456.26598, 149523.03911)","(-19459.89858, 149553.16851)"
"(-19456.26598, 149523.03911)","(-19199.38718, 149193.66081)"
"(-19456.26598, 149523.03911)","(-18911.84518, 149487.71269)"
"(-19456.26598, 149523.03911)","(-19146.85309, 149339.87061)"
"(-19456.26598, 149523.03911)","(-19351.03966, 149144.68212)"
"(-20701.02498, 151485.82311)","(-20819.67598, 151344.84131)"
"(-20701.02498, 151485.82311)","(-20741.02698, 151638.04541)"
"(-20701.02498, 151485.82311)","(-20710.26738, 151175.44041)"
"(-20701.02498, 151485.82311)","(-20444.32954, 151222.99863)"
"(-19191.36898, 151029.55791)","(-19424.59208, 150993.18951)"
"(-19191.36898, 151029.55791)","(-19370.70038, 151161.18931)"
"(-19191.36898, 151029.55791)","(-19066.58788, 151339.59491)"
"(-20722.26238, 151154.72961)","(-20710.26738, 151175.44041)"
"(-20722.26238, 151154.72961)","(-20785.24858, 151033.76111)"
"(-20722.26238, 151154.72961)","(-20611.80988, 150929.69322)"
"(-20372.10118, 150006.43461)","(-20314.44328, 150018.54451)"
"(-20372.10118, 150006.43461)","(-20620.49458, 149828.36131)"
"(-20372.10118, 150006.43461)","(-20476.43238, 149543.56871)"
"(-19306.14368, 148894.78911)","(-19428.11298, 149037.05491)"
"(-19306.14368, 148894.78911)","(-18934.21248, 148675.01851)"
"(-19306.14368, 148894.78911)","(-18637.80958, 149189.57211)"
"(-19306.14368, 148894.78911)","(-19027.04257, 149126.83841)"
"(-19306.14368, 148894.78911)","(-18945.70317, 148950.5831)"
"(-19306.14368, 148894.78911)","(-19351.03966, 149144.68212)"
"(-20894.65738, 152294.33101)","(-20971.51108, 152287.29341)"
"(-20894.65738, 152294.33101)","(-20860.12618, 152334.07031)"
"(-20894.65738, 152294.33101)","(-20621.73578, 152310.44621)"
"(-20894.65738, 152294.33101)","(-20680.81871, 152160.5311)"
"(-17537.65828, 148721.27571)","(-17646.02668, 148639.27291)"
"(-17537.65828, 148721.27571)","(-17274.0746, 148624.45827)"
"(-17537.65828, 148721.27571)","(-17694.81718, 148980.69431)"
"(-19513.38068, 149765.45801)","(-19253.88069, 149746.98272)"
"(-19513.38068, 149765.45801)","(-19468.26748, 149588.56111)"
"(-19513.38068, 149765.45801)","(-19615.11488, 150256.98631)"
"(-19513.38068, 149765.45801)","(-19351.03966, 149144.68212)"
"(-18304.29958, 148942.83651)","(-18449.22798, 148977.22521)"
"(-18304.29958, 148942.83651)","(-18063.82948, 149016.35991)"
"(-18304.29958, 148942.83651)","(-18467.63448, 148529.93011)"
"(-18304.29958, 148942.83651)","(-18252.27956, 148775.25179)"
"(-18304.29958, 148942.83651)","(-18256.14705, 149035.06612)"
"(-18304.29958, 148942.83651)","(-18664.94384, 148603.76108)"
"(-19376.89108, 150760.39251)","(-19365.44542, 150724.09401)"
"(-19376.89108, 150760.39251)","(-19415.18204, 150753.26966)"
"(-19376.89108, 150760.39251)","(-19230.43039, 150897.91981)"
"(-19844.77948, 148925.99981)","(-19772.75208, 148891.60841)"
"(-19844.77948, 148925.99981)","(-19888.80978, 148982.37721)"
"(-19703.76898, 152276.97771)","(-19699.16048, 152239.75871)"
"(-19703.76898, 152276.97771)","(-19685.27328, 152289.15781)"
"(-19703.76898, 152276.97771)","(-19810.81138, 152250.66961)"
"(-19703.76898, 152276.97771)","(-19604.86816, 151882.26748)"
"(-19703.76898, 152276.97771)","(-19716.27775, 152303.39347)"
"(-19710.16768, 151387.89281)","(-19819.83418, 151386.14621)"
"(-19710.16768, 151387.89281)","(-19528.08998, 151415.42781)"
"(-19710.16768, 151387.89281)","(-19370.70038, 151161.18931)"
"(-19710.16768, 151387.89281)","(-19661.30926, 151391.02818)"
"(-19428.11298, 149037.05491)","(-19199.38718, 149193.66081)"
"(-19428.11298, 149037.05491)","(-19123.14698, 149192.34101)"
"(-19428.11298, 149037.05491)","(-19027.04257, 149126.83841)"
"(-19428.11298, 149037.05491)","(-19262.87982, 149088.7106)"
"(-19428.11298, 149037.05491)","(-19351.03966, 149144.68212)"
"(-18122.11408, 148113.06371)","(-17718.22078, 148352.25251)"
"(-18122.11408, 148113.06371)","(-18014.39648, 148539.92651)"
"(-18122.11408, 148113.06371)","(-17864.62096, 148505.90669)"
"(-18122.11408, 148113.06371)","(-18203.06698, 148235.76639)"
"(-19424.59208, 150993.18951)","(-19230.43039, 150897.91981)"
"(-19424.59208, 150993.18951)","(-19724.47581, 151109.50839)"
"(-20819.96328, 151000.32721)","(-20785.24858, 151033.76111)"
"(-20819.96328, 151000.32721)","(-21095.01245, 150886.10202)"
"(-20819.96328, 151000.32721)","(-20815.01898, 150668.19941)"
"(-20819.96328, 151000.32721)","(-20611.80988, 150929.69322)"
"(-19456.44598, 148951.98991)","(-19390.29028, 148885.89851)"
"(-19456.44598, 148951.98991)","(-19772.75208, 148891.60841)"
"(-19456.44598, 148951.98991)","(-19316.37238, 149204.48681)"
"(-19456.44598, 148951.98991)","(-19351.03966, 149144.68212)"
"(-20178.05698, 149587.84371)","(-20193.35238, 149582.65091)"
"(-20178.05698, 149587.84371)","(-20060.03348, 149768.02671)"
"(-18544.04848, 149124.18131)","(-18443.62178, 149240.82801)"
"(-18544.04848, 149124.18131)","(-18637.80958, 149189.57211)"
"(-18544.04848, 149124.18131)","(-18508.47489, 149031.36554)"
"(-18544.04848, 149124.18131)","(-18945.70317, 148950.5831)"
"(-18543.95458, 147716.42381)","(-18248.39621, 147640.02194)"
"(-18543.95458, 147716.42381)","(-18604.90518, 147891.34761)"
"(-18543.95458, 147716.42381)","(-19007.43458, 146703.71606)"
"(-19406.61876, 151791.40352)","(-19414.86798, 151784.42971)"
"(-19406.61876, 151791.40352)","(-19511.73078, 151897.44221)"
"(-19406.61876, 151791.40352)","(-19328.37375, 151691.90101)"
"(-19406.61876, 151791.40352)","(-19478.45355, 151832.00642)"
"(-19019.12398, 150372.41711)","(-18845.63342, 150416.73626)"
"(-19019.12398, 150372.41711)","(-19171.50488, 150282.66491)"
"(-19019.12398, 150372.41711)","(-18983.95308, 150287.92741)"
"(-19019.12398, 150372.41711)","(-19350.41742, 150250.88267)"
"(-21158.80358, 152609.69661)","(-21087.89608, 152226.05061)"
"(-21158.80358, 152609.69661)","(-20497.87888, 152432.63621)"
"(-20497.87888, 152432.63621)","(-20621.73578, 152310.44621)"
"(-20497.87888, 152432.63621)","(-20161.53318, 152306.82261)"
"(-20497.87888, 152432.63621)","(-20384.30125, 152292.70993)"
"(-20561.34198, 152005.92651)","(-20945.79298, 152083.71261)"
"(-20561.34198, 152005.92651)","(-20373.38968, 151969.16841)"
"(-20561.34198, 152005.92651)","(-20120.91688, 151657.29481)"
"(-20561.34198, 152005.92651)","(-20680.81871, 152160.5311)"
