"Source(x,y)","Target(x,y)"
"(-18072.72451, 148497.78782)","(-18106.36828, 148470.90731)"
"(-18178.5909, 148310.59716)","(-18106.36828, 148470.90731)"
"(-18222.07828, 148433.14601)","(-18106.36828, 148470.90731)"
"(-18593.38864, 148204.39552)","(-18106.36828, 148470.90731)"
"(-18203.06697, 148235.76638)","(-18106.36828, 148470.90731)"
"(-18257.0914, 148547.03044)","(-18106.36828, 148470.90731)"
"(-20919.94479, 151155.6184)","(-20936.82368, 151152.61771)"
"(-20785.24858, 151033.76111)","(-20936.82368, 151152.61771)"
"(-20826.05269, 151115.14305)","(-20936.82368, 151152.61771)"
"(-20994.62206, 151101.89149)","(-20936.82368, 151152.61771)"
"(-19048.12108, 146880.86871)","(-19001.86398, 146839.72811)"
"(-19007.43458, 146703.71605)","(-19001.86398, 146839.72811)"
"(-18916.9916, 147076.63146)","(-19001.86398, 146839.72811)"
"(-18734.29047, 147265.74478)","(-19001.86398, 146839.72811)"
"(-20193.35238, 149582.65091)","(-20220.45988, 149722.84161)"
"(-20237.69718, 149935.84221)","(-20220.45988, 149722.84161)"
"(-20060.03348, 149768.02671)","(-20220.45988, 149722.84161)"
"(-20461.78808, 149509.55421)","(-20220.45988, 149722.84161)"
"(-20323.31572, 149630.79808)","(-20220.45988, 149722.84161)"
"(-20140.90175, 149698.82923)","(-20220.45988, 149722.84161)"
"(-20374.46223, 149818.18772)","(-20220.45988, 149722.84161)"
"(-20145.15517, 149868.9616)","(-20220.45988, 149722.84161)"
"(-17339.83638, 148345.07651)","(-17413.09558, 148290.85521)"
"(-17718.22078, 148352.25251)","(-17413.09558, 148290.85521)"
"(-17199.22307, 148257.80144)","(-17413.09558, 148290.85521)"
"(-17565.15922, 148147.77305)","(-17413.09558, 148290.85521)"
"(-17203.57361, 148387.80976)","(-17413.09558, 148290.85521)"
"(-17371.10104, 148432.0278)","(-17413.09558, 148290.85521)"
"(-20156.48968, 152023.19761)","(-19954.08538, 151864.43651)"
"(-19695.58188, 152220.72832)","(-19954.08538, 151864.43651)"
"(-19596.64828, 151486.83241)","(-19954.08538, 151864.43651)"
"(-19998.78504, 151739.76057)","(-19954.08538, 151864.43651)"
"(-19604.86816, 151882.26748)","(-19954.08538, 151864.43651)"
"(-19919.77255, 152085.19067)","(-19954.08538, 151864.43651)"
"(-19128.69942, 149815.47209)","(-19096.65168, 149824.47941)"
"(-19032.78051, 149747.5224)","(-19096.65168, 149824.47941)"
"(-18999.55747, 149874.63951)","(-19096.65168, 149824.47941)"
"(-18761.06791, 149613.6716)","(-19096.65168, 149824.47941)"
"(-19390.48704, 149952.28085)","(-19096.65168, 149824.47941)"
"(-20301.57768, 152137.70531)","(-20156.48968, 152023.19761)"
"(-19953.32196, 152367.88664)","(-20156.48968, 152023.19761)"
"(-19998.78504, 151739.76057)","(-20156.48968, 152023.19761)"
"(-19919.77255, 152085.19067)","(-20156.48968, 152023.19761)"
"(-20110.40315, 152253.80375)","(-20156.48968, 152023.19761)"
"(-19441.05056, 152294.28156)","(-19446.15258, 152265.97791)"
"(-19406.05108, 152300.01541)","(-19446.15258, 152265.97791)"
"(-19529.70878, 152130.65201)","(-19446.15258, 152265.97791)"
"(-19604.86816, 151882.26748)","(-19446.15258, 152265.97791)"
"(-19501.83001, 152113.83699)","(-19446.15258, 152265.97791)"
"(-19370.85748, 151578.24841)","(-19367.93178, 151581.39161)"
"(-19066.58788, 151339.59491)","(-19367.93178, 151581.39161)"
"(-19406.61876, 151791.40352)","(-19367.93178, 151581.39161)"
"(-19289.87025, 151300.18598)","(-19367.93178, 151581.39161)"
"(-19328.37374, 151691.90101)","(-19367.93178, 151581.39161)"
"(-18862.0035, 149376.34028)","(-18805.75758, 149406.29991)"
"(-18829.90115, 149411.86516)","(-18805.75758, 149406.29991)"
"(-18496.00608, 149275.44471)","(-18805.75758, 149406.29991)"
"(-19146.85309, 149339.87061)","(-18805.75758, 149406.29991)"
"(-18911.84518, 149487.71268)","(-18805.75758, 149406.29991)"
"(-19528.08998, 151415.42781)","(-19539.99628, 151410.26841)"
"(-19548.45418, 151443.27231)","(-19539.99628, 151410.26841)"
"(-19802.28038, 151400.11821)","(-19539.99628, 151410.26841)"
"(-19661.30926, 151391.02818)","(-19539.99628, 151410.26841)"
"(-19480.90404, 151507.39846)","(-19539.99628, 151410.26841)"
"(-19998.78504, 151739.76057)","(-19539.99628, 151410.26841)"
"(-18544.04848, 149124.18131)","(-18613.52908, 149015.88501)"
"(-18706.22858, 148776.81791)","(-18613.52908, 149015.88501)"
"(-18934.21248, 148675.01851)","(-18613.52908, 149015.88501)"
"(-18945.70316, 148950.5831)","(-18613.52908, 149015.88501)"
"(-18508.47489, 149031.36554)","(-18613.52908, 149015.88501)"
"(-19370.05028, 151595.20231)","(-19370.85748, 151578.24841)"
"(-19528.08998, 151415.42781)","(-19370.85748, 151578.24841)"
"(-19289.87025, 151300.18598)","(-19370.85748, 151578.24841)"
"(-19480.90404, 151507.39846)","(-19370.85748, 151578.24841)"
"(-19328.37374, 151691.90101)","(-19370.85748, 151578.24841)"
"(-20311.67036, 150873.10933)","(-20341.34548, 150881.12521)"
"(-20356.98335, 150897.18998)","(-20341.34548, 150881.12521)"
"(-20599.64088, 150750.69281)","(-20341.34548, 150881.12521)"
"(-20427.12043, 150759.05765)","(-20341.34548, 150881.12521)"
"(-20611.80988, 150929.69322)","(-20341.34548, 150881.12521)"
"(-20444.32954, 151222.99863)","(-20341.34548, 150881.12521)"
"(-16933.33548, 148076.73781)","(-16972.94048, 148172.16431)"
"(-17110.65798, 148246.77701)","(-16972.94048, 148172.16431)"
"(-17701.27618, 147951.16761)","(-16972.94048, 148172.16431)"
"(-17305.87442, 147985.27533)","(-16972.94048, 148172.16431)"
"(-17565.15922, 148147.77305)","(-16972.94048, 148172.16431)"
"(-16536.90152, 148019.9995)","(-16972.94048, 148172.16431)"
"(-17537.65828, 148721.27571)","(-17476.97208, 148729.36001)"
"(-17312.08308, 148758.25831)","(-17476.97208, 148729.36001)"
"(-17274.0746, 148624.45827)","(-17476.97208, 148729.36001)"
"(-17455.31173, 148551.45585)","(-17476.97208, 148729.36001)"
"(-17209.79952, 148666.4973)","(-17476.97208, 148729.36001)"
"(-17190.66883, 148753.59199)","(-17476.97208, 148729.36001)"
"(-17674.45598, 148495.06221)","(-17685.98998, 148471.50061)"
"(-17706.73578, 148396.23901)","(-17685.98998, 148471.50061)"
"(-17864.62096, 148505.90669)","(-17685.98998, 148471.50061)"
"(-17455.31173, 148551.45585)","(-17685.98998, 148471.50061)"
"(-19432.96878, 149600.24901)","(-19432.93148, 149757.42311)"
"(-19365.76423, 149779.44657)","(-19432.93148, 149757.42311)"
"(-19513.38068, 149765.45801)","(-19432.93148, 149757.42311)"
"(-19367.78888, 149718.63928)","(-19432.93148, 149757.42311)"
"(-19390.48704, 149952.28085)","(-19432.93148, 149757.42311)"
"(-20674.08318, 149596.07621)","(-20722.30038, 149625.19561)"
"(-20683.75698, 149756.95981)","(-20722.30038, 149625.19561)"
"(-20808.44969, 149687.475)","(-20722.30038, 149625.19561)"
"(-20563.39596, 149754.939)","(-20722.30038, 149625.19561)"
"(-19073.54082, 150487.17969)","(-18996.32668, 150487.65351)"
"(-19108.27488, 150439.06671)","(-18996.32668, 150487.65351)"
"(-19088.28132, 150702.15719)","(-18996.32668, 150487.65351)"
"(-19358.32398, 150560.35243)","(-18996.32668, 150487.65351)"
"(-19187.11285, 150378.93697)","(-18996.32668, 150487.65351)"
"(-19001.43311, 150620.92439)","(-18996.32668, 150487.65351)"
"(-20389.10448, 151498.77746)","(-20259.92888, 151297.15551)"
"(-20092.06248, 151216.75921)","(-20259.92888, 151297.15551)"
"(-20373.47708, 151208.52501)","(-20259.92888, 151297.15551)"
"(-20444.32954, 151222.99863)","(-20259.92888, 151297.15551)"
"(-20321.9493, 151240.18964)","(-20259.92888, 151297.15551)"
"(-20374.93601, 151630.77118)","(-20259.92888, 151297.15551)"
"(-20092.06248, 151216.75921)","(-20373.47708, 151208.52501)"
"(-20033.07478, 150852.75251)","(-20373.47708, 151208.52501)"
"(-20159.7491, 151058.63753)","(-20373.47708, 151208.52501)"
"(-20444.32954, 151222.99863)","(-20373.47708, 151208.52501)"
"(-20321.9493, 151240.18964)","(-20373.47708, 151208.52501)"
"(-15918.87544, 149122.0505)","(-15877.87558, 149064.23291)"
"(-16022.10956, 149015.14463)","(-15877.87558, 149064.23291)"
"(-16366.64318, 148905.93287)","(-15877.87558, 149064.23291)"
"(-20237.69718, 149935.84221)","(-20103.17388, 149999.66451)"
"(-20060.03348, 149768.02671)","(-20103.17388, 149999.66451)"
"(-19636.16808, 150436.07961)","(-20103.17388, 149999.66451)"
"(-20102.43787, 149627.93696)","(-20103.17388, 149999.66451)"
"(-20145.15517, 149868.9616)","(-20103.17388, 149999.66451)"
"(-19910.82027, 150258.01538)","(-20103.17388, 149999.66451)"
"(-21364.5396, 151533.92118)","(-21315.86408, 151610.06391)"
"(-21293.74209, 151764.19935)","(-21315.86408, 151610.06391)"
"(-21256.83915, 151431.60024)","(-21315.86408, 151610.06391)"
"(-16331.59883, 149514.2108)","(-16356.06658, 149547.23811)"
"(-16433.69168, 149651.7506)","(-16356.06658, 149547.23811)"
"(-16462.34046, 149506.2213)","(-16356.06658, 149547.23811)"
"(-20476.43238, 149543.56871)","(-20502.96408, 149569.56841)"
"(-20517.30077, 149583.61764)","(-20502.96408, 149569.56841)"
"(-20372.10118, 150006.43461)","(-20502.96408, 149569.56841)"
"(-20620.72871, 149532.0445)","(-20502.96408, 149569.56841)"
"(-20374.46223, 149818.18772)","(-20502.96408, 149569.56841)"
"(-20563.39596, 149754.939)","(-20502.96408, 149569.56841)"
"(-18519.92438, 148387.08011)","(-18222.07828, 148433.14601)"
"(-18593.38864, 148204.39552)","(-18222.07828, 148433.14601)"
"(-18257.0914, 148547.03044)","(-18222.07828, 148433.14601)"
"(-18122.11408, 148113.06371)","(-18180.79438, 148065.30721)"
"(-18464.56308, 148078.10291)","(-18180.79438, 148065.30721)"
"(-18134.15908, 147991.56901)","(-18180.79438, 148065.30721)"
"(-18395.12388, 147997.37027)","(-18180.79438, 148065.30721)"
"(-17565.15922, 148147.77305)","(-18180.79438, 148065.30721)"
"(-18203.06697, 148235.76638)","(-18180.79438, 148065.30721)"
"(-16827.31478, 149294.45821)","(-16865.12308, 149263.90371)"
"(-16898.05758, 149306.61571)","(-16865.12308, 149263.90371)"
"(-17261.87036, 149315.71188)","(-16865.12308, 149263.90371)"
"(-16753.73783, 149186.08849)","(-16865.12308, 149263.90371)"
"(-17315.36834, 149397.60016)","(-16865.12308, 149263.90371)"
"(-16916.6274, 149515.02326)","(-16865.12308, 149263.90371)"
"(-20044.01838, 151181.16291)","(-20092.06248, 151216.75921)"
"(-20159.7491, 151058.63753)","(-20092.06248, 151216.75921)"
"(-20321.9493, 151240.18964)","(-20092.06248, 151216.75921)"
"(-20374.93601, 151630.77118)","(-20092.06248, 151216.75921)"
"(-19699.16048, 152239.75871)","(-19743.48478, 152218.10651)"
"(-19810.81138, 152250.66961)","(-19743.48478, 152218.10651)"
"(-19919.77255, 152085.19067)","(-19743.48478, 152218.10651)"
"(-20176.43468, 149095.40991)","(-20133.49248, 148960.09531)"
"(-19888.80978, 148982.37721)","(-20133.49248, 148960.09531)"
"(-20425.36298, 148768.95551)","(-20133.49248, 148960.09531)"
"(-20155.0828, 148750.67299)","(-20133.49248, 148960.09531)"
"(-19796.29886, 149086.97684)","(-20133.49248, 148960.09531)"
"(-20457.08096, 149106.15009)","(-20133.49248, 148960.09531)"
"(-19998.12958, 150938.66231)","(-19977.49208, 150945.54141)"
"(-19724.47581, 151109.50839)","(-19977.49208, 150945.54141)"
"(-19923.83008, 150612.01551)","(-19977.49208, 150945.54141)"
"(-19819.83418, 151386.14621)","(-19977.49208, 150945.54141)"
"(-20003.22532, 150752.09397)","(-19977.49208, 150945.54141)"
"(-19702.67059, 150878.74403)","(-19977.49208, 150945.54141)"
"(-19676.71826, 151182.53562)","(-19977.49208, 150945.54141)"
"(-19985.91822, 151209.96399)","(-19977.49208, 150945.54141)"
"(-21072.42326, 151927.00712)","(-21064.56488, 151660.11591)"
"(-21152.05528, 151640.67415)","(-21064.56488, 151660.11591)"
"(-20819.67598, 151344.84131)","(-21064.56488, 151660.11591)"
"(-21256.83915, 151431.60024)","(-21064.56488, 151660.11591)"
"(-20904.38092, 151765.99494)","(-21064.56488, 151660.11591)"
"(-18453.72578, 147068.08621)","(-17928.43238, 146922.19301)"
"(-17700.53258, 147262.18621)","(-17928.43238, 146922.19301)"
"(-17520.51398, 146554.96541)","(-17928.43238, 146922.19301)"
"(-17630.70568, 146923.14339)","(-17928.43238, 146922.19301)"
"(-18734.29047, 147265.74478)","(-17928.43238, 146922.19301)"
"(-17732.09253, 147427.752)","(-17928.43238, 146922.19301)"
"(-19854.66238, 150585.87891)","(-19815.42568, 150644.50541)"
"(-19548.72419, 150744.70941)","(-19815.42568, 150644.50541)"
"(-19358.32398, 150560.35243)","(-19815.42568, 150644.50541)"
"(-19702.67059, 150878.74403)","(-19815.42568, 150644.50541)"
"(-19453.45798, 150073.27181)","(-19513.78678, 150128.33171)"
"(-19615.11488, 150256.98631)","(-19513.78678, 150128.33171)"
"(-19496.24038, 150221.53691)","(-19513.78678, 150128.33171)"
"(-19390.48704, 149952.28085)","(-19513.78678, 150128.33171)"
"(-19350.41741, 150250.88267)","(-19513.78678, 150128.33171)"
"(-21153.12387, 151800.72897)","(-21130.52358, 151748.99821)"
"(-21152.05528, 151640.67415)","(-21130.52358, 151748.99821)"
"(-21256.83915, 151431.60024)","(-21130.52358, 151748.99821)"
"(-17389.04788, 147491.31181)","(-17700.53258, 147262.18621)"
"(-17630.70568, 146923.14339)","(-17700.53258, 147262.18621)"
"(-17732.09253, 147427.752)","(-17700.53258, 147262.18621)"
"(-19372.41908, 149662.21291)","(-19393.35878, 149642.14961)"
"(-19432.96878, 149600.24901)","(-19393.35878, 149642.14961)"
"(-19367.78888, 149718.63928)","(-19393.35878, 149642.14961)"
"(-18761.06791, 149613.6716)","(-19393.35878, 149642.14961)"
"(-18986.82408, 147156.72051)","(-18944.66998, 147192.25351)"
"(-18855.8861, 147248.74369)","(-18944.66998, 147192.25351)"
"(-18916.9916, 147076.63146)","(-18944.66998, 147192.25351)"
"(-18743.09003, 147452.51793)","(-18944.66998, 147192.25351)"
"(-19459.89858, 149553.16851)","(-19456.26598, 149523.03911)"
"(-19199.38718, 149193.66081)","(-19456.26598, 149523.03911)"
"(-18829.90115, 149411.86516)","(-19456.26598, 149523.03911)"
"(-19146.85309, 149339.87061)","(-19456.26598, 149523.03911)"
"(-18911.84518, 149487.71268)","(-19456.26598, 149523.03911)"
"(-19351.03965, 149144.68211)","(-19456.26598, 149523.03911)"
"(-20819.67598, 151344.84131)","(-20701.02498, 151485.82311)"
"(-20741.02698, 151638.04541)","(-20701.02498, 151485.82311)"
"(-20710.26738, 151175.44041)","(-20701.02498, 151485.82311)"
"(-20994.62206, 151101.89149)","(-20701.02498, 151485.82311)"
"(-20444.32954, 151222.99863)","(-20701.02498, 151485.82311)"
"(-20904.38092, 151765.99494)","(-20701.02498, 151485.82311)"
"(-19424.59208, 150993.18951)","(-19191.36898, 151029.55791)"
"(-19370.70038, 151161.18931)","(-19191.36898, 151029.55791)"
"(-19066.58788, 151339.59491)","(-19191.36898, 151029.55791)"
"(-19676.71826, 151182.53562)","(-19191.36898, 151029.55791)"
"(-19289.87025, 151300.18598)","(-19191.36898, 151029.55791)"
"(-17987.7967, 148243.58565)","(-17942.33628, 148297.45751)"
"(-17718.22078, 148352.25251)","(-17942.33628, 148297.45751)"
"(-17565.15922, 148147.77305)","(-17942.33628, 148297.45751)"
"(-17864.62096, 148505.90669)","(-17942.33628, 148297.45751)"
"(-20710.26738, 151175.44041)","(-20722.26238, 151154.72961)"
"(-20785.24858, 151033.76111)","(-20722.26238, 151154.72961)"
"(-20919.94479, 151155.6184)","(-20722.26238, 151154.72961)"
"(-20611.80988, 150929.69322)","(-20722.26238, 151154.72961)"
"(-20826.05269, 151115.14305)","(-20722.26238, 151154.72961)"
"(-20994.62206, 151101.89149)","(-20722.26238, 151154.72961)"
"(-17542.67288, 146564.22581)","(-17486.79808, 146482.17391)"
"(-17520.51398, 146554.96541)","(-17486.79808, 146482.17391)"
"(-17448.72114, 146632.89141)","(-17486.79808, 146482.17391)"
"(-17542.51607, 146359.17629)","(-17486.79808, 146482.17391)"
"(-17630.70568, 146923.14339)","(-17486.79808, 146482.17391)"
"(-18425.05698, 147069.34801)","(-18453.72578, 147068.08621)"
"(-18618.40668, 146872.07421)","(-18453.72578, 147068.08621)"
"(-18483.27231, 147244.2518)","(-18453.72578, 147068.08621)"
"(-18734.29047, 147265.74478)","(-18453.72578, 147068.08621)"
"(-17732.09253, 147427.752)","(-18453.72578, 147068.08621)"
"(-20314.44328, 150018.54451)","(-20372.10118, 150006.43461)"
"(-20620.49458, 149828.36131)","(-20372.10118, 150006.43461)"
"(-20374.46223, 149818.18772)","(-20372.10118, 150006.43461)"
"(-20563.39596, 149754.939)","(-20372.10118, 150006.43461)"
"(-20363.70614, 150074.13357)","(-20372.10118, 150006.43461)"
"(-19428.11298, 149037.05491)","(-19306.14368, 148894.78911)"
