ID_UG;nodes
996;(-18106.36828, 148470.90731),(-18549.35658, 148457.21371),(-17989.05868, 148754.43361),(-18050.37398, 148515.64541),(-18467.63448, 148529.93011),(-18257.0914, 148547.03044)
1333;(-18106.36828, 148470.90731),(-18180.79438, 148065.30721),(-18122.11408, 148113.06371),(-18050.37398, 148515.64541),(-18464.56308, 148078.10291),(-18014.39648, 148539.92651),(-18203.06698, 148235.76639)
998;(-18106.36828, 148470.90731),(-18967.03998, 148179.37271),(-18549.35658, 148457.21371),(-18924.92008, 148280.89761),(-18604.90518, 147891.34761),(-18575.62358, 147895.17401),(-18464.56308, 148078.10291),(-18593.38864, 148204.39552)
1504;(-20936.82368, 151152.61771),(-20722.26238, 151154.72961),(-20785.24858, 151033.76111)
1156;(-20936.82368, 151152.61771),(-20701.02498, 151485.82311),(-20722.26238, 151154.72961),(-20819.96328, 151000.32721),(-20819.67598, 151344.84131),(-20710.26738, 151175.44041),(-21074.78908, 151324.87421),(-21099.67728, 150751.89261),(-20785.24858, 151033.76111),(-21081.31873, 151273.08518),(-21233.38164, 151109.0715)
1322;(-20220.45988, 149722.84161),(-20178.05698, 149587.84371),(-20193.35238, 149582.65091),(-20060.03348, 149768.02671)
1323;(-20220.45988, 149722.84161),(-20103.17388, 149999.66451),(-20237.69718, 149935.84221),(-20060.03348, 149768.02671),(-20145.15517, 149868.9616)
924;(-20220.45988, 149722.84161),(-20372.10118, 150006.43461),(-20476.43238, 149543.56871),(-20237.69718, 149935.84221),(-20461.78808, 149509.55421),(-20314.44328, 150018.54451)
925;(-20220.45988, 149722.84161),(-20193.35238, 149582.65091),(-20456.27388, 149496.74611),(-20461.78808, 149509.55421)
1169;(-17413.09558, 148290.85521),(-18180.79438, 148065.30721),(-18122.11408, 148113.06371),(-17955.62698, 147990.25791),(-18134.15908, 147991.56901),(-17718.22078, 148352.25251),(-17801.24868, 148045.81621),(-17199.22307, 148257.80144)
1004;(-17413.09558, 148290.85521),(-17706.73578, 148396.23901),(-17339.83638, 148345.07651),(-17718.22078, 148352.25251),(-17034.13538, 148625.85531)
1158;(-19096.65168, 149824.47941),(-19513.78678, 150128.33171),(-19513.38068, 149765.45801),(-18969.07608, 149881.08771),(-19615.11488, 150256.98631),(-19253.88069, 149746.98272)
814;(-19096.65168, 149824.47941),(-19393.35878, 149642.14961),(-19459.89858, 149553.16851),(-17875.51866, 149437.86514),(-18439.03018, 149599.42891),(-19468.26748, 149588.56111),(-19253.88069, 149746.98272),(-17923.89768, 149375.71351),(-18066.12888, 149385.62261),(-18495.04568, 149512.94291),(-19032.78051, 149747.5224)
841;(-20156.48968, 152023.19761),(-20161.53318, 152306.82261),(-19953.32196, 152367.88664),(-20301.57768, 152137.70531),(-20110.40315, 152253.80375)
843;(-20156.48968, 152023.19761),(-19699.16048, 152239.75871),(-19954.08538, 151864.43651),(-19810.81138, 152250.66961),(-19953.32196, 152367.88664),(-19870.02208, 152274.84941),(-19919.77255, 152085.19067)
