"Source(x,y)","Target(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-11125.67678, 150196.59571)","(-10896.52638, 150314.09401)",0.31776491390776673,False,False,1535,596,2303,596,1149,False,"[(-10910.83998, 150318.47791)]"
"(-11125.67678, 150196.59571)","(-11466.76968, 150118.51391)",0.4449621931664778,False,False,2150,835,3225,835,1612,False,"[(-11176.15808, 150171.15231), (-11210.49168, 150134.66771)]"
"(-11125.67678, 150196.59571)","(-11038.4333, 150153.40612)",0.10247218841216243,True,False,494,193,742,193,371,False,"[(-11070.84558, 150186.42821)]"
"(-11125.67678, 150196.59571)","(-11227.96093, 150329.57773)",0.0,False,True,0,0,0,0,0,False,
"(-10896.52638, 150314.09401)","(-11125.67678, 150196.59571)",0.31776491390776673,False,False,1535,596,2303,596,1149,False,"[(-10910.83998, 150318.47791)]"
"(-10896.52638, 150314.09401)","(-11129.53308, 150560.60801)",0.4442315213570648,False,False,2147,833,3220,833,1611,False,"[(-10992.54348, 150420.89651), (-10996.01968, 150423.72091), (-10996.80088, 150423.47841), (-11013.73418, 150437.23681), (-11065.59268, 150473.22021), (-11123.69888, 150521.13661), (-10961.85188, 150430.42151)]"
"(-10896.52638, 150314.09401)","(-10836.19272, 150318.3575)",0.07263615730031979,True,False,350,136,526,136,263,False,"[(-10891.52038, 150312.56061), (-10892.26948, 150311.51191)]"
"(-10896.52638, 150314.09401)","(-11227.96093, 150329.57773)",0.0,False,True,0,0,0,0,0,False,
"(-11466.76968, 150118.51391)","(-11125.67678, 150196.59571)",0.4449621931664778,False,False,2150,835,3225,835,1612,False,"[(-11176.15808, 150171.15231), (-11210.49168, 150134.66771)]"
"(-11466.76968, 150118.51391)","(-11196.59328, 150568.22561)",0.656672162566382,False,False,3171,1232,4759,1232,2379,False,"[(-11474.92428, 150309.43731), (-11434.40208, 150273.89461), (-11465.02598, 150396.50511), (-11307.32548, 150518.87851)]"
"(-11466.76968, 150118.51391)","(-11129.53308, 150560.60801)",1.217687951824888,False,False,5885,2286,8822,2286,4414,False,"[(-11105.65518, 150604.54641)]"
"(-11466.76968, 150118.51391)","(-11227.96093, 150329.57773)",0.0,False,True,0,0,0,0,0,False,
"(-11038.4333, 150153.40612)","(-11125.67678, 150196.59571)",0.10247218841216243,True,False,494,193,742,193,371,False,"[(-11070.84558, 150186.42821)]"
"(-11038.4333, 150153.40612)","(-10836.19272, 150318.3575)",1.8364882571847196,True,False,8874,3449,13310,3449,6652,False,"[(-11028.98928, 150143.19561), (-11021.07831, 150157.48684), (-11001.19172, 150193.41213), (-10308.00978, 150027.72871), (-10299.96506, 150230.19274)]"
"(-11227.96093, 150329.57773)","(-11125.67678, 150196.59571)",0.0,False,True,0,0,0,0,0,False,
"(-11227.96093, 150329.57773)","(-11196.59328, 150568.22561)",0.0,False,True,0,0,0,0,0,False,
"(-11227.96093, 150329.57773)","(-11129.53308, 150560.60801)",0.0,False,True,0,0,0,0,0,False,
"(-11227.96093, 150329.57773)","(-10896.52638, 150314.09401)",0.0,False,True,0,0,0,0,0,False,
"(-11227.96093, 150329.57773)","(-11466.76968, 150118.51391)",0.0,False,True,0,0,0,0,0,False,
"(-11196.59328, 150568.22561)","(-11129.53308, 150560.60801)",0.06749146800744485,False,False,326,127,489,127,245,17.8507,
"(-11196.59328, 150568.22561)","(-11466.76968, 150118.51391)",0.656672162566382,False,False,3171,1232,4759,1232,2379,False,"[(-11474.92428, 150309.43731), (-11434.40208, 150273.89461), (-11465.02598, 150396.50511), (-11307.32548, 150518.87851)]"
"(-11196.59328, 150568.22561)","(-11227.96093, 150329.57773)",0.0,False,True,0,0,0,0,0,False,
"(-11129.53308, 150560.60801)","(-11196.59328, 150568.22561)",0.06749146800744485,False,False,326,127,489,127,245,17.8507,
"(-11129.53308, 150560.60801)","(-10896.52638, 150314.09401)",0.4442315213570648,False,False,2147,833,3220,833,1611,False,"[(-10992.54348, 150420.89651), (-10996.01968, 150423.72091), (-10996.80088, 150423.47841), (-11013.73418, 150437.23681), (-11065.59268, 150473.22021), (-11123.69888, 150521.13661), (-10961.85188, 150430.42151)]"
"(-11129.53308, 150560.60801)","(-11466.76968, 150118.51391)",1.217687951824888,False,False,5885,2286,8822,2286,4414,False,"[(-11105.65518, 150604.54641)]"
"(-11129.53308, 150560.60801)","(-11227.96093, 150329.57773)",0.0,False,True,0,0,0,0,0,False,
"(-10836.19272, 150318.3575)","(-10896.52638, 150314.09401)",0.07263615730031979,True,False,350,136,526,136,263,False,"[(-10891.52038, 150312.56061), (-10892.26948, 150311.51191)]"
"(-10836.19272, 150318.3575)","(-11038.4333, 150153.40612)",1.8364882571847196,True,False,8874,3449,13310,3449,6652,False,"[(-11028.98928, 150143.19561), (-11021.07831, 150157.48684), (-11001.19172, 150193.41213), (-10308.00978, 150027.72871), (-10299.96506, 150230.19274)]"
