"Source(x,y)","Target(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-11022.28918, 148344.65331)","(-10984.31908, 148319.69011)",0.04544105905731017,34.6185,True,False,341,122,512,122,256,
"(-11022.28918, 148344.65331)","(-11026.54518, 148347.23531)",0.0050201399110587994,False,True,False,38,13,56,13,28,"[(-11022.66908, 148344.68701)]"
"(-11022.28918, 148344.65331)","(-10629.23877, 148284.67724)",0.0,False,False,True,0,0,0,0,0,
"(-10984.31908, 148319.69011)","(-11022.28918, 148344.65331)",0.04544105905731017,34.6185,True,False,341,122,512,122,256,
"(-10984.31908, 148319.69011)","(-10711.75118, 148144.70891)",0.36837401449911533,False,True,False,2768,989,4153,989,2075,"[(-10927.12458, 148303.74041), (-10878.82748, 148309.97721), (-10829.51808, 148288.35361), (-10767.14118, 148253.90221), (-10767.12388, 148253.66071), (-10762.88598, 148251.32001), (-10757.64858, 148178.22461)]"
"(-10984.31908, 148319.69011)","(-10629.23877, 148284.67724)",0.0,False,False,True,0,0,0,0,0,
"(-11026.54518, 148347.23531)","(-11022.28918, 148344.65331)",0.0050201399110587994,False,True,False,38,13,56,13,28,"[(-11022.66908, 148344.68701)]"
"(-11026.54518, 148347.23531)","(-10979.90808, 148514.67611)",0.19478737211796993,False,False,False,1463,523,2195,523,1098,"[(-11011.56658, 148472.89831), (-10986.28258, 148437.81041), (-11004.77118, 148396.30241)]"
"(-11026.54518, 148347.23531)","(-11055.12092, 148349.77047)",0.028687975752450884,34.6185,True,False,216,77,323,77,162,
"(-11026.54518, 148347.23531)","(-10629.23877, 148284.67724)",0.0,False,False,True,0,0,0,0,0,
"(-11026.54518, 148347.23531)","(-11219.19702, 148568.94444)",0.0,False,False,True,0,0,0,0,0,
"(-10629.23877, 148284.67724)","(-11022.28918, 148344.65331)",0.0,False,False,True,0,0,0,0,0,
"(-10629.23877, 148284.67724)","(-10984.31908, 148319.69011)",0.0,False,False,True,0,0,0,0,0,
"(-10629.23877, 148284.67724)","(-10979.90808, 148514.67611)",0.0,False,False,True,0,0,0,0,0,
"(-10629.23877, 148284.67724)","(-10711.75118, 148144.70891)",0.0,False,False,True,0,0,0,0,0,
"(-10629.23877, 148284.67724)","(-10493.83028, 147958.00721)",0.0,False,False,True,0,0,0,0,0,
"(-10629.23877, 148284.67724)","(-10394.26358, 148043.47361)",0.0,False,False,True,0,0,0,0,0,
"(-10629.23877, 148284.67724)","(-10502.55748, 148422.87531)",0.0,False,False,True,0,0,0,0,0,
"(-10629.23877, 148284.67724)","(-11026.54518, 148347.23531)",0.0,False,False,True,0,0,0,0,0,
"(-10831.58248, 149530.59371)","(-10757.88838, 149685.10541)",0.24913140117941449,False,False,False,1205,468,1805,468,902,"[(-10855.04178, 149569.03821), (-10854.31468, 149567.84661), (-10865.44928, 149622.66891), (-10767.02408, 149674.52741)]"
"(-10831.58248, 149530.59371)","(-10658.01548, 149547.52701)",0.21490629324477095,False,False,False,1039,404,1557,404,779,"[(-10815.70738, 149525.30201), (-10778.66568, 149557.05211), (-10774.85938, 149554.08441), (-10774.40958, 149554.47001)]"
"(-10831.58248, 149530.59371)","(-10793.02358, 149833.15541)",0.7009048233888492,False,True,False,3385,1318,5079,1318,2540,"[(-10804.06578, 149470.26861), (-10847.45748, 149453.33521), (-10962.79278, 149502.61161), (-10981.84278, 149565.05341), (-10987.13438, 149615.85351), (-10971.25938, 149663.47861), (-10914.10938, 149703.69531), (-10851.04668, 149710.42241)]"
"(-10831.58248, 149530.59371)","(-10757.8104, 149589.30114)",0.0,False,False,True,0,0,0,0,0,
"(-10831.58248, 149530.59371)","(-10647.74568, 149848.54741)",0.0,False,False,True,0,0,0,0,0,
"(-10757.88838, 149685.10541)","(-10831.58248, 149530.59371)",0.24913140117941449,False,False,False,1205,468,1805,468,902,"[(-10855.04178, 149569.03821), (-10854.31468, 149567.84661), (-10865.44928, 149622.66891), (-10767.02408, 149674.52741)]"
"(-10757.88838, 149685.10541)","(-10658.01548, 149547.52701)",0.17716054586719254,False,False,False,856,333,1284,333,642,"[(-10683.57428, 149609.70431)]"
"(-10757.88838, 149685.10541)","(-10319.05108, 149890.84211)",0.7442007309197358,False,False,False,3595,1398,5392,1398,2697,"[(-10369.37418, 149919.63031)]"
"(-10757.88838, 149685.10541)","(-10757.8104, 149589.30114)",0.0,False,False,True,0,0,0,0,0,
"(-10757.88838, 149685.10541)","(-10465.0175, 149748.70067)",0.0,False,False,True,0,0,0,0,0,
"(-10757.88838, 149685.10541)","(-10647.74568, 149848.54741)",0.0,False,False,True,0,0,0,0,0,
"(-10658.01548, 149547.52701)","(-10831.58248, 149530.59371)",0.21490629324477095,False,False,False,1039,404,1557,404,779,"[(-10815.70738, 149525.30201), (-10778.66568, 149557.05211), (-10774.85938, 149554.08441), (-10774.40958, 149554.47001)]"
"(-10658.01548, 149547.52701)","(-10647.58738, 149585.06161)",0.038956276346321955,18.2227,False,False,188,73,282,73,141,
"(-10658.01548, 149547.52701)","(-10757.88838, 149685.10541)",0.17716054586719254,False,False,False,856,333,1284,333,642,"[(-10683.57428, 149609.70431)]"
"(-10658.01548, 149547.52701)","(-10757.8104, 149589.30114)",0.0,False,False,True,0,0,0,0,0,
"(-10658.01548, 149547.52701)","(-10465.0175, 149748.70067)",0.0,False,False,True,0,0,0,0,0,
"(-10793.02358, 149833.15541)","(-10831.58248, 149530.59371)",0.7009048233888492,False,True,False,3385,1318,5079,1318,2540,"[(-10804.06578, 149470.26861), (-10847.45748, 149453.33521), (-10962.79278, 149502.61161), (-10981.84278, 149565.05341), (-10987.13438, 149615.85351), (-10971.25938, 149663.47861), (-10914.10938, 149703.69531), (-10851.04668, 149710.42241)]"
"(-10793.02358, 149833.15541)","(-10788.47436, 149851.70646)",0.019100703094654645,18.2227,True,False,92,36,138,36,69,
"(-10793.02358, 149833.15541)","(-10647.74568, 149848.54741)",0.0,False,False,True,0,0,0,0,0,
"(-10757.8104, 149589.30114)","(-10831.58248, 149530.59371)",0.0,False,False,True,0,0,0,0,0,
"(-10757.8104, 149589.30114)","(-10658.01548, 149547.52701)",0.0,False,False,True,0,0,0,0,0,
"(-10757.8104, 149589.30114)","(-10757.88838, 149685.10541)",0.0,False,False,True,0,0,0,0,0,
"(-10647.74568, 149848.54741)","(-10831.58248, 149530.59371)",0.0,False,False,True,0,0,0,0,0,
"(-10647.74568, 149848.54741)","(-10766.09178, 150093.78201)",0.0,False,False,True,0,0,0,0,0,
"(-10647.74568, 149848.54741)","(-10757.88838, 149685.10541)",0.0,False,False,True,0,0,0,0,0,
"(-10647.74568, 149848.54741)","(-10319.05108, 149890.84211)",0.0,False,False,True,0,0,0,0,0,
"(-10647.74568, 149848.54741)","(-10786.55928, 149879.45501)",0.0,False,False,True,0,0,0,0,0,
"(-10647.74568, 149848.54741)","(-10308.00978, 150027.72871)",0.0,False,False,True,0,0,0,0,0,
"(-10647.74568, 149848.54741)","(-10793.02358, 149833.15541)",0.0,False,False,True,0,0,0,0,0,
"(-10647.74568, 149848.54741)","(-10269.17415, 149957.4208)",0.0,False,True,True,0,0,0,0,0,
"(-10647.74568, 149848.54741)","(-10788.47436, 149851.70646)",0.0,False,True,True,0,0,0,0,0,
"(-10479.26608, 148736.35071)","(-10539.29848, 148693.46491)",0.07377723830151865,25.9151,False,False,554,198,832,198,416,
"(-10479.26608, 148736.35071)","(-10554.96288, 148809.15251)",0.10502431915267166,13.6833,False,False,507,197,761,197,381,
"(-10479.26608, 148736.35071)","(-10067.64118, 148962.60741)",0.6947685554355886,False,False,False,3355,1305,5034,1305,2517,"[(-10436.20218, 148778.86421), (-10386.66868, 148757.53801), (-10321.97068, 148763.70271), (-10272.41818, 148764.79821), (-10214.53418, 148734.10541), (-10145.74948, 148724.75011), (-10088.70998, 148703.90701), (-10072.31348, 148813.26881), (-10095.64428, 148850.23951)]"
"(-10479.26608, 148736.35071)","(-10082.58048, 148642.27232)",0.0,False,False,True,0,0,0,0,0,
"(-10479.26608, 148736.35071)","(-10787.56976, 148770.65187)",0.0,False,False,True,0,0,0,0,0,
"(-10479.26608, 148736.35071)","(-10343.70484, 148954.31332)",0.0,False,False,True,0,0,0,0,0,
"(-10539.29848, 148693.46491)","(-10479.26608, 148736.35071)",0.07377723830151865,25.9151,False,False,554,198,832,198,416,
"(-10539.29848, 148693.46491)","(-10502.55748, 148422.87531)",0.3534750260998586,False,False,False,2657,948,3984,948,1992,"[(-10538.52038, 148522.63521), (-10521.46368, 148477.57251), (-10579.29178, 148564.78831)]"
"(-10539.29848, 148693.46491)","(-10810.04518, 148739.02791)",0.31392683147736056,False,False,False,2359,842,3538,842,1770,"[(-10593.55578, 148721.85031), (-10637.33528, 148765.11801), (-10703.34268, 148792.89241)]"
"(-10539.29848, 148693.46491)","(-10052.42778, 148364.57841)",0.7739131277948914,False,False,False,3738,1453,5608,1453,2804,"[(-10492.70288, 148665.49211), (-10433.44198, 148694.28171), (-10371.78068, 148713.62291), (-10325.12388, 148693.72391), (-10312.75178, 148652.16791), (-10306.37868, 148630.76181), (-10230.06568, 148620.60441)]"
"(-10539.29848, 148693.46491)","(-10319.77073, 148410.47877)",0.0,False,False,True,0,0,0,0,0,
"(-10539.29848, 148693.46491)","(-10715.51166, 148570.73657)",0.0,False,False,True,0,0,0,0,0,
"(-10539.29848, 148693.46491)","(-10082.58048, 148642.27232)",0.0,False,False,True,0,0,0,0,0,
"(-10539.29848, 148693.46491)","(-10787.56976, 148770.65187)",0.0,False,False,True,0,0,0,0,0,
"(-10554.96288, 148809.15251)","(-10479.26608, 148736.35071)",0.10502431915267166,13.6833,False,False,507,197,761,197,381,
"(-10554.96288, 148809.15251)","(-10927.57758, 148891.05861)",0.3824896449757373,False,False,False,2875,1027,4311,1027,2157,"[(-10922.78158, 148892.06601), (-10846.59498, 148876.22891), (-10785.92738, 148864.59491), (-10718.39948, 148841.33141), (-10636.15908, 148824.57711)]"
"(-10554.96288, 148809.15251)","(-10785.33388, 149058.03671)",0.41981942385045035,False,False,False,2028,788,3041,788,1521,"[(-10807.41728, 148982.75221), (-10784.67768, 149056.03241), (-10790.37188, 148926.00201)]"
"(-10554.96288, 148809.15251)","(-10787.56976, 148770.65187)",0.0,False,False,True,0,0,0,0,0,
"(-10554.96288, 148809.15251)","(-10343.70484, 148954.31332)",0.0,False,False,True,0,0,0,0,0,
"(-10067.64118, 148962.60741)","(-10479.26608, 148736.35071)",0.6947685554355886,False,False,False,3355,1305,5034,1305,2517,"[(-10436.20218, 148778.86421), (-10386.66868, 148757.53801), (-10321.97068, 148763.70271), (-10272.41818, 148764.79821), (-10214.53418, 148734.10541), (-10145.74948, 148724.75011), (-10088.70998, 148703.90701), (-10072.31348, 148813.26881), (-10095.64428, 148850.23951)]"
"(-10067.64118, 148962.60741)","(-9851.55108, 148828.14211)",0.2985799121807956,False,False,False,1442,561,2163,561,1082,"[(-9853.08178, 148880.30811), (-9971.56918, 148924.33941)]"
"(-10067.64118, 148962.60741)","(-9956.90198, 149155.55691)",0.2647255824208533,False,False,False,1280,497,1918,497,958,"[(-9963.75948, 149082.90481)]"
"(-10067.64118, 148962.60741)","(-10082.58048, 148642.27232)",0.0,False,False,True,0,0,0,0,0,
"(-10067.64118, 148962.60741)","(-10343.70484, 148954.31332)",0.0,False,False,True,0,0,0,0,0,
"(-10067.64118, 148962.60741)","(-9899.26926, 148998.0663)",0.0,False,False,True,0,0,0,0,0,
"(-10082.58048, 148642.27232)","(-10479.26608, 148736.35071)",0.0,False,False,True,0,0,0,0,0,
"(-10082.58048, 148642.27232)","(-9934.28428, 148797.83501)",0.0,False,False,True,0,0,0,0,0,
"(-10082.58048, 148642.27232)","(-9851.55108, 148828.14211)",0.0,False,False,True,0,0,0,0,0,
"(-10082.58048, 148642.27232)","(-9738.80558, 148537.42421)",0.0,False,False,True,0,0,0,0,0,
