"Source(x,y)","Target(x,y)"
"(-20425.36298, 148768.95551)","(-20133.49248, 148960.09531)"
"(-20425.36298, 148768.95551)","(-20732.28498, 149226.62381)"
"(-20425.36298, 148768.95551)","(-20420.76727, 148462.10478)"
"(-20425.36298, 148768.95551)","(-20457.08096, 149106.15009)"
"(-20722.30038, 149625.19561)","(-20674.08318, 149596.07621)"
"(-20722.30038, 149625.19561)","(-20888.0398, 149641.80564)"
"(-20461.78808, 149509.55421)","(-20456.27388, 149496.74611)"
"(-20461.78808, 149509.55421)","(-20674.08318, 149596.07621)"
"(-20133.49248, 148960.09531)","(-19888.80978, 148982.37721)"
"(-20133.49248, 148960.09531)","(-20176.43468, 149095.40991)"
"(-20133.49248, 148960.09531)","(-20457.08096, 149106.15009)"
"(-20176.43468, 149095.40991)","(-20637.82848, 149433.63421)"
"(-20176.43468, 149095.40991)","(-20053.67008, 149291.77761)"
"(-20176.43468, 149095.40991)","(-20457.08096, 149106.15009)"
"(-21013.70168, 148520.30861)","(-20387.43948, 148449.78211)"
"(-21013.70168, 148520.30861)","(-20828.54518, 148919.55024)"
"(-21013.70168, 148520.30861)","(-21076.50558, 149692.79691)"
"(-19772.75208, 148891.60841)","(-19844.77948, 148925.99981)"
"(-19772.75208, 148891.60841)","(-19787.30269, 148865.18062)"
"(-19772.75208, 148891.60841)","(-19666.52517, 149136.00579)"
"(-20092.07628, 149500.54201)","(-20053.67008, 149291.77761)"
"(-20092.07628, 149500.54201)","(-20456.27388, 149496.74611)"
"(-20637.82848, 149433.63421)","(-20456.27388, 149496.74611)"
"(-20637.82848, 149433.63421)","(-20695.85098, 149360.47821)"
"(-20637.82848, 149433.63421)","(-20457.08096, 149106.15009)"
"(-19844.77948, 148925.99981)","(-19888.80978, 148982.37721)"
"(-21076.50558, 149692.79691)","(-20888.0398, 149641.80564)"
"(-21076.50558, 149692.79691)","(-20995.32968, 149312.71657)"
"(-20387.43948, 148449.78211)","(-20420.76727, 148462.10478)"
"(-20387.43948, 148449.78211)","(-20136.2515, 148608.78913)"
"(-20053.67008, 149291.77761)","(-19666.52517, 149136.00579)"
"(-20695.85098, 149360.47821)","(-20701.32868, 149402.28101)"
"(-20695.85098, 149360.47821)","(-20732.28498, 149226.62381)"
"(-20695.85098, 149360.47821)","(-20457.08096, 149106.15009)"
"(-20674.08318, 149596.07621)","(-20701.32868, 149402.28101)"
"(-20732.28498, 149226.62381)","(-20740.93871, 149245.75551)"
"(-20732.28498, 149226.62381)","(-20828.54518, 148919.55024)"
"(-20732.28498, 149226.62381)","(-20457.08096, 149106.15009)"
"(-19787.30269, 148865.18062)","(-20136.2515, 148608.78913)"
"(-20995.32968, 149312.71657)","(-20740.93871, 149245.75551)"
