"Node1(x,y)","Node2(x,y)"
"(-18986.96308, 148470.23741)","(-18985.03978, 148472.16081)"
"(-18986.96308, 148470.23741)","(-18999.48308, 148457.71711)"
"(-19007.95698, 148504.87951)","(-19010.93028, 148502.05271)"
"(-19007.95698, 148504.87951)","(-19005.76358, 148506.92051)"
"(-19287.00428, 148710.30451)","(-19285.18028, 148706.53631)"
"(-19287.00428, 148710.30451)","(-19287.90658, 148713.67181)"
"(-19095.49528, 146822.71501)","(-19074.37168, 146806.44111)"
"(-19095.49528, 146822.71501)","(-19097.11088, 146823.39841)"
"(-18618.10408, 147012.90141)","(-18617.20178, 147016.26881)"
"(-18618.10408, 147012.90141)","(-18618.40778, 147008.33031)"
"(-18836.26398, 147949.70661)","(-18836.82598, 147949.19161)"
"(-18836.26398, 147949.70661)","(-18833.40818, 147951.70621)"
"(-19164.74038, 148597.45501)","(-19161.37288, 148598.35741)"
"(-19164.74038, 148597.45501)","(-19165.86028, 148597.35711)"
"(-19048.11618, 147113.53311)","(-19059.87808, 147076.99811)"
"(-19048.11618, 147113.53311)","(-18986.82408, 147156.72051)"
"(-19064.03198, 146670.45111)","(-19062.03528, 146665.06021)"
"(-19064.03198, 146670.45111)","(-19064.11908, 146670.68611)"
"(-19161.64128, 146829.99101)","(-19125.26098, 146810.14721)"
"(-19161.64128, 146829.99101)","(-19188.76118, 146843.22021)"
"(-17746.93568, 147577.49581)","(-17775.23268, 147544.70041)"
"(-17746.93568, 147577.49581)","(-17710.92128, 147628.73071)"
"(-18996.98688, 147049.96501)","(-18990.24688, 147058.99021)"
"(-18996.98688, 147049.96501)","(-19010.14078, 147032.40471)"
"(-17383.47268, 146512.73251)","(-17431.09778, 146484.95121)"
"(-17383.47268, 146512.73251)","(-17301.45168, 146548.45131)"
"(-19022.50678, 146691.73231)","(-19017.26798, 146693.88951)"
"(-19022.50678, 146691.73231)","(-19050.99338, 146693.54971)"
"(-18594.43168, 146804.94411)","(-18594.01188, 146806.41341)"
"(-18594.43168, 146804.94411)","(-18596.18688, 146798.80011)"
"(-18709.07058, 147715.48711)","(-18731.56028, 147722.10161)"
"(-18709.07058, 147715.48711)","(-18697.16438, 147719.45581)"
"(-18478.80868, 147949.97921)","(-18486.09498, 147944.46571)"
"(-18478.80868, 147949.97921)","(-18477.94248, 147949.63361)"
"(-18106.36828, 148470.90731)","(-18151.38888, 148487.00331)"
"(-18106.36828, 148470.90731)","(-18150.73598, 148419.28221)"
"(-18618.40778, 147008.33031)","(-18618.40768, 146990.36841)"
"(-18813.40528, 147667.12811)","(-18819.93228, 147664.75251)"
"(-18813.40528, 147667.12811)","(-18803.14208, 147676.42771)"
"(-19312.52038, 148783.25331)","(-19290.44748, 148761.00281)"
"(-19312.52038, 148783.25331)","(-19328.67188, 148799.36141)"
"(-18024.86098, 147104.31481)","(-18030.27108, 147103.23381)"
"(-18024.86098, 147104.31481)","(-18019.95778, 147104.13611)"
"(-18893.85978, 148523.25721)","(-18892.68948, 148559.54371)"
"(-18893.85978, 148523.25721)","(-18903.22398, 148493.99341)"
"(-18788.51668, 147719.44861)","(-18799.31908, 147714.04711)"
"(-18788.51668, 147719.44861)","(-18768.51668, 147729.44911)"
"(-18362.00208, 147248.11681)","(-18353.27278, 147296.24901)"
"(-18362.00208, 147248.11681)","(-18379.60698, 147188.71071)"
"(-19318.63288, 148920.61331)","(-19350.36988, 148981.48111)"
"(-19318.63288, 148920.61331)","(-19306.14368, 148894.78911)"
"(-18656.68818, 146754.43791)","(-18650.95088, 146760.17531)"
"(-18656.68818, 146754.43791)","(-18690.11758, 146754.43701)"
"(-17564.72388, 146629.03351)","(-17559.30218, 146623.61201)"
"(-17564.72388, 146629.03351)","(-17576.58668, 146640.89591)"
"(-18360.42008, 148395.34201)","(-18374.92438, 148391.59321)"
"(-18360.42008, 148395.34201)","(-18351.60798, 148394.18131)"
"(-19730.49448, 150001.81241)","(-19709.04948, 150022.99031)"
"(-19730.49448, 150001.81241)","(-19736.50978, 149998.33941)"
"(-19068.08628, 146987.94391)","(-19067.18398, 146991.31131)"
"(-19068.08628, 146987.94391)","(-19068.39008, 146984.41791)"
"(-19285.18028, 148706.53631)","(-19283.18068, 148703.68061)"
"(-17814.36968, 146785.82141)","(-17807.09698, 146786.29371)"
"(-17814.36968, 146785.82141)","(-17826.19928, 146787.32361)"
"(-18244.39298, 147128.87731)","(-18227.10607, 147145.0478)"
"(-18244.39298, 147128.87731)","(-18295.58798, 147099.80971)"
"(-17592.69998, 146642.86711)","(-17579.78898, 146628.27241)"
"(-17592.69998, 146642.86711)","(-17598.38898, 146649.29801)"
"(-18304.70958, 148388.00391)","(-18325.64478, 148390.76151)"
"(-18304.70958, 148388.00391)","(-18281.80778, 148384.98741)"
"(-19117.02818, 147007.14791)","(-19183.35108, 147001.87951)"
"(-19117.02818, 147007.14791)","(-19059.87808, 147076.99811)"
"(-19005.23148, 146840.63041)","(-19008.39108, 146842.10381)"
"(-19005.23148, 146840.63041)","(-19001.86398, 146839.72811)"
"(-17901.25908, 146788.25561)","(-17881.04478, 146768.35881)"
"(-17901.25908, 146788.25561)","(-17908.03238, 146791.64231)"
"(-19001.86398, 146839.72811)","(-18997.75368, 146839.42431)"
"(-16762.44028, 146619.75251)","(-16678.84838, 146610.41981)"
"(-16762.44028, 146619.75251)","(-16811.62418, 146563.19101)"
"(-19073.02728, 147313.10751)","(-19073.12608, 147313.00861)"
"(-19073.02728, 147313.10751)","(-19046.62858, 147325.36481)"
"(-19459.89858, 149553.16851)","(-19466.53598, 149574.10231)"
"(-19459.89858, 149553.16851)","(-19456.26598, 149523.03911)"
"(-18594.94108, 147689.75751)","(-18598.41358, 147689.45361)"
"(-18594.94108, 147689.75751)","(-18591.57368, 147690.65981)"
"(-18528.12778, 147912.66021)","(-18556.43998, 147902.23661)"
"(-18528.12778, 147912.66021)","(-18521.35828, 147917.78251)"
"(-18371.54502, 147496.48317)","(-18457.82808, 147509.77691)"
"(-18371.54502, 147496.48317)","(-18308.35238, 147538.46801)"
"(-18371.54502, 147496.48317)","(-18349.70861, 147493.11881)"
"(-18533.17968, 147738.76641)","(-18542.77968, 147763.04601)"
"(-18533.17968, 147738.76641)","(-18543.95458, 147716.42381)"
"(-17405.73938, 147890.38361)","(-17437.18148, 147836.12091)"
"(-17405.73938, 147890.38361)","(-17352.28718, 147913.28981)"
"(-17405.73938, 147890.38361)","(-17498.36898, 147846.90421)"
"(-17958.58898, 147990.83771)","(-17986.16448, 148000.66701)"
"(-17958.58898, 147990.83771)","(-17956.85078, 147990.21831)"
"(-18971.67008, 148510.89231)","(-18989.46028, 148511.43291)"
"(-18971.67008, 148510.89231)","(-18942.56588, 148514.19961)"
"(-17525.28588, 146564.07521)","(-17520.51398, 146554.96541)"
"(-17525.28588, 146564.07521)","(-17538.70418, 146589.69201)"
"(-19491.84198, 149435.48061)","(-19481.10768, 149402.20461)"
"(-19491.84198, 149435.48061)","(-19513.33258, 149485.75241)"
"(-16602.94848, 146743.66131)","(-16590.82228, 146806.67931)"
"(-16602.94848, 146743.66131)","(-16575.59628, 146694.55491)"
"(-18883.69608, 147929.38501)","(-18900.04998, 147922.06001)"
"(-18883.69608, 147929.38501)","(-18850.53988, 147935.53781)"
"(-18665.19458, 147947.50111)","(-18683.96498, 147963.34571)"
"(-18665.19458, 147947.50111)","(-18634.06608, 147921.22471)"
"(-18065.24298, 147344.37211)","(-18059.41548, 147396.22821)"
"(-18065.24298, 147344.37211)","(-18074.16275, 147339.49982)"
