x,y,is_exit,is_source,stands
-16901.01498,146258.24251,False,False,"[1065, 1067]"
-16950.40388,145927.21101,False,False,[1369]
-17383.47268,146512.73251,False,False,[1064]
-17455.50558,146283.11341,False,False,[1066]
-17585.47128,146083.55771,False,False,"[1066, 1564]"
-17604.91598,146044.22811,False,False,"[1066, 1564]"
-16733.13058,145999.26771,False,False,"[1369, 1067]"
-17477.51798,146038.18001,False,False,"[1066, 1564]"
-16873.64618,145833.86851,False,False,"[1369, 1564]"
-17670.73148,145989.60261,False,False,"[1066, 1564]"
-16872.68518,145742.98941,False,False,[1436]
-16651.88498,146512.53441,False,False,[1513]
-17311.59518,145946.59821,False,False,[1564]
-17252.20658,146095.49431,False,False,"[1370, 1564]"
-16762.44028,146619.75251,False,False,[1064]
-17601.54048,146104.68971,False,False,[1564]
-17087.63318,145858.12551,False,False,[1436]
-16602.94848,146743.66131,False,False,[1064]
-17584.29268,146084.84391,False,False,"[1066, 1564]"
-16917.46558,145829.36501,False,False,[1369]
-16350.34018,146292.65801,False,False,[1513]
-16915.87088,145795.18521,False,False,"[1436, 1564]"
-16851.53178,145795.65831,False,False,"[1436, 1564]"
-17579.60548,146106.94001,False,False,"[1066, 1564]"
-17312.34458,146142.69611,False,False,"[1066, 1564]"
-16915.44578,146432.84031,False,False,"[1064, 1065]"
-16902.74038,145822.23081,False,False,"[1369, 1564]"
-17624.47868,146019.54981,False,False,"[1066, 1564]"
-16843.56168,145791.83421,False,False,[1564]
-16783.21348,146099.02921,False,False,"[1371, 1067]"
-17013.15258,146236.51291,False,False,"[1065, 1067]"
-16668.11948,146395.36311,False,False,[1067]
-17081.81368,145970.46871,False,False,"[1370, 1564]"
-16350.38888,146659.19811,True,False,[1513]
-17018.89558,146744.60211,False,False,[1064]
-16694.57788,146353.02971,False,False,[1067]
-17256.69598,146280.16891,False,False,[1066]
-17248.02968,145837.14561,False,False,"[1370, 1564]"
-17021.24858,145988.39101,False,False,"[1436, 1564]"
-17306.05758,146139.11441,False,False,"[1066, 1564]"
-17232.80398,146343.74121,False,False,[1064]
-17041.86438,145984.98061,False,False,"[1436, 1564]"
-17063.82068,145856.80261,False,False,[1436]
-17625.31338,145960.48981,False,False,"[1066, 1564]"
-16525.29878,146170.62711,False,False,"[1513, 1067]"
-16517.53618,146241.75221,False,False,"[1513, 1067]"
-16980.23328,145892.28301,False,False,[1564]
-16895.18318,145962.59211,False,False,[1369]
-17067.99748,145941.42421,False,False,"[1436, 1564]"
-17631.17348,146015.21521,False,False,"[1066, 1564]"
-16635.03688,146572.04921,True,False,[1513]
-17223.74508,145849.28851,False,False,"[1370, 1564]"
-17298.64208,146295.39391,False,False,[1066]
-17327.03708,145828.31231,False,False,[1564]
-16816.92148,146036.73981,False,False,[1067]
-17307.98708,145884.66861,False,False,"[1370, 1564]"
-17297.74498,145914.64251,False,False,"[1370, 1564]"
-17202.15248,146283.57241,False,False,"[1064, 1066]"
-17342.11838,145897.36871,False,False,[1564]
-16357.74858,146363.56651,False,False,[1513]
-16575.59628,146694.55491,False,False,[1064]
-17525.35578,146267.23841,False,False,[1066]
-17047.41628,145852.88171,False,False,[1436]
-16400.08198,146525.49181,False,False,[1513]
-16575.39698,146694.19711,False,False,[1064]
-17232.75848,146343.47601,False,False,[1064]
-16981.91348,146037.47721,False,False,[1067]
-17088.62808,146383.19971,False,False,"[1064, 1065]"
-16519.24698,146225.50021,False,False,"[1513, 1067]"
-17232.65988,146576.23261,False,False,[1064]
-16612.08728,146049.59171,False,False,[1067]
-16961.58528,145690.60181,False,False,[1436]
-17289.62518,146074.86121,False,False,[1564]
-16444.51028,146666.82751,False,False,[1513]
-17609.29128,146034.84531,False,False,"[1066, 1564]"
-17175.66928,145902.06401,False,False,"[1436, 1564]"
-16734.57028,145902.81301,False,False,[1369]
-17425.29968,146084.21491,False,False,"[1066, 1564]"
-17605.81818,146040.86081,False,False,"[1066, 1564]"
-17377.33008,146114.25221,False,False,"[1066, 1564]"
-17009.43268,146075.21671,False,False,"[1370, 1067]"
-16947.68288,145888.20451,False,False,[1369]
-17203.68428,145905.77631,False,False,"[1370, 1564]"
-16352.45688,146259.84961,False,False,[1513]
-16744.56378,145966.40981,False,False,"[1369, 1564]"
-17404.70548,146315.65721,False,False,[1066]
-17607.29168,146037.70121,False,False,"[1066, 1564]"
-17435.85488,146047.32761,False,False,[1564]
-17485.95868,146015.55301,False,False,[1564]
-16965.10878,145860.56641,False,False,[1564]
-17119.28198,145953.12421,False,False,"[1370, 1564]"
-17325.83248,146150.11691,False,False,"[1066, 1564]"
-17542.81828,146215.64461,False,False,[1066]
-16706.20308,146803.00471,False,False,[1064]
-17007.33188,145790.57221,False,False,[1436]
-16296.36508,146610.15861,False,False,[1513]
-17189.90228,145874.69201,False,False,"[1436, 1564]"
-17149.86858,145921.42121,False,False,"[1436, 1564]"
-16760.49948,145874.23791,False,False,[1369]
-16898.08518,145693.77681,False,False,[1436]
-17263.23108,146367.55371,True,False,[1064]
-17328.21748,146110.67871,False,False,[1564]
