x,y,is_exit,is_source,stands
-17189.48068,152766.05181,False,False,"[848, 1171]"
-16358.76038,151937.50841,True,False,"[849, 850]"
-16844.74508,152346.92351,False,False,"[1301, 847]"
-16492.43778,152797.65291,False,False,"[1299, 1171]"
-16224.79708,152800.02881,False,False,"[1299, 820]"
-17038.09238,152233.35931,False,False,"[849, 850, 847]"
-16374.17248,152194.81661,False,False,"[849, 1301]"
-17638.85677,152355.33976,False,False,"[1556, 847]"
-17300.06458,152209.53081,False,False,"[850, 847]"
-17559.14268,152374.38941,False,False,"[1556, 846, 847]"
-17335.13778,152586.82601,False,False,"[1556, 846]"
-16462.62528,152381.74381,True,False,[1301]
-16935.25928,152275.25061,False,False,"[849, 1301, 847]"
-16750.26188,152458.55281,False,False,"[848, 847]"
-16660.03048,152548.65151,False,False,"[848, 1171]"
-16114.27338,152684.53441,False,False,"[1299, 1171, 820]"
-17287.64548,152561.15991,False,False,"[848, 846]"
-16010.10678,152678.39471,False,False,"[1171, 820]"
-16620.54728,152242.35931,True,False,"[849, 1301]"
-17412.91948,152414.78841,False,False,"[848, 846, 847]"
-17019.68194,152006.34884,True,False,[850]
-16358.79092,151923.82668,True,False,[850]
-16096.70541,152682.36683,True,False,[820]
-16120.49752,152876.47555,True,False,[820]
-16309.70131,152580.36063,True,False,[1171]
