"Node1(x,y)","Node2(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-16038.15528, 152952.45721)","(-16120.49752, 152876.47555)",0.11204285722135163,True,False,541,211,812,211,406,False,"[(-16105.79178, 152890.24411)]"
"(-16038.15528, 152952.45721)","(-16144.48283, 153033.32127)",0.1376998054296221,True,False,665,259,998,259,499,False,"[(-16096.15388, 153016.80071)]"
"(-16038.15528, 152952.45721)","(-15869.34628, 152722.89841)",0.39617112183593756,False,False,1915,744,2870,744,1436,False,"[(-15962.45428, 152901.02191), (-15998.96698, 152888.80041), (-15978.00108, 152838.16061), (-15893.01978, 152846.58821), (-15882.81888, 152795.95711)]"
"(-16038.15528, 152952.45721)","(-16045.07031, 152794.84578)",0.0,False,True,0,0,0,0,0,False,
"(-16038.15528, 152952.45721)","(-16221.23741, 153236.87723)",0.0,False,True,0,0,0,0,0,False,
"(-15903.64098, 152607.73781)","(-15409.51008, 152244.57003)",0.9451207612339265,True,False,4566,1776,6849,1776,3424,False,"[(-15556.73848, 152410.85921), (-15616.26868, 152472.49741), (-15677.38758, 152552.66631), (-15721.04388, 152593.94131), (-15744.85648, 152609.81631), (-15794.86278, 152618.54761), (-15859.15668, 152615.37261), (-15538.11108, 152405.04531)]"
"(-15903.64098, 152607.73781)","(-16010.10678, 152678.39471)",0.13311275223407137,False,False,1001,357,1501,357,750,False,"[(-15930.39978, 152608.05681), (-15973.89548, 152648.54781)]"
"(-15903.64098, 152607.73781)","(-16215.24778, 152418.35831)",0.36513456021613766,False,False,2744,980,4117,980,2058,False,"[(-15977.78858, 152561.57151), (-16064.43978, 152500.71721), (-16146.46078, 152453.09211)]"
"(-15903.64098, 152607.73781)","(-15585.5948, 152594.62126)",0.0,False,True,0,0,0,0,0,False,
"(-15903.64098, 152607.73781)","(-16575.29986, 152696.02145)",0.0,False,True,0,0,0,0,0,False,
"(-16655.18808, 151717.04081)","(-16756.01788, 151742.93331)",0.10666726135464938,True,False,801,286,1202,286,602,False,"[(-16744.08828, 151732.12211)]"
