Node,Stand
"(-15493.45008, 152289.85311)",[856]
"(-15509.03278, 152319.02111)",[856]
"(-15538.11108, 152405.04531)",[856]
"(-15556.73848, 152410.85921)",[856]
"(-15616.26868, 152472.49741)",[856]
"(-15677.38758, 152552.66631)",[856]
"(-15721.04388, 152593.94131)",[856]
"(-15744.85648, 152609.81631)",[856]
"(-15794.86278, 152618.54761)",[856]
"(-15859.15668, 152615.37261)",[856]
"(-15903.64098, 152607.73781)","[856, 1171]"
"(-15930.39978, 152608.05681)","[856, 1171]"
"(-15973.89548, 152648.54781)","[856, 1171]"
"(-16010.10678, 152678.39471)","[856, 1171, 820]"
"(-15977.81008, 152732.21951)","[856, 820]"
"(-15914.13948, 152722.88531)","[856, 820]"
"(-15869.34628, 152722.89841)","[856, 1172, 820]"
"(-15826.59978, 152727.03601)","[856, 1172]"
"(-15783.85088, 152758.17841)","[856, 1172]"
"(-15731.30798, 152800.08831)","[856, 1172]"
"(-15684.28428, 152877.44131)",[856]
"(-15621.02218, 152934.93281)",[856]
"(-15599.93808, 152927.23571)",[856]
"(-15592.04158, 152901.93021)",[856]
"(-15569.02288, 152892.40521)",[856]
"(-15546.00408, 152851.92381)",[856]
"(-15503.14148, 152808.26741)",[856]
"(-15431.70388, 152744.76741)",[856]
"(-15448.37258, 152718.57351)",[856]
"(-15481.71018, 152705.87351)",[856]
"(-15466.62888, 152666.18591)",[856]
"(-15427.21868, 152669.79891)",[856]
"(-15451.44458, 152622.68631)",[856]
"(-15489.17258, 152560.90221)",[856]
"(-15448.15218, 152568.04731)",[856]
"(-15429.63128, 152562.09431)",[856]
"(-15403.17288, 152559.44851)",[856]
"(-15385.31348, 152590.53701)",[856]
"(-15370.09988, 152613.02661)",[856]
"(-15323.13618, 152573.33911)",[856]
"(-15357.53208, 152554.15671)",[856]
"(-15353.43108, 152536.23111)",[856]
"(-15371.29048, 152520.35621)",[856]
"(-15388.73208, 152497.96871)",[856]
"(-15324.12998, 152458.94381)",[856]
"(-15340.82108, 152407.09831)",[856]
"(-15287.95248, 152408.44331)",[856]
"(-15306.42228, 152369.50611)",[856]
"(-15321.33348, 152354.82931)",[856]
"(-15346.41258, 152330.14461)",[856]
"(-15370.79708, 152307.84461)",[856]
"(-15402.42958, 152280.70431)",[856]
"(-15411.65188, 152233.63971)",[856]
"(-15400.22998, 152170.22361)",[856]
"(-15376.03038, 152175.57141)",[856]
"(-15403.03268, 152113.48861)",[856]
"(-15428.04248, 152164.34171)",[856]
"(-15485.54628, 152275.05851)",[856]
"(-15290.6019, 152402.85792)",[856]
"(-15409.51008, 152244.57003)",[856]
"(-16548.84028, 151754.86031)","[1312, 850]"
"(-16557.07208, 151745.73501)",[1312]
"(-16613.11928, 151725.77201)",[1312]
"(-16655.18808, 151717.04081)",[1312]
"(-16712.33818, 151722.59701)",[1312]
"(-16744.08828, 151732.12211)",[1312]
"(-16756.01788, 151742.93331)",[1312]
"(-16769.48838, 151755.14081)",[1312]
"(-16812.35088, 151761.49081)",[1312]
"(-16822.57968, 151765.69601)",[1312]
"(-16845.58098, 151775.15191)",[1312]
"(-16883.78858, 151790.85961)",[1312]
"(-16898.12278, 151795.43861)",[1312]
"(-16920.25328, 151802.50801)",[1312]
"(-16940.93868, 151809.11601)",[1312]
"(-16960.78248, 151825.78471)",[1312]
"(-17030.63258, 151844.04101)",[1312]
"(-17059.78978, 151844.04101)",[1312]
"(-17083.02018, 151844.04101)",[1312]
"(-17125.88278, 151832.13471)",[1312]
"(-17157.98078, 151820.63691)",[1312]
"(-17179.06408, 151813.08471)",[1312]
"(-17204.31598, 151800.45871)",[1312]
"(-17221.92668, 151791.65341)",[1312]
"(-17233.82998, 151784.34341)",[1312]
"(-17246.90108, 151776.31611)",[1312]
"(-17259.68998, 151768.46221)",[1312]
"(-17265.18518, 151774.85611)",[1312]
"(-17288.07928, 151801.49391)",[1312]
"(-17279.38748, 151851.14171)",[1312]
"(-17232.77108, 151862.78671)",[1312]
"(-17154.88008, 151859.21721)",[1312]
"(-17108.59098, 151884.49271)",[1312]
"(-17105.11298, 151926.29041)",[1312]
"(-17093.86808, 151967.30091)",[1312]
"(-17073.27228, 152007.69721)","[1312, 850]"
"(-17030.26098, 152006.61501)","[1312, 850]"
"(-16986.61308, 152005.51681)","[1312, 850]"
"(-16940.36178, 151999.07151)","[1312, 850]"
"(-16839.76608, 151970.25821)","[1312, 850]"
"(-16788.27378, 151985.90131)","[1312, 850]"
"(-16741.19078, 151993.02521)","[1312, 850]"
"(-16685.10638, 151998.20791)","[1312, 850]"
"(-16632.78268, 151994.73481)","[1312, 850]"
"(-16579.44418, 151968.02681)","[1312, 850]"
"(-16546.05048, 151939.47481)","[1312, 850]"
"(-16563.67468, 151885.47951)","[1312, 850]"
"(-16612.02918, 151901.92601)","[1312, 850]"
"(-16653.47968, 151860.23751)","[1312, 850]"
"(-16604.81528, 151785.34631)","[1312, 850]"
"(-16647.90309, 151718.55278)",[1312]
"(-16757.50542, 151744.28138)",[1312]
"(-16954.73793, 151820.70731)",[1312]
"(-16790.56244, 151758.26289)",[1312]
"(-17019.68194, 152006.34884)",[1312]
"(-17077.36105, 151999.67754)",[1312]
"(-16835.35546, 151971.59813)",[1312]
"(-16633.48113, 151880.35089)",[1312]
"(-16358.76038, 151937.50841)","[849, 850, 1311]"
"(-16358.86138, 151892.25831)","[850, 1311]"
"(-16358.87318, 151886.96331)",[850]
"(-16390.72858, 151856.53861)",[850]
"(-16417.51768, 151835.70261)",[850]
"(-16453.56728, 151809.24421)",[850]
"(-16503.83818, 151780.47071)",[850]
"(-17078.35928, 152009.83471)",[850]
"(-17075.01418, 152016.39591)",[850]
"(-17151.46138, 152048.52041)",[850]
"(-17187.49778, 152099.57631)",[850]
"(-17205.38818, 152169.89251)",[850]
"(-17275.69418, 152187.33791)",[850]
"(-17300.06458, 152209.53081)","[850, 847]"
"(-17229.87178, 152222.88831)","[850, 847]"
"(-17171.51058, 152220.19891)","[850, 847]"
"(-17074.03578, 152206.27361)","[850, 847]"
"(-17038.09238, 152233.35931)","[849, 850, 847]"
"(-16984.80788, 152208.32391)","[849, 850]"
"(-16930.48498, 152180.50471)","[849, 850]"
"(-16870.76598, 152152.15191)","[849, 850]"
"(-16804.82718, 152142.44251)","[849, 850]"
"(-16732.30688, 152095.35161)","[849, 850]"
"(-16677.06808, 152052.24611)","[849, 850]"
"(-16601.21728, 152053.76921)","[849, 850]"
"(-16500.88158, 152012.96551)","[849, 850]"
"(-16448.05928, 152000.56231)","[849, 850]"
"(-16428.52058, 151950.83011)","[849, 850]"
"(-16368.31404, 151939.33282)",[850]
"(-16358.79092, 151923.82668)",[850]
"(-16358.79857, 151920.39891)",[850]
"(-16374.17248, 152194.81661)","[849, 1301, 1311]"
"(-16998.58228, 152272.85611)","[849, 847]"
"(-16935.25928, 152275.25061)","[849, 1301, 847]"
"(-16864.41218, 152262.09621)","[849, 1301]"
"(-16804.79028, 152259.96671)","[849, 1301]"
"(-16741.00858, 152257.04111)","[849, 1301]"
"(-16679.41938, 152258.79211)","[849, 1301]"
"(-16620.54728, 152242.35931)","[849, 1301]"
"(-16580.46148, 152228.27781)","[849, 1301]"
"(-16545.98968, 152200.99511)","[849, 1301]"
"(-16493.54768, 152196.56721)","[849, 1301]"
"(-16437.27098, 152191.87881)","[849, 1301]"
"(-16614.03426, 152240.07139)",[849]
"(-16777.37828, 152444.63181)",[847]
"(-16753.67178, 152413.62691)",[847]
"(-16797.54158, 152391.33871)",[847]
"(-16829.37138, 152355.82881)",[847]
"(-16844.74508, 152346.92351)","[1301, 847]"
"(-16877.78398, 152327.78581)","[1301, 847]"
"(-17308.26688, 152217.00031)",[847]
"(-17406.70898, 152214.49281)",[847]
"(-17461.26308, 152229.85711)",[847]
"(-17523.83148, 152245.26231)",[847]
"(-17559.62118, 152256.76621)",[847]
"(-17561.77898, 152293.44861)",[847]
"(-17563.04788, 152294.14071)",[847]
"(-17563.51878, 152302.14791)",[847]
"(-17607.17498, 152325.96061)",[847]
"(-17661.41448, 152323.31471)",[847]
"(-17677.87798, 152322.04841)",[847]
"(-17680.23318, 152342.56861)",[847]
"(-17638.85677, 152355.33976)","[1556, 847]"
"(-17617.39338, 152361.96461)","[1556, 847]"
"(-17559.14268, 152374.38941)","[1556, 846, 847]"
"(-17554.19818, 152375.44401)","[846, 847]"
"(-17492.41538, 152404.73981)","[846, 847]"
"(-17412.91948, 152414.78841)","[848, 846, 847]"
"(-17309.10138, 152356.94871)","[848, 847]"
"(-17227.50378, 152352.49351)","[848, 847]"
"(-17144.28508, 152346.99021)","[848, 847]"
"(-17075.48728, 152358.91511)","[848, 847]"
"(-17011.58088, 152410.77031)","[848, 847]"
"(-16959.91068, 152417.72671)","[848, 847]"
"(-16907.67038, 152405.81581)","[848, 847]"
"(-16858.11218, 152433.70701)","[848, 847]"
"(-16813.66348, 152460.23111)","[848, 847]"
"(-16750.26188, 152458.55281)","[848, 847]"
"(-16761.84323, 152452.60718)",[847]
"(-17124.67922, 152350.38854)",[847]
"(-17069.35785, 152363.88867)",[847]
"(-17464.52238, 152481.31281)","[1556, 846]"
"(-17462.13798, 152484.70251)","[1556, 846]"
"(-17459.39348, 152489.27401)","[1556, 846]"
"(-17457.66648, 152493.07571)","[1556, 846]"
"(-17455.74768, 152497.76371)","[1556, 846]"
"(-17454.67988, 152500.19821)","[1556, 846]"
"(-17454.15488, 152501.47601)","[1556, 846]"
"(-17452.79628, 152505.06681)","[1556, 846]"
"(-17452.02318, 152507.76861)","[1556, 846]"
"(-17449.98618, 152509.27111)","[1556, 846]"
"(-17446.75168, 152512.03131)","[1556, 846]"
"(-17445.51168, 152513.25151)","[1556, 846]"
"(-17441.22218, 152516.58571)","[1556, 846]"
"(-17438.29788, 152519.14331)","[1556, 846]"
"(-17434.28288, 152523.41661)","[1556, 846]"
"(-17432.89408, 152525.23671)","[1556, 846]"
"(-17431.97858, 152526.03691)","[1556, 846]"
"(-17431.85498, 152526.14501)","[1556, 846]"
"(-17429.12088, 152528.83561)","[1556, 846]"
"(-17425.88118, 152532.55271)","[1556, 846]"
"(-17424.93788, 152532.41021)","[1556, 846]"
"(-17420.96138, 152532.07821)","[1556, 846]"
"(-17416.97598, 152532.27691)","[1556, 846]"
"(-17411.36378, 152533.13691)","[1556, 846]"
"(-17407.56648, 152534.20281)","[1556, 846]"
"(-17403.32308, 152535.81191)","[1556, 846]"
"(-17398.28178, 152537.97031)","[1556, 846]"
"(-17391.24798, 152541.53401)","[1556, 846]"
"(-17388.49088, 152542.76091)","[1556, 846]"
"(-17384.03358, 152544.63141)","[1556, 846]"
"(-17377.73838, 152547.54631)","[1556, 846]"
"(-17374.78208, 152548.83221)","[1556, 846]"
"(-17370.38198, 152551.20901)","[1556, 846]"
"(-17364.20418, 152555.62411)","[1556, 846]"
"(-17362.67818, 152556.91111)","[1556, 846]"
"(-17359.76618, 152559.10331)","[1556, 846]"
"(-17357.51388, 152560.36671)","[1556, 846]"
"(-17354.24108, 152562.49351)","[1556, 846]"
"(-17351.27218, 152565.02721)","[1556, 846]"
"(-17348.65728, 152567.92491)","[1556, 846]"
"(-17346.30488, 152570.90081)","[1556, 846]"
"(-17343.44308, 152575.29581)","[1556, 846]"
"(-17341.76218, 152577.48301)","[1556, 846]"
"(-17339.91558, 152580.07651)","[1556, 846]"
