"Node1(x,y)","Node2(x,y)"
"(-11164.82288, 154512.54431)","(-11187.78438, 154555.48301)"
"(-11164.82288, 154512.54431)","(-11150.04178, 154412.53521)"
"(-11426.70728, 154457.38761)","(-11442.34008, 154497.40131)"
"(-11426.70728, 154457.38761)","(-11424.93822, 154438.9049)"
"(-11442.34008, 154497.40131)","(-11478.41668, 154528.28321)"
"(-11741.65598, 154773.30211)","(-11635.58008, 154657.84431)"
"(-11741.65598, 154773.30211)","(-11541.26788, 154650.68941)"
"(-11263.98398, 154570.25591)","(-11335.95078, 154599.88931)"
"(-11263.98398, 154570.25591)","(-11187.78438, 154555.48301)"
"(-11247.03148, 154429.93011)","(-11252.18838, 154380.96741)"
"(-11247.03148, 154429.93011)","(-11267.22328, 154469.75781)"
"(-11561.53818, 154575.51421)","(-11478.41668, 154528.28321)"
"(-11561.53818, 154575.51421)","(-11595.64078, 154606.92541)"
"(-11267.22328, 154469.75781)","(-11318.49878, 154483.17521)"
"(-11635.58008, 154657.84431)","(-11595.64078, 154606.92541)"
"(-11150.04178, 154412.53521)","(-11147.37938, 154276.78361)"
"(-11302.91368, 154189.03881)","(-11283.15058, 154133.52651)"
"(-11302.91368, 154189.03881)","(-11292.30448, 154250.85361)"
"(-11424.85098, 154629.52271)","(-11541.26788, 154650.68941)"
"(-11424.85098, 154629.52271)","(-11335.95078, 154599.88931)"
"(-11187.78438, 154555.48301)","(-11237.85928, 154537.47281)"
"(-11225.75698, 154132.26361)","(-11147.17908, 154181.79111)"
"(-11225.75698, 154132.26361)","(-11283.15058, 154133.52651)"
"(-11331.47868, 154417.08361)","(-11318.49878, 154483.17521)"
"(-11331.47868, 154417.08361)","(-11348.46388, 154349.08811)"
"(-11348.46388, 154349.08811)","(-11414.32898, 154328.06171)"
"(-11349.44948, 154555.11851)","(-11318.49878, 154483.17521)"
"(-11349.44948, 154555.11851)","(-11300.94468, 154541.64441)"
"(-11414.32898, 154328.06171)","(-11417.19443, 154357.99932)"
"(-11147.37938, 154276.78361)","(-11147.17908, 154181.79111)"
"(-11292.30448, 154250.85361)","(-11276.50208, 154304.53641)"
"(-11276.50208, 154304.53641)","(-11252.18838, 154380.96741)"
"(-11237.85928, 154537.47281)","(-11300.94468, 154541.64441)"
"(-11417.19443, 154357.99932)","(-11424.93822, 154438.9049)"
