"Node1(x,y)","Node2(x,y)"
"(-8783.11158, 154156.75041)","(-8945.93118, 154155.40331)"
"(-8783.11158, 154156.75041)","(-8834.72368, 154307.22231)"
"(-8783.11158, 154156.75041)","(-8852.34948, 153877.67781)"
"(-8968.46528, 152869.15571)","(-8266.07438, 152972.15161)"
"(-8968.46528, 152869.15571)","(-8922.91238, 153401.61281)"
"(-9647.95268, 154463.42041)","(-9655.60508, 154441.73551)"
"(-9647.95268, 154463.42041)","(-10396.67752, 154683.572)"
"(-9647.95268, 154463.42041)","(-9298.88598, 154538.60901)"
"(-8922.91238, 153401.61281)","(-8857.99268, 153850.47371)"
"(-8922.91238, 153401.61281)","(-8684.68075, 153202.36468)"
"(-8323.28988, 153083.83651)","(-8266.07438, 152972.15161)"
"(-8323.28988, 153083.83651)","(-8684.68075, 153202.36468)"
"(-8975.20958, 153995.50861)","(-8965.84828, 154144.35501)"
"(-8975.20958, 153995.50861)","(-8857.99268, 153850.47371)"
"(-8684.68075, 153202.36468)","(-8703.67818, 153204.60371)"
"(-8965.84828, 154144.35501)","(-8945.93118, 154155.40331)"
"(-8965.84828, 154144.35501)","(-9015.72998, 154269.88901)"
"(-8227.42728, 152874.87931)","(-8266.07438, 152972.15161)"
"(-8227.42728, 152874.87931)","(-8703.67818, 153204.60371)"
"(-8834.72368, 154307.22231)","(-8904.28368, 154402.87661)"
"(-8834.72368, 154307.22231)","(-8987.80826, 154263.83146)"
"(-9655.60508, 154441.73551)","(-9301.53188, 154509.50481)"
"(-9655.60508, 154441.73551)","(-10442.15288, 154672.22391)"
"(-9655.60508, 154441.73551)","(-9239.18788, 154202.56361)"
"(-9301.53188, 154509.50481)","(-8904.28368, 154402.87661)"
"(-9301.53188, 154509.50481)","(-9298.88598, 154538.60901)"
"(-9239.18788, 154202.56361)","(-9011.58678, 154302.27078)"
"(-8835.59968, 153874.84741)","(-8852.34948, 153877.67781)"
"(-8835.59968, 153874.84741)","(-8874.96718, 154417.00641)"
"(-8835.59968, 153874.84741)","(-8703.67818, 153204.60371)"
"(-9015.72998, 154269.88901)","(-9011.58678, 154302.27078)"
"(-9015.72998, 154269.88901)","(-8987.80826, 154263.83146)"
"(-8874.96718, 154417.00641)","(-8904.28368, 154402.87661)"
"(-8874.96718, 154417.00641)","(-9298.88598, 154538.60901)"
"(-8857.99268, 153850.47371)","(-8852.34948, 153877.67781)"
"(-10442.15288, 154672.22391)","(-10396.67752, 154683.572)"
