"Node1(x,y)","Node2(x,y)"
"(-11567.16828, 147356.58511)","(-11529.38348, 147400.07031)"
"(-11567.16828, 147356.58511)","(-11547.15178, 147311.21081)"
"(-9971.72598, 144924.51451)","(-10024.30708, 144904.45791)"
"(-9971.72598, 144924.51451)","(-9913.96398, 144959.80931)"
"(-10979.42848, 146476.33291)","(-11030.10968, 146502.23731)"
"(-10979.42848, 146476.33291)","(-10939.01198, 146439.71691)"
"(-11051.24968, 146283.05717)","(-11019.35018, 146283.05711)"
"(-11051.24968, 146283.05717)","(-11070.94408, 146283.05721)"
"(-11051.24968, 146283.05717)","(-11098.47788, 146161.52541)"
"(-11113.98768, 145696.53051)","(-11063.64328, 145681.57131)"
"(-11113.98768, 145696.53051)","(-11176.00098, 145729.83651)"
"(-10972.06908, 146284.32371)","(-10855.80438, 146222.59361)"
"(-10972.06908, 146284.32371)","(-11034.00928, 146314.14501)"
"(-9411.90168, 144462.35361)","(-9397.61418, 144516.32871)"
"(-9411.90168, 144462.35361)","(-9389.67668, 144430.60351)"
"(-11724.56608, 145851.82881)","(-11721.68068, 145840.93761)"
"(-11724.56608, 145851.82881)","(-11751.46628, 145846.17771)"
"(-10585.67278, 145051.70861)","(-10643.00188, 145112.35371)"
"(-10585.67278, 145051.70861)","(-10557.90348, 145013.43351)"
"(-11445.88488, 144695.98131)","(-11532.15428, 144664.54101)"
"(-11445.88488, 144695.98131)","(-11372.96028, 144727.24241)"
"(-10691.35818, 144826.91311)","(-10630.95868, 144839.63321)"
"(-10691.35818, 144826.91311)","(-10747.02548, 144814.89671)"
"(-11075.59348, 144190.18001)","(-11024.58038, 144201.20341)"
"(-11075.59348, 144190.18001)","(-11274.13688, 144152.73261)"
"(-10045.66658, 144348.90601)","(-9990.77798, 144358.85551)"
"(-10045.66658, 144348.90601)","(-10058.69998, 144302.12911)"
"(-10702.85058, 146222.24481)","(-10654.86658, 146267.82021)"
"(-10702.85058, 146222.24481)","(-10681.31538, 146176.81681)"
"(-10599.57578, 144637.37151)","(-10543.25388, 144661.42371)"
"(-10599.57578, 144637.37151)","(-10646.84798, 144655.63441)"
"(-11440.16518, 145115.81351)","(-11420.90838, 145084.72971)"
"(-11440.16518, 145115.81351)","(-11438.13268, 145184.98521)"
"(-11631.86178, 146341.26561)","(-11662.28898, 146337.29681)"
"(-11631.86178, 146341.26561)","(-11614.43768, 146306.63241)"
"(-12150.41828, 147034.86361)","(-12204.74978, 147015.54981)"
"(-12150.41828, 147034.86361)","(-12069.20318, 147054.50501)"
"(-11071.86448, 145966.01881)","(-11147.00628, 145954.54251)"
"(-11071.86448, 145966.01881)","(-11004.36048, 145952.13811)"
"(-11935.47078, 144631.96481)","(-11864.57358, 144649.02741)"
"(-11935.47078, 144631.96481)","(-12027.64138, 144585.59591)"
"(-10665.36488, 145884.19981)","(-10724.29858, 145893.26461)"
"(-10665.36488, 145884.19981)","(-10612.28278, 145868.52701)"
"(-10151.33558, 144833.56351)","(-10216.10738, 144836.61891)"
"(-10151.33558, 144833.56351)","(-10096.21758, 144857.05771)"
"(-10564.04078, 146394.64191)","(-10508.94848, 146445.99481)"
"(-10564.04078, 146394.64191)","(-10607.21958, 146364.02461)"
"(-12080.04928, 146757.98281)","(-12020.80848, 146775.19261)"
"(-12080.04928, 146757.98281)","(-12087.97178, 146816.80081)"
"(-12080.04928, 146757.98281)","(-12124.61008, 146716.36491)"
"(-10273.53398, 144857.77701)","(-10356.64758, 144859.65951)"
"(-10273.53398, 144857.77701)","(-10216.10738, 144836.61891)"
"(-11903.73748, 146469.52171)","(-11901.24468, 146456.97991)"
"(-11903.73748, 146469.52171)","(-11918.56588, 146544.12721)"
"(-11903.73748, 146469.52171)","(-11924.50928, 146467.91741)"
"(-11030.10968, 146502.23731)","(-11068.26618, 146538.67251)"
"(-10818.46908, 144831.42181)","(-10747.02548, 144814.89671)"
"(-10818.46908, 144831.42181)","(-10886.27628, 144800.47311)"
"(-9990.77798, 144358.85551)","(-9923.73868, 144358.67831)"
"(-11662.99538, 145918.83721)","(-11592.21878, 145914.70461)"
"(-11662.99538, 145918.83721)","(-11708.20798, 145916.55361)"
"(-11666.91138, 145067.37131)","(-11715.25928, 145005.74931)"
"(-11666.91138, 145067.37131)","(-11660.15818, 145199.22361)"
"(-11301.37178, 144893.17581)","(-11226.73778, 144921.86351)"
"(-11301.37178, 144893.17581)","(-11360.44038, 144863.96811)"
"(-9882.24478, 145040.07641)","(-9924.57818, 145055.95131)"
"(-9882.24478, 145040.07641)","(-9849.17178, 145034.78471)"
"(-10859.80788, 145708.37321)","(-10798.97448, 145718.85241)"
"(-10859.80788, 145708.37321)","(-10924.40518, 145698.17071)"
"(-9812.57588, 144366.83961)","(-9713.32438, 144357.64411)"
"(-9812.57588, 144366.83961)","(-9860.65408, 144366.06551)"
"(-11004.92478, 145335.81491)","(-10914.96628, 145339.78371)"
"(-11004.92478, 145335.81491)","(-11086.83998, 145340.36581)"
"(-10855.80438, 146222.59361)","(-10806.77928, 146212.85681)"
"(-10404.79788, 145003.03461)","(-10396.28738, 145031.97031)"
"(-10404.79788, 145003.03461)","(-10411.74668, 144974.66021)"
"(-11708.00478, 145789.31671)","(-11700.87218, 145787.08951)"
"(-11708.00478, 145789.31671)","(-11710.84508, 145800.03771)"
