x,y,is_exit,is_source,stands
-11567.16828,147356.58511,False,False,[1200]
-9971.72598,144924.51451,False,False,"[1292, 1151]"
-10979.42848,146476.33291,False,False,"[1113, 1201]"
-11051.24968,146283.05717,False,False,"[1201, 1622]"
-11113.98768,145696.53051,False,False,[1202]
-10972.06908,146284.32371,False,False,[1113]
-9411.90168,144462.35361,False,False,[1497]
-11724.56608,145851.82881,False,False,[1202]
-10585.67278,145051.70861,False,False,"[1259, 869]"
-11445.88488,144695.98131,False,False,"[1203, 871]"
-10691.35818,144826.91311,False,False,"[869, 870]"
-11075.59348,144190.18001,False,False,[1149]
-10045.66658,144348.90601,False,False,"[1153, 1212]"
-10702.85058,146222.24481,False,False,"[1264, 1113]"
-10599.57578,144637.37151,False,False,"[872, 870]"
-11440.16518,145115.81351,False,False,[867]
-11631.86178,146341.26561,False,False,"[1201, 1199]"
-12150.41828,147034.86361,False,False,[1200]
-11071.86448,145966.01881,False,False,[1202]
-11935.47078,144631.96481,False,False,[1203]
-10665.36488,145884.19981,False,False,[1202]
-10151.33558,144833.56351,False,False,"[1292, 1213]"
-10564.04078,146394.64191,False,False,"[1264, 1113]"
-12080.04928,146757.98281,False,False,"[1200, 1201, 1097]"
-10273.53398,144857.77701,False,False,"[1292, 1213]"
-11903.73748,146469.52171,False,False,"[1520, 1201, 1519]"
-11030.10968,146502.23731,False,False,"[1113, 1201]"
-10818.46908,144831.42181,False,False,"[869, 870]"
-9990.77798,144358.85551,False,False,"[1153, 1212]"
-11662.99538,145918.83721,False,False,"[1202, 1199]"
-11666.91138,145067.37131,False,False,[1203]
-11301.37178,144893.17581,False,False,"[867, 868]"
-9882.24478,145040.07641,False,False,[1292]
-10859.80788,145708.37321,False,False,[1202]
-9812.57588,144366.83961,False,False,"[1153, 1212]"
-11004.92478,145335.81491,False,False,"[1258, 1494]"
-10855.80438,146222.59361,False,False,[1113]
-10404.79788,145003.03461,False,False,"[1259, 1493]"
-11708.00478,145789.31671,False,False,[1202]
-10607.21958,146364.02461,False,False,"[1264, 1113]"
-11946.85048,146132.35071,False,False,[1101]
-10294.59148,144601.68321,False,False,"[872, 1212, 1213]"
-11940.96438,145697.08401,False,False,[1202]
-9924.57818,145055.95131,False,False,[1292]
-10811.77858,145351.68991,False,False,"[1258, 1494]"
-9533.50398,144269.03741,False,False,"[1153, 1497]"
-10727.11168,145383.44001,False,False,"[1258, 1494]"
-11878.37698,145918.93021,False,False,"[1202, 1199]"
-11636.58518,147037.84251,False,False,[1200]
-10154.14968,144433.01491,False,False,"[1148, 1212]"
-11262.76738,145969.52531,False,False,[1515]
-9359.11808,144722.23791,False,False,[1152]
-11009.14508,145140.90221,False,False,"[867, 868]"
-10274.41428,145183.54161,False,False,"[1259, 1493]"
-11344.91508,145185.92821,False,False,"[1146, 867]"
-11595.31278,144206.94801,False,False,[1149]
-10866.58898,144554.29691,False,False,"[873, 1203]"
-10561.51648,144349.71811,False,False,"[873, 1148]"
-9682.96018,145287.91201,False,False,[1265]
-10670.42388,145618.08421,False,False,[1490]
-10627.12218,146132.03631,False,False,"[1264, 1623]"
-11226.73778,144921.86351,False,False,"[867, 868]"
-12022.41158,146595.09861,False,False,"[1201, 1519]"
-11973.64728,146750.44291,False,False,[1201]
-9832.74258,145029.71041,False,False,"[1292, 1151]"
-11493.08208,145278.53261,False,False,[867]
-10273.18688,146008.23321,False,False,"[1264, 1528]"
-10788.61508,144386.73901,False,False,"[873, 874]"
-11415.12028,146623.62571,False,False,"[1112, 1201]"
-11648.92168,146703.26721,False,False,"[1112, 1201]"
-10231.55458,145687.99901,False,False,[1490]
-10285.73508,144950.11781,False,False,"[1292, 1493]"
-11646.33298,146885.47931,False,False,[1112]
-11373.78948,144671.10651,False,False,"[1203, 871]"
-11069.37998,146941.90661,False,False,[1112]
-11320.00928,144379.32771,False,False,[1203]
-9571.17348,145117.20251,False,False,[1151]
-11103.24358,144421.58611,False,False,"[1203, 1149]"
-9328.57358,144617.03861,False,False,"[1152, 1497]"
-10830.91928,145927.71381,False,False,[1202]
-11795.68488,147309.54541,False,False,[1200]
-12324.88288,146143.42311,False,False,[1101]
-12086.91678,146501.91151,False,False,[1519]
-10231.64878,146002.23891,False,False,[1528]
-12266.05088,145592.35111,False,False,[1202]
-10405.44748,144194.11381,False,False,[1148]
-9248.79078,144352.72471,False,False,[1497]
-11263.41818,145296.24331,False,False,"[1146, 867]"
-11710.84508,145800.03771,False,False,[1202]
-11202.03978,145337.13791,False,False,"[1258, 1494]"
-11305.91188,146740.64731,False,False,"[1112, 1109]"
-11311.71538,146310.83841,False,False,[1201]
-10422.21398,144868.81691,False,False,"[1259, 1292, 1493, 870]"
-12351.55168,146619.23311,False,False,[1097]
-11461.13718,147087.28651,False,False,[1200]
-11985.95218,146027.97421,False,False,"[1101, 1199]"
-12129.25018,146572.82001,False,False,[1519]
-9410.96798,144804.78191,False,False,[1151]
-10240.80468,146437.74421,False,False,"[1264, 1113]"
-10886.27628,144800.47311,False,False,"[869, 870]"
-11004.36048,145952.13811,False,False,[1202]
-11922.61508,144778.89931,False,False,[1203]
-11445.56428,144561.99741,True,False,"[1203, 871]"
-10020.04008,145369.61551,False,False,[1493]
-10979.51488,145241.44861,False,False,"[1146, 1494]"
-11513.99508,145726.82691,False,False,[1202]
-10586.51338,145797.88311,False,False,[1202]
-11809.39888,145830.47211,False,False,[1202]
-11263.25238,145350.99561,False,False,"[1258, 867, 1494]"
-11494.68748,146773.89961,False,False,[1112]
-10458.37578,145856.31011,False,False,"[1202, 1523]"
-9552.78238,145252.52401,False,False,[1265]
-11940.97378,145697.07781,False,False,[1202]
-10654.86658,146267.82021,False,False,"[1264, 1113]"
-10399.94478,144723.16051,False,False,"[1213, 870]"
-9814.20778,145055.89631,False,False,[1151]
-9274.70728,144794.19861,False,False,[1151]
-10630.95868,144839.63321,False,False,"[869, 870]"
-10597.92768,145864.28861,False,False,"[1521, 1202]"
-12105.48458,146322.92551,False,False,"[1520, 1518]"
-10856.88218,144246.68231,False,False,[874]
-11430.34438,145919.31181,False,False,"[1202, 1199]"
-11483.14908,147175.25021,False,False,[1200]
-10508.17068,145469.67671,False,False,"[1258, 1259]"
-10477.24098,145434.70311,False,False,[1259]
-9266.15758,144499.51881,False,False,[1497]
-11274.13688,144152.73261,False,False,[1149]
-10450.11598,146469.21751,False,False,"[1264, 1113]"
-10905.33838,144888.08311,False,False,"[868, 869]"
-11779.12288,144924.35301,False,False,[1203]
-9650.54868,145175.94021,False,False,[1151]
-11888.78078,147252.51691,False,False,[1200]
-11041.09668,144605.45361,False,False,"[1203, 870]"
-12085.69028,146465.38451,False,False,"[1520, 1519]"
-12056.66778,146856.12321,False,False,"[1200, 1097]"
-11458.48648,144463.70191,False,False,[1203]
-11306.76598,145160.23671,False,False,"[1146, 867]"
-11267.51998,146824.82861,False,False,"[1112, 1109]"
