"Node1(x,y)","Node2(x,y)"
"(-9833.40198, 146132.72991)","(-9913.6735, 145997.5426)"
"(-9833.40198, 146132.72991)","(-9936.64878, 146330.41641)"
"(-9833.40198, 146132.72991)","(-9976.58998, 146666.29741)"
"(-12581.62248, 146404.94151)","(-12470.54088, 146156.54001)"
"(-12581.62248, 146404.94151)","(-12580.68998, 146607.75611)"
"(-11320.00928, 144379.32771)","(-11298.81805, 144346.94946)"
"(-11320.00928, 144379.32771)","(-11567.18588, 144257.36441)"
"(-11320.00928, 144379.32771)","(-11657.61788, 144440.58811)"
"(-11202.03978, 145337.13791)","(-11241.84149, 145346.14847)"
"(-11202.03978, 145337.13791)","(-10936.17132, 145338.84818)"
"(-10422.21398, 144868.81691)","(-10356.64758, 144859.65951)"
"(-10422.21398, 144868.81691)","(-10474.81838, 144921.17101)"
"(-10422.21398, 144868.81691)","(-10202.64327, 145042.93949)"
"(-10422.21398, 144868.81691)","(-10319.20618, 145145.05011)"
"(-12263.80848, 147091.67241)","(-12204.27398, 147128.64421)"
"(-12263.80848, 147091.67241)","(-12573.93998, 146944.30511)"
"(-12204.27398, 147128.64421)","(-12162.38518, 147088.50391)"
"(-12204.27398, 147128.64421)","(-11915.1548, 147459.44344)"
"(-11888.78078, 147252.51691)","(-11932.40778, 147220.85121)"
"(-11888.78078, 147252.51691)","(-11774.10648, 147351.59401)"
"(-11932.40778, 147220.85121)","(-12150.41828, 147034.86361)"
"(-9201.94668, 144923.84471)","(-9339.80264, 144803.80286)"
"(-9201.94668, 144923.84471)","(-9241.01268, 144955.70501)"
"(-9201.94668, 144923.84471)","(-9189.81098, 145140.27701)"
"(-10443.39408, 145860.44101)","(-10458.37578, 145856.31011)"
"(-10443.39408, 145860.44101)","(-10309.34908, 146023.00721)"
"(-10443.39408, 145860.44101)","(-10386.7716, 145755.00178)"
"(-12126.35638, 145955.36771)","(-12132.32018, 145815.81351)"
"(-12126.35638, 145955.36771)","(-11766.11108, 146178.79121)"
"(-12126.35638, 145955.36771)","(-11345.52318, 145931.44721)"
"(-10013.21378, 145209.41001)","(-10175.93288, 145063.88881)"
"(-10013.21378, 145209.41001)","(-9861.69428, 145345.43311)"
"(-10013.21378, 145209.41001)","(-9832.74258, 145029.71041)"
"(-10931.42588, 144772.14521)","(-10474.81838, 144921.17101)"
"(-10931.42588, 144772.14521)","(-10989.83068, 144664.08681)"
"(-10931.42588, 144772.14521)","(-10866.23208, 144968.77101)"
"(-9272.67648, 145681.67241)","(-9189.81098, 145140.27701)"
"(-9272.67648, 145681.67241)","(-9668.512, 145677.10047)"
"(-9272.67648, 145681.67241)","(-9939.95048, 145616.20771)"
"(-10171.53348, 146040.09591)","(-10000.51986, 146251.47094)"
"(-10171.53348, 146040.09591)","(-10283.24258, 146051.18691)"
"(-10171.53348, 146040.09591)","(-9913.6735, 145997.5426)"
"(-9397.61418, 144516.32871)","(-9254.73888, 144343.29081)"
