"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-11051.24968, 146283.05717)","(-11019.35018, 146283.05711)",0.031899500000057784,41.4573,False,False,240,86,360,86,180,
"(-11051.24968, 146283.05717)","(-11147.67338, 146279.08841)",0.0965262739328562,False,False,False,466,182,699,182,350,"[(-11070.94408, 146283.05721), (-11104.20178, 146281.33681)]"
"(-11051.24968, 146283.05717)","(-11008.78398, 146278.60381)",0.30772740442753155,False,False,False,2313,825,3469,825,1734,"[(-11098.47788, 146161.52541), (-11066.33098, 146148.42851), (-11013.14958, 146261.14121)]"
"(-11051.24968, 146283.05717)","(-11535.17589, 146511.60567)",0.0,False,False,True,0,0,0,0,0,
"(-11051.24968, 146283.05717)","(-11053.83413, 146220.76902)",0.0,False,False,True,0,0,0,0,0,
"(-12080.04928, 146757.98281)","(-12020.80848, 146775.19261)",0.06168994732272305,23.5624,False,False,298,116,447,116,224,
"(-12080.04928, 146757.98281)","(-12181.79218, 146626.33611)",0.18668827629521295,False,False,False,902,351,1353,351,677,"[(-12124.61008, 146716.36491), (-12183.03178, 146686.36391)]"
"(-12080.04928, 146757.98281)","(-12192.16702, 146876.89672)",0.29296531573963547,False,True,False,1415,549,2122,549,1062,"[(-12087.97178, 146816.80081), (-12056.66778, 146856.12321), (-12076.71498, 146902.99241), (-12132.72678, 146920.47281)]"
"(-12080.04928, 146757.98281)","(-11535.17589, 146511.60567)",0.0,False,False,True,0,0,0,0,0,
"(-11903.73748, 146469.52171)","(-11848.46738, 146406.31591)",0.08627543663632718,False,False,False,648,232,973,232,486,"[(-11901.24468, 146456.97991), (-11867.67638, 146420.25631)]"
"(-11903.73748, 146469.52171)","(-12128.28838, 146605.30541)",0.30446092467837116,False,False,False,2288,817,3431,817,1716,"[(-11918.56588, 146544.12721), (-11985.92898, 146557.64721), (-12022.41158, 146595.09861), (-12078.15678, 146592.99481)]"
"(-11903.73748, 146469.52171)","(-12085.69028, 146465.38451)",0.19449727907203615,False,False,False,1462,521,2192,521,1096,"[(-11924.50928, 146467.91741), (-11974.25098, 146478.50081), (-12027.16778, 146482.73411), (-12082.20118, 146479.55911)]"
"(-11903.73748, 146469.52171)","(-11535.17589, 146511.60567)",0.0,False,False,True,0,0,0,0,0,
"(-11903.73748, 146469.52171)","(-12020.85555, 146530.62782)",0.0,False,False,True,0,0,0,0,0,
"(-11903.73748, 146469.52171)","(-12030.85059, 146407.57459)",0.0,False,False,True,0,0,0,0,0,
"(-10294.59148, 144601.68321)","(-10346.78668, 144660.43371)",0.07858727729914558,28.1464,False,False,591,211,886,211,443,
"(-10294.59148, 144601.68321)","(-10422.05028, 144587.15941)",0.12879398185870142,False,False,False,968,346,1451,346,726,"[(-10361.23658, 144599.84971)]"
"(-10294.59148, 144601.68321)","(-9721.09488, 144536.77931)",0.5876685464357627,False,False,False,4415,1577,6625,1577,3312,"[(-10228.98078, 144592.96631), (-10139.66758, 144598.48871), (-10063.08068, 144587.07841), (-9994.01888, 144570.71281), (-9938.62358, 144565.12081), (-9890.83778, 144549.14291), (-9835.00468, 144547.13601), (-9786.09758, 144521.98731)]"
"(-10294.59148, 144601.68321)","(-10592.44312, 144597.08697)",0.0,False,False,True,0,0,0,0,0,
"(-10294.59148, 144601.68321)","(-10038.91817, 144696.09826)",0.0,False,False,True,0,0,0,0,0,
"(-10627.12218, 146132.03631)","(-10600.05419, 146118.42648)",0.030296923198057744,31.5762,False,False,228,81,341,81,171,
"(-10627.12218, 146132.03631)","(-10681.31538, 146176.81681)",0.07030075466514839,22.0285,False,False,340,132,509,132,255,
"(-10627.12218, 146132.03631)","(-10699.22078, 146038.36161)",0.15499048128681392,False,False,False,1165,416,1747,416,874,"[(-10723.03338, 146074.08041)]"
"(-10627.12218, 146132.03631)","(-10665.80354, 146087.73902)",0.0,False,False,True,0,0,0,0,0,
"(-9832.74258, 145029.71041)","(-10096.21758, 144857.05771)",0.351026478639937,False,False,False,2638,942,3957,942,1978,"[(-10024.30708, 144904.45791), (-10038.80028, 144846.57621), (-9971.72598, 144924.51451)]"
"(-9832.74258, 145029.71041)","(-10013.21378, 145209.41001)",0.30948672569997493,False,False,False,2326,831,3489,831,1744,"[(-9849.17178, 145034.78471), (-9882.24478, 145040.07641), (-9917.96358, 145124.74311), (-9944.42198, 145144.58691)]"
"(-9832.74258, 145029.71041)","(-9241.01268, 144955.70501)",0.8022496076769619,False,True,False,6029,2153,9043,2153,4521,"[(-9819.20558, 145048.83541), (-9814.20778, 145055.89631), (-9811.22658, 145060.26931), (-9795.79188, 145082.91021), (-9783.33098, 145101.18911), (-9764.45208, 145129.58501), (-9743.75138, 145154.97921), (-9723.62508, 145179.66881), (-9713.27188, 145192.36951), (-9706.21588, 145201.02551), (-9650.54868, 145175.94021), (-9628.32368, 145153.71511), (-9611.53838, 145142.99111), (-9595.17898, 145132.53931), (-9587.05988, 145127.35221), (-9571.17348, 145117.20251), (-9550.53598, 145104.50251), (-9551.68168, 145083.28031), (-9529.37088, 145079.47511), (-9512.11058, 145018.68791), (-9464.09268, 145005.97421), (-9414.95488, 145003.39221), (-9376.72258, 144958.59151), (-9324.68418, 144973.53711)]"
"(-9832.74258, 145029.71041)","(-10092.28536, 144992.41853)",0.0,False,False,True,0,0,0,0,0,
"(-10273.18688, 146008.23321)","(-10309.34908, 146023.00721)",0.03906374002627235,31.5762,False,False,294,105,440,105,220,
"(-10273.18688, 146008.23321)","(-10000.51986, 146251.47094)",0.43104176202007616,False,True,False,2081,810,3124,810,1562,"[(-10283.24258, 146051.18691), (-10239.58628, 146059.12441), (-10171.53348, 146040.09591)]"
"(-10273.18688, 146008.23321)","(-10392.90648, 145719.00931)",0.3940400389012188,False,False,False,2961,1058,4441,1058,2220,"[(-10245.55208, 146020.90681), (-10231.64878, 146002.23891), (-10221.24278, 145999.68641), (-10292.35798, 145876.44291), (-10341.30598, 145786.48441)]"
"(-10422.21398, 144868.81691)","(-10356.64758, 144859.65951)",0.06620280042203573,28.1464,False,False,497,178,746,178,373,
"(-10422.21398, 144868.81691)","(-10474.81838, 144921.17101)",0.07421707813010216,32.9737,False,False,558,199,837,199,418,
"(-10422.21398, 144868.81691)","(-10099.59488, 145303.55751)",0.5775648899986379,False,False,False,4341,1550,6509,1550,3255,"[(-10156.18288, 145269.73251), (-10274.41428, 145183.54161)]"
"(-10422.21398, 144868.81691)","(-10013.21378, 145209.41001)",0.545916533203666,False,False,False,4103,1465,6153,1465,3077,"[(-10320.13108, 144910.43021), (-10332.03728, 144894.55521), (-10285.73508, 144950.11781), (-10144.18278, 145107.54531)]"
"(-10422.21398, 144868.81691)","(-10691.85715, 144728.22114)",0.0,False,False,True,0,0,0,0,0,
"(-10422.21398, 144868.81691)","(-10433.51815, 145216.22844)",0.0,False,False,True,0,0,0,0,0,
"(-10422.21398, 144868.81691)","(-10092.28536, 144992.41853)",0.0,False,False,True,0,0,0,0,0,
"(-10422.21398, 144868.81691)","(-10171.96168, 145155.81475)",0.0,False,False,True,0,0,0,0,0,
"(-11445.56428, 144561.99741)","(-11360.44038, 144863.96811)",0.6612615899245472,False,True,False,3193,1240,4791,1240,2396,"[(-11372.96028, 144727.24241), (-11373.78948, 144671.10651), (-11435.19028, 144629.50041), (-11445.88488, 144695.98131), (-11418.35498, 144839.21431)]"
