"Source(x,y)","Target(x,y)"
"(-11051.24968, 146283.05717)","(-11019.35018, 146283.05711)"
"(-11051.24968, 146283.05717)","(-11147.67338, 146279.08841)"
"(-11051.24968, 146283.05717)","(-11008.78398, 146278.60381)"
"(-11051.24968, 146283.05717)","(-11535.17589, 146511.60567)"
"(-11051.24968, 146283.05717)","(-11053.83413, 146220.76902)"
"(-11019.35018, 146283.05711)","(-11051.24968, 146283.05717)"
"(-11019.35018, 146283.05711)","(-11008.78398, 146278.60381)"
"(-11019.35018, 146283.05711)","(-11034.00928, 146314.14501)"
"(-11019.35018, 146283.05711)","(-11535.17589, 146511.60567)"
"(-11019.35018, 146283.05711)","(-11053.83413, 146220.76902)"
"(-11147.67338, 146279.08841)","(-11051.24968, 146283.05717)"
"(-11147.67338, 146279.08841)","(-11193.97548, 146304.22381)"
"(-11147.67338, 146279.08841)","(-11260.89158, 146124.68481)"
"(-11147.67338, 146279.08841)","(-11535.17589, 146511.60567)"
"(-11147.67338, 146279.08841)","(-11228.32011, 146134.99003)"
"(-11008.78398, 146278.60381)","(-11051.24968, 146283.05717)"
"(-11008.78398, 146278.60381)","(-11019.35018, 146283.05711)"
"(-11008.78398, 146278.60381)","(-11053.83413, 146220.76902)"
"(-11535.17589, 146511.60567)","(-11051.24968, 146283.05717)"
"(-11535.17589, 146511.60567)","(-12080.04928, 146757.98281)"
"(-11535.17589, 146511.60567)","(-11903.73748, 146469.52171)"
"(-11535.17589, 146511.60567)","(-11662.28898, 146337.29681)"
"(-11535.17589, 146511.60567)","(-12181.79218, 146626.33611)"
"(-11535.17589, 146511.60567)","(-11113.07018, 146571.39151)"
"(-11535.17589, 146511.60567)","(-11193.97548, 146304.22381)"
"(-11535.17589, 146511.60567)","(-11781.45528, 146357.98461)"
"(-11535.17589, 146511.60567)","(-11498.47148, 146267.03401)"
"(-11535.17589, 146511.60567)","(-11147.67338, 146279.08841)"
"(-11535.17589, 146511.60567)","(-11657.10278, 146836.53971)"
"(-11535.17589, 146511.60567)","(-12128.28838, 146605.30541)"
"(-11535.17589, 146511.60567)","(-11019.35018, 146283.05711)"
"(-11535.17589, 146511.60567)","(-12020.80848, 146775.19261)"
"(-11535.17589, 146511.60567)","(-11292.57138, 146694.10811)"
"(-11535.17589, 146511.60567)","(-11848.46738, 146406.31591)"
"(-11535.17589, 146511.60567)","(-11034.00928, 146314.14501)"
"(-11053.83413, 146220.76902)","(-11051.24968, 146283.05717)"
"(-11053.83413, 146220.76902)","(-11008.78398, 146278.60381)"
"(-11053.83413, 146220.76902)","(-11019.35018, 146283.05711)"
"(-12080.04928, 146757.98281)","(-12020.80848, 146775.19261)"
"(-12080.04928, 146757.98281)","(-12181.79218, 146626.33611)"
"(-12080.04928, 146757.98281)","(-12192.16702, 146876.89672)"
"(-12080.04928, 146757.98281)","(-11535.17589, 146511.60567)"
"(-12020.80848, 146775.19261)","(-12080.04928, 146757.98281)"
"(-12020.80848, 146775.19261)","(-11657.10278, 146836.53971)"
"(-12020.80848, 146775.19261)","(-11829.82083, 146875.34897)"
"(-12020.80848, 146775.19261)","(-11535.17589, 146511.60567)"
"(-12181.79218, 146626.33611)","(-12080.04928, 146757.98281)"
"(-12181.79218, 146626.33611)","(-12128.28838, 146605.30541)"
"(-12181.79218, 146626.33611)","(-12245.41252, 146523.94896)"
"(-12181.79218, 146626.33611)","(-11535.17589, 146511.60567)"
"(-12192.16702, 146876.89672)","(-12080.04928, 146757.98281)"
"(-12192.16702, 146876.89672)","(-12203.62278, 146868.49841)"
"(-11903.73748, 146469.52171)","(-11848.46738, 146406.31591)"
"(-11903.73748, 146469.52171)","(-12128.28838, 146605.30541)"
"(-11903.73748, 146469.52171)","(-12085.69028, 146465.38451)"
"(-11903.73748, 146469.52171)","(-11535.17589, 146511.60567)"
"(-11903.73748, 146469.52171)","(-12020.85555, 146530.62782)"
"(-11903.73748, 146469.52171)","(-12030.85059, 146407.57459)"
"(-11848.46738, 146406.31591)","(-11903.73748, 146469.52171)"
"(-11848.46738, 146406.31591)","(-12175.26418, 146323.63221)"
"(-11848.46738, 146406.31591)","(-11781.45528, 146357.98461)"
"(-11848.46738, 146406.31591)","(-11535.17589, 146511.60567)"
"(-11848.46738, 146406.31591)","(-11993.23024, 146315.8348)"
"(-11848.46738, 146406.31591)","(-12030.85059, 146407.57459)"
"(-12128.28838, 146605.30541)","(-11903.73748, 146469.52171)"
"(-12128.28838, 146605.30541)","(-12085.69028, 146465.38451)"
"(-12128.28838, 146605.30541)","(-12181.79218, 146626.33611)"
"(-12128.28838, 146605.30541)","(-11535.17589, 146511.60567)"
"(-12128.28838, 146605.30541)","(-12020.85555, 146530.62782)"
"(-12085.69028, 146465.38451)","(-11903.73748, 146469.52171)"
"(-12085.69028, 146465.38451)","(-12128.28838, 146605.30541)"
"(-12085.69028, 146465.38451)","(-12175.26418, 146323.63221)"
"(-12085.69028, 146465.38451)","(-12020.85555, 146530.62782)"
"(-12085.69028, 146465.38451)","(-12030.85059, 146407.57459)"
"(-12020.85555, 146530.62782)","(-11903.73748, 146469.52171)"
"(-12020.85555, 146530.62782)","(-12085.69028, 146465.38451)"
"(-12020.85555, 146530.62782)","(-12128.28838, 146605.30541)"
"(-12030.85059, 146407.57459)","(-11903.73748, 146469.52171)"
"(-12030.85059, 146407.57459)","(-12085.69028, 146465.38451)"
"(-12030.85059, 146407.57459)","(-12175.26418, 146323.63221)"
"(-12030.85059, 146407.57459)","(-11848.46738, 146406.31591)"
"(-10294.59148, 144601.68321)","(-10346.78668, 144660.43371)"
"(-10294.59148, 144601.68321)","(-10422.05028, 144587.15941)"
"(-10294.59148, 144601.68321)","(-9721.09488, 144536.77931)"
"(-10294.59148, 144601.68321)","(-10592.44312, 144597.08697)"
"(-10294.59148, 144601.68321)","(-10038.91817, 144696.09826)"
"(-10346.78668, 144660.43371)","(-10294.59148, 144601.68321)"
"(-10346.78668, 144660.43371)","(-10820.93418, 144562.38671)"
"(-10346.78668, 144660.43371)","(-10356.64758, 144859.65951)"
"(-10346.78668, 144660.43371)","(-10691.85715, 144728.22114)"
"(-10346.78668, 144660.43371)","(-10592.44312, 144597.08697)"
"(-10346.78668, 144660.43371)","(-10038.91817, 144696.09826)"
"(-10422.05028, 144587.15941)","(-10294.59148, 144601.68321)"
"(-10422.05028, 144587.15941)","(-10471.31358, 144456.25121)"
"(-10422.05028, 144587.15941)","(-10820.93418, 144562.38671)"
"(-10422.05028, 144587.15941)","(-10592.44312, 144597.08697)"
"(-10422.05028, 144587.15941)","(-10689.80193, 144458.96875)"
"(-9721.09488, 144536.77931)","(-10294.59148, 144601.68321)"
"(-9721.09488, 144536.77931)","(-9674.56938, 144595.59931)"
"(-9721.09488, 144536.77931)","(-9427.82687, 144409.26834)"
"(-9721.09488, 144536.77931)","(-10038.91817, 144696.09826)"
"(-10592.44312, 144597.08697)","(-10294.59148, 144601.68321)"
"(-10592.44312, 144597.08697)","(-10820.93418, 144562.38671)"
"(-10592.44312, 144597.08697)","(-10422.05028, 144587.15941)"
"(-10592.44312, 144597.08697)","(-10346.78668, 144660.43371)"
"(-10038.91817, 144696.09826)","(-10294.59148, 144601.68321)"
"(-10038.91817, 144696.09826)","(-9674.56938, 144595.59931)"
"(-10038.91817, 144696.09826)","(-10096.21758, 144857.05771)"
"(-10038.91817, 144696.09826)","(-9686.91908, 144778.42451)"
"(-10038.91817, 144696.09826)","(-10356.64758, 144859.65951)"
"(-10038.91817, 144696.09826)","(-9721.09488, 144536.77931)"
"(-10038.91817, 144696.09826)","(-10346.78668, 144660.43371)"
"(-10627.12218, 146132.03631)","(-10600.05419, 146118.42648)"
"(-10627.12218, 146132.03631)","(-10681.31538, 146176.81681)"
"(-10627.12218, 146132.03631)","(-10699.22078, 146038.36161)"
"(-10627.12218, 146132.03631)","(-10665.80354, 146087.73902)"
"(-10600.05419, 146118.42648)","(-10627.12218, 146132.03631)"
"(-10600.05419, 146118.42648)","(-10699.22078, 146038.36161)"
"(-10600.05419, 146118.42648)","(-10463.28508, 146061.25081)"
"(-10600.05419, 146118.42648)","(-10665.80354, 146087.73902)"
"(-10681.31538, 146176.81681)","(-10627.12218, 146132.03631)"
"(-10681.31538, 146176.81681)","(-9988.06854, 146375.41721)"
"(-10681.31538, 146176.81681)","(-11034.00928, 146314.14501)"
"(-10699.22078, 146038.36161)","(-10627.12218, 146132.03631)"
"(-10699.22078, 146038.36161)","(-10600.05419, 146118.42648)"
"(-10699.22078, 146038.36161)","(-10665.80354, 146087.73902)"
"(-10665.80354, 146087.73902)","(-10627.12218, 146132.03631)"
"(-10665.80354, 146087.73902)","(-10600.05419, 146118.42648)"
"(-10665.80354, 146087.73902)","(-10699.22078, 146038.36161)"
"(-9832.74258, 145029.71041)","(-10096.21758, 144857.05771)"
"(-9832.74258, 145029.71041)","(-10013.21378, 145209.41001)"
"(-9832.74258, 145029.71041)","(-9241.01268, 144955.70501)"
