"Source(x,y)","Target(x,y)"
"(-9833.40198, 146132.72991)","(-9913.6735, 145997.5426)"
"(-9833.40198, 146132.72991)","(-9936.64878, 146330.41641)"
"(-9833.40198, 146132.72991)","(-9976.58998, 146666.29741)"
"(-9833.40198, 146132.72991)","(-10003.61619, 146080.35893)"
"(-9833.40198, 146132.72991)","(-9661.65701, 146389.74345)"
"(-12581.62248, 146404.94151)","(-12470.54088, 146156.54001)"
"(-12581.62248, 146404.94151)","(-12580.68998, 146607.75611)"
"(-12581.62248, 146404.94151)","(-12419.48714, 146353.17934)"
"(-11320.00928, 144379.32771)","(-11298.81805, 144346.94946)"
"(-11320.00928, 144379.32771)","(-11567.18588, 144257.36441)"
"(-11320.00928, 144379.32771)","(-11657.61788, 144440.58811)"
"(-11320.00928, 144379.32771)","(-11880.59009, 144169.38769)"
"(-11320.00928, 144379.32771)","(-11413.82977, 144285.92566)"
"(-11320.00928, 144379.32771)","(-11527.59886, 144721.10856)"
"(-11202.03978, 145337.13791)","(-11241.84149, 145346.14847)"
"(-11202.03978, 145337.13791)","(-10936.17132, 145338.84818)"
"(-11202.03978, 145337.13791)","(-10886.6139, 145312.75793)"
"(-11202.03978, 145337.13791)","(-10875.67833, 145439.00808)"
"(-10422.21398, 144868.81691)","(-10356.64758, 144859.65951)"
"(-10422.21398, 144868.81691)","(-10474.81838, 144921.17101)"
"(-10422.21398, 144868.81691)","(-10202.64327, 145042.93949)"
"(-10422.21398, 144868.81691)","(-10319.20618, 145145.05011)"
"(-10422.21398, 144868.81691)","(-10691.85714, 144728.22114)"
"(-10422.21398, 144868.81691)","(-10092.28536, 144992.41853)"
"(-10422.21398, 144868.81691)","(-10171.96168, 145155.81475)"
"(-10422.21398, 144868.81691)","(-10433.51815, 145216.22844)"
"(-12263.80848, 147091.67241)","(-12204.27398, 147128.64421)"
"(-12263.80848, 147091.67241)","(-12573.93998, 146944.30511)"
"(-12263.80848, 147091.67241)","(-12465.81377, 147031.14202)"
"(-12204.27398, 147128.64421)","(-12162.38518, 147088.50391)"
"(-12204.27398, 147128.64421)","(-11915.1548, 147459.44344)"
"(-12204.27398, 147128.64421)","(-12465.81377, 147031.14202)"
"(-12204.27398, 147128.64421)","(-11897.64531, 147344.57458)"
"(-11888.78078, 147252.51691)","(-11932.40778, 147220.85121)"
"(-11888.78078, 147252.51691)","(-11774.10648, 147351.59401)"
"(-11888.78078, 147252.51691)","(-11832.54596, 147082.78683)"
"(-11888.78078, 147252.51691)","(-11897.64531, 147344.57458)"
"(-11932.40778, 147220.85121)","(-12150.41828, 147034.86361)"
"(-11932.40778, 147220.85121)","(-11832.54596, 147082.78683)"
"(-11932.40778, 147220.85121)","(-11897.64531, 147344.57458)"
"(-9201.94668, 144923.84471)","(-9339.80264, 144803.80286)"
"(-9201.94668, 144923.84471)","(-9241.01268, 144955.70501)"
"(-9201.94668, 144923.84471)","(-9189.81098, 145140.27701)"
