ID_UG;nodes
1121;(-9833.40198, 146132.72991),(-9936.64878, 146330.41641),(-9927.71538, 146363.58361),(-9976.58998, 146666.29741),(-9932.81588, 146541.95831),(-9661.65701, 146389.74345)
1525;(-9833.40198, 146132.72991),(-10171.53348, 146040.09591),(-9936.64878, 146330.41641),(-9913.6735, 145997.5426),(-10000.51986, 146251.47094),(-10003.61619, 146080.35893)
1103;(-12581.62248, 146404.94151),(-12580.68998, 146607.75611),(-12425.26918, 146572.02501),(-12460.81378, 146096.66401),(-12470.54088, 146156.54001),(-12451.77348, 146591.56311),(-12150.32018, 146106.93491),(-12236.01448, 146458.80881),(-12306.4491, 146483.83352),(-12265.70579, 146469.35783),(-12157.26545, 146117.35794),(-12419.48714, 146353.17934)
1147;(-11320.00928, 144379.32771),(-11279.64678, 144317.65751),(-11567.18588, 144257.36441),(-11298.81805, 144346.94946),(-11413.82977, 144285.92566)
1204;(-11320.00928, 144379.32771),(-11657.61788, 144440.58811),(-11652.93558, 144066.29101),(-11567.18588, 144257.36441),(-12377.49558, 143982.26871),(-11880.59009, 144169.38769)
1203;(-11320.00928, 144379.32771),(-11279.64678, 144317.65751),(-11360.44038, 144863.96811),(-11657.61788, 144440.58811),(-11715.25928, 145005.74931),(-11660.15818, 145199.22361),(-11010.83498, 144515.51401),(-10989.83068, 144664.08681),(-11076.49878, 144696.99751),(-10820.93418, 144562.38671),(-12126.48468, 144569.94141),(-10866.58898, 144554.29691),(-11445.56428, 144561.99741),(-11474.53728, 145036.98431),(-11745.20313, 144967.58487),(-10920.07257, 144533.31419),(-11527.59886, 144721.10856)
1258;(-11202.03978, 145337.13791),(-10586.47098, 145430.04251),(-11314.48788, 145345.86911),(-10540.80828, 145570.98241),(-11263.25238, 145350.99561),(-11285.94848, 145413.02391),(-10727.11168, 145383.44001),(-10508.17068, 145469.67671),(-10421.15038, 145524.38761),(-10441.67454, 145539.26826),(-10717.38045, 145541.53695),(-10875.67833, 145439.00808)
1494;(-11202.03978, 145337.13791),(-11214.88648, 145304.51751),(-10586.47098, 145430.04251),(-10930.14798, 145204.05181),(-11263.25238, 145350.99561),(-10727.11168, 145383.44001),(-10572.27948, 145306.64461),(-10936.17132, 145338.84818),(-11241.84149, 145346.14847),(-10886.6139, 145312.75793)
1259;(-10422.21398, 144868.81691),(-10586.47098, 145430.04251),(-10319.20618, 145145.05011),(-10099.59488, 145303.55751),(-10474.81838, 144921.17101),(-10643.00188, 145112.35371),(-10508.17068, 145469.67671),(-10572.27948, 145306.64461),(-10433.51815, 145216.22844)
1292;(-10422.21398, 144868.81691),(-10013.21378, 145209.41001),(-10356.64758, 144859.65951),(-10096.21758, 144857.05771),(-9832.74258, 145029.71041),(-10175.93288, 145063.88881),(-10202.64327, 145042.93949),(-10092.28536, 144992.41853)
1493;(-10422.21398, 144868.81691),(-10013.21378, 145209.41001),(-10319.20618, 145145.05011),(-9861.69428, 145345.43311),(-10099.59488, 145303.55751),(-10175.93288, 145063.88881),(-9981.22558, 145423.59061),(-10240.41981, 145208.32364),(-10171.96168, 145155.81475)
870;(-10422.21398, 144868.81691),(-10931.42588, 144772.14521),(-10356.64758, 144859.65951),(-10474.81838, 144921.17101),(-10989.83068, 144664.08681),(-10820.93418, 144562.38671),(-10346.78668, 144660.43371),(-10691.85714, 144728.22114)
1094;(-12263.80848, 147091.67241),(-12204.27398, 147128.64421),(-12376.80708, 146880.38561),(-12150.41828, 147034.86361),(-12162.38518, 147088.50391),(-12573.93998, 146944.30511),(-12465.81377, 147031.14202)
1093;(-12204.27398, 147128.64421),(-11888.78078, 147252.51691),(-11932.40778, 147220.85121),(-12150.41828, 147034.86361),(-11646.16018, 147401.95171),(-11647.46748, 147490.42951),(-11631.18218, 147630.20151),(-12162.38518, 147088.50391),(-11670.20168, 147337.89651),(-11774.10648, 147351.59401),(-11915.1548, 147459.44344),(-11897.64531, 147344.57458)
1200;(-11888.78078, 147252.51691),(-11932.40778, 147220.85121),(-12376.80708, 146880.38561),(-11701.81518, 146963.95881),(-12150.41828, 147034.86361),(-12080.04928, 146757.98281),(-11646.16018, 147401.95171),(-11647.46748, 147490.42951),(-12020.80848, 146775.19261),(-11670.20168, 147337.89651),(-11529.38348, 147400.07031),(-11774.10648, 147351.59401),(-11514.13248, 147464.64091),(-12203.62278, 146868.49841),(-11793.94458, 147077.22441),(-11666.33808, 147348.19052),(-11829.82084, 146875.34896),(-11781.58465, 147066.21703),(-11832.54596, 147082.78683)
1150;(-9201.94668, 144923.84471),(-9241.01268, 144955.70501),(-9706.21588, 145201.02551),(-9682.96018, 145287.91201),(-9189.81098, 145140.27701),(-9376.72258, 144958.59151),(-9273.47336, 145165.18738),(-9390.00386, 144974.15454),(-9408.62338, 145108.06648)
1151;(-9201.94668, 144923.84471),(-9241.01268, 144955.70501),(-9706.21588, 145201.02551),(-9686.91908, 144778.42451),(-10096.21758, 144857.05771),(-9376.72258, 144958.59151),(-9832.74258, 145029.71041),(-9355.40538, 144806.10491),(-9467.41438, 144774.25241),(-9339.80264, 144803.80286),(-9945.05923, 144940.80891),(-9646.78687, 144926.12803)
1528;(-10443.39408, 145860.44101),(-10309.34908, 146023.00721),(-10273.18688, 146008.23321),(-10392.90648, 145719.00931),(-10386.7716, 145755.00178),(-10367.96973, 145751.61771),(-10331.23819, 145903.50593)
1523;(-10443.39408, 145860.44101),(-10309.34908, 146023.00721),(-10458.37578, 145856.31011),(-10522.91078, 145861.60871),(-10366.09948, 146045.01991),(-10410.88306, 145946.54057)
1202;(-12126.35638, 145955.36771),(-12056.15258, 145620.82851),(-10612.28278, 145868.52701),(-12266.05088, 145592.35111),(-12132.32018, 145815.81351),(-11345.52318, 145931.44721),(-11113.98768, 145696.53051),(-10458.37578, 145856.31011),(-11911.82328, 145716.01351),(-11322.38808, 145684.27591),(-10559.87008, 145862.92891),(-11324.91898, 145686.34871),(-10522.91078, 145861.60871),(-10632.71323, 145779.38404),(-11232.29108, 145705.63053),(-10838.69651, 145712.00987),(-11418.6453, 145807.50002)
1101;(-12126.35638, 145955.36771),(-12089.04288, 146105.08451),(-12132.32018, 145815.81351),(-12460.81378, 146096.66401),(-11766.11108, 146178.79121),(-12150.32018, 146106.93491),(-11787.61178, 146176.79402),(-12188.21993, 146109.72315),(-12164.98961, 146108.01412),(-12186.63902, 146003.58075)
1199;(-12126.35638, 145955.36771),(-11662.28898, 146337.29681),(-11614.43768, 146306.63241),(-11345.52318, 145931.44721),(-11766.11108, 146178.79121),(-11668.69188, 146318.24681),(-11530.46478, 146304.00601),(-11498.47148, 146267.03401),(-11511.51977, 146282.11283),(-11689.91373, 146061.82348)
