x,y
-12581.62248,146404.94151
-11202.03978,145337.13791
-12263.80848,147091.67241
-11888.78078,147252.51691
-11932.40778,147220.85121
-9397.61418,144516.32871
-11614.43768,146306.63241
-11832.87338,145011.12561
-11314.48788,145345.86911
-9241.01268,144955.70501
-11701.81518,146963.95881
-12126.29698,145154.53001
-11013.14958,146261.14121
-10001.33388,145572.81591
-10319.20618,145145.05011
-12089.04288,146105.08451
-11051.24968,146283.05717
-9584.22898,144422.42351
-11646.16018,147401.95171
-11070.94408,146283.05721
-11734.65228,145366.77121
-12162.38518,147088.50391
-9890.19048,145757.38021
-11764.38298,145468.79421
-11113.98768,145696.53051
-12451.77348,146591.56311
-11263.25238,145350.99561
-10600.05419,146118.42648
-10463.28508,146061.25081
-11668.69188,146318.24681
-11670.20168,147337.89651
-11911.82328,145716.01351
-12150.32018,146106.93491
-10283.24258,146051.18691
-11530.46478,146304.00601
-11076.49878,144696.99751
-11147.67338,146279.08841
-9437.22218,144335.59211
-9376.72258,144958.59151
-11316.50428,145274.02721
-9305.40998,144657.12641
-10866.23208,144968.77101
-10727.11168,145383.44001
-10866.58898,144554.29691
-11445.56428,144561.99741
-12464.88198,145610.27421
-10110.76588,145679.59661
-11529.38348,147400.07031
-11774.10648,147351.59401
-10175.93288,145063.88881
-9355.40538,144806.10491
-10572.27948,145306.64461
-10366.09948,146045.01991
-11793.94458,147077.22441
-12487.36392,146087.27366
-12467.49998,145981.35076
-12536.33127,145876.48658
-12492.603,146154.41865
-12954.9812,145893.10886
-12732.65338,146038.01083
-11345.44256,144244.06245
-10996.05097,144429.79117
-11051.44306,144481.72032
-11298.81805,144346.94946
-11212.70112,144513.24222
-11745.20313,144967.58487
-10920.07257,144533.31419
-11328.82617,145416.5736
-11274.31335,144903.57648
-11291.89646,145284.32538
-11336.83577,145259.06607
-11353.8676,145202.0916
-11294.04205,145347.91487
-10969.37789,145233.76956
-10945.4788,145215.66533
-10859.9594,144404.45946
-9427.82687,144409.26834
-9386.8612,144390.59263
-10373.22795,144597.34741
-9461.89162,144402.46279
-10815.39788,144550.04898
-10536.39665,144988.45603
-10599.75727,145307.75594
-9046.54407,143900.67767
-9286.42043,144313.40255
-9317.162,144671.37363
-9273.47336,145165.18738
-9390.00386,144974.15454
-9921.70364,145669.30352
-9668.512,145677.10047
-9339.80264,144803.80286
-9945.05923,144940.80891
-10202.64327,145042.93949
-10240.41981,145208.32364
-10936.17132,145338.84818
-11241.84149,145346.14847
-10441.67454,145539.26826
-10717.38045,145541.53695
-9989.59175,145621.69655
-10386.7716,145755.00178
-10367.96973,145751.61771
-12226.24183,145268.4027
-12270.65469,145295.79527
-12318.6526,145359.61718
-12204.43494,145535.89745
-11956.11228,145598.48942
-11830.45358,145469.76332
-11757.61972,145460.1864
-11479.27611,145482.62956
-11397.17876,145728.26972
-10632.71323,145779.38404
-11232.29108,145705.63053
-10838.69651,145712.00987
-11787.61178,146176.79402
-12188.21993,146109.72315
-12164.98961,146108.01412
-11511.51977,146282.11283
-11199.2228,146286.69589
-12168.82397,146250.13035
-12176.52211,146295.99382
-10415.02377,146051.40539
-10638.39162,146125.22657
-9913.6735,145997.5426
-10000.51986,146251.47094
-9988.06853,146375.41721
-10536.25397,146086.34763
-9984.20277,146563.07825
-10058.28294,146752.22657
-10345.99736,146611.79932
-10175.40622,146646.3433
-10425.74452,146665.6367
-12306.4491,146483.83352
-12265.70579,146469.35783
-12157.26545,146117.35794
-11400.35565,146298.1227
-11426.15818,146296.00823
-11260.41238,146311.88539
-12192.16702,146876.89671
-12245.41252,146523.94896
-12225.39426,146864.2554
-11598.27358,146889.62002
-11076.1594,146951.55747
-11666.33808,147348.19052
-11829.82084,146875.34896
-11781.58465,147066.21703
-11915.1548,147459.44344
