Node,Stand
"(-11498.47148, 146267.03401)","[1201, 1199]"
"(-11544.54918, 146193.89241)",[1199]
"(-11612.81178, 146054.19211)",[1199]
"(-11638.21178, 145992.27941)",[1199]
"(-11515.97408, 145995.45451)",[1199]
"(-11457.23648, 146119.27971)",[1199]
"(-11374.68628, 146122.45481)",[1199]
"(-11436.59898, 146001.80451)",[1199]
"(-11428.66138, 145976.40451)",[1199]
"(-11360.35468, 145977.48231)",[1199]
"(-11371.53818, 145968.58701)",[1199]
"(-11345.52318, 145931.44721)","[1202, 1199]"
"(-11430.34438, 145919.31181)","[1202, 1199]"
"(-11478.53348, 145916.35921)","[1202, 1199]"
"(-11534.56548, 145911.64951)","[1202, 1199]"
"(-11592.21878, 145914.70461)","[1202, 1199]"
"(-11662.99538, 145918.83721)","[1202, 1199]"
"(-11708.20798, 145916.55361)","[1202, 1199]"
"(-11751.14978, 145922.46771)","[1202, 1199]"
"(-11804.57818, 145909.93381)","[1202, 1199]"
"(-11878.37698, 145918.93021)","[1202, 1199]"
"(-11945.21128, 145925.18031)","[1202, 1199]"
"(-12029.90318, 145934.24561)","[1202, 1199]"
"(-12126.35638, 145955.36771)","[1202, 1101, 1199]"
"(-12057.60338, 145980.66811)","[1101, 1199]"
"(-11985.95218, 146027.97421)","[1101, 1199]"
"(-11916.92998, 146042.41741)","[1101, 1199]"
"(-11869.02648, 146079.00071)","[1101, 1199]"
"(-11821.71068, 146092.20941)","[1101, 1199]"
"(-11766.11108, 146178.79121)","[1101, 1199]"
"(-11702.55858, 146266.38841)",[1199]
"(-11668.69188, 146318.24681)",[1199]
"(-11662.28898, 146337.29681)","[1201, 1199]"
"(-11631.86178, 146341.26561)","[1201, 1199]"
"(-11614.43768, 146306.63241)","[1201, 1199]"
"(-11530.46478, 146304.00601)","[1201, 1199]"
"(-11514.13248, 147464.64091)",[1200]
"(-11529.38348, 147400.07031)",[1200]
"(-11567.16828, 147356.58511)",[1200]
"(-11547.15178, 147311.21081)",[1200]
"(-11541.03658, 147267.09531)",[1200]
"(-11515.10778, 147228.28881)",[1200]
"(-11483.14908, 147175.25021)",[1200]
"(-11562.88688, 147199.90681)",[1200]
"(-11562.92908, 147156.79911)",[1200]
"(-11520.39438, 147127.53061)",[1200]
"(-11461.13718, 147087.28651)",[1200]
"(-11463.43268, 147024.62021)",[1200]
"(-11512.74898, 147005.49461)",[1200]
"(-11567.55768, 147020.37881)",[1200]
"(-11636.58518, 147037.84251)",[1200]
"(-11731.39298, 147083.07661)",[1200]
"(-11793.94458, 147077.22441)",[1200]
"(-11728.41938, 147018.86961)",[1200]
"(-11701.81518, 146963.95881)",[1200]
"(-11726.15138, 146918.80101)",[1200]
"(-11787.35798, 146901.58651)",[1200]
"(-11843.40028, 146866.95831)",[1200]
"(-11952.53298, 146805.87191)",[1200]
"(-12020.80848, 146775.19261)","[1200, 1201]"
"(-12080.04928, 146757.98281)","[1200, 1201, 1097]"
"(-12087.97178, 146816.80081)","[1200, 1097]"
"(-12056.66778, 146856.12321)","[1200, 1097]"
"(-12076.71498, 146902.99241)","[1200, 1097]"
"(-12132.72678, 146920.47281)","[1200, 1097]"
"(-12203.62278, 146868.49841)","[1200, 1097]"
"(-12260.58868, 146857.39641)",[1200]
"(-12313.59968, 146834.82901)",[1200]
"(-12376.80708, 146880.38561)",[1200]
"(-12339.89678, 146919.53631)",[1200]
