x,y,ID_UG
-11689.91373,146061.82348,1199
-11535.17589,146511.60567,1201
-11228.32011,146134.99003,1515
-11993.23024,146315.8348,1518
-12020.85555,146530.62782,1519
-12030.85059,146407.57459,1520
-10508.41568,145963.38485,1521
-10458.17531,145959.85115,1522
-11175.3728,145212.9561,1146
-10383.51255,144329.66069,1148
-9766.36384,144289.1142,1153
-11298.50872,145094.28111,867
-10899.29296,145033.64337,868
-10706.98024,144921.79794,869
-10691.85715,144728.22114,870
-10592.44312,144597.08697,872
-10689.80193,144458.96875,873
-10854.57383,144325.46078,874
-11130.22825,146695.29086,1109
-10038.91817,144696.09826,1213
-10875.67833,145439.00808,1258
-10433.51815,145216.22844,1259
-10092.28536,144992.41853,1292
-10171.96168,145155.81475,1493
-10886.61391,145312.75793,1494
-10410.88307,145946.54058,1523
-11053.83413,146220.76902,1622
-10665.80354,146087.73902,1623
