"Node1(x,y)","Node2(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-12768.49968, 145909.42561)","(-12618.47018, 145830.80591)",0.2654193155978454,False,False,1993,711,2991,711,1496,False,"[(-12707.69438, 145938.15221), (-12654.53128, 145941.51771), (-12671.22118, 145857.27341)]"
"(-12768.49968, 145909.42561)","(-12953.64678, 145875.34591)",0.21579668594655127,False,False,1042,405,1564,405,783,False,"[(-12816.51328, 145944.08061), (-12868.58908, 145928.60921), (-12906.79238, 145893.11621)]"
"(-12768.49968, 145909.42561)","(-13038.96588, 145407.01511)",0.6138953935637232,False,False,2965,1153,4449,1153,2224,False,"[(-12821.19278, 145878.69861), (-12847.76488, 145827.19001), (-12879.72258, 145795.57491), (-12942.17008, 145751.49211), (-12978.37398, 145695.43561), (-12967.95358, 145637.94821), (-12999.34778, 145579.07981), (-13025.49018, 145492.86501), (-13046.34878, 145453.16921)]"
"(-13898.76948, 146139.04071)","(-13740.26288, 146249.11651)",0.2065666441438506,False,False,999,387,1497,387,748,False,"[(-13821.59888, 146152.73651), (-13787.93468, 146210.42621)]"
"(-13898.76948, 146139.04071)","(-13962.53738, 146402.88011)",0.31634877214868073,False,False,1528,595,2293,595,1145,False,"[(-13919.82548, 146209.59571), (-13966.98268, 146264.17631), (-14012.03258, 146310.64711), (-13993.94328, 146361.10021)]"
"(-13898.76948, 146139.04071)","(-14265.31618, 146091.30941)",0.4379931079358459,False,False,2116,823,3173,823,1586,False,"[(-13954.38198, 146103.51351), (-14002.99008, 146103.56071), (-14067.86038, 146117.27101), (-14116.84418, 146171.23641), (-14187.03068, 146173.68971), (-14229.98888, 146134.81611)]"
"(-13867.32058, 147174.92451)","(-13889.55158, 147172.20381)",0.022396865171046117,False,False,108,42,162,42,81,22.353,
"(-13867.32058, 147174.92451)","(-13788.95158, 147217.47001)",0.08917297646287224,True,False,670,239,1005,239,503,28.7513,
"(-13867.32058, 147174.92451)","(-13835.91738, 147077.74961)",0.11722631953656745,False,False,881,314,1321,314,661,False,"[(-13822.22618, 147128.26171)]"
"(-13433.83158, 143776.40971)","(-13586.80848, 143855.33011)",0.18753347264561473,False,False,907,352,1359,352,679,False,"[(-13482.42478, 143789.31201), (-13561.03988, 143804.21751)]"
"(-13433.83158, 143776.40971)","(-13232.93838, 143775.54841)",0.20242473179269554,False,False,978,381,1467,381,733,False,"[(-13368.11378, 143779.36451), (-13303.71078, 143767.75741)]"
"(-13433.83158, 143776.40971)","(-13861.42348, 143778.36541)",0.43339737033748377,False,False,3256,1163,4884,1163,2443,False,"[(-13703.15758, 143748.24451), (-13753.75008, 143748.71941), (-13798.59818, 143756.70501)]"
"(-11320.00928, 144379.32771)","(-11298.81805, 144346.94946)",0.03869650245146179,True,False,187,73,280,73,140,11.428,
"(-11320.00928, 144379.32771)","(-11567.18588, 144257.36441)",0.28029122567205317,False,False,1355,526,2030,526,1015,False,"[(-11400.44298, 144355.27201), (-11470.55298, 144318.91261), (-11531.58058, 144295.01581)]"
"(-11320.00928, 144379.32771)","(-11657.61788, 144440.58811)",0.37958268000375617,False,False,1834,713,2750,713,1376,False,"[(-11368.44098, 144395.19441), (-11384.58178, 144434.66241), (-11458.48648, 144463.70191), (-11526.46438, 144478.29961), (-11591.04198, 144466.26011)]"
"(-13527.30138, 144774.65911)","(-13638.16978, 144811.20041)",0.11769725734596928,False,False,568,221,853,221,427,False,"[(-13584.92428, 144785.74421)]"
"(-13527.30138, 144774.65911)","(-13542.55558, 144391.42491)",0.42573985624567706,False,False,2058,799,3085,799,1543,False,"[(-13500.52018, 144674.35441), (-13478.03048, 144613.50021), (-13470.61618, 144584.40791), (-13463.44728, 144510.89971), (-13498.47218, 144484.56571), (-13533.33408, 144453.16931)]"
"(-13527.30138, 144774.65911)","(-13040.34908, 145172.93921)",0.7052881669854575,False,False,3406,1326,5110,1326,2556,False,"[(-13477.21758, 144778.11351), (-13479.08328, 144799.74821), (-13476.70208, 144825.14821), (-13465.58948, 144840.22961), (-13451.30208, 144862.45451), (-13437.80828, 144887.85461), (-13410.82068, 144909.28591), (-13398.91448, 144936.27351), (-13367.16428, 144954.52981), (-13317.95178, 144975.96111), (-13281.43918, 144991.04231), (-13239.44298, 144990.57611), (-13163.36718, 144998.45661), (-13122.28518, 145035.17161), (-13106.04718, 145079.34371), (-13082.98268, 145142.26281)]"
"(-13962.37818, 144505.16841)","(-13908.63028, 144471.70861)",0.06331188648627364,False,False,476,170,714,170,357,28.8826,
"(-13962.37818, 144505.16841)","(-14018.15298, 144611.22751)",0.12214794675242971,False,False,590,229,885,229,442,False,"[(-13997.83348, 144547.27941)]"
"(-13962.37818, 144505.16841)","(-14124.42158, 144146.08821)",0.6931224363445023,False,False,5208,1861,7812,1861,3906,False,"[(-14001.32868, 144432.21771), (-14028.97658, 144379.94531), (-14032.81868, 144331.26401), (-14103.81518, 144342.94131), (-14170.36908, 144392.10671), (-14243.71868, 144357.89721), (-14197.60838, 144306.74921), (-14207.47968, 144226.15351), (-14167.01198, 144174.71441)]"
"(-12917.86478, 144626.79101)","(-12936.17328, 144670.15321)",0.04706890227199181,False,False,227,88,341,88,171,21.3115,
"(-12917.86478, 144626.79101)","(-12687.45288, 144309.21201)",0.6406235878947978,False,False,3094,1204,4641,1204,2322,False,"[(-12974.51128, 144592.08371), (-12969.83018, 144538.77021), (-13005.84638, 144496.56711)]"
"(-12917.86478, 144626.79101)","(-12394.24228, 144565.17661)",0.7674489701961337,False,False,5767,2059,8652,2059,4325,False,"[(-12892.48988, 144675.16421), (-12827.23758, 144693.93011), (-12647.57588, 144701.50901), (-12596.77058, 144692.94251), (-12540.93688, 144686.12451), (-12478.31658, 144683.27611), (-12420.69748, 144679.90011), (-12413.47388, 144682.85741), (-12315.90138, 144664.60161), (-12318.35528, 144649.91401), (-12352.69618, 144599.80191)]"
"(-14303.29188, 145778.45391)","(-14244.10188, 145768.12701)",0.060084115734612926,False,False,290,113,435,113,218,16.573,
"(-14303.29188, 145778.45391)","(-14342.66708, 145947.30791)",0.2768717032504288,False,False,1338,520,2006,520,1003,False,"[(-14361.27068, 145807.21651), (-14358.96728, 145879.73281), (-14290.16698, 145909.84351)]"
"(-14303.29188, 145778.45391)","(-14361.04618, 145577.89501)",0.21615051610336053,False,False,1044,406,1567,406,783,False,"[(-14320.01148, 145721.00871), (-14325.63398, 145666.41071), (-14327.11698, 145616.07531)]"
"(-14203.49278, 145305.21021)","(-14258.09258, 145259.11991)",0.12387703390554644,False,False,599,233,898,233,449,False,"[(-14262.14518, 145321.88861)]"
"(-14203.49278, 145305.21021)","(-14080.93138, 145329.21571)",0.1267273693721272,False,False,613,238,918,238,459,False,"[(-14128.33608, 145309.17701)]"
"(-14203.49278, 145305.21021)","(-14326.64078, 145550.44791)",0.28786470046593804,False,False,1391,541,2086,541,1043,False,"[(-14240.94658, 145349.94401), (-14296.50918, 145408.15251), (-14328.25918, 145479.59011)]"
"(-13666.87088, 145315.54271)","(-13759.39692, 145318.22574)",0.09291136120312123,True,False,449,174,673,174,337,False,"[(-13731.14808, 145321.09831)]"
"(-13666.87088, 145315.54271)","(-13536.27148, 145349.50311)",0.15134044301844904,False,False,731,285,1097,285,549,False,"[(-13616.46748, 145319.14971), (-13606.20708, 145304.82951), (-13564.05288, 145328.33641)]"
"(-13666.87088, 145315.54271)","(-13730.05378, 144851.16791)",0.6496745079859617,False,False,3139,1222,4708,1222,2353,False,"[(-13661.92698, 145231.62761), (-13660.37308, 145159.27361), (-13658.09988, 145064.10581), (-13614.96218, 145022.37911), (-13544.18108, 144918.99771), (-13594.16888, 144865.43611), (-13671.62388, 144867.15911)]"
"(-15660.70518, 144553.54791)","(-15781.31948, 144691.63411)",0.22459617359233675,False,False,1085,421,1627,421,814,False,"[(-15663.44718, 144611.06821), (-15679.32218, 144668.21831)]"
"(-15660.70518, 144553.54791)","(-15870.80978, 144354.49481)",0.30943564983464483,False,False,2326,830,3487,830,1744,False,"[(-15674.02978, 144563.84961), (-15721.32088, 144517.11641)]"
"(-15660.70518, 144553.54791)","(-15310.86048, 144725.25531)",0.4416624192314881,False,False,3319,1186,4978,1186,2490,False,"[(-15619.21418, 144521.46991), (-15557.61238, 144535.93671), (-15509.56388, 144555.83511), (-15426.11878, 144588.31601), (-15385.12178, 144614.71331), (-15337.44408, 144662.63041)]"
"(-13856.17678, 145525.57111)","(-13721.45338, 145624.42461)",0.1698169887445097,False,False,820,319,1230,319,616,False,"[(-13782.38678, 145560.96401)]"
"(-13856.17678, 145525.57111)","(-13563.25154, 145364.09885)",0.3349548512371439,True,False,1618,630,2428,630,1213,False,"[(-13802.17828, 145493.70131), (-13714.86568, 145454.01371), (-13616.96968, 145393.15941)]"
"(-13856.17678, 145525.57111)","(-14032.24448, 145641.00871)",0.21082082675280905,False,False,1018,397,1528,397,764,False,"[(-13909.33478, 145559.71491), (-13967.54318, 145592.78791)]"
"(-15593.86948, 145248.00981)","(-15731.72918, 145411.62791)",0.5164832821609124,False,False,2495,969,3740,969,1873,False,"[(-15637.09868, 145274.89321), (-15659.67788, 145311.14241), (-15713.73178, 145281.94971)]"
"(-15593.86948, 145248.00981)","(-15628.28278, 144947.58301)",0.5007633554037968,False,False,2419,942,3628,942,1815,False,"[(-15596.62628, 145205.20971), (-15561.83748, 145176.42101), (-15461.32158, 145101.12851), (-15506.90368, 145039.79301), (-15581.19628, 145028.53931), (-15646.98908, 144997.45851)]"
"(-15593.86948, 145248.00981)","(-14957.39878, 145614.53541)",1.0300268515958797,False,False,4977,1933,7462,1933,3731,False,"[(-15586.14038, 145336.82301), (-15533.05268, 145316.48631), (-15511.18228, 145255.39781), (-15473.23298, 145230.68071), (-15403.60608, 145257.81731), (-15434.85898, 145315.67201), (-15356.55868, 145317.07771), (-15281.38148, 145347.59291), (-15223.08808, 145368.59921), (-15096.92468, 145395.31511), (-15046.65978, 145429.55581), (-15000.25398, 145508.67621), (-14945.62308, 145561.02651)]"
"(-14895.69898, 145901.29711)","(-14666.18568, 145703.96781)",0.32111517548553303,False,False,1551,603,2327,603,1163,False,"[(-14871.88648, 145836.20951), (-14729.01118, 145756.83431)]"
"(-14895.69898, 145901.29711)","(-14817.94108, 146126.69561)",0.2503382997251815,False,False,1209,471,1814,471,907,False,"[(-14865.53638, 145953.68471), (-14814.73638, 146021.94741)]"
"(-14895.69898, 145901.29711)","(-14935.42828, 146013.21141)",0.14379897128859437,False,False,695,270,1042,270,521,False,"[(-14942.79488, 145924.97741), (-14927.97818, 145975.77751)]"
"(-15655.43248, 147111.32401)","(-15596.69818, 147158.65721)",0.09108496461476545,True,False,685,245,1027,245,514,False,"[(-15613.28758, 147115.76801), (-15598.60318, 147131.64311)]"
"(-15655.43248, 147111.32401)","(-15754.89288, 147087.98681)",0.11494688547036017,True,False,555,216,833,216,417,False,"[(-15724.51288, 147111.51971), (-15745.89698, 147110.74101)]"
"(-15655.43248, 147111.32401)","(-15560.00118, 146806.31831)",0.33024035423707554,False,False,1595,621,2393,621,1196,False,"[(-15666.27628, 147057.48141), (-15635.72318, 146997.08001), (-15628.43668, 146941.29561), (-15597.65658, 146877.03521)]"
"(-11832.87338, 145011.12561)","(-11981.30498, 144864.54611)",0.20867903852045333,True,False,1008,393,1512,393,756,False,"[(-11920.18608, 144921.16711)]"
"(-11832.87338, 145011.12561)","(-11715.25928, 145005.74931)",0.1775896204446477,True,False,859,334,1287,334,644,False,"[(-11762.75868, 145073.30281), (-11729.68568, 145038.90681)]"
"(-13911.62198, 144062.55231)","(-13901.03998, 144111.14871)",0.04973518690988228,False,False,240,93,360,93,180,21.3115,
"(-13911.62198, 144062.55231)","(-13988.54458, 143983.95931)",0.11165962307292104,False,False,839,300,1258,300,629,False,"[(-13948.97278, 144037.92891)]"
"(-13911.62198, 144062.55231)","(-13586.80848, 143855.33011)",0.4473403153197832,False,False,2161,840,3241,840,1621,False,"[(-13849.89898, 144084.16541), (-13802.66968, 144085.14121)]"
"(-13895.32728, 145698.62381)","(-13977.27458, 145720.25701)",0.08475467727229248,False,False,409,159,614,159,307,16.573,
"(-13895.32728, 145698.62381)","(-13822.59588, 145703.40521)",0.07288839641479217,False,False,352,137,528,137,264,16.573,
"(-13895.32728, 145698.62381)","(-13583.63677, 146097.02885)",0.5191056584205213,False,False,2508,975,3761,975,1881,False,"[(-13886.24168, 145741.83421), (-13829.69268, 145782.34541), (-13803.13788, 145819.82841), (-13765.43318, 145894.95561), (-13717.67938, 145955.71091), (-13646.46908, 146004.68861)]"
"(-13700.70448, 146912.22621)","(-13835.91738, 147077.74961)",0.2155514071186132,False,False,1620,579,2429,579,1215,False,"[(-13748.39988, 146990.16951), (-13781.47288, 147029.85711)]"
"(-13700.70448, 146912.22621)","(-13651.37428, 147115.01191)",0.22292318605320144,False,False,1675,599,2512,599,1257,False,"[(-13716.70508, 146980.74671), (-13700.73768, 147049.20471)]"
"(-13700.70448, 146912.22621)","(-13594.42938, 146774.02191)",0.17494815289435814,False,False,1315,470,1971,470,986,False,"[(-13679.30818, 146887.38581), (-13658.74328, 146863.51071), (-13636.41258, 146834.75591), (-13617.06788, 146809.84641), (-13600.79938, 146788.89811)]"
"(-12546.48628, 145635.30851)","(-12464.88198, 145610.27421)",0.08535794019878767,True,False,641,229,962,229,481,25.7721,
"(-12546.48628, 145635.30851)","(-13038.96588, 145407.01511)",0.5781641342069763,False,False,4344,1551,6519,1551,3258,False,"[(-12751.81298, 145589.84501), (-12672.19528, 145613.44521), (-12607.61018, 145625.08041), (-12836.93678, 145571.07811)]"
