x,y,is_exit,is_source,stands
-12768.49968,145909.42561,False,False,"[1105, 1290, 1100]"
-15941.47488,147247.21421,True,False,[1239]
-12581.62248,146404.94151,True,False,[1103]
-13898.76948,146139.04071,False,False,"[1081, 1083, 1085]"
-13867.32058,147174.92451,False,False,"[1453, 1078, 1599]"
-15733.05268,146415.66451,True,False,[1073]
-13433.83158,143776.40971,False,False,"[1197, 1615]"
-11320.00928,144379.32771,False,False,"[1147, 1204, 1203]"
-13459.37977,147097.59772,False,False,"[1096, 1593, 1595]"
-13527.30138,144774.65911,False,False,"[1616, 1132]"
-13962.37818,144505.16841,False,False,"[1131, 1132, 1133]"
-15743.05588,146800.60781,False,False,"[1366, 1071]"
-12126.35638,145955.36771,False,False,"[1202, 1101]"
-10931.42588,144772.14521,False,False,"[868, 870]"
-12917.86478,144626.79101,False,False,"[1140, 1141, 1615]"
-13450.72168,146777.41561,False,False,"[1595, 1195, 1593]"
-14303.29188,145778.45391,False,False,"[1088, 1085, 1087]"
-14203.49278,145305.21021,False,False,"[1128, 1443, 1245]"
-13666.87088,145315.54271,False,False,"[1126, 1271]"
-15660.70518,144553.54791,False,False,"[1123, 1124]"
-13856.17678,145525.57111,False,False,"[1089, 1445, 1271]"
-15593.86948,145248.00981,False,False,"[1240, 809, 1442]"
-14997.31928,148001.34291,True,False,[917]
-14895.69898,145901.29711,False,False,"[1441, 1620]"
-15655.43248,147111.32401,False,False,"[1068, 1071]"
-11832.87338,145011.12561,True,False,[1139]
-13911.62198,144062.55231,False,False,"[1614, 1134, 1135]"
-12770.76558,146507.5353,False,False,"[1594, 1195, 1596]"
-15639.82038,146344.00381,True,False,[1073]
-13895.32728,145698.62381,False,False,"[1085, 1445, 1086]"
-13292.24088,145526.60111,False,False,"[1290, 1446]"
-11314.48788,145345.86911,True,False,[867]
-12580.68998,146607.75611,False,False,"[1096, 1103]"
-13700.70448,146912.22621,False,False,"[1600, 1076, 1599]"
-15717.71888,146829.64051,True,False,[1071]
-16110.03058,146708.63041,True,False,[1366]
-13148.76868,145986.21941,False,False,"[1099, 1196, 1102]"
-12546.48628,145635.30851,False,False,"[1104, 1105, 1255]"
-13226.05408,146692.81491,False,False,"[1193, 1195, 1595]"
-12966.85048,146609.79601,False,False,"[1195, 1597, 1598]"
-13785.81918,145315.53891,False,False,"[1271, 1126, 1127]"
-12441.35988,143878.24221,False,False,"[1204, 1143]"
-10973.55168,145177.73511,False,False,"[867, 868]"
-13885.34898,146976.36511,False,False,"[1600, 1077, 1078]"
-12610.10888,146362.91541,False,False,"[1449, 1103]"
-14788.58488,147879.74541,False,False,"[1291, 1244]"
-12916.49978,146804.13601,False,False,"[1096, 1597, 1598]"
-15781.31948,144691.63411,False,False,"[1240, 1123]"
-11279.64678,144317.65751,False,False,"[1203, 1147, 1149]"
-12404.28668,145555.55021,False,False,"[1104, 1254, 1255]"
-15543.70108,146719.93721,False,False,"[1185, 1482, 1071]"
-12126.29698,145154.53001,True,False,"[1136, 1139, 1254]"
-12965.98498,143814.10021,False,False,"[1144, 1145]"
-13901.03998,144111.14871,False,False,"[1614, 1612, 1134]"
-12851.63218,146007.97911,False,False,"[1099, 1100, 1102]"
-12056.15258,145620.82851,False,False,"[1202, 1254]"
-13127.19118,145351.06941,True,False,[1290]
-13889.55158,147172.20381,False,False,"[1480, 1453, 1078]"
-13113.10528,146493.84161,True,False,"[1449, 1195]"
-13872.10778,146541.02391,False,False,"[1080, 1083, 1195]"
-13908.63028,144471.70861,False,False,"[1132, 1612, 1133]"
-11360.44038,144863.96811,False,False,"[867, 1203, 868, 871]"
-14234.68988,147049.58221,False,False,"[1480, 1078, 1079]"
-14686.02898,143989.34941,False,False,"[1186, 1363, 1613]"
-13232.93838,143775.54841,False,False,"[1145, 1615]"
-10422.05028,144587.15941,False,False,"[872, 873]"
-13808.57768,147230.26881,True,False,"[1096, 875, 1453]"
-14957.39878,145614.53541,False,False,"[809, 1442, 1620, 1245]"
-10591.73298,144296.31881,False,False,"[873, 874]"
-14473.23288,145300.07391,True,False,"[1245, 1486]"
-14792.76558,147894.42081,True,False,[1291]
-13382.92928,146531.36851,False,False,"[1081, 1082, 1195]"
-13517.05858,147392.12021,False,False,"[1096, 875]"
-15855.93998,146362.93421,True,False,[1073]
-14418.24458,147665.73311,False,False,"[1452, 1244, 1454]"
-14925.58668,147871.18141,False,False,"[1244, 917]"
-12089.04288,146105.08451,True,False,[1101]
-15724.51288,147111.51971,True,False,[1071]
-12228.53168,144739.67071,False,False,"[1137, 1138, 1140]"
-15298.23988,144790.89301,False,False,"[1123, 1611]"
-15433.96038,145973.24311,False,False,"[1074, 1534]"
-12394.24228,144565.17661,False,False,"[1140, 1141, 1143]"
-15181.94748,145744.16501,False,False,"[809, 1483]"
-12266.05088,145592.35111,False,False,"[1104, 1202, 1254]"
-14132.75218,147599.00951,False,False,"[875, 1452, 1453]"
-14435.82348,144181.07621,False,False,"[1129, 1363, 1131]"
-15200.93608,146130.79151,False,False,"[1440, 1075, 1534]"
-14474.38988,144890.55461,False,False,"[1128, 1484, 1486]"
-13778.07608,144987.76631,False,False,"[1127, 1126, 1487]"
-11657.61788,144440.58811,False,False,"[1203, 1204, 1142]"
-13210.23278,143932.93721,False,False,"[1144, 1145, 1615]"
-14535.55628,146540.62991,False,False,"[1184, 1084, 1079]"
-14745.43568,145364.90511,False,False,"[1442, 1245, 1270]"
-14244.10188,145768.12701,False,False,"[1088, 1444, 1085]"
-15582.66032,146310.19463,False,False,"[1073, 1071]"
-15332.67418,147529.44691,True,False,"[1456, 1457, 1237, 1239]"
-15074.43678,145933.31031,False,False,"[1483, 1620, 1534]"
-15628.28278,144947.58301,False,False,"[1240, 1442, 1123]"
-13189.87228,146453.46291,False,False,"[1449, 1450, 1099]"
-14670.05368,145326.21011,False,False,"[1245, 1270]"
-14957.73507,146053.70593,False,False,"[1620, 1534, 1439]"
-14153.33658,143837.48941,False,False,"[1186, 1613]"
-14171.36728,145578.73271,False,False,"[1088, 1443, 1271]"
-14068.93818,146558.79081,False,False,"[1195, 1077, 1079, 1083, 1084]"
-13788.95158,147217.47001,True,False,"[1096, 1453, 1599]"
-13843.33068,146371.05681,False,False,"[1080, 1081, 1195]"
-12881.66548,144980.55181,False,False,"[1616, 1138, 1488]"
-12625.62488,146127.91231,False,False,"[1449, 1099, 1100]"
-14124.68208,146675.54151,False,False,"[1077, 1078, 1079]"
-14977.49458,146377.23321,False,False,"[1184, 1074, 1075]"
-11024.58038,144201.20341,False,False,"[874, 1149]"
-15367.49638,147658.01201,False,False,"[1456, 1457, 917]"
-12687.45288,144309.21201,False,False,"[1141, 1615, 1143]"
-14018.15298,144611.22751,False,False,"[1128, 1130, 1131, 1132]"
-11715.25928,145005.74931,False,False,"[1139, 1203]"
-15624.77528,147738.45101,False,False,"[1457, 1239]"
-14932.32528,146203.86541,False,False,"[1184, 1075, 1439]"
-15560.00118,146806.31831,False,False,"[1482, 1068, 1071]"
-14935.42828,146013.21141,False,False,"[1620, 1439]"
-13241.20298,146492.31531,False,False,"[1449, 1450, 1082]"
-12953.64678,145875.34591,False,False,"[1290, 1100, 1102]"
-15084.46118,144069.57271,False,False,"[1186, 1611, 1364]"
-13835.91738,147077.74961,False,False,"[1600, 1078, 1599]"
-12134.18858,144691.03731,False,False,"[1137, 1140]"
-15139.49838,144116.67241,False,False,"[1186, 1611, 1125]"
-13931.50718,147431.49511,True,False,[1453]
-13638.16978,144811.20041,False,False,"[1130, 1132]"
-14996.02228,146461.69591,False,False,"[1072, 1185, 1074]"
-12132.32018,145815.81351,False,False,"[1104, 1202, 1101]"
-13197.82043,146922.22721,True,False,"[1096, 1193, 1595]"
-12864.00236,146562.20164,False,False,"[1195, 1596, 1597]"
-12460.81378,146096.66401,False,False,"[1104, 1100, 1101, 1103]"
-15625.27328,147215.80721,True,False,[1068]
-13377.10688,146002.31331,True,False,"[1194, 1196]"
-13073.86918,146632.53181,False,False,"[1193, 1195, 1598]"
-11734.65228,145366.77121,True,False,[1254]
-11660.15818,145199.22361,False,False,"[1139, 1203]"
-15691.12808,147129.36111,True,False,[1239]
-13839.38108,144722.83091,False,False,"[1128, 1130, 1487]"
-14776.82938,146282.94981,False,False,"[1184, 1441, 1084]"
-13910.47698,147474.63001,True,False,"[875, 1453]"
-14299.97578,147426.14361,False,False,"[1244, 1453, 1454]"
-15288.08488,145705.43041,False,False,"[809, 1483, 1534]"
-13533.62568,145370.66971,True,False,[1089]
-12625.23228,146390.29161,True,False,[1449]
-11652.93558,144066.29101,False,False,"[1204, 1149]"
-15464.19148,146899.64941,False,False,"[1482, 1068, 1237]"
-15735.57828,147134.12361,True,False,[1239]
-14032.24448,145641.00871,False,False,"[1088, 1444, 1445, 1271]"
-12470.54088,146156.54001,False,False,"[1449, 1100, 1103]"
-14818.34888,144803.24191,False,False,"[1611, 1484]"
-13525.44518,145530.64991,False,False,"[1089, 1196, 1446]"
-15472.98178,147325.67091,False,False,"[1237, 1239]"
-11764.38298,145468.79421,True,False,[1254]
-14537.74978,147738.65121,False,False,"[1291, 1244]"
-12771.02698,146756.67071,False,False,"[1096, 1596, 1597]"
-11113.98768,145696.53051,True,False,[1202]
-12451.77348,146591.56311,True,False,[1103]
-14297.34464,147649.73247,False,False,"[1452, 1453, 1454]"
-14625.96818,145051.04941,False,False,"[1485, 1486]"
-12349.72418,144439.11641,False,False,"[1140, 1142, 1143]"
-13231.44638,146382.91641,True,False,"[1450, 1194, 1082]"
-12856.57828,147058.04901,True,False,[1096]
-12723.63338,146447.69101,True,False,"[1449, 1195]"
-14607.69098,146757.93471,False,False,"[1184, 1482, 1079]"
-11263.25238,145350.99561,True,False,[867]
-12765.37938,146282.17721,True,False,"[1449, 1099]"
-14081.64748,147738.70341,False,False,"[875, 1452]"
-15183.70118,147617.21421,False,False,"[1456, 1237, 917]"
-13238.18248,145897.67821,False,False,"[1102, 1196, 1446]"
-14258.09258,145259.11991,False,False,"[1128, 1245, 1486]"
-14804.77218,144885.96981,False,False,"[1484, 1485]"
-13823.81668,147245.87331,True,False,"[875, 1453]"
-12983.75868,144092.47811,False,False,"[1144, 1615, 1143]"
-13567.18558,146177.82421,False,False,"[1194, 1082, 1085]"
-12663.21388,143837.87751,False,False,"[1144, 1143]"
-14883.20187,143958.33582,False,False,"[1186, 1363, 1364]"
-12690.56448,146456.52551,False,False,"[1449, 1594]"
-13518.84458,146773.71091,False,False,"[1593, 1195, 1076]"
-14342.66708,145947.30791,False,False,"[1441, 1085, 1087]"
-12350.97338,145416.77831,True,False,"[1136, 1254, 1255]"
-14426.68938,144118.58591,False,False,"[1363, 1131, 1613]"
-11010.83498,144515.51401,False,False,"[873, 1203, 1149]"
-15415.43758,146498.93001,False,False,"[1185, 1071]"
-14391.21158,147788.57861,False,False,"[1291, 1452]"
-13977.27458,145720.25701,False,False,"[1085, 1444, 1445]"
-15754.89288,147087.98681,True,False,[1071]
-11567.18588,144257.36441,False,False,"[1147, 1204, 1149]"
-13721.45338,145624.42461,False,False,"[1089, 1196, 1445]"
-13962.53738,146402.88011,False,False,"[1080, 1081, 1083]"
-11842.71668,145304.14611,False,False,"[1139, 1254]"
-14124.42158,144146.08821,False,False,"[1131, 1133, 1613]"
-15731.72918,145411.62791,False,False,"[1240, 809]"
-14666.18568,145703.96781,False,False,"[1441, 1620, 1245]"
-14372.02358,144576.29661,False,False,"[1128, 1131, 1484]"
-15622.57698,146353.40921,True,False,[1073]
-15717.79138,146751.46851,False,False,"[1366, 1070, 1071]"
-13083.96588,146313.01901,False,False,"[1450, 1099, 1196]"
-15356.05428,146287.32981,False,False,"[1072, 1074]"
-11911.82328,145716.01351,True,False,[1202]
-12150.32018,146106.93491,True,False,"[1101, 1103]"
-15681.70098,146650.70791,False,False,"[1073, 1070, 1071]"
-15310.86048,144725.25531,False,False,"[1123, 1611, 1124]"
-15414.36248,146498.72301,False,False,"[1072, 1185, 1437]"
-14080.93138,145329.21571,False,False,"[1128, 1443, 1271]"
-15224.98618,146240.56601,False,False,"[1440, 1074, 1075]"
-10989.83068,144664.08681,False,False,"[1203, 868, 870]"
-13038.96588,145407.01511,False,False,"[1105, 1290, 1255]"
-12599.48558,145088.91361,False,False,"[1136, 1137, 1255]"
-15724.86258,146811.38421,True,False,[1071]
-14293.61348,146146.41531,False,False,"[1441, 1083, 1084]"
-11076.49878,144696.99751,True,False,"[1203, 868, 871]"
-13000.03448,146857.07531,True,False,"[1096, 1193, 1598]"
-15180.61768,145846.58881,False,False,"[1483, 1620]"
-14796.22698,144774.27301,False,False,"[1484, 1611, 1364]"
-14473.54178,147658.34491,False,False,"[1452, 1244]"
-15870.80978,144354.49481,False,False,"[1124, 1125]"
-14457.19188,144933.54941,False,False,"[1484, 1485, 1486]"
-15835.33118,147057.22501,True,False,[1239]
-10820.93418,144562.38671,False,False,"[872, 873, 1203, 870]"
-13447.65088,145953.95581,False,False,"[1194, 1196, 1086]"
-13651.37428,147115.01191,False,False,"[1096, 1076, 1599]"
-12161.17988,144965.63811,False,False,"[1136, 1137, 1139]"
-14463.72468,144550.41741,False,False,"[1484, 1131, 1364]"
-14326.64078,145550.44791,False,False,"[1088, 1443, 1245]"
-13768.22628,146716.39331,False,False,"[1600, 1195, 1077]"
-14780.20528,144449.96031,False,False,"[1129, 1363, 1364]"
-13730.05378,144851.16791,False,False,"[1130, 1126, 1487]"
-13247.87988,146499.99031,True,False,"[1449, 1082, 1195]"
-13040.34908,145172.93921,False,False,"[1616, 1255]"
-13431.30388,145471.78811,False,False,"[1089, 1446]"
-11316.50428,145274.02721,True,False,[867]
-12126.48468,144569.94141,False,False,"[1203, 1140, 1142]"
-15596.69818,147158.65721,True,False,[1068]
-12639.35458,146509.71671,False,False,"[1594, 1103]"
-14624.54598,147179.06321,False,False,"[1480, 1481, 1244]"
-15518.45518,144999.37141,False,False,"[1442, 1123, 1270]"
-15469.90318,145484.29171,False,False,"[809, 1534]"
-14817.94108,146126.69561,False,False,"[1184, 1441, 1439]"
-12936.17328,144670.15321,False,False,"[1616, 1140, 1615]"
-10866.23208,144968.77101,True,False,[868]
-11981.30498,144864.54611,False,False,"[1137, 1139]"
-16003.91988,146450.65761,False,False,"[1073, 1070]"
-14768.35328,147143.16851,False,False,"[1481, 1244, 1237]"
-12892.48868,144807.15751,False,False,"[1616, 1138, 1140]"
-14265.31618,146091.30941,False,False,"[1441, 1083, 1085]"
-15105.92808,145705.70061,False,False,"[809, 1620]"
-10866.58898,144554.29691,True,False,"[873, 1203]"
-15585.31878,147308.90831,False,False,"[1068, 1237]"
-12705.32778,146463.12191,True,False,"[1449, 1594, 1195]"
-11445.56428,144561.99741,True,False,"[1203, 871]"
-13586.80848,143855.33011,False,False,"[1615, 1197, 1614, 1135]"
-12464.88198,145610.27421,True,False,"[1104, 1255]"
-15057.07188,146490.31381,False,False,"[1072, 1437]"
-13241.50378,146098.21511,False,False,"[1450, 1194, 1196]"
-13858.25828,144899.80071,False,False,"[1128, 1127, 1487]"
-13842.83588,143827.39351,False,False,"[1613, 1197, 1135]"
-15740.99018,146299.77681,True,False,[1073]
-12719.88568,145033.16641,False,False,"[1488, 1137, 1255]"
-12862.46568,144995.98961,False,False,"[1616, 1255, 1488]"
-13861.42348,143778.36541,False,False,"[1613, 1197]"
-13740.26288,146249.11651,False,False,"[1081, 1082, 1085]"
-14361.04618,145577.89501,False,False,"[1088, 1245, 1087]"
-13409.86908,144253.54641,False,False,"[1616, 1614, 1615]"
-14697.41248,146810.54761,False,False,"[1481, 1482, 1079]"
-12951.50618,146838.00671,True,False,"[1096, 1598]"
-11000.49588,144453.43731,False,False,"[873, 874, 1149]"
-15233.82348,143940.93861,False,False,"[1186, 1125]"
-13584.01408,147114.98761,False,False,"[1096, 1593, 1076]"
-15359.85608,145977.19411,False,False,"[1440, 1074, 1534]"
-12686.93718,146655.17411,True,False,"[1096, 1594, 1596]"
-13542.55558,144391.42491,False,False,"[1616, 1132, 1614]"
-15553.29318,147341.12741,True,False,[1239]
-15275.55058,144265.90111,False,False,"[1611, 1124, 1125]"
-12618.47018,145830.80591,False,False,"[1104, 1105, 1100]"
-14572.41468,145747.12111,False,False,"[1441, 1245, 1087]"
-13822.59588,145703.40521,False,False,"[1196, 1445, 1086]"
-10572.27948,145306.64461,True,False,[868]
-16029.42378,146803.37321,True,False,[1366]
-13221.60638,145569.76031,True,False,"[1102, 1290, 1446]"
-12377.49558,143982.26871,False,False,"[1204, 1142, 1143]"
-15022.49548,146541.27321,False,False,"[1072, 1185, 1437]"
-12641.10768,146527.34251,False,False,"[1096, 1594, 1103]"
-15429.40488,147826.59591,True,False,"[1457, 917]"
-15037.31188,147624.17501,False,False,"[1244, 1237, 917]"
-14483.53018,147750.65941,False,False,"[1291, 1452]"
-14493.23178,146951.00001,False,False,"[1480, 1481, 1079]"
-13631.48538,144210.39821,False,False,"[1132, 1612, 1614]"
-14483.76628,144475.28431,False,False,"[1129, 1131, 1364]"
-11474.53728,145036.98431,False,False,"[867, 1203]"
-14968.10798,146111.81721,False,False,"[1075, 1534, 1439]"
-13594.42938,146774.02191,False,False,"[1600, 1195, 1076]"
-13583.63677,146097.02885,False,False,"[1194, 1085, 1086]"
-14934.01708,147074.35571,False,False,"[1481, 1482, 1237]"
-13934.89738,145302.30341,True,False,"[1128, 1271, 1127]"
-14261.79398,147279.95771,False,False,"[1480, 1244, 1453]"
-14962.66138,146417.93661,False,False,"[1184, 1185, 1074]"
-16060.81798,146536.67731,False,False,"[1366, 1070]"
-13988.54458,143983.95931,False,False,"[1613, 1134, 1135]"
