"Source(x,y)","Target(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-12768.49968, 145909.42561)","(-12953.64678, 145875.34591)",0.21579668594655127,False,False,1042,405,1564,405,783,False,"[(-12816.51328, 145944.08061), (-12868.58908, 145928.60921), (-12906.79238, 145893.11621)]"
"(-12768.49968, 145909.42561)","(-12618.47018, 145830.80591)",0.2654193155978454,False,False,1282,498,1923,498,962,False,"[(-12707.69438, 145938.15221), (-12654.53128, 145941.51771), (-12671.22118, 145857.27341)]"
"(-12768.49968, 145909.42561)","(-13038.96588, 145407.01511)",0.6138953935637232,False,False,4612,1648,6920,1648,3460,False,"[(-12821.19278, 145878.69861), (-12847.76488, 145827.19001), (-12879.72258, 145795.57491), (-12942.17008, 145751.49211), (-12978.37398, 145695.43561), (-12967.95358, 145637.94821), (-12999.34778, 145579.07981), (-13025.49018, 145492.86501), (-13046.34878, 145453.16921)]"
"(-12768.49968, 145909.42561)","(-13069.46945, 145625.71536)",0.0,False,True,0,0,0,0,0,False,
"(-12768.49968, 145909.42561)","(-12783.44634, 145696.1311)",0.0,False,True,0,0,0,0,0,False,
"(-12768.49968, 145909.42561)","(-12650.0027, 145987.77659)",0.0,False,True,0,0,0,0,0,False,
"(-12953.64678, 145875.34591)","(-12768.49968, 145909.42561)",0.21579668594655127,False,False,1042,405,1564,405,783,False,"[(-12816.51328, 145944.08061), (-12868.58908, 145928.60921), (-12906.79238, 145893.11621)]"
"(-12953.64678, 145875.34591)","(-12954.9812, 145893.10886)",0.017813002819262163,True,False,86,33,129,33,65,24.9455,
"(-12953.64678, 145875.34591)","(-13221.60638, 145569.76031)",0.44527692459384394,True,False,2153,837,3227,837,1612,False,"[(-13034.76768, 145807.93111), (-13004.51528, 145836.38151), (-12980.03918, 145855.12961), (-13097.78108, 145748.67201), (-13185.88748, 145620.56041)]"
"(-12953.64678, 145875.34591)","(-13069.46945, 145625.71536)",0.0,False,True,0,0,0,0,0,False,
"(-12953.64678, 145875.34591)","(-13125.72946, 145844.46236)",0.0,False,True,0,0,0,0,0,False,
"(-12953.64678, 145875.34591)","(-12650.0027, 145987.77659)",0.0,False,True,0,0,0,0,0,False,
"(-12618.47018, 145830.80591)","(-12768.49968, 145909.42561)",0.2654193155978454,False,False,1282,498,1923,498,962,False,"[(-12707.69438, 145938.15221), (-12654.53128, 145941.51771), (-12671.22118, 145857.27341)]"
"(-12618.47018, 145830.80591)","(-12546.48628, 145635.30851)",0.3196695430398336,False,False,2403,859,3603,859,1802,False,"[(-12502.73438, 145673.37641), (-12500.28728, 145722.94961), (-12581.21798, 145732.85311)]"
"(-12618.47018, 145830.80591)","(-12536.33127, 145876.48658)",0.1007793024283821,True,False,757,270,1136,270,568,False,"[(-12585.57208, 145869.90881)]"
"(-12618.47018, 145830.80591)","(-12783.44634, 145696.1311)",0.0,False,True,0,0,0,0,0,False,
"(-12618.47018, 145830.80591)","(-12650.0027, 145987.77659)",0.0,False,True,0,0,0,0,0,False,
"(-12618.47018, 145830.80591)","(-12388.25839, 145781.0902)",0.0,False,True,0,0,0,0,0,False,
